證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銷貨收入,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　　　 銀行存款利息,　　　 外幣兌換損失,　　　 利息費用,　　　 勞務收入,　　　　 勞務收入淨額,　　　 維修收入,　　　　 維修收入淨額,　　　 勞務成本,　　　　 勞務成本合計,　　　 維修成本,　　　 銷貨成本
3021,2014年01月01日至2014年03月31日,,,,,,,,,,,                366719,,                268788,                 97931,                 97931,,,                 30609,,                 48798,                 79407,                 18524,,,,,,,                  3011,,,,                  1100,,                    769,                  3342,                 21866,,                              0,                 21866,                 21866,,,                 -1759,                  1595,                              0,                   -164,                   -164,                 21702,,                 21867,                     -1,,                 21703,                     -1,,                              0.20,,                              0.20,                              0,,,,,,,,,,,,,,,,,,,,
3021,2013年第3季,,,,                332583,                  1352,                331231,,                 27258,,                  1826,                360315,,                275634,                 84681,                 84681,,,                 30931,,                 43823,                 74754,                  9927,,,,                    286,                  4950,                  2757,                  7993,,                              0,                    588,                 -2335,,                    695,                  4963,                 14890,,                     36,                 14854,                 14854,,,,,,,                -13274,                  1580,,                 14853,                      1,,                  1579,                      1,,                              0.14,,                              0.14,,                 -8729,                 -4906,                   -361,                332583,,                264901,,                  9460,                  1273,                    286,                  1747,                    695,,,,,,,,
3021,2013年第2季,,,,,,,,,,,                399402,,                301929,                 97473,                 97473,,,                 31590,,                 40718,                 72308,                 25165,,,,,,,                  4250,,,,                    974,,                  1462,                  3762,                 28927,,                  4581,                 24346,                 24346,,,,,,,                 10467,                 34813,,                 24345,                      1,,                 34812,                      1,,                              0.23,,                              0.23,,                 10437,                     30,                              0,,,,,,,,,,,,,,,,,
3021,2013年度,,,,,,,,,,,              1437661,,              1091976,                345685,                345685,,,                127412,,                173781,                301193,                 44492,,,,,,,                 14785,,,,                   -434,,                  2879,                 11472,                 55964,,                  7740,                 48224,                 48224,,,,,,,                 34224,                 82448,,                 48221,                      3,,                 82445,                      3,,                              0.45,,                              0.44,,                 34224,                              0,                              0,,,,,,,,,,,,,,,,,
3021,2013年07月01日至2013年09月30日,,,,                332583,                  1352,                331231,,                 27258,,                  1826,                360315,,                275634,                 84681,                 84681,,,                 30931,,                 43823,                 74754,                  9927,,,,                    286,                  4950,                  2757,                  7993,,                 -1747,                    588,                 -2335,,                    695,                  4963,                 14890,,                     36,                 14854,                 14854,,,,,,,                -13274,                  1580,,                 14853,                      1,,                  1579,                      1,,                              0.14,,                              0.14,,                 -8729,                 -4906,                   -361,,,                264901,,                  9460,                  1273,,,,,,,,,,,                264901
3021,2013年04月01日至2013年06月30日,,,,                365053,                     53,                365000,,                 33683,,                    719,                399402,,                301929,                 97473,                 97473,,,                 31590,,                 40718,                 72308,                 25165,,,,                    492,,                  3758,                  4250,,,,                    974,,                  1462,                  3762,                 28927,,                  4581,                 24346,                 24346,,,,,,,                 10467,                 34813,,                 24345,                      1,,                 34812,                      1,,                              0.23,,                              0.23,,                 10437,                     30,                              0,,,                291409,,                 10178,                    342,,,,,,,,,,,                291409
3021,2013年01月01日至2013年12月31日,,,,              1314420,                  2896,              1311524,,                121484,,                  4653,              1437661,,              1091976,                345685,                345685,,,                127412,,                173781,                301193,                 44492,,,,                  1388,                  4950,                 14785,                 21123,,,,                 -5384,,                  4267,                 11472,                 55964,,                  7740,                 48224,                 48224,,,,,,,                 34224,                 82448,,                 48221,                      3,,                 82445,                      3,,                              0.45,,                              0.44,,                 34224,                              0,                              0,,,              1049339,,                 39871,                  2766,,,,,                  8916,,                112568,,                  2250,                 37621,
3021,2013年01月01日至2013年09月30日,,,,                983533,                  1466,                982067,,                 93697,,                  2986,              1078750,,                822610,                256140,                256140,,,                 95856,,                124440,                220296,                 35844,,,,                  1023,                  4950,                 11906,                 17879,,                  2293,                  1279,                  1014,,                  3239,                 15654,                 51498,,                  5554,                 45944,                 45944,,,,,,,                 22585,                 68529,,                 45941,                      3,,                 68526,                      3,,                              0.42,,                              0.42,,                 22013,                    211,                   -361,                983533,,                790720,,                 29611,                  2279,                  1023,                              0,                  3239,,,,,,,,                790720
3021,2013年01月01日至2013年06月30日,,,,,,,,,,,                718435,,                546976,                171459,                171459,,,                 64925,,                 80617,                145542,                 25917,,,,,,,                  9886,,,,                  3349,,                  2544,                 10691,                 36608,,                  5518,                 31090,                 31090,,,,,,,                 35859,                 66949,,                 31088,                      2,,                 66947,                      2,,                              0.29,,                              0.29,,                 30742,                  5117,                              0,,,,,,,,,,,,,,,,,
3021,2013年01月01日至2013年03月31日,,,,                285897,                     61,                285836,,                 32756,,                    441,                319033,,                245047,                 73986,                 73986,,,                 33335,,                 39899,                 73234,                    752,,,,                    245,,                  5391,                  5636,,,,                  2375,,                  1082,                  6929,                  7681,,                    937,                  6744,                  6744,,,,,,,                 25392,                 32136,,                  6743,                      1,,                 32135,                      1,,                              0.06,,                              0.06,,                 20305,                  5087,                              0,,,,,,,,,,,,,,,,,
3021,2012年07月01日至2012年09月30日,,,,                380176,                  1373,                378803,,                 36614,,                    780,                416197,,                331867,                 84330,                 84330,,,                 37010,,                 51091,                 88101,                 -3771,,,,                    222,                  4243,                  2671,                  7136,,                   -325,                    232,                   -557,,                  1101,                  5478,                  1707,,                  1047,                    660,                    660,,,,,,,                 -7497,                 -6837,,                    660,                              0,,                 -6837,                              0,,                              0.01,,                              0.01,,                 -8069,                    572,                              0,,,                320412,,                 10912,                    543,,,,,,,,,,,                320412
3021,2012年04月01日至2012年06月30日,,,,                416519,                    993,                415526,,                 28956,,                    479,                444961,,                340414,                104547,                104547,,,                 31414,,                 47361,                 78775,                 25772,,,,                    180,,                  5405,                  5585,,,,                    420,,                    944,                  5061,                 30833,,                  2817,                 28016,                 28016,,,,,,,                 -1891,                 26125,,                 28014,                      2,,                 26123,                      2,,                              0.26,,                              0.26,,                  4400,                 -6291,                              0,,,                318616,,                 21415,                    383,,,,,,,,,,,                318616
3021,2012年01月01日至2012年12月31日,,,,              1466162,                  4862,              1461300,,                146076,,                  1326,              1608702,,              1234567,                374135,                374135,,,                147273,,                165482,                312755,                 61380,,,,                  1076,                  4243,                 24411,                 29730,,,,                -15504,,                  4188,                 10038,                 71418,,                  5901,                 65517,                 65517,,,,,,,                -22010,                 43507,,                 65517,                              0,,                 43507,                              0,,                              0.61,,                              0.61,,                -20849,                   -601,                    560,,,              1174440,,                 58227,                  1900,,,,,                 34786,,                111290,,                 14578,                 43649,
3021,2012年01月01日至2012年09月30日,,,,              1097202,                  4914,              1092288,,                112573,,                  1672,              1206533,,                926204,                280329,                280329,,,                105062,,                133381,                238443,                 41886,,,,                    720,                  4243,                 17362,                 22325,,                 -2551,                    758,                 -3309,,                  2952,                 16064,                 57950,,                  6053,                 51897,                 51897,,,,,,,                -17968,                 33929,,                 51898,                     -1,,                 33930,                     -1,,                              0.48,,                              0.48,,                -19715,                  1747,                              0,,,                877874,,                 46583,                  1747,,,,,,,,,,,                877874
3021,2012年01月01日至2012年06月30日,,,,                717026,                  3541,                713485,,                 75959,,                    892,                790336,,                594337,                195999,                195999,,,                 68052,,                 82290,                150342,                 45657,,,,                    498,,                 14691,                 15189,,,,                 -2752,,                  1851,                 10586,                 56243,,                  5006,                 51237,                 51237,,,,,,,                -10471,                 40766,,                 51238,                     -1,,                 40767,                     -1,,                              0.47,,                              0.47,,                -11646,                  1175,                              0,,,                557462,,                 35671,                  1204,,,,,,,,,,,                557462
3021,2012年01月01日至2012年03月31日,,,,                300507,                  2548,                297959,,                 47003,,                    413,                345375,,                253923,                 91452,                 91452,,,                 36638,,                 34929,                 71567,                 19885,,,,                    318,,                  9286,                  9604,,,,                 -3172,,                    907,                  5525,                 25410,,                  2189,                 23221,                 23221,,,,,,,                 -8580,                 14641,,                 23224,                     -3,,                 14644,                     -3,,                              0.21,,                              0.21,,                -16046,                  7466,                              0,,,                238846,,                 14256,                    821,,,,,                  7830,,                 39173,,                  2662,                 11594,
