證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
3059,2015年第3季,,              3796163,,              3271941,                524222,                524222,,,                 18849,,                 67492,,                263202,                349543,                174679,,,                 21058,,                  8563,,                  5217,,                 -5655,                 18749,                193428,,                 -3619,                197047,                197047,,,                              0,                              0,,                357004,,                  3773,                 61332,                299445,                299445,                496492,,                196782,                    265,,                496227,                    265,,                              0.73,                              0.73,,                              0.73,                              0.73,,,,,
3059,2015年第2季,,              3024205,,              2657544,                366661,                366661,,,                 16951,,                 53136,,                252614,                322701,                 43960,,,                 27017,,                -12798,,                  4627,,                 -3550,                  6042,                 50002,,                  9113,                 40889,                 40889,,,                              0,                              0,,               -101703,,                 -4236,                -18009,                -87930,                -87930,                -47041,,                 40617,                    272,,                -47313,                    272,,                              0.15,                              0.15,,                              0.15,                              0.15,,,,,
3059,2015年01月01日至2015年09月30日,,              9399546,,              8226897,              1172649,              1172649,,,                 48798,,                168979,,                759319,                977096,                195553,,,                 76904,,                   -282,,                 14802,,                -10739,                 51081,                246634,,                  6080,                240554,                240554,,,                              0,                              0,,                127551,,                 -1540,                 21422,                104589,                104589,                345143,,                239880,                    674,,                344469,                    674,,                              0.89,                              0.89,,                              0.88,                              0.88,,,,,
3059,2015年01月01日至2015年06月30日,,              5603383,,              4954956,                648427,                648427,,,                 29949,,                101487,,                496117,                627553,                 20874,,,                 55846,,                 -8845,,                  9585,,                 -5084,                 32332,                 53206,,                  9699,                 43507,                 43507,,,                              0,                              0,,               -229453,,                 -5313,                -39910,               -194856,               -194856,               -151349,,                 43098,                    409,,               -151758,                    409,,                              0.16,                              0.16,,                              0.16,                              0.16,,,,,
3059,2015年01月01日至2015年03月31日,,              2579178,,              2297412,                281766,                281766,,,                 12998,,                 48351,,                243503,                304852,                -23086,,,                 28829,,                  3953,,                  4958,,                 -1534,                 26290,                  3204,,                    586,                  2618,                  2618,,,                              0,                              0,,               -127750,,                 -1077,                -21901,               -106926,               -106926,               -104308,,                  2481,                    137,,               -104445,                    137,,                              0.01,                              0.01,,                              0.01,                              0.01,,,,,
3059,2014年第3季,,              3520680,,              3143784,                376896,                376896,,,                 15937,,                 55220,,                246682,                317839,                 59057,,,                 34208,,                 -4870,,                  6217,,                -42867,                -19746,                 39311,,                  8717,                 30594,                 30594,,,                              0,                              0,,                164232,,                  5606,                 28873,                140965,                140965,                171559,,                 30318,                    276,,                171283,                    276,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,
3059,2014年第2季,,              4851525,,              4347628,                503897,                503897,,,                 21223,,                 57089,,                270773,                349085,                154812,,,                 21976,,                 -3036,,                  3732,,                -13680,                  1528,                156340,,                 23139,                133201,                133201,,,                              0,                              0,,               -194454,,                 -6534,                -34168,               -166820,               -166820,                -33619,,                132944,                    257,,                -33876,                    257,,                              0.34,                              0.34,,                              0.34,                              0.34,,,,,
3059,2014年度,,             15431081,,             13870115,              1560966,              1560966,,,                 77825,,                216641,,                965249,              1259715,                301251,,,                179374,,                 -3534,,                 17276,,               -148933,                  9631,                310882,,                 34707,                276175,                276175,,,,,,,,,,,                458362,                734537,,                275335,                    840,,                733697,                    840,,                              0.80,                              0.80,,                              0.79,                              0.79,                533064,                  4791,,                 13880,                 93373
3059,2014年01月01日至2014年09月30日,,             12176462,,             10986936,              1189526,              1189526,,,                 60466,,                163210,,                731769,                955445,                234081,,,                138596,,                  5052,,                 13332,,                -70764,                 59552,                293633,,                 48044,                245589,                245589,,,                  7322,                  7322,,                137310,,                  4343,                 24081,                117572,                124894,                370483,,                244958,                    631,,                369852,                    631,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,
3059,2014年01月01日至2014年06月30日,,              8655782,,              7843152,                812630,                812630,,,                 44529,,                107990,,                485087,                637606,                175024,,,                104388,,                  9922,,                  7115,,                -27897,                 79298,                254322,,                 39327,                214995,                214995,,,                  7322,                  7322,,                -26922,,                 -1263,                 -4792,                -23393,                -16071,                198924,,                214640,                    355,,                198569,                    355,,                              0.56,                              0.56,,                              0.56,                              0.56,,,,,
