證券代號,年季,　 營業收入,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 營建成本,　　　 營建工程成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 其他營業成本
2528,2014年01月01日至2014年03月31日,,,,                195923,                195923,,                      9,                195932,,,                136658,                136658,                136658,                 59274,                 59274,,,                  9647,,                  9500,                 19147,                 40127,,,                  2897,,                 -1170,,                  1219,                    508,                 40635,,                  3085,                 37550,                 37550,                 37550,,                              0.31,,                              0.28,,,
2528,2013年第3季,,,,                 48571,                 48571,,                    209,                 48780,,,                 43157,                 43157,                 43205,                  5575,                  5575,,,                 10216,,                  8637,                 18853,                -13278,,,                     49,,                    203,,                     43,                    209,                -13069,,                    550,                -13619,                -13619,                -13619,,                             -0.13,,                              0.00,,,                     48
2528,2013年第2季,,,,                  1672,                  1672,,                    477,                  2149,,,                  1611,                  1611,                  1754,                    395,                    395,,,                  6036,,                  8129,                 14165,                -13770,,,                  5088,,                 -2172,,                  2569,                    347,                -13423,,                     44,                -13467,                -13467,                -13467,,                             -0.13,,                              0.00,,,                    143
2528,2013年度,,,,              1865339,              1865339,,                  1179,              1866518,,,              1495078,              1495078,              1495411,                371107,                371107,,,                 56271,,                 48932,                105203,                265904,,,                  8555,,                 -2466,,                  9903,                 -3814,                262090,,                100958,                161132,                161132,                161132,,                              1.47,,                              1.17,,,                    333
2528,2013年07月01日至2013年09月30日,,,,                 48571,                 48571,,                    209,                 48780,,,                 43157,                 43157,                 43205,                  5575,                  5575,,,                 10216,,                  8637,                 18853,                -13278,,,                     49,,                    203,,                     43,                    209,                -13069,,                    550,                -13619,                -13619,                -13619,,                             -0.13,,                              0.00,,,                     48
2528,2013年04月01日至2013年06月30日,,,,                  1672,                  1672,,                    477,                  2149,,,                  1611,                  1611,                  1754,                    395,                    395,,,                  6036,,                  8129,                 14165,                -13770,,,                  5088,,                 -2172,,                  2569,                    347,                -13423,,                     44,                -13467,                -13467,                -13467,,                             -0.13,,                             -0.13,,,                    143
2528,2013年01月01日至2013年12月31日,,,,              1865339,              1865339,,                  1179,              1866518,,,              1495078,              1495078,              1495411,                371107,                371107,,,                 56271,,                 48932,                105203,                265904,,,                  8555,,                 -2466,,                  9903,                 -3814,                262090,,                100958,                161132,                161132,                161132,,                              1.47,,                              1.17,,,                    333
2528,2013年01月01日至2013年09月30日,,,,                 50243,                 50243,,                  1171,                 51414,,,                 44768,                 44768,                 45101,                  6313,                  6313,,,                 17057,,                 24648,                 41705,                -35392,,,                  5172,,                 -2122,,                  6921,                 -3871,                -39263,,                    594,                -39857,                -39857,                -39857,,                             -0.37,,                              0.00,,,                    333
2528,2013年01月01日至2013年06月30日,,,,                  1672,                  1672,,                    962,                  2634,,,                  1611,                  1611,                  1896,                    738,                    738,,,                  6841,,                 16011,                 22852,                -22114,,,                  5123,,                 -2325,,                  6878,                 -4080,                -26194,,                     44,                -26238,                -26238,                -26238,,                             -0.26,,                              0.00,,,                    285
2528,2013年01月01日至2013年03月31日,,,,                              0,                              0,,                    485,                    485,,,                              0,                              0,                    142,                    343,                    343,,,                    805,,                  7882,                  8687,                 -8344,,,                     35,,                   -153,,                  4309,                 -4427,                -12771,,                              0,                -12771,                -12771,                -12771,,                             -0.13,,                              0.00,,,                    142
2528,2012年07月01日至2012年09月30日,,,,                              0,                              0,,                     28,                     28,,,                              0,                              0,                              0,                     28,                     28,,,                  2433,,                  8308,                 10741,                -10713,,,                     60,,                     12,,                  4628,                 -4556,                -15269,,                              0,                -15269,                -15269,                -15269,,                             -0.15,,                              0.00,,,                              0
2528,2012年04月01日至2012年06月30日,,,,                              0,                              0,,                     15,                     15,,,                              0,                              0,                              0,                     15,                     15,,,                  2147,,                  8381,                 10528,                -10513,,,                 62033,,                 -2859,,                  5158,                 54016,                 43503,,                              0,                 43503,                 43503,                 43503,,                              0.44,,                              0.40,,,                              0
2528,2012年01月01日至2012年12月31日,,,,                              0,                              0,,                    447,                    447,,,                              0,                              0,                    142,                    305,                    305,,,                  7236,,                 35745,                 42981,                -42676,,,                 90808,,                 -4219,,                 17809,                 68780,                 26104,,                              0,                 26104,                 26104,                 26104,,                              0.26,,                              0.24,,,                    142
2528,2012年01月01日至2012年09月30日,,,,                              0,                              0,,                    105,                    105,,,                              0,                              0,                              0,                    105,                    105,,,                  5179,,                 24484,                 29663,                -29558,,,                 90678,,                 -3336,,                 13325,                 74017,                 44459,,                              0,                 44459,                 44459,                 44459,,                              0.44,,                              0.38,,,                              0
2528,2012年01月01日至2012年06月30日,,,,                              0,                              0,,                     77,                     77,,,                              0,                              0,                              0,                     77,                     77,,,                  2746,,                 16176,                 18922,                -18845,,,                 90618,,                 -3348,,                  8697,                 78573,                 59728,,                              0,                 59728,                 59728,                 59728,,                              0.60,,                              0.54,,,                              0
2528,2012年01月01日至2012年03月31日,,,,                              0,                              0,,                     62,                     62,,,                              0,                              0,                              0,                     62,                     62,,,                    599,,                  7795,                  8394,                 -8332,,,                 28585,,                   -489,,                  3539,                 24557,                 16225,,,                 16225,                 16225,                 16225,,                              0.16,,,,,                              0
