證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 技術服務收入,　　　　 技術服務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 技術服務費用,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計
1535,2015年第3季,,,                 71736,,,              1969456,              1969456,,,                 47169,                 47169,              2088361,,,                 44472,,              1808792,              1808792,,                 44159,                 44159,              1897423,                190938,                190938,,,                 17479,,                109554,,                  7603,                134636,                 56302,,,                 24559,,                 55229,,                    930,,                 21441,                100299,                156601,,                 31144,                125457,                125457,,,                 46678,                -27386,                 39751,,                -11584,                -11584,                 12678,                 34781,                 34781,                160238,,                125457,                              0,,                160238,                              0,,                              1.01,                              1.01,,                              1.01,                              1.01,,,,,,,,,,
1535,2015年第2季,,,                 23475,,,              2385886,              2385886,,,                 60601,                 60601,              2469962,,,                 19887,,              2168002,              2168002,,                 48876,                 48876,              2236765,                233197,                233197,,,                 15515,,                 92363,,                  7203,                115081,                118116,,,                 17514,,                -13126,,                    976,,                 27790,                 31202,                149318,,                 27593,                121725,                121725,,,                -28253,                -19999,                 -1421,,,                 -2993,                    833,                -53499,                -53499,                 68226,,                121725,,,                 68226,,,                              0.99,                              0.99,,                              0.98,                              0.98,,,,,,,,,,
1535,2015年01月01日至2015年09月30日,,,                183158,,,              6772548,              6772548,,,                165421,                165421,              7121127,,,                135571,,              6165160,              6165160,,                141107,                141107,              6441838,                679289,                679289,,,                 49770,,                308448,,                 23000,                381218,                298071,,,                 62169,,                 23392,,                  2219,,                 82278,                165620,                463691,,                 82371,                381320,                381320,,,                  2777,                -27857,                 26365,,                -15150,                -15150,                 15861,                -29726,                -29726,                351594,,                381320,                              0,,                351594,                              0,,                              3.08,                              3.08,,                              3.06,                              3.06,,,,,,,,,,
1535,2015年01月01日至2015年06月30日,,,                111422,,,              4803092,              4803092,,,                118252,                118252,              5032766,,,                 91099,,              4356368,              4356368,,                 96948,                 96948,              4544415,                488351,                488351,,,                 32291,,                198894,,                 15397,                246582,                241769,,,                 37610,,                -31837,,                  1289,,                 60837,                 65321,                307090,,                 51227,                255863,                255863,,,                -43901,                   -471,                -13386,,,                 -3566,                  3183,                -64507,                -64507,                191356,,                255863,,,                191356,,,                              2.07,                              2.07,,                              2.06,                              2.06,,,,,,,,,,
1535,2015年01月01日至2015年03月31日,,,                 87947,,,              2417206,              2417206,,,                 57651,                 57651,              2562804,,,                 71212,,              2188366,              2188366,,                 48072,                 48072,              2307650,                255154,                255154,,,                 16776,,                106531,,                  8194,                131501,                123653,,,                 20096,,                -18711,,                    313,,                 33047,                 34119,                157772,,                 23634,                134138,                134138,,,                -15648,                 19528,                -11965,,,                   -573,                  2350,                -11008,                -11008,                123130,,                134138,                              0,,                123130,                              0,,                              1.08,                              1.08,,                              1.08,                              1.08,,,,,,,,,,
1535,2014年第3季,,,                 19124,,,              2122546,              2122546,,,                 57728,                 57728,              2199398,,,                 16103,,              1888315,              1888315,,                 42545,                 42545,              1946963,                252435,                252435,,,                 11867,,                 95327,,                  6904,                114098,                138337,,,                 32130,,                 23410,,                     28,,                 43499,                 99011,                237348,,                 41445,                195903,                195903,,,                 24841,                 -2956,                  6844,,                  2875,                  2875,                    210,                 31394,                 31394,                227297,,                195903,                              0,,                227297,                              0,,                              1.58,                              1.58,,                              1.57,                              1.57,,,,,,,,,,
1535,2014年第2季,,,                 77288,,,              2477486,              2477486,,,                 66420,                 66420,              2621194,,,                 35775,,              2311847,              2311847,,                 49506,                 49506,              2397128,                224066,                224066,,,                  8304,,                 90381,,                  7228,                105913,                118153,,,                 20145,,                -12413,,                     49,,                 46779,                 54462,                172615,,                 43373,                129242,                129242,,,                -23999,                  7480,                 -5224,,,                   -891,                   -875,                -21759,                -21759,                107483,,                129242,,,                107483,,,                              1.04,                              1.04,,                              1.03,                              1.03,,,,,,,,,,
1535,2014年01月01日至2014年09月30日,,,                131913,,,              6996060,              6996060,,,                172995,                172995,              7300968,,,                 84004,,              6402917,              6402917,,                134099,                134099,              6621020,                679948,                679948,,,                 28908,,                281053,,                 18871,                328832,                351116,,,                 69905,,                 27090,,                     87,,                133099,                230007,                581123,,                116251,                464872,                464872,,,                  8866,                 22350,                 15931,,                   -715,                   -715,                  3627,                 42805,                 42805,                507677,,                464872,                              0,,                507677,                              0,,                              3.76,                              3.76,,                              3.74,                              3.74,,,,,,,,,,
1535,2014年01月01日至2014年06月30日,,,                112789,,,              4873514,              4873514,,,                115267,                115267,              5101570,,,                 67901,,              4514602,              4514602,,                 91554,                 91554,              4674057,                427513,                427513,,,                 17041,,                185726,,                 11967,                214734,                212779,,,                 37775,,                  3680,,                     59,,                 89600,                130996,                343775,,                 74806,                268969,                268969,,,                -15975,                 25306,                  9087,,,                 -3590,                  3417,                 11411,                 11411,                280380,,                268969,,,                280380,,,                              2.17,                              2.17,,                              2.16,                              2.16,,,,,,,,,,
1535,2014年01月01日至2014年03月31日,,,                 35501,,,              2396028,              2396028,,,                 48847,                 48847,              2480376,,,                 32126,,              2202755,              2202755,,                 42048,                 42048,              2276929,                203447,                203447,,,                  8737,,                 95345,,                  4739,                108821,                 94626,,,                 17630,,                 16093,,                     10,,                 42821,                 76534,                171160,,                 31433,                139727,                139727,,,                  8024,                 17826,                 14311,,,                 -2699,                  4292,                 33170,                 33170,                172897,,                139727,                              0,,                172897,                              0,,                              1.13,                              1.13,,                              1.13,                              1.13,,,,,,,,,,
