證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 已實現銷貨（損）益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 減損損失合計,　　　 利息費用
3380,2015年第3季,,,              5467399,              5467399,,,              4741829,              4741829,                725570,                725570,,,                191848,,                197443,,                354167,                743458,                -17888,,,                  1728,,               -240991,,                  2122,,                 -6000,                 -6000,               -247385,               -265273,,                 27050,               -292323,               -292323,,,                103434,                302843,                              0,                406277,                406277,                113954,,               -292323,,                113954,,                             -0.65,,                              0.00,,,,,,,,,,,,,,,,,,,
3380,2015年第2季,,,              6301168,              6301168,,,              5572793,              5572793,                728375,                728375,,,                159727,,                187052,,                359758,                706537,                 21838,,,                 42349,,                -45196,,                  5660,,                 -6000,                 -6000,                -14507,                  7331,,                  7331,                              0,                              0,,,                -44572,                -40206,                              0,                -84778,                -84778,                -84778,,                              0,,                -84778,,                              0.00,,                              0.00,,,,,,,,,,,,,,,,,,,
3380,2015年01月01日至2015年09月30日,,,             17625591,             17625591,,,             15365933,             15365933,              2259658,              2259658,,,                466233,,                576151,,              1071164,              2113548,                146110,,,                 56700,,               -347511,,                 11893,,                -18000,                -18000,               -320704,               -174594,,                 50766,               -225360,               -225360,,,                 18302,                245549,                              0,                263851,                263851,                 38491,,               -225360,,                 38491,,                             -0.48,,                              0.00,,,,,,,,,,,,,,,,,,,
3380,2015年01月01日至2015年06月30日,,,             12158192,             12158192,,,             10624104,             10624104,              1534088,              1534088,,,                274385,,                378708,,                716997,              1370090,                163998,,,                 54972,,               -106520,,                  9771,,                -12000,                -12000,                -73319,                 90679,,                 23716,                 66963,                 66963,,,                -85132,                -57294,                              0,               -142426,               -142426,                -75463,,                 66963,,                -75463,,                              0.14,,                              0.14,,,,,,,,,,,,,,,,,,,
3380,2015年01月01日至2015年03月31日,,,              5857024,              5857024,,,              5051311,              5051311,                805713,                805713,,,                114658,,                191656,,                357239,                663553,                142160,,,                 12623,,                -61324,,                  4111,,                 -6000,                 -6000,                -58812,                 83348,,                 16385,                 66963,                 66963,,,                -40560,                -17088,                              0,                -57648,                -57648,                  9315,,                 66963,,                  9315,,                              0.14,,                              0.14,,,,,,,,,,,,,,,,,,,
3380,2014年第3季,,,              5563737,              5563737,,,              4810006,              4810006,                753731,                753731,,,                145426,,                213408,,                336477,                695311,                 58420,,,                 42442,,                 73882,,                  9674,,                 -6000,                 -6000,                100650,                159070,,                 23769,                135301,                135301,,,                 88731,                -17271,                              0,                 71460,                 71460,                206761,,                135301,,                206761,,                              0.28,,                              0.28,,,,,,,,,,,,,,,,,,,
3380,2014年第2季,,,              5996966,              5996966,,,              5134351,              5134351,                862615,                862615,,,                142827,,                212928,,                335490,                691245,                171370,,,                 16678,,                -70611,,                  6374,,                 -6000,                 -6000,                -66307,                105063,,                  8277,                 96786,                 96786,,,                -50201,                -18362,                              0,                -68563,                -68563,                 28223,,                 96786,,                 28223,,                              0.20,,                              0.20,,,,,,,,,,,,,,,,,,,
3380,2014年度,,,             23277512,             23277512,,,             20012133,             20012133,              3265379,              3265379,,,                572513,,                833668,,              1390036,              2796217,                469162,,,                139594,,                106252,,                 32965,,,                -24000,                188881,                658043,,                122270,                535773,                535773,,,,,,,                 90463,                626236,,                535773,,                626236,,                              1.10,,                              1.08,                              0,                 94058,                  8374,                  4021,                 15990,,,,,,,,,,,,,,
3380,2014年01月01日至2014年09月30日,,,             16997646,             16997646,,,             14626356,             14626356,              2371290,              2371290,,,                429444,,                616401,,              1027134,              2072979,                298311,,,                 82268,,                -19723,,                 21388,,                -18000,                -18000,                 23157,                321468,,                 40643,                280825,                280825,,,                  5272,                    273,                              0,                  5545,                  5545,                286370,,                280825,,                286370,,                              0.58,,                              0.57,,,,,,,,,,,,,,,,,,,
3380,2014年01月01日至2014年06月30日,,,             11433909,             11433909,,,              9816350,              9816350,              1617559,              1617559,,,                284018,,                402993,,                690657,              1377668,                239891,,,                 39826,,                -93605,,                 11714,,                -12000,                -12000,                -77493,                162398,,                 16874,                145524,                145524,,,                -83459,                 17544,                              0,                -65915,                -65915,                 79609,,                145524,,                 79609,,                              0.30,,                              0.30,,,,,,,,,,,,,,,,,,,
3380,2014年01月01日至2014年03月31日,,,              5436943,              5436943,,,              4681999,              4681999,                754944,                754944,,,                141191,,                190065,,                355167,                686423,                 68521,,,                 23732,,                -12847,,                 16071,,                 -6000,                 -6000,                -11186,                 57335,,                  8597,                 48738,                 48738,,,                -33258,                 35906,                              0,                  2648,                  2648,                 51386,,                 48738,,                 51386,,                              0.10,,                              0.10,,,,,,,,,,,,,,,,,,,
3380,2013年第3季,,,              6369945,              6369945,,,              5332528,              5332528,              1037417,              1037417,,,                136847,,                226268,,                368972,                732087,                305330,,,                 20692,,                 -1647,,                  1343,,,                              0,                 17702,                323032,,                 81798,                241234,                241234,,,,,,,                -43152,                198082,,                241234,,                198082,,                              0.50,,                              0.49,,                -25240,                -17912,,                              0,,,,,,,,,,,,,,
3380,2013年第2季,,,              6075095,              6075095,,,              5164347,              5164347,                910748,                910748,,,                139229,,                229233,,                376714,                745176,                165572,,,                 22006,,                 42088,,                  8983,,,                              0,                 55111,                220683,,                 19475,                201208,                201208,,,,,,,                 48509,                249717,,                201208,,                249717,,                              0.41,,                              0.40,,                 41611,                  6898,,                              0,,,,,,,,,,,,,,
3380,2013年度,,,             24103755,             24103755,,,             20393544,             20393544,              3710211,              3710211,,,                488644,,                913453,,              1474036,              2876133,                834078,,,                 65858,,                111536,,                 40421,,,                 -6529,                130444,                964522,,                185005,                779517,                779517,,,,,,,                248498,              1028015,,                779517,,              1028015,,                              1.60,,                              1.55,                              0,                153475,                 -2245,                123358,                 26090,,,,,,,,,,,,,,
3380,2013年07月01日至2013年09月30日,,,              6369945,              6369945,,,              5332528,              5332528,              1037417,              1037417,,,                136847,,                226268,,                368972,                732087,                305330,,,                 18330,,                  3260,,                  3888,,,,                 17702,                323032,,                 81798,                241234,                241234,,,,,,,                -43152,                198082,,                241234,,                198082,,                              0.50,,                              0.49,,                -25240,                -17912,,                              0,                              0,                              0,                              0,,                  3475,                  9854,                  5001,                              0,                168119,                164859,,,,
3380,2013年04月01日至2013年06月30日,,,              6075095,              6075095,,,              5164347,              5164347,                910748,                910748,,,                139229,,                229233,,                376714,                745176,                165572,,,                 22178,,                 46241,,                 13308,,,,                 55111,                220683,,                 19475,                201208,                201208,,,,,,,                 48509,                249717,,                201208,,                249717,,                              0.41,,                              0.40,,                 41611,                  6898,,                              0,                              0,                              0,                              0,,                  7723,,                 14455,                 60257,                              0,                              0,                 14016,,,                 13308
3380,2013年01月01日至2013年12月31日,,,             24103755,             24103755,,,             20393544,             20393544,              3710211,              3710211,,,                488644,,                913453,,              1474036,              2876133,                834078,,,                 65858,,                111536,,                 40421,,,                 -6529,                130444,                964522,,                185005,                779517,                779517,,,,,,,                248498,              1028015,,                779517,,              1028015,,                              1.60,,                              1.55,                              0,                153475,                 -2245,                123358,                 26090,,                              0,                              0,,                 21938,                  9854,                 34066,                213212,                              0,                              0,                101676,,                              0,
