證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 其他營業收入,　　　 其他營業收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　　 其他綜合損益,　　 繼續營業單位淨利（淨損）,　　 稀釋繼續營業單位淨利（淨損）
1737,2015年第3季,,                729087,,                458112,                270975,                270975,,,                116810,,                 51017,,                 12236,                180063,                 90912,,,                 21757,,                 28676,,                      1,,                 -1117,                 49315,                140227,,                 20207,                120020,                120020,,,                  1654,                -13887,                -12233,                -12233,                107787,,                120020,,                107787,,                              0.60,,                              0.60,,,,,,,,,,,,,,,
1737,2015年第2季,,                728696,,                448714,                279982,                279982,,,                137834,,                 38066,,                 12406,                188306,                 91676,,,                 16653,,                -28686,,                      1,,,                -12034,                 79642,,                 11827,                 67815,                 67815,,,                    337,                 -4461,                 -4124,                 -4124,                 63691,,                 67815,,                 63691,,                              0.34,,                              0.34,,,,,,,,,,,,,,,
1737,2015年01月01日至2015年09月30日,,              2097132,,              1295869,                801263,                801263,,,                377161,,                126683,,                 36620,                540464,                260799,,,                 63731,,                -43466,,                      3,,                 -1117,                 19145,                279944,,                 43836,                236108,                236108,,,                    674,                -17094,                -16420,                -16420,                219688,,                236108,,                219688,,                              1.18,,                              1.18,,,,,,,,,,,,,,,
1737,2015年01月01日至2015年06月30日,,              1368045,,                837757,                530288,                530288,,,                260351,,                 75666,,                 24384,                360401,                169887,,,                 41974,,                -72142,,                      2,,,                -30170,                139717,,                 23629,                116088,                116088,,,                   -980,                 -3207,                 -4187,                 -4187,                111901,,                116088,,                111901,,                              0.58,,                              0.58,,,,,,,,,,,,,,,
1737,2015年01月01日至2015年03月31日,,                639349,,                389043,                250306,                250306,,,                122517,,                 37600,,                 11978,                172095,                 78211,,,                 25321,,                -43456,,                      1,,,                -18136,                 60075,,                 11802,                 48273,                 48273,,,                 -1317,                  1254,                    -63,                    -63,                 48210,,                 48273,,                 48210,,                              0.24,,                              0.24,,,,,,,,,,,,,,,
1737,2014年第3季,,                676939,,                443360,                233579,                233579,,,                134431,,                 36636,,                 12970,                184037,                 49542,,,                 17222,,                 -2410,,                      2,,                              0,                 14810,                 64352,,                 10231,                 54121,                 54121,,,                    958,                 -6298,                 -5340,                 -5340,                 48781,,                 54121,,                 48781,,                              0.27,,                              0.27,,,,,,,,,,,,,,,
1737,2014年第2季,,                645478,,                411605,                233873,                233873,,,                145479,,                 36400,,                 12774,                194653,                 39220,,,                 21575,,                -27899,,                      2,,,                 -6326,                 32894,,                  2504,                 30390,                 30390,,,                   -813,                 -2695,                 -3508,                 -3508,                 26882,,                 30390,,                 26882,,                              0.16,,                              0.16,,,,,,,,,,,,,,,
1737,2014年度,,              2597177,,              1680388,                916789,                916789,,,                539518,,                155602,,                 56706,                751826,                164963,,,                 79020,,                  1783,,                      8,,,                 80795,                245758,,                 31289,                214469,                214469,,,,,,                -24147,                190322,,                214469,,                190322,,                              1.07,,                              1.07,                  1465,                 -6490,                -23038,                 -3916,,,,,,,,,,,
1737,2014年01月01日至2014年09月30日,,              1951032,,              1265275,                685757,                685757,,,                404303,,                112226,,                 38389,                554918,                130839,,,                 54689,,                 -1244,,                      7,,                              0,                 53438,                184277,,                 23017,                161260,                161260,,,                    175,                 -7235,                 -7060,                 -7060,                154200,,                161260,,                154200,,                              0.81,,                              0.81,,,,,,,,,,,,,,,
1737,2014年01月01日至2014年06月30日,,              1274093,,                821915,                452178,                452178,,,                269872,,                 75590,,                 25419,                370881,                 81297,,,                 37467,,                  1166,,                      5,,,                 38628,                119925,,                 12786,                107139,                107139,,,                   -783,                   -937,                 -1720,                 -1720,                105419,,                107139,,                105419,,                              0.54,,                              0.54,,,,,,,,,,,,,,,
