證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨成本
2302,2015年第3季,,,,                135375,                135375,                135375,,,                 92627,                 92627,                 42748,                 42748,,,                  3771,,                 27503,,                  1049,                 32323,                 10425,,,                  5011,,                  3099,,                    517,                  7593,                 18018,,                      2,                 18016,                 18016,,,                 22405,                     52,                              0,                 22457,                 22457,                 40473,,                 18016,,                 40473,,                              0.11,,                              0.11,,,,,,,,,,,,,
2302,2015年第2季,,,,,                129060,                129060,,,                 88198,                 88198,                 40862,                 40862,,,                  3092,,                 39676,,                    919,                 43687,                 -2825,,,                 -2056,,                  5451,,                    642,                  2753,                    -72,,                   -120,                     48,                     48,,,                 13295,                    150,                              0,                 13445,                 13445,                 13493,,                     48,,                 13493,,                              0.00,,,,                              0,,,,,,,,,,,
2302,2015年01月01日至2015年09月30日,,,,                380993,                380993,                380993,,,                266935,                266935,                114058,                114058,,,                 10248,,                107223,,                  2485,                119956,                 -5898,,,                  2974,,                  7877,,                  1811,                  9040,                  3142,,                  1071,                  2071,                  2071,,,                  6465,                    202,                              0,                  6667,                  6667,                  8738,,                  2071,,                  8738,,                              0.01,,                              0.01,,,,,,,,,,,,,
2302,2015年01月01日至2015年06月30日,,,,,                245618,                245618,,,                174309,                174309,                 71309,                 71309,,,                  6477,,                 79720,,                  1436,                 87633,                -16324,,,                 -2036,,                  4778,,                  1294,                  1448,                -14876,,                  1069,                -15945,                -15945,,,                -15940,                    150,                              0,                -15790,                -15790,                -31735,,                -15945,,                -31735,,                             -0.10,,,,                              0,,,,,,,,,,,
2302,2015年01月01日至2015年03月31日,,,,,                116558,                116558,,,                 86111,                 86111,                 30447,                 30447,,,                  3385,,                 40044,,                    517,                 43946,                -13499,,,                     20,,                   -673,,                    652,                 -1305,                -14804,,                  1189,                -15993,                -15993,,,                 -6883,,                              0,                 -6883,                 -6883,                -22876,,                -15993,,                -22876,,                             -0.10,,,,                              0,                              0,                              0,                              0,                              0,,,,,,,
2302,2014年第3季,,,,                174573,                174573,                174573,,,                120257,                120257,                 54316,                 54316,,,                  3694,,                 35850,,                    407,                 39951,                 14365,,,                 -2703,,                 -1031,,                    696,                 -4430,                  9935,,                     -9,                  9944,                  9944,,,                 12059,                              0,                              0,                 12059,                 12059,                 22003,,                  9944,,                 22003,,                              0.06,,                              0.06,,,,,,,,,,,,,
2302,2014年第2季,,,,,                132560,                132560,,,                 95816,                 95816,                 36744,                 36744,,,                  4023,,                 41335,,                    367,                 45725,                 -8981,,,                   -471,,                  3972,,                    691,                  2810,                 -6171,,                     73,                 -6244,                 -6244,,,                -13117,                              0,                              0,                -13117,                -13117,                -19361,,                 -6244,,                -19361,,                             -0.04,,,,                              0,,,,,,,,,,,
2302,2014年度,,,,                614311,                614311,                614311,,,                462256,                462256,                152055,                152055,,,                 14967,,                173259,,                  1722,                189948,                 73467,,,                 -3876,,                 57242,,                  2772,                 50594,                124061,,                  4427,                119634,                119634,,,,,,,                 37468,                157102,,                119634,,                157102,,                              0.74,,,,,,,                              0,                              0,,                111360,                 36872,                   -300,                    896,                              0,
2302,2014年01月01日至2014年09月30日,,,,                476661,                476661,                476661,,,                357343,                357343,                119318,                119318,,,                 11258,,                118784,,                  1232,                131274,                -11956,,,                 -3219,,                  1576,,                  2082,                 -3725,                -15681,,                     15,                -15696,                -15696,,,                  9129,                              0,                              0,                  9129,                  9129,                 -6567,,                -15696,,                 -6567,,                             -0.10,,                             -0.10,,,,,,,,,,,,,
2302,2014年01月01日至2014年06月30日,,,,,                302088,                302088,,,                237086,                237086,                 65002,                 65002,,,                  7564,,                 82934,,                    825,                 91323,                -26321,,,                   -516,,                  2607,,                  1386,                    705,                -25616,,                     24,                -25640,                -25640,,,                 -2930,                              0,                              0,                 -2930,                 -2930,                -28570,,                -25640,,                -28570,,                             -0.16,,,,                              0,,,,,,,,,,,
