證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 停業單位損益,　　 停業單位損益合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）
9911,2015年第3季,,              1145591,,                776090,                369501,                369501,,,                161304,,                 58415,,                 17764,                237483,                132018,,,                 15991,,                 21990,,                    474,,                  5107,                 42614,                174632,,                 25448,                149184,                149184,,,                 20934,                -31241,,                 60718,                 13881,                 36530,                 36530,                185714,,                149184,,                185714,,                              0.55,,                              0.54,,,,,,,,,,
9911,2015年第2季,,              1089357,,                751311,                338046,                338046,,,                179988,,                 46433,,                 18431,                244852,                 93194,,,                 12876,,                 -5204,,                    431,,                 -7954,                   -713,                 92481,,                 32025,                 60456,                 60456,,,                 -5720,                  4252,,                 -9360,                 -2564,                 -8264,                 -8264,                 52192,,                 60456,,                 52192,,                              0.22,,                              0.22,,,,,,,,,,
9911,2015年01月01日至2015年09月30日,,              3490536,,              2391831,              1098705,              1098705,,,                507532,,                162229,,                 53544,                723305,                375400,,,                 41466,,                  4123,,                  1378,,                -13421,                 30790,                406190,,                 81202,                324988,                324988,,,                 10574,                -20881,,                 45577,                  9546,                 25724,                 25724,                350712,,                324988,,                350712,,                              1.19,,                              1.18,,,,,,,,,,
9911,2015年01月01日至2015年06月30日,,              2344945,,              1615741,                729204,                729204,,,                346228,,                103814,,                 35780,                485822,                243382,,,                 25475,,                -17867,,                    904,,                -18528,                -11824,                231558,,                 55754,                175804,                175804,,,                -10360,                 10360,,                -15141,                 -4335,                -10806,                -10806,                164998,,                175804,,                164998,,                              0.64,,                              0.64,,,,,,,,,,
9911,2015年01月01日至2015年03月31日,,              1255588,,                864430,                391158,                391158,,,                166240,,                 57381,,                 17349,                240970,                150188,,,                 12599,,                -12663,,                    473,,                -10574,                -11111,                139077,,                 23729,                115348,                115348,,,                 -4640,                  6108,,                 -5781,                 -1771,                 -2542,                 -2542,                112806,,                115348,,                112806,,                              0.42,,                              0.42,,,,,,,,,,
9911,2014年第3季,,              1064873,,                740657,                324216,                324216,,,                152391,,                 55430,,                 18731,                226552,                 97664,,,                 39047,,                 -2342,,                    630,,                 22839,                 58914,                156578,,                 23012,                133566,                133566,,,                 12953,                   -125,,                 16816,                  5061,                 24583,                 24583,                158149,,                133566,,                158149,,                              0.49,,                              0.49,,,,,,,,,,
9911,2014年第2季,,              1062844,,                751866,                310978,                310978,,,                155570,,                 49599,,                 17156,                222325,                 88653,,,                 16184,,                 19069,,                    743,,                 17528,                 52038,                140691,,                 23585,                117106,                117106,,,                 -7970,                  3969,,                -17747,                 -4372,                -17376,                -17376,                 99730,,                117106,,                 99730,,                              0.43,,                              0.43,,,,,,,,,,
9911,2014年度,,              4851725,,              3390912,              1460813,              1460813,,,                665790,,                220598,,                 69205,                955593,                505220,,,                 56070,,                 36346,,                  2693,,                 41993,                131716,                636936,,                 98028,                538908,                538908,,,,,,,,,                 48892,                587800,,                538908,,                587800,,                              1.97,,                              1.96,                 16121,                 -4269,                  1791,,                 46132,                 10883,,,,
9911,2014年01月01日至2014年09月30日,,              3338555,,              2351638,                986917,                986917,,,                463714,,                162314,,                 52407,                678435,                308482,,,                 64368,,                 22224,,                  2160,,                 29716,                114148,                422630,,                 66388,                356242,                356242,,,                  1186,                 -3632,,                 13945,                  2572,                  8927,                  8927,                365169,,                356242,,                365169,,                              1.30,,                              1.30,,,,,,,,,,
9911,2014年01月01日至2014年06月30日,,              2273682,,              1610981,                662701,                662701,,,                311323,,                106884,,                 33676,                451883,                210818,,,                 25321,,                 24566,,                  1530,,                  6877,                 55234,                266052,,                 43376,                222676,                222676,,,                -11767,                 -3507,,                 -2871,                 -2489,                -15656,                -15656,                207020,,                222676,,                207020,,                              0.81,,                              0.81,,,,,,,,,,
