證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 旅遊服務收入,　　　 餐旅服務收入,　　　　 餐飲收入,　　　　 餐旅服務收入淨額,　　　 旅遊服務收入合計,　　 旅遊服務成本（觀光飯店業適用）,　　　 餐旅服務成本,　　　　 餐飲成本,　　　　 餐旅服務成本合計,　　　 旅遊服務成本（觀光飯店業適用）合計,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 其他費用,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 租金收入,　　　 權利金收入,　　　 其他收入－其他,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 遞延所得稅費用（利益）
2727,2014年01月01日至2014年03月31日,,              4305464,,              2046422,              2259042,              2259042,,,              1561557,,                255933,,                  2992,              1820482,                438560,,,                 20671,,                 -4295,,                              0,,                 -9728,                  6648,                445208,,                104377,                340831,                340831,,,                 -2641,,                    166,                   -207,                 -2268,                 -2268,                338563,,                298658,                 42173,,                297648,                 40915,,                              3.88,                              3.88,,                              3.88,                              3.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年第3季,,              4002672,,              1920138,              2082534,              2082534,,,              1445629,,                249276,,                  4345,              1699250,                383284,,,                 23518,,                -10523,,,,                 -5712,                  7283,                390567,,                 87754,                302813,                302813,,,,,,,,                -11838,                290975,,                269046,                 33767,,                263620,                 27355,,                              3.49,                              3.49,,                              3.49,                              3.49,,,,,                -12476,,,                   -474,                 -1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年第2季,,              3583266,,              1669952,              1913314,              1913314,,,              1267701,,                241663,,                  3749,              1513113,                400201,,,                 17404,,                 -5234,,,,                 -5426,                  6744,                406945,,                103547,                303398,                303398,,,,,,,,                 20208,                323606,,                284594,                 18804,,                293849,                 29757,,                              3.70,                              3.70,,                              3.70,                              3.70,,,,,                 21243,,,                    861,                  1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年度,,             14880588,,              7067007,              7813581,              7813581,,,              5458948,,                916803,,                 16092,              6391843,              1421738,,,                 67778,,                -21727,,,,                -27099,                 18952,              1440690,,                325414,              1115276,              1115276,,,,,,,,                 69902,              1185178,,              1019826,                 95450,,              1052223,                132955,,                             13.25,                             13.25,,                             13.25,                             13.25,,,             14880588,             14880588,                 71440,                    815,,                  4282,                  6635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年07月01日至2013年09月30日,,              4002672,,              1920138,              2082534,              2082534,,,              1435820,,                259085,,                  4345,              1699250,                383284,,,                 23518,,                -10523,,,,                 -5712,                  7283,                390567,,                 87754,                302813,                302813,,,,,,,,                -11838,                290975,,                269046,                 33767,,                263620,                 27355,,                              3.60,                              3.60,,                              3.60,                              3.60,,,,,                -12476,,,                   -474,                 -1112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年04月01日至2013年06月30日,,              3583266,,              1669952,              1913314,              1913314,,,              1267701,,                241663,,                  3749,              1513113,                400201,,,                 17404,,                 -5234,,,,                 -5426,                  6744,                406945,,                103547,                303398,                303398,,,,,,,,                 20208,                323606,,                284594,                 18804,,                293849,                 29757,,                              3.81,                              3.81,,                              3.81,                              3.81,,,,,                 21243,,,                    861,                  1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年01月01日至2013年12月31日,,             14880588,,              7067007,              7813581,              7813581,,,              5421602,,                954149,,                 16092,              6391843,              1421738,,,                 67778,,                -21727,,,,                -27099,                 18952,              1440690,,                325414,              1115276,              1115276,,,,,,,,                 69902,              1185178,,              1019826,                 95450,,              1052223,                132955,,                             13.64,                             13.64,,                             13.64,                             13.64,,,,,                 71440,                    815,,                  4282,                  6635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年01月01日至2013年09月30日,,             11041405,,              5161974,              5879431,              5879431,,,              3979743,,                681580,,                 11753,              4673076,              1206355,,,                 55985,,                -16585,,,,                -16657,                 22743,              1229098,,                275593,                953505,                953505,,,,,,,,                 47987,              1001492,,                872304,                 81201,,                894268,                107224,,                             11.33,                             11.33,,                             11.33,                             11.33,,,,,                 50204,,,                  2281,                  4498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年01月01日至2013年06月30日,,              7038733,,              3241836,              3796897,              3796897,,,              2487779,,                478639,,                  7408,              2973826,                823071,,,                 32467,,                 -6062,,,,                -10945,                 15460,                838531,,                187839,                650692,                650692,,,,,,,,                 59825,                710517,,                603258,                 47434,,                630648,                 79869,,                              7.84,                              7.84,,                              7.83,                              7.83,,,,,                 62680,,,                  2755,                  5610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2013年01月01日至2013年03月31日,,              3455467,,              1571884,              1883583,              1883583,,,              1232789,,                224265,,                  3659,              1460713,                422870,,,                 15063,,                   -828,,,,                 -5519,                  8716,                431586,,                 84292,                347294,                347294,,,,,,,,                 39617,                386911,,                318664,                 28630,,                336799,                 50112,,                              4.26,                              4.26,,                              4.26,                              4.26,,,,,                 41437,,,                  1894,                  3714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2012年07月01日至2012年09月30日,,              3349947,,              1561030,              1788917,              1788917,,,              1156896,,                195171,,                  2637,              1354704,                434213,,,                 22156,,                 -2703,,,,                              0,                 19453,                453666,,                 92769,                360897,                360897,,,,,,,,                 -7484,                353413,,                314501,                 46396,,                311104,                 42309,,                              4.21,                              4.21,,                              4.21,                              4.21,,,,,                 -8180,,,                              0,                   -696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2012年04月01日至2012年06月30日,,              2904172,,              1357816,              1546356,              1546356,,,              1051774,,                168631,,                  1958,              1222363,                323993,,,                 15636,,                  3754,,,,                              0,                 19390,                343383,,                 75375,                268008,                268008,,,,,,,,                  3049,                271057,,                227489,                 40519,,                228872,                 42185,,                              3.04,                              3.04,,                              3.04,                              3.04,,,,,                  3333,,,                              0,                    284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2012年01月01日至2012年12月31日,,             12306021,,              5724167,              6581854,              6581854,,,              4406410,,                759781,,                  8756,              5174947,              1406907,,,                 71180,,                 -4281,,,,                 -1554,                 65345,              1472252,,                310825,              1161427,              1161427,,,,,,,,                -41175,              1120252,,              1024401,                137026,,                994477,                125775,,                             13.92,                             13.92,,                             13.91,                             13.91,,,,,                -21561,                -25160,,                   -582,                 -6128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2012年01月01日至2012年09月30日,,              9187994,,              4250181,              4937813,              4937813,,,              3270990,,                567126,,                  7157,              3845273,              1092540,,,                 50604,,                  5548,,,,                              0,                 56152,              1148692,,                236669,                912023,                912023,,,,,,,,                -22219,                889804,,                801808,                110215,,                791875,                 97929,,                             10.95,                             10.95,,                             10.95,                             10.95,,,,,                -24253,,,                              0,                 -2034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2012年01月01日至2012年06月30日,,              5838047,,              2689151,              3148896,              3148896,,,              2095336,,                390713,,                  4520,              2490569,                658327,,,                 28448,,                  8251,,,,                              0,                 36699,                695026,,                143900,                551126,                551126,,,,,,,,                -14735,                536391,,                487307,                 63819,,                480771,                 55620,,                              6.72,                              6.72,,                              6.72,                              6.72,,,,,                -16073,,,                              0,                 -1338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2727,2012年01月01日至2012年03月31日,,              2933875,,              1331335,              1602540,              1602540,,,              1043562,,                222082,,                  2562,              1268206,                334334,,,                 12812,,                  4497,,,,                              0,                 17309,                351643,,                 68525,                283118,                283118,,,,,,,,                -17784,                265334,,                259818,                 23300,,                251899,                 13435,,                              4.07,                              4.07,,                              4.07,                              4.07,,,,,                -19406,,,                              0,                 -1622,,,              2933875,              2933875,              2933875,,,              1331335,              1331335,              1331335,              1043562,                222082,                  2562,              1043562,                222082,                  2562,              1043562,                222082,                  2562,,                  6085,                  6085,                    143,                              0,                  6584,                  2038,                 -6535,                 78552,                -10027
