證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2363,2015年第3季,,                 53590,,                 34948,                 18642,                 18642,,,                  4819,,                 25086,,                 74613,                104518,                -85876,,,                179680,,                  2529,,                  6129,                188338,                102462,                102462,                102462,,,                  1374,               -709605,               -708231,               -708231,               -605769,,                102462,,               -605769,,                              0.17,,                              0.17,,,,,,,
2363,2015年第2季,,                 62445,,                 25968,                 36477,                 36477,,,                  4916,,                 22571,,                 67239,                 94726,                -58249,,,                  4251,,                   -264,,                -18405,                -14418,                -72667,                -72667,                -72667,,,                   -472,               -772682,               -773154,               -773154,               -845821,,                -72667,,               -845821,,                             -0.12,,                             -0.12,,,,,,,
2363,2015年01月01日至2015年09月30日,,                165678,,                 89914,                 75764,                 75764,,,                 12923,,                 65629,,                205872,                284424,               -208660,,,                190098,,                  2162,,                 -8852,                183408,                -25252,                -25252,                -25252,,,                    361,             -1245752,             -1245391,             -1245391,             -1270643,,                -25252,,             -1270643,,                             -0.04,,                             -0.04,,,,,,,
2363,2015年01月01日至2015年06月30日,,                112088,,                 54966,                 57122,                 57122,,,                  8104,,                 40543,,                131259,                179906,               -122784,,,                 10418,,                   -367,,                -14981,                 -4930,               -127714,               -127714,               -127714,,,                 -1013,               -536147,               -537160,               -537160,               -664874,,               -127714,,               -664874,,                             -0.21,,                             -0.21,,,,,,,
2363,2015年01月01日至2015年03月31日,,                 49643,,                 28998,                 20645,                 20645,,,                  3188,,                 17972,,                 64020,                 85180,                -64535,,,                  6167,,                   -103,,                  3424,                  9488,                -55047,                -55047,                -55047,,,                   -541,                236535,                235994,                235994,                180947,,                -55047,,                180947,,                             -0.09,,                             -0.09,                              0,                              0,,,,,
2363,2014年第3季,,                116223,,                 70391,                 45832,                 45832,,,                  7811,,                 23746,,                 68155,                 99712,                -53880,,,                163373,,                    817,,                -31744,                132446,                 78566,                 78566,                 78566,,,                    -37,               -741143,               -741180,               -741180,               -662614,,                 78566,,               -662614,,                              0.13,,                              0.13,,,,,,,
2363,2014年第2季,,                167407,,                115549,                 51858,                 51858,,,                 66285,,                 21445,,                 63631,                151361,                -99503,,,                  3933,,                100410,,                -37941,                 66402,                -33101,                -33101,                -33101,,,                   -411,                558193,                557782,                557782,                524681,,                -33101,,                524681,,                             -0.05,,                             -0.05,,,,,,,
2363,2014年度,,                432323,,                285159,                147164,                147164,,,                 85403,,                 90971,,                256962,                433336,               -286172,,,                183152,,                 98546,,               -110535,                171163,               -115009,               -117283,               -117283,,,,,,                719286,                602003,,               -117283,,                602003,,                             -0.19,,                             -0.19,                              0,                              0,,                  2274,                    236,                717645,                  1405
2363,2014年01月01日至2014年09月30日,,                361385,,                245739,                115646,                115646,,,                 79500,,                 67932,,                191201,                338633,               -222987,,,                171823,,                102029,,                -90673,                183179,                -39808,                -39808,                -39808,,,                   -291,                 39577,                 39286,                 39286,                   -522,,                -39808,,                   -522,,                             -0.06,,                             -0.06,,,,,,,
2363,2014年01月01日至2014年06月30日,,                245162,,                175348,                 69814,                 69814,,,                 71689,,                 44186,,                123046,                238921,               -169107,,,                  8450,,                101212,,                -58929,                 50733,               -118374,               -118374,               -118374,,,                   -254,                780720,                780466,                780466,                662092,,               -118374,,                662092,,                             -0.19,,                             -0.19,,,,,,,
