證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2314,2013年第2季,,              1941079,,              1739965,                201114,                201114,,,                 98585,,                 55635,,                202706,                356926,               -155812,,,                 63754,,                  1496,,                  8719,                 56531,                -99281,,                  9368,               -108649,               -108649,,,,,,                 37853,                -70796,,               -108350,                   -299,,                -70537,                   -259,,                             -0.27,                             -0.27,,,,                 45597,,                  7744
2314,2013年度,,              6807747,,              6266724,                541023,                541023,,,                368049,,                196749,,                822813,              1387611,               -846588,,,                 56017,,                -55164,,                 39250,                -38397,               -884985,,                 27571,               -912556,               -912556,,,,,,                 62322,               -850234,,               -912023,                   -533,,               -849823,                   -411,,                             -2.28,                             -2.28,,                             -2.28,                             -2.28,                 64900,                  8434,                 11012
2314,2013年07月01日至2013年09月30日,,              1707213,,              1576636,                130577,                130577,,,                 90458,,                 46834,,                202907,                340199,               -209622,,,                 30576,,                 -3329,,                 10120,                 17127,               -192495,,                  9704,               -202199,               -202199,,,,,,                -35106,               -237305,,               -202379,                    180,,               -237474,                    169,,                             -0.51,                             -0.51,,,,                -42294,,                 -7188
2314,2013年04月01日至2013年06月30日,,              1941079,,              1739965,                201114,                201114,,,                 98585,,                 55635,,                202706,                356926,               -155812,,,                 63754,,                  1496,,                  8719,                 56531,                -99281,,                  9368,               -108649,               -108649,,,,,,                 37853,                -70796,,               -108350,                   -299,,                -70537,                   -259,,                             -0.27,                             -0.27,,,,                 45597,,                  7744
2314,2013年01月01日至2013年12月31日,,              6807747,,              6266724,                541023,                541023,,,                368049,,                196749,,                822813,              1387611,               -846588,,,                 56017,,                -55164,,                 39250,                -38397,               -884985,,                 27571,               -912556,               -912556,,,,,,                 62322,               -850234,,               -912023,                   -533,,               -849823,                   -411,,                             -2.28,                             -2.28,,,,                 64900,                  8434,                 11012
2314,2013年01月01日至2013年09月30日,,              5111027,,              4678707,                432320,                432320,,,                272988,,                153711,,                617742,              1044441,               -612121,,,                102838,,                 -6321,,                 32110,                 64407,               -547714,,                 21049,               -568763,               -568763,,,,,,                 37122,               -531641,,               -568309,                   -454,,               -531280,                   -361,,                             -1.42,                             -1.42,,,,                 44706,,                  7584
2314,2013年01月01日至2013年06月30日,,              3403814,,              3102071,                301743,                301743,,,                182530,,                106877,,                414835,                704242,               -402499,,,                 72262,,                 -2992,,                 21990,                 47280,               -355219,,                 11345,               -366564,               -366564,,,,,,                 72228,               -294336,,               -365930,                   -634,,               -293806,                   -530,,                             -0.91,                             -0.91,,,,                 87000,,                 14772
2314,2013年01月01日至2013年03月31日,,              1462735,,              1362106,                100629,                100629,,,                 83945,,                 51242,,                212129,                347316,               -246687,,,                  8508,,                 -4488,,                 13271,                 -9251,               -255938,,                  1977,               -257915,               -257915,,,,,,                 34375,               -223540,,               -257580,                   -335,,               -223269,                   -271,,                             -0.64,                             -0.64,,,,                 41403,,                  7028
2314,2012年07月01日至2012年09月30日,,              1672780,,              1653243,                 19537,                 19537,,,                 89066,,                 73224,,                214896,                377186,               -357649,,,                 14786,,                 -7253,,                 18472,                -10939,               -368588,,                  2208,               -370796,               -370796,,,,,,                -30083,               -400879,,               -369614,                 -1182,,               -399651,                 -1228,,                             -1.37,                             -1.37,,,,                -36235,,                 -6152
2314,2012年04月01日至2012年06月30日,,              2248567,,              2055661,                192906,                192906,,,                132941,,                 57667,,                226412,                417020,               -224114,,,                  4645,,                -11430,,                 17478,                -24263,               -248377,,                  5047,               -253424,               -253424,,,,,,                 16143,               -237281,,               -252587,                   -837,,               -236466,                   -815,,                             -0.94,                             -0.94,,,,                 19444,,                  3301
2314,2012年01月01日至2012年12月31日,,              7561289,,              7044138,                517151,                517151,,,                412153,,                260056,,                895600,              1567809,             -1050658,,,                 51092,,                 15341,,                 64164,                  2269,             -1048389,,                -18908,             -1029481,             -1029481,,,,,,                -98331,             -1127812,,             -1027276,                 -2205,,             -1125469,                 -2343,,                             -3.38,                             -3.38,,,,                -74700,                -36307,                -12676
2314,2012年01月01日至2012年09月30日,,              5864043,,              5505746,                358297,                358297,,,                327822,,                202346,,                668627,              1198795,               -840498,,,                 33044,,                -24208,,                 51897,                -43061,               -883559,,                 14620,               -898179,               -898179,,,,,,                -52455,               -950634,,               -895749,                 -2430,,               -948074,                 -2560,,                             -3.32,                             -3.32,,,,                -63172,,                -10717
2314,2012年01月01日至2012年06月30日,,              4191263,,              3852503,                338760,                338760,,,                238756,,                129122,,                453731,                821609,               -482849,,,                 18258,,                -16955,,                 33425,                -32122,               -514971,,                 12412,               -527383,               -527383,,,,,,                -22372,               -549755,,               -526135,                 -1248,,               -548423,                 -1332,,                             -1.95,                             -1.95,,,,                -26937,,                 -4565
2314,2012年01月01日至2012年03月31日,,              1942696,,              1796842,                145854,                145854,,,                105815,,                 71455,,                227319,                404589,               -258735,,,                 13613,,                 -5525,,                 15947,                 -7859,               -266594,,                  7365,               -273959,               -273959,,,,,,                -38515,               -312474,,               -273548,                   -411,,               -311957,                   -517,,                             -1.01,                             -1.01,,,,                -46381,,                 -7866
