證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 租賃收入,　　　 租賃收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 租賃成本,　　　 租賃成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 其他綜合損益,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 共同控制下前手權益（淨利／損）,　　 與其他綜合損益組成部分相關之所得稅
1704,2014年01月01日至2014年03月31日,,,             11564713,,                 54914,             11619627,,,             11441758,,                 20740,             11462498,                157129,                157129,,,                388732,,                189074,,                 68529,                646335,               -489206,,,                207116,,                -19159,,                120133,,                 -4174,                 63650,               -425556,,                 31016,               -456572,               -456572,,,                350670,                 -3276,                 59613,                287781,                287781,               -168791,,               -229955,               -226617,,                 57546,               -226337,,                             -0.27,,                             -0.27,,,,,,,
1704,2013年第3季,,,             12141266,,                 53313,             12194579,,,             11776510,,                 21876,             11798386,                396193,                396193,,,                413316,,                159928,,                 74576,                647820,               -251627,,,                361478,,                 70147,,                119722,,                   -105,                311798,                 60171,,                134451,                -74280,                -74280,,,,,,,               -201683,               -275963,,                157249,               -231529,,                -44412,               -231551,,                              0.18,,                              0.18,               -248704,                  4815,                 42206,,,,
1704,2013年第2季,,,             12353245,,                 53694,             12406939,,,             11695594,,                 21017,             11716611,                690328,                690328,,,                374003,,                155903,,                 66714,                596620,                 93708,,,                270117,,               -664191,,                121311,,                    -99,               -515484,               -421776,,                238082,               -659858,               -659858,,,,,,,                136759,               -523099,,               -149697,               -510161,,                -12940,               -510159,,                             -0.18,,                              0.00,                151484,                 11043,                -25768,,,,
1704,2013年度,,,             49620764,,                218098,             49838862,,,             47692778,,                 91375,             47784153,              2054709,              2054709,,,              1645303,,                708556,,                310717,              2664576,               -609867,,,              1590272,,             -1516349,,                460284,,                 -2926,               -389287,               -999154,,                746400,             -1745554,             -1745554,,,,,,,                427320,             -1318234,,               -224887,             -1520667,,                203012,             -1521246,,                             -0.26,,,                485782,                 24122,                -82584,,,,
1704,2013年07月01日至2013年09月30日,,,             12141266,,                 53313,             12194579,,,             11776510,,                 21876,             11798386,                396193,                396193,,,                410774,,                159928,,                 74576,                645278,               -249085,,,                580400,,               -151317,,                119722,,                   -105,                309256,                 60171,,                134451,                -74280,                -74280,,,,,,,               -201683,               -275963,,                157249,               -231529,,                -44412,               -231551,,                              0.18,,                              0.18,               -248704,                  4815,                 42206,,,,
1704,2013年04月01日至2013年06月30日,,,             12353245,,                 53694,             12406939,,,             11695594,,                 21017,             11716611,                690328,                690328,,,                372822,,                155903,,                 66714,                595439,                 94889,,,                265530,,               -660785,,                121311,,                    -99,               -516665,               -421776,,                238082,               -659858,               -659858,,,,,,,                136759,               -523099,,               -149697,               -510161,,                -12940,               -510159,,                             -0.18,,                             -0.18,                151484,                 11043,,,,,                 25768
1704,2013年01月01日至2013年12月31日,,,             49620764,,                218098,             49838862,,,             47692778,,                 91375,             47784153,              2054709,              2054709,,,              1637584,,                708556,,                310717,              2656857,               -602148,,,              1590272,,             -1524068,,                460284,,                 -2926,               -397006,               -999154,,                746400,             -1745554,             -1745554,,,,,,,                427320,             -1318234,,               -224887,             -1520667,,                203012,             -1521246,,                             -0.26,,                             -0.26,                485782,                 24122,                -82584,                              0,                              0,                              0,
1704,2013年01月01日至2013年09月30日,,,             37291267,,                166059,             37457326,,,             35474196,,                 66237,             35540433,              1916893,              1916893,,,              1218368,,                491404,,                216824,              1926596,                 -9703,,,              1126171,,               -494178,,                343868,,                   -266,                287859,                278156,,                677711,               -399555,               -399555,,,,,,,                286402,               -113153,,                546576,               -946131,,                833695,               -946848,,                              0.64,,                              0.63,                322154,                 19125,                -54877,,,,
1704,2013年01月01日至2013年06月30日,,,             25150001,,                112746,             25262747,,,             23697686,,                 44361,             23742047,              1520700,              1520700,,,                805052,,                331476,,                142248,              1278776,                241924,,,                764693,,               -564325,,                224146,,                   -161,                -23939,                217985,,                543260,               -325275,               -325275,,,,,,,                488085,                162810,,                389327,               -714602,,                878107,               -715297,,                              0.46,,                              0.45,                570858,                 14310,                -97083,,,,
1704,2013年01月01日至2013年03月31日,,,             12796756,,                 59052,             12855808,,,             12002092,,                 23344,             12025436,                830372,                830372,,,                428686,,                175573,,                 75534,                679793,                150579,,,                494576,,                 97503,,                102835,,                    -62,                489182,                639761,,                305178,                334583,                334583,,,,,,,                351326,                685909,,                539024,               -204441,,                891047,               -205138,,                              0.63,,                              0.61,                419374,                  3267,                -71315,,,,
1704,2012年07月01日至2012年09月30日,,,             12638335,,                 53948,             12692283,,,             12258713,,                 24928,             12283641,                408642,                408642,,,                399228,,                163288,,                 74046,                636562,               -227920,,,                339071,,                -16235,,                105051,,                              0,                217785,                -10135,,                245563,               -255698,               -255698,,,,,,,               -261479,               -517177,,                127082,               -382780,,               -135624,               -381553,,                              0.16,,                              0.16,               -318085,                  2526,                 54080,,,,
1704,2012年04月01日至2012年06月30日,,,             11955057,,                 56181,             12011238,,,             11643328,,                 27688,             11671016,                340222,                340222,,,                345855,,                172956,,                 76083,                594894,               -254672,,,                216433,,                 74637,,                 92142,,                              0,                198928,                -55744,,                225897,               -281641,               -281641,,,,,,,                 91761,               -189880,,                 59003,               -340644,,                150778,               -340658,,                              0.07,,                              0.07,                133500,                -19042,,,,,                 22697
1704,2012年01月01日至2012年12月31日,,,             49541672,,                215685,             49757357,,,             47707282,,                104262,             47811544,              1945813,              1945813,,,              1542866,,                701351,,                305126,              2549343,               -603530,,,              1495401,,               -381168,,                393323,,                    -47,                720863,                117333,,              1096138,               -978805,               -978805,,,,,,,               -550934,             -1529739,,                610858,             -1589663,,                 59207,             -1588946,,                              0.75,,                              0.75,               -654518,                 -7665,                111249,                              0,                              0,                              0,
1704,2012年01月01日至2012年09月30日,,,             37104755,,                162485,             37267240,,,             35750033,,                 79717,             35829750,              1437490,              1437490,,,              1141084,,                490175,,                223567,              1854826,               -417336,,,                930340,,                125092,,                292581,,                              0,                762851,                345515,,                752607,               -407092,               -407092,,,,,,,               -451116,               -858208,,                592016,               -999108,,                139642,               -997850,,                              0.74,,                              0.74,               -533371,                 -8429,                 90684,,,,
1704,2012年01月01日至2012年06月30日,,,             24466420,,                108537,             24574957,,,             23491320,,                 54789,             23546109,              1028848,              1028848,,,                741856,,                326887,,                149521,              1218264,               -189416,,,                591269,,                141327,,                187530,,                              0,                545066,                355650,,                507044,               -151394,               -151394,,,,,,,               -189637,               -341031,,                464934,               -616328,,                275266,               -616297,,                              0.58,,                              0.58,               -215286,                -10955,,,,,                -36604
1704,2012年01月01日至2012年03月31日,,,             12511363,,                 52356,             12563719,,,             11847992,,                 27101,             11875093,                688626,                688626,,,                396001,,                153931,,                 73438,                623370,                 65256,,,                374836,,                 66690,,                 95388,,                              0,                346138,                411394,,                281147,                130247,                130247,,,,,,,               -281398,               -151151,,                405931,               -275684,,                124488,               -275639,,                              0.51,,                              0.51,               -348786,                  8087,                 59301,,,,
