證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 本期綜合損益總額,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
2712,2015年第3季,,                187654,,                101707,                 85947,                 85947,,,                  8320,,                 22857,                 31177,                 54770,,,                    552,,                   -109,,                    196,                    247,                 55017,,                  9350,                 45667,                 45667,                 45667,,                              0.43,                              0.43,,                              0.43,                              0.43,,,,,,,,,,,,
2712,2015年第2季,,                128082,,                 79992,                 48090,                 48090,,,                  7217,,                 21186,                 28403,                 19687,,,                    716,,                   -131,,                    124,                    461,                 20148,,                  3366,                 16782,                 16782,                 16782,,                              0.16,                              0.16,,                              0.16,                              0.16,,,                              0,                              0,,                              0,                              0,                              0,,,,
2712,2015年01月01日至2015年09月30日,,                438508,,                258806,                179702,                179702,,,                 22725,,                 66733,                 89458,                 90244,,,                  1697,,                   -351,,                    536,                    810,                 91054,,                 15418,                 75636,                 75636,                 75636,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,,,,,,,,,
2712,2015年01月01日至2015年06月30日,,                250854,,                157099,                 93755,                 93755,,,                 14405,,                 43876,                 58281,                 35474,,,                  1145,,                   -242,,                    340,                    563,                 36037,,                  6068,                 29969,                 29969,                 29969,,                              0.29,                              0.29,,                              0.29,                              0.29,,,                              0,                              0,,                              0,                              0,                              0,,,,
2712,2015年01月01日至2015年03月31日,,                122772,,                 77107,                 45665,                 45665,,,                  7188,,                 22690,                 29878,                 15787,,,                    429,,                   -111,,                    216,                    102,                 15889,,                  2702,                 13187,                 13187,                 13187,,                              0.13,                              0.13,,                              0.13,                              0.13,,,,,,,,,,,,
2712,2014年第3季,,                220329,,                114101,                106228,                106228,,,                 10036,,                 22457,                 32493,                 73735,,,                  1478,,                   -402,,                    584,                    492,                 74227,,                 12694,                 61533,                 61533,                 61533,,                              0.59,                              0.59,,                              0.59,                              0.59,,,,,,,,,,,,
2712,2014年第2季,,                138055,,                 81947,                 56108,                 56108,,,                  8402,,                 24515,                 32917,                 23191,,,                    920,,                   -148,,                  1006,                   -234,                 22957,,                  3007,                 19950,                 19950,                 19950,,                              0.19,                              0.19,,                              0.19,                              0.19,,,                              0,                              0,,                              0,                              0,                              0,,,,
2712,2014年度,,                603037,,                360936,                242101,                242101,,,                 34205,,                 90495,                124700,                117401,,,                  3727,,                   -740,,                  2879,                    108,                117509,,                 19243,                 98266,                 98266,                 98449,,                              0.94,                              0.94,,                              0.94,                              0.94,,,,,,,,                    183,                    220,                     37,,
2712,2014年01月01日至2014年09月30日,,                472209,,                275828,                196381,                196381,,,                 25785,,                 66915,                 92700,                103681,,,                  2883,,                   -617,,                  2568,                   -302,                103379,,                 16739,                 86640,                 86640,                 86640,,                              0.83,                              0.83,,                              0.82,                              0.82,,,,,,,,,,,,
2712,2014年01月01日至2014年06月30日,,                251880,,                161727,                 90153,                 90153,,,                 15749,,                 44458,                 60207,                 29946,,,                  1468,,                   -278,,                  1984,                   -794,                 29152,,                  4045,                 25107,                 25107,                 25107,,                              0.24,                              0.24,,                              0.24,                              0.24,,,                              0,                              0,,                              0,                              0,                              0,,,,
2712,2014年01月01日至2014年03月31日,,                113825,,                 79780,                 34045,                 34045,,,                  7347,,                 19943,                 27290,                  6755,,,                    548,,                   -130,,                    978,                   -560,                  6195,,                  1038,                  5157,                  5157,                  5157,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,
2712,2013年第3季,,                189646,,                100613,                 89033,                 89033,,,                  8449,,                 22681,                 31130,                 57903,,,                    560,,                   -142,,                  2501,                 -2083,                 55820,,                  6274,                 49546,                 49546,                 49546,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,,,,,,
2712,2013年第2季,,                115201,,                 74663,                 40538,                 40538,,,                  7988,,                 21043,                 29031,                 11507,,,                    734,,                   -169,,                  2848,                 -2283,                  9224,,                  1840,                  7384,                  7384,                  7384,,                              0.08,                              0.08,,,,,,,,,,,,,,,
2712,2013年度,,                519756,,                323152,                196604,                196604,,,                 30985,,                 83524,                114509,                 82095,,,                  5109,,                   -984,,                 10421,                 -6296,                 75799,,                 10621,                 65178,                 65178,                 65630,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,,                    452,                    544,                     92,,
2712,2013年07月01日至2013年09月30日,,                189646,,                100613,                 89033,                 89033,,,                  8449,,                 22681,                 31130,                 57903,,,                    568,,                   -150,,                  2501,                 -2083,                 55820,,                  6274,                 49546,                 49546,                 49546,,                              0.52,                              0.52,,                              0.52,                              0.52,,,,,,,,,,,,                              0
2712,2013年04月01日至2013年06月30日,,                115201,,                 74663,                 40538,                 40538,,,                  7988,,                 21043,                 29031,                 11507,,,                    734,,                   -169,,                  2848,                 -2283,                  9224,,                  1840,                  7384,                  7384,                  7384,,                              0.08,                              0.08,,,,,,,,,,,,,,,                              0
2712,2013年01月01日至2013年12月31日,,                519756,,                323152,                196604,                196604,,,                 30985,,                 83524,                114509,                 82095,,,                  5109,,                   -984,,                 10421,                 -6296,                 75799,,                 10621,                 65178,                 65178,                 65630,,                              0.68,                              0.68,,                              0.68,                              0.68,,,,,,,,                    452,                    544,                     92,,                              0
2712,2013年01月01日至2013年09月30日,,                397703,,                243049,                154654,                154654,,,                 22500,,                 64584,                 87084,                 67570,,,                  1738,,                   -405,,                  8408,                 -7075,                 60495,,                  8114,                 52381,                 52381,                 52381,,                              0.55,                              0.55,,                              0.55,                              0.55,,,,,,,,,,,,
2712,2013年01月01日至2013年06月30日,,                208057,,                142436,                 65621,                 65621,,,                 14051,,                 41903,                 55954,                  9667,,,                  1178,,                   -263,,                  5907,                 -4992,                  4675,,                  1840,                  2835,                  2835,                  2835,,                              0.03,                              0.03,,,,,,,,,,,,,,,
2712,2013年01月01日至2013年03月31日,,                 92856,,                 67773,                 25083,                 25083,,,                  6063,,                 20860,                 26923,                 -1840,,,                    444,,                    -94,,                  3059,                 -2709,                 -4549,,                              0,                 -4549,                 -4549,                 -4549,,                             -0.05,                             -0.05,,,,,,,,,,,,,,,
2712,2012年07月01日至2012年09月30日,,                169957,,                 95319,                 74638,                 74638,,,                  7773,,                 23991,                 31764,                 42874,,,                    520,,                   -230,,                  3827,                 -3653,                 39221,,                    -69,                 39290,                 39290,                 39290,,                              0.41,                              0.41,,                              0.41,                              0.41,,,,,,,,,,,,                   -116
