證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　 其他收益及費損淨額,　　 其他收益及費損淨額
3048,2015年第3季,,,             18690642,,                  1255,             18691897,,             18109758,                582139,                582139,,,                248760,,                114323,                363083,                219056,,,                  5153,,                  6542,                  3824,                  2718,,                 66693,,                  5199,                -53623,                165433,,                 28466,                136967,                136967,,,                158184,                 -5529,,                 -1266,                 27862,                123527,                123527,                260494,,                136610,                    357,,                260564,                    -70,,                              0.68,,                              0.66,,,,,,,,,,,,,,,
3048,2015年第2季,,,             17204812,,                  1999,             17206811,,             16649138,                557673,                557673,,,                262667,,                104744,                367411,                190262,,,                  6427,,                 -2251,                  3375,                 -5626,,                 64856,,                    626,                -63429,                126833,,                 23571,                103262,                103262,,,                -27991,                  5155,,                   -480,                 -1763,                -21553,                -21553,                 81709,,                103559,                   -297,,                 81895,                   -186,,                              0.57,,                              0.56,,             17204812,             17204812,,,,,,,,,,,,
3048,2015年01月01日至2015年09月30日,,,             52899331,,                  3835,             52903166,,             51191351,              1711815,              1711815,,,                778407,,                327345,              1105752,                606063,,,                 18679,,                 -1812,                  9555,                -11367,,                203134,,                 10334,               -185488,                420575,,                 75797,                344778,                344778,,,                104839,                  2895,,                 -2414,                 17823,                 87497,                 87497,                432275,,                345080,                   -302,,                432960,                   -685,,                              1.72,,                              1.66,,,,,,,,,,,,,,,
3048,2015年01月01日至2015年06月30日,,,             34208689,,                  2580,             34211269,,             33081593,              1129676,              1129676,,,                529647,,                213022,                742669,                387007,,,                 13526,,                 -8354,                  5731,                -14085,,                136441,,                  5135,               -131865,                255142,,                 47331,                207811,                207811,,,                -53345,                  8424,,                 -1148,                -10039,                -36030,                -36030,                171781,,                208470,                   -659,,                172396,                   -615,,                              1.16,,                              1.12,,             34208689,             34208689,,,,,,,,,,,,
3048,2015年01月01日至2015年03月31日,,,             17003877,,                    581,             17004458,,             16432455,                572003,                572003,,,                266980,,                108278,                375258,                196745,,,                  7099,,                 -6103,                  2356,                 -8459,,                 71585,,                  4509,                -68436,                128309,,                 23760,                104549,                104549,,,                -25354,                  3269,,                   -668,                 -8276,                -14477,                -14477,                 90072,,                104911,                   -362,,                 90501,                   -429,,                              0.59,,                              0.57,,,,,,,,,,,,,,,
3048,2014年第3季,,,             17203847,,                    739,             17204586,,             16582273,                622313,                622313,,,                273610,,                100406,                374016,                248297,,,                  4416,,                -10066,                 18903,                -28969,,                 48695,,                  2012,                -71236,                177061,,                 31149,                145912,                145912,,,                 46312,                 -4322,,                   -295,                  7566,                 34129,                 34129,                180041,,                146085,                   -173,,                180088,                    -47,,                              0.75,,                              0.71,,,,,,,,,,,,,,,
3048,2014年第2季,,,             13460490,,                    751,             13461241,,             12928866,                532375,                532375,,,                233521,,                113658,                347179,                185196,,,                  6108,,                    231,                  9885,                 -9654,,                 47225,,                  1566,                -49205,                135991,,                 23515,                112476,                112476,,,                -31414,                 -6739,,                   -111,                 -5190,                -33074,                -33074,                 79402,,                112017,                    459,,                 79074,                    328,,                              0.65,,                              0.65,,             13460490,             13460490,,,,,,,,,,,,
3048,2014年度,,,             61007176,,                  4857,             61012033,,             58780757,              2231276,              2231276,,,              1023479,,                401654,              1425133,                806143,,,                 24122,,,,                -75275,,                201382,,                  7418,               -245117,                561026,,                108435,                452591,                452591,,,,,,,,,                108114,                560705,,                453083,                   -492,,                560108,                    597,,                              2.61,,                              2.53,,,,                148096,                -13644,                 -2538,,                    582,                -24382,,,,,,
3048,2014年01月01日至2014年09月30日,,,             40920450,,                  2018,             40922468,,             39338890,              1583578,              1583578,,,                751108,,                287222,              1038330,                545248,,,                 15252,,                -14745,                 34265,                -49010,,                139921,,                  5238,               -168441,                376807,,                 65743,                311064,                311064,,,                 42852,                -15675,,                    922,                  6890,                 21209,                 21209,                332273,,                310877,                    187,,                331990,                    283,,                              1.61,,                              1.57,,,,,,,,,,,,,,,
3048,2014年01月01日至2014年06月30日,,,             23716603,,                  1279,             23717882,,             22756617,                961265,                961265,,,                477498,,                186816,                664314,                296951,,,                 10836,,                 -4679,                 15362,                -20041,,                 91226,,                  3226,                -97205,                199746,,                 34594,                165152,                165152,,,                 -3460,                -11353,,                  1217,                   -676,                -12920,                -12920,                152232,,                164792,                    360,,                151902,                    330,,                              0.95,,                              0.95,,             23716603,             23716603,,,,,,,,,,,,
