證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　 銷貨成本,　　　 銷貨成本合計
2497,2015年第3季,,                918528,,                697237,                221291,                221291,,,                 65504,,                 43995,,                 64878,                174377,                 46914,,,                  7865,,                 39691,,                  1476,,                  1281,                 47361,                 94275,,                 17870,                 76405,                 76405,,,                 17917,                              0,                  3046,                 14871,                 14871,                 91276,,                 76405,,                 91276,,                              0.64,,                              0.64,,,,,,,,,,
2497,2015年第2季,,                868988,,                653255,                215733,                215733,,,                 50138,,                 42165,,                 60362,                152665,                 63068,,,                  4216,,                  1425,,                    804,,                   -383,                  4454,                 67522,,                 25657,                 41865,                 41865,,,                -18279,                   -215,                 -3107,                -15387,                -15387,                 26478,,                 41865,,                 26478,,                              0.36,,                              0.36,,,,,,,,,,
2497,2015年01月01日至2015年09月30日,,              2654617,,              1945958,                708659,                708659,,,                179191,,                129583,,                186782,                495556,                213103,,,                 19936,,                 47552,,                  2823,,                   -547,                 64118,                277221,,                 63547,                213674,                213674,,,                 -5930,                 -1457,                 -1008,                 -6379,                 -6379,                207295,,                213674,,                207295,,                              1.80,,                              1.80,,,,,,,,,,
2497,2015年01月01日至2015年06月30日,,              1736089,,              1248721,                487368,                487368,,,                113687,,                 85588,,                121904,                321179,                166189,,,                 12071,,                  7861,,                  1347,,                 -1828,                 16757,                182946,,                 45677,                137269,                137269,,,                -23847,                 -1457,                 -4054,                -21250,                -21250,                116019,,                137269,,                116019,,                              1.16,,                              1.16,,,,,,,,,,
2497,2015年01月01日至2015年03月31日,,                867101,,                595466,                271635,                271635,,,                 63549,,                 43423,,                 61542,                168514,                103121,,,                  7855,,                  6436,,                    543,,                 -1445,                 12303,                115424,,                 20020,                 95404,                 95404,,,                 -5568,                 -1242,                   -947,                 -5863,                 -5863,                 89541,,                 95404,,                 89541,,                              0.80,,                              0.80,,                867101,,,,,,,,
2497,2014年第3季,,                847289,,                599020,                248269,                248269,,,                 49156,,                 38948,,                 57063,                145167,                103102,,,                 17623,,                 18399,,                    706,,                   -508,                 34808,                137910,,                 21962,                115948,                115948,,,                 16345,                              0,                  2778,                 13567,                 13567,                129515,,                115948,,                129515,,                              0.98,,                              0.98,,,,,,,,,,
2497,2014年第2季,,                840432,,                572188,                268244,                268244,,,                 46682,,                 32983,,                 58863,                138528,                129716,,,                 12579,,                 -8639,,                    549,,                   -991,                  2400,                132116,,                 32791,                 99325,                 99325,,,                -12884,                              0,                 -2190,                -10694,                -10694,                 88631,,                 99325,,                 88631,,                              0.84,,                              0.84,,,,,,,,,,
2497,2014年度,,              3590488,,              2457743,              1132745,              1132745,,,                178771,,                166786,,                232033,                577590,                555155,,,                 50343,,                 52809,,                  2235,,                 -2869,                 98048,                653203,,                116892,                536311,                536311,,,,,,,                 19584,                555895,,                536311,,                555895,,                              4.51,,                              4.51,,,                 23987,                  1457,                 -2147,                  3713,,,,
2497,2014年01月01日至2014年09月30日,,              2640072,,              1807580,                832492,                832492,,,                138822,,                118527,,                169135,                426484,                406008,,,                 39004,,                 15504,,                  1969,,                 -2363,                 50176,                456184,,                 99104,                357080,                357080,,,                  4009,                              0,                    681,                  3328,                  3328,                360408,,                357080,,                360408,,                              3.01,,                              3.01,,,,,,,,,,
2497,2014年01月01日至2014年06月30日,,              1792783,,              1208560,                584223,                584223,,,                 89666,,                 79579,,                112072,                281317,                302906,,,                 21381,,                 -2895,,                  1263,,                 -1855,                 15368,                318274,,                 77142,                241132,                241132,,,                -12336,                              0,                 -2097,                -10239,                -10239,                230893,,                241132,,                230893,,                              2.03,,                              2.03,,,,,,,,,,
