證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 確定福利計畫精算利益（損失）
3231,2013年第3季,,,            159887702,            159887702,,            151807253,              8080449,              8080449,,,              2358071,,                593166,,              3290935,              6242172,              1838277,,,                354231,,                 82814,,                479416,,                142786,                100415,              1938692,,,                470076,              1468616,              1468616,,,,,,,,,             -1107217,                361399,,              1470889,                 -2273,,                363040,                 -1641,,                              0.62,,                              0.62,                470076,               -796116,               -311035,,                -26088,                -26022,
3231,2013年第2季,,,            162950452,            162950452,,            156194333,              6756119,              6756119,,,              1457992,,                518962,,              3152355,              5129309,              1626810,,,                312547,,                713961,,                470345,,                 94440,                650603,              2277413,,,                534318,              1743095,              1743095,,,,,,,,,                126633,              1869728,,              1740405,                  2690,,              1867064,                  2664,,                              0.74,,                              0.66,                534318,                351301,               -269686,,                 37382,                 -7636,
3231,2013年度,,,            624009073,            624009073,,            593806022,             30203051,             30203051,,,              8956231,,              2193606,,             12967288,             24117125,              6085926,,,              1582941,,              1851417,,              2017697,,                412600,              1829261,              7915187,,,              2160459,              5754728,              5754728,,,,,,,,,              1134976,              6889704,,              5751341,                  3387,,              6886361,                  3343,,                              2.45,,                              2.34,              2160459,              1282078,               -246956,,                 85507,                -14347,
3231,2013年07月01日至2013年09月30日,,,            159887702,            159887702,,            151807253,              8080449,              8080449,,,              2358071,,                593166,,              3290935,              6242172,              1838277,,,                338449,,                 98596,,                479416,,                142786,                100415,              1938692,,,                470076,              1468616,              1468616,,,,,,,,,             -1107217,                361399,,              1470889,                 -2273,,                363040,                 -1641,,                              0.64,,                              0.63,,               -813014,               -320225,,,                -26022,
3231,2013年04月01日至2013年06月30日,,,            162950452,            162950452,,            156194333,              6756119,              6756119,,,              1457992,,                518962,,              3152355,              5129309,              1626810,,,                290578,,                735930,,                470345,,                 94440,                650603,              2277413,,,                534318,              1743095,              1743095,,,,,,,,,                126633,              1869728,,              1740405,                  2690,,              1867064,                  2664,,                              0.76,,                              0.68,,                365018,               -246021,,,                 -7636,
3231,2013年01月01日至2013年12月31日,,,            624009073,            624009073,,            593806022,             30203051,             30203051,,,              8956231,,              2193606,,             12967288,             24117125,              6085926,,,              1582941,,              1851417,,              2017697,,                412600,              1829261,              7915187,,,              2160459,              5754728,              5754728,,,,,,,,,              1134976,              6889704,,              5751341,                  3387,,              6886361,                  3343,,                              2.51,,                              2.40,              2160459,              1282078,               -246956,,                 85507,                -14347,                              0
3231,2013年01月01日至2013年09月30日,,,            481033815,            481033815,,            458139836,             22893979,             22893979,,,              6512175,,              1591529,,              9585644,             17689348,              5204631,,,              1010639,,              1240758,,              1427239,,                291601,              1115759,              6320390,,,              1493410,              4826980,              4826980,,,,,,,,,                427039,              5254019,,              4824851,                  2129,,              5251281,                  2738,,                              2.08,,                              2.00,              1493410,                776448,               -419649,,                 40049,                -30191,
3231,2013年01月01日至2013年06月30日,,,            321146113,            321146113,,            306332583,             14813530,             14813530,,,              4154104,,                998363,,              6294709,             11447176,              3366354,,,                656408,,              1157944,,                947823,,                148815,              1015344,              4381698,,,              1023334,              3358364,              3358364,,,,,,,,,              1534256,              4892620,,              3353962,                  4402,,              4888241,                  4379,,                              1.43,,                              1.36,              1023334,              1572564,               -108614,,                 66137,                 -4169,
3231,2013年01月01日至2013年03月31日,,,            158195661,            158195661,,            150138250,              8057411,              8057411,,,              2696112,,                479401,,              3142354,              6317867,              1739544,,,                343861,,                443983,,                477478,,                 54375,                364741,              2104285,,,                489016,              1615269,              1615269,,,,,,,,,              1407623,              3022892,,              1613557,                  1712,,              3021177,                  1715,,                              0.70,,                              0.70,                489016,              1221263,                161072,,                 28755,                  3467,
3231,2012年07月01日至2012年09月30日,,,            153283800,            153283800,,            145787968,              7495832,              7495832,,,              2081667,,                486043,,              3021561,              5589271,              1906561,,,                580648,,                -79352,,                476101,,                 69789,                 94984,              2001545,,,                473600,              1527945,              1527945,,,,,,,,,               -702094,                825851,,              1527945,                              0,,                825851,                              0,,                              0.67,,                              0.63,,               -800662,                 98983,,,                    415,
3231,2012年04月01日至2012年06月30日,,,            158941125,            158941125,,            151719424,              7221701,              7221701,,,              1834379,,                449387,,              2939429,              5223195,              1998506,,,                455263,,                848627,,                490794,,                 49170,                862266,              2860772,,,                786487,              2074285,              2074285,,,,,,,,,               -274479,              1799806,,              2074285,                              0,,              1799806,                              0,,                              0.91,,                              0.61,,                318643,               -602353,,,                 -9231,
3231,2012年01月01日至2012年12月31日,,,            657844636,            657844636,,            628045087,             29799549,             29799549,,,              7796165,,              1810803,,             11959210,             21566178,              8233371,,,              1744644,,              1408515,,              1857040,,                248619,              1544738,              9778109,,,              2528233,              7249876,              7249876,,,,,,,,,             -1901515,              5348361,,              7255380,                 -5504,,              5353865,                 -5504,,                              3.17,,                              2.71,              2528233,             -1793131,                -65345,,                -59401,                -16362,                              0
3231,2012年01月01日至2012年09月30日,,,            489124862,            489124862,,            466841582,             22283280,             22283280,,,              5892849,,              1356865,,              8858388,             16108102,              6175178,,,              1371537,,                822451,,              1376291,,                156434,                974131,              7149309,,,              1862626,              5286683,              5286683,,,,,,,,,             -1384520,              3902163,,              5286683,                              0,,              3902163,                              0,,                              2.31,,                              1.99,,             -1501107,                104097,,,                -12490,
3231,2012年01月01日至2012年06月30日,,,            335841062,            335841062,,            321053614,             14787448,             14787448,,,              3811182,,                870822,,              5836827,             10518831,              4268617,,,                790889,,                901803,,                900190,,                 86645,                879147,              5147764,,,              1389026,              3758738,              3758738,,,,,,,,,               -682426,              3076312,,              3758738,                              0,,              3076312,                              0,,                              1.64,,                              1.37,,               -700445,                  5114,,,                -12905,
3231,2012年01月01日至2012年03月31日,,,            176899937,            176899937,,            169334190,              7565747,              7565747,,,              1976803,,                421435,,              2897398,              5295636,              2270111,,,                335626,,                 53176,,                409396,,                 37475,                 16881,              2286992,,,                602539,              1684453,              1684453,,,,,,,,,               -407947,              1276506,,              1684453,                              0,,              1276506,                              0,,                              0.77,,                              0.76,,             -1019088,                607467,,,                 -3674,
