證券代號,年季,　 淨收益,　　 利息淨收益 ,　　　 利息收入,　　　 利息費用,　　　 利息淨收益,　　 利息以外淨收益,　　　 手續費及佣金淨收益,　　　　 手續費及佣金淨收益,　　　 保險業務淨收益,　　　　 保險業務淨收益,　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　　 透過損益按公允價值衡量之金融資產及負債利益,　　　　 透過損益按公允價值衡量之金融資產及負債損失,　　　　 透過損益按公允價值衡量之金融資產及負債損益,　　　 投資性不動產損益,　　　　 投資性不動產損益,　　　 備供出售金融資產之已實現損益,　　　　 備供出售金融資產之已實現利益,　　　　 備供出售金融資產之已實現損失,　　　　 備供出售金融資產之已實現損益,　　　 持有至到期日金融資產之已實現損益,　　　　 持有至到期日金融資產之已實現利益,　　　　 持有至到期日金融資產之已實現損失,　　　　 持有至到期日金融資產之已實現損益,　　　 兌換損益,　　　　 兌換利益,　　　　 兌換損失,　　　　 兌換損益,　　　 資產減損（損失）迴轉利益,　　　　 資產減損迴轉利益,　　　　 資產減損損失,　　　　 資產減損（損失）迴轉利益,　　　 採用權益法認列關聯企業及合資損益之份額,　　　　 採用權益法認列關聯企業及合資利益之份額,　　　　 採用權益法認列關聯企業及合資損失之份額,　　　　 採用權益法認列關聯企業及合資損益之份額合計,　　　 其他利息以外淨損益,　　　　 其他利息以外淨收益,　　　　 其他利息以外淨損失,　　　　 其他利息以外淨損益,　　　 利息以外淨收益,　　 淨收益,　 呆帳費用及保證責任準備提存,　　 呆帳費用及保證責任準備提存合計,　 保險負債準備淨變動,　　 保險負債準備淨變動合計,　 營業費用,　　 員工福利費用,　　 折舊及攤銷費用,　　 其他業務及管理費用,　　 營業費用合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅（費用）利益 ,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益,　　 不重分類至損益之項目（稅後）,　　　 不動產重估增值,　　　 指定為透過損益按公允價值衡量之金融負債其變動金額來自信用風險,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額（稅後）,　　 後續可能重分類至損益之項目（稅後）,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　　 採用權益法認列之關聯企業及合資其他綜合損益之份額－可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額（稅後）,　　 本期其他綜合損益,　 本期綜合損益總額,　 淨利（淨損）歸屬,　　 母公司業主,　　 非控制權益,　 綜合損益總額歸屬於,　　 母公司業主-綜合損益,　　 非控制股權,　 基本每股盈餘,　　 繼續營業單位稅後淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 繼續營業單位稅後淨利（淨損）-稀釋,　　 稀釋每股盈餘合計,　　　 確定福利計畫之再衡量數,　　　 其他可能重分類至損益之項目,　 繼續營業單位稅前損益,　　 國外營運機構財務報表換算之兌換差額 ,　　 備供出售金融資產未實現評價利益（損失） ,　　 現金流量避險中屬有效避險部分之避險工具利益（損失） ,　　 採用權益法認列之關聯企業及合資其他綜合損益之份額 ,　　 其他綜合損益－其他,　　 與其他綜合損益組成部分相關之所得稅 ,　　 本期其他綜合損益（稅後淨額）,　　　　 投資性不動產利益,　　　　 投資性不動產損失,　　　　 資產減損損失（迴轉利益）,　 停業單位損益,　　 停業單位損益合計
2882,2014年01月01日至2014年06月30日,,,             69385151,              7876937,             61508214,,,              2010321,,             61836595,,              2823483,,              2823483,,             21369289,,             19113714,                              0,             19113714,,                  2855,                              0,                  2855,,                              0,              4556926,             -4556926,,                              0,                  7123,                 -7123,,                 67339,                              0,                 67339,,              2944251,                              0,              2944251,            105603798,            167112012,,                442641,,            107057816,,             16854738,              1241133,              8233799,             26329670,             33281885,             -2732599,             30549286,             30549286,,,                902335,                              0,                              0,                -74726,                827609,,               -381471,             17359627,               -175288,                 20855,                269369,             17093092,             17920701,             48469987,,             30400664,                148622,,             48302687,                167300,,                              2.42,                              2.42,,                              2.42,                              2.42,,,,,,,,,,,,,,,
2882,2014年01月01日至2014年03月31日,,,             34420748,              3886466,             30534282,,,                222782,,             38105169,,                              0,             14947556,            -14947556,,              3116052,,             10912528,                              0,             10912528,,                  1282,                              0,                  1282,,             15441047,                              0,             15441047,,                              0,                  7123,                 -7123,,                 29826,                              0,                 29826,,              2294211,                              0,              2294211,             55168218,             85702500,,                 -7675,,             60276071,,              8364108,                625550,              3784905,             12774563,,               -306333,             12353208,             12353208,,,,,,,,,,,,,,,,             15250817,,             12285080,                 68128,,             15112594,                138223,,                              1.03,                              1.03,,                              1.03,                              1.03,,,             12659541,                286489,              1290362,                -75850,                  7053,                902335,                487220,              2897609,,,,,
2882,2013年第3季,,,             32384048,              3668405,             28715643,,,                275613,,             40227046,,             11569279,                              0,             11569279,,              1611896,,             14617555,                              0,             14617555,,                  1798,                              0,                  1798,,                              0,             11492907,            -11492907,,                              0,                              0,                              0,,                 38777,                              0,                 38777,,              2001518,                              0,              2001518,             58850575,             87566218,,                745086,,             61967556,,              7832511,                712686,              4520375,             13065572,,                  5516,             11793520,             11793520,,,,,,,,,,,,,,,,              3390111,,             11727920,                 65600,,              3400934,                -10823,,                              0.97,                              0.97,,                              0.97,                              0.97,,,             11788004,               -360960,             -7749552,               -198700,                -23784,                              0,                -70413,             -8403409,,,,,
2882,2013年第2季,,,             31500917,              3192954,             28307963,,,              1438806,,             41353151,,                              0,             10022957,            -10022957,,              5114270,,              7273878,                              0,              7273878,,                              0,                    888,                   -888,,              9737010,                              0,              9737010,,                              0,                              0,                              0,,                              0,                  7084,                 -7084,,              4456806,                              0,              4456806,             59342992,             87650955,,                451100,,             61707009,,              8443977,                715924,              3397243,             12557144,,             -2914112,             10021590,             10021590,,,,,,,,,,,,,,,,             -4401739,,              9990217,                 31373,,             -4451590,                 49851,,                              0.83,                              0.83,,                              0.80,                              0.80,,,             12935702,                199975,            -17415410,               -192511,                -32060,                              0,              3016677,            -14423329,,,,,
2882,2013年度,,,            128631189,             14073643,            114557546,,,                790862,,            213301740,,                              0,             28805639,            -28805639,,             15537918,,             34241006,                              0,             34241006,,                  3134,                              0,                  3134,,             35548670,                              0,             35548670,,                              0,                174671,               -174671,,                157038,                              0,                157038,,              6972108,                              0,              6972108,            277572166,            392129712,,              1484068,,            293569577,,             34297866,              2907416,             17071429,             54276711,,             -4778984,             38020372,             38020372,,,,,,,,,,,,,,,,             42390391,,             37816036,                204336,,             42083666,                306725,,                              3.12,                              3.12,,                              0.00,                              0.00,,,             42799356,                733397,             -6879955,               -714659,                -14204,             10805816,                439624,              4370019,,,,,
2882,2013年07月01日至2013年09月30日,,,             32616195,              3668405,             28947790,,,                275613,,             40320840,,             11569279,                              0,             11569279,,              1589761,,             14617555,                              0,             14617555,,                  1798,                              0,                  1798,,                              0,             11492907,            -11492907,,                              0,                              0,,,                 38777,                              0,                 38777,,              2040475,                              0,              2040475,             58961191,             87908981,,                750161,,             61967556,,              7832511,              1081378,              4513163,             13427052,,                 40429,             11804641,             11804641,,,,,,,,,,,,,,,,              3401232,,             11739041,                 65600,,              3412055,                -10823,,                              1.03,                              1.03,,                              1.03,                              1.03,,,             11764212,               -360960,             -7749552,               -198700,                -23784,,                -70413,             -8403409,              1589761,                              0,                              0,,                              0
2882,2013年04月01日至2013年06月30日,,,             31675126,              3384879,             28290247,,,              1712338,,             41361946,,                              0,             10022957,            -10022957,,              1516699,,              7273878,                              0,              7273878,,                              0,                    888,                   -888,,              9737010,                              0,              9737010,,,,,,                              0,                  7084,                 -7084,,              1088207,                              0,              1088207,             52659149,             80949396,,                449363,,             58498935,,              8443194,              1094388,              3369016,             12906598,,             -1184529,              7909971,              7909971,,,,,,,,,,,,,,,,             -6518565,,              7878598,                 31373,,             -6563209,                 44644,,                              0.74,                              0.74,,                              0.71,                              0.71,,,              9094500,                199975,            -17410739,               -192511,                -41937,,              3016676,            -14428536,              1516699,                              0,,,
2882,2013年01月01日至2013年12月31日,,,            128608655,             14073643,            114535012,,,                764649,,            213301740,,                              0,             28805639,            -28805639,,              6303080,,             34263540,                              0,             34263540,,                  3134,                              0,                  3134,,             35548670,                              0,             35548670,,                              0,                192262,,,                157038,                              0,                157038,,              6998320,                              0,              6998320,            268342270,            382877282,,              1487407,,            293569577,,             34297866,              4483291,             17068090,             55849247,,             -2950940,             29020111,             29020111,,,,,,,,,,,,,,,,             23382392,,             28815775,                204336,,             23075667,                306725,,                              2.50,                              2.50,,                              2.50,                              2.50,,,             31971051,                733397,             -6879955,               -714659,                -14204,,              1237702,             -5637719,              6303080,                              0,               -192262,,                              0
2882,2013年01月01日至2013年09月30日,,,             95781929,             10414234,             85367695,,,              2049059,,            126038888,,                              0,             18663915,            -18663915,,              8460600,,             26992864,                              0,             26992864,,                  1382,                              0,                  1382,,             22706989,                              0,             22706989,,                              0,                              0,                              0,,                 54988,                              0,                 54988,,              6605301,                              0,              6605301,            174246156,            259613851,,              1285244,,            187590369,,             24872615,              2127065,             10960212,             37959892,,             -3743820,             29034526,             29034526,,,,,,,,,,,,,,,,              6324637,,             28802302,                232224,,              6035223,                289414,,                              2.40,                              2.40,,                              2.40,                              2.40,,,             32778346,                371207,            -25197297,               -591128,                -33441,                              0,              2740770,            -22709889,,,,,
2882,2013年01月01日至2013年06月30日,,,             63397881,              6745829,             56652052,,,              1773446,,             85811842,,                              0,             30233194,            -30233194,,              6848704,,             12375309,                              0,             12375309,,                              0,                    416,                   -416,,             34199896,                              0,             34199896,,                              0,                              0,                              0,,                 16211,                              0,                 16211,,              4603783,                              0,              4603783,            115395581,            172047633,,                540158,,            125622813,,             17040104,              1414379,              6439837,             24894320,,             -3749336,             17241006,             17241006,,,,,,,,,,,,,,,,              2934526,,             17074382,                166624,,              2634289,                300237,,                              1.42,                              1.42,,                              1.42,                              1.42,,,             20990342,                732167,            -17447745,               -392428,                 -9657,                              0,              2811183,            -14306480,,,,,
2882,2013年01月01日至2013年03月31日,,,             31896964,              3552875,             28344089,,,                334640,,             44458691,,                              0,             20210237,            -20210237,,              1734434,,              5101431,                              0,              5101431,,                    472,                              0,                    472,,             24462886,                              0,             24462886,,                              0,                              0,                              0,,                 23295,                              0,                 23295,,                146977,                              0,                146977,             56052589,             84396678,,                 89058,,             63915804,,              8596127,                698455,              3042594,             12337176,,               -835224,              7219416,              7219416,,,,,,,,,,,,,,,,              7336265,,              7084165,                135251,,              7085879,                250386,,                              0.62,                              0.62,,                              0.62,                              0.62,,,              8054640,                532192,                -32335,               -199917,                 22403,                              0,               -205494,                116849,,,,,
2882,2012年07月01日至2012年09月30日,,,             32166289,              3331985,             28834304,,,                391180,,             41711607,,             13257665,                              0,             13257665,,              1485649,,             11467124,                              0,             11467124,,                              0,                    374,                   -374,,                              0,             16016713,            -16016713,,                              0,                 90300,,,                 25749,                              0,                 25749,,              3334095,                              0,              3334095,             55565682,             84399986,,                613174,,             61858640,,              8764660,              1037386,              5042862,             14844908,,                280030,              7363294,              7363294,,,,,,,,,,,,,,,,             24106554,,              7334151,                 29143,,             24154782,                -48228,,                              0.64,                              0.64,,                              0.64,                              0.64,,,              7083264,               -353566,             18239805,               -206863,                 -2936,,               -933180,             16743260,              1485649,                              0,                -90300,,                              0
2882,2012年04月01日至2012年06月30日,,,             30486068,              3328303,             27157765,,,              1382287,,             58934060,,                              0,             10271379,            -10271379,,              1457365,,              7162964,                              0,              7162964,,                              0,                    279,                   -279,,              8880489,                              0,              8880489,,,,,,                              0,                  4975,                 -4975,,                671435,                              0,                671435,             68211967,             95369732,,                231023,,             79322007,,              7660630,              1166817,              3409803,             12237250,,               -630725,              2948727,              2948727,,,,,,,,,,,,,,,,            -13561753,,              2961350,                -12623,,            -13612265,                 50512,,                              0.28,                              0.28,,                              0.28,                              0.28,,,              3579452,                200779,            -17467515,               -104993,                -30010,,                891259,            -16510480,              1457365,                              0,,,
2882,2012年01月01日至2012年12月31日,,,            126231055,             13504477,            112726578,,,              2207218,,            226883585,,             26982554,                              0,             26982554,,              6245091,,             28280425,                              0,             28280425,,                              0,                 19073,                -19073,,                              0,             34483636,            -34483636,,                              0,                225360,,,                              0,                 49589,                -49589,,              8554173,                              0,              8554173,            264375388,            377101966,,              3172861,,            306442777,,             32723638,              4448024,             14600127,             51771789,,                457390,             16171929,             16171929,,,,,,,,,,,,,,,,             34141430,,             16115633,                 56296,,             34178647,                -37217,,                              1.41,                              1.41,,                              1.41,                              1.41,,,             15714539,               -959568,             21002969,               -852519,                -24244,,             -1197137,             17969501,              6245091,                              0,               -225360,,                              0
2882,2012年01月01日至2012年09月30日,,,             93980193,             10166148,             83814045,,,              1979181,,            184127003,,             22676021,                              0,             22676021,,              4681139,,             23778536,                              0,             23778536,,                              0,                    820,                   -820,,                              0,             28582178,            -28582178,,                              0,                 90300,,,                 43477,                              0,                 43477,,              4710179,                              0,              4710179,            213322238,            297136283,,                884812,,            244390916,,             24114077,              3160620,             11671698,             38946395,,               -173317,             12740843,             12740843,,,,,,,,,,,,,,,,             33405029,,             12591502,                149341,,             33356371,                 48658,,                              1.10,                              1.10,,                              1.10,                              1.10,,,             12914160,               -834280,             22932050,               -623053,                -34126,,               -776405,             20664186,              4681139,                              0,                -90300,,                              0
2882,2012年01月01日至2012年06月30日,,,             61813904,              6834163,             54979741,,,              1588001,,            142415396,,              9418356,                              0,              9418356,,              3195490,,             12311412,                              0,             12311412,,                              0,                    446,                   -446,,                              0,             12565465,            -12565465,,,,,,                 17728,                              0,                 17728,,              1376084,                              0,              1376084,            157756556,            212736297,,                271638,,            182532276,,             15349417,              2123234,              6628836,             24101487,,               -453347,              5377549,              5377549,,,,,,,,,,,,,,,,              9298475,,              5257351,                120198,,              9201589,                 96886,,                              0.49,                              0.49,,                              0.49,                              0.49,,,              5830896,               -480714,              4692245,               -416190,                -31190,,                156775,              3920926,              3195490,                              0,,,
2882,2012年01月01日至2012年03月31日,,,             31327836,              3505860,             27821976,,,                205714,,             83481336,,             19689735,                              0,             19689735,,              1738125,,              5148448,                              0,              5148448,,                              0,                    167,                   -167,,                              0,             21445954,            -21445954,,,,,,                 22703,                              0,                 22703,,                704649,                              0,                704649,             89544589,            117366565,,                 40615,,            103210269,,              7688787,                956417,              3219033,             11864237,,                177378,              2428822,              2428822,,,,,,,,,,,,,,,,             22860228,,              2296001,                132821,,             22813854,                 46374,,                              0.23,                              0.23,,,,,,              2251444,               -681493,             22159760,               -311197,                 -1180,,               -734484,             20431406,              1738125,                              0,,,
