證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計
2323,2015年第3季,,              3154349,,              3147143,                  7206,                  7206,,,                221112,,                153232,,                 74520,                448864,               -441658,,,                 46056,,                -55033,,                 60284,                -69261,               -510919,,                 36945,               -547864,               -547864,,,                              0,                              0,,                196469,                -27910,,                  1180,                              0,                169739,                169739,               -378125,,               -542933,                 -4931,,               -365185,                -12940,,                             -0.26,                             -0.26,,,,,,,,,
2323,2015年第2季,,              3450865,,              3283865,                167000,                167000,,,                276931,,                130438,,                 82270,                489639,               -322639,,,                 40976,,                 28399,,                 62984,                  6391,               -316248,,                 22543,               -338791,               -338791,,,,,,               -167849,                 -9070,,                   -294,,               -177213,               -177213,               -516004,,               -338816,                     25,,               -517257,                  1253,,                             -0.16,                             -0.16,,,,,,,,,
2323,2015年01月01日至2015年09月30日,,             10095667,,              9836812,                258855,                258855,,,                736989,,                454051,,                237901,              1428941,             -1170086,,,                108275,,                -13532,,                189353,                -94610,             -1264696,,                 73868,             -1338564,             -1338564,,,                              0,                              0,,                -32189,                -30023,,                    577,                              0,                -61635,                -61635,             -1400199,,             -1334891,                 -3673,,             -1391022,                 -9177,,                             -0.64,                             -0.64,,,,,,,,,
2323,2015年01月01日至2015年06月30日,,              6941318,,              6689669,                251649,                251649,,,                515877,,                300819,,                163381,                980077,               -728428,,,                 62219,,                 41501,,                129069,                -25349,               -753777,,                 36923,               -790700,               -790700,,,,,,               -228658,                 -2113,,                   -603,,               -231374,               -231374,             -1022074,,               -791958,                  1258,,             -1025837,                  3763,,                             -0.38,                             -0.38,,,,,,,,,
2323,2015年01月01日至2015年03月31日,,              3490453,,              3405804,                 84649,                 84649,,,                238946,,                170381,,                 81111,                490438,               -405789,,,                 21243,,                 13102,,                 66085,                -31740,               -437529,,                 14380,               -451909,               -451909,,,,,,                -60809,                  6957,,                   -309,,                -54161,                -54161,               -506070,,               -453142,                  1233,,               -508580,                  2510,,                             -0.18,                             -0.18,,,,,,,,,
2323,2014年第3季,,              4026430,,              3934937,                 91493,                 91493,,,                263481,,                148917,,                 82593,                494991,               -403498,,,                 34749,,                 53589,,                 73249,                 15089,               -388409,,                 17040,               -405449,               -405449,,,                              0,                              0,,                167354,                134455,,                    779,                              0,                302588,                302588,               -102861,,               -402866,                 -2583,,                -98666,                 -4195,,                             -0.19,                             -0.19,,,,,,,,,
2323,2014年第2季,,              3963074,,              3848753,                114321,                114321,,,                261559,,                138077,,                 86543,                486179,               -371858,,,                 40311,,                -26880,,                 72573,                -59142,               -431000,,                 15514,               -446514,               -446514,,,,,,               -157814,                    201,,                    149,,               -157464,               -157464,               -603978,,               -439830,                 -6684,,               -599045,                 -4933,,                             -0.20,                             -0.20,,,,,,,,,
2323,2014年度,,             16136590,,             15723674,                412916,                412916,,,              1001258,,                629135,,                333108,              1963501,             -1550585,,,                157572,,                 43486,,                288343,                -87285,             -1637870,,                 91245,             -1729115,             -1729115,,,,,,,,,,,,                470429,             -1258686,,             -1726346,                 -2769,,             -1247838,                -10848,,                             -0.67,                             -0.67,                379919,                 98551,                -11300,,                  1370,                 -1889,,,
2323,2014年01月01日至2014年09月30日,,             11928626,,             11714338,                214288,                214288,,,                746752,,                463357,,                249214,              1459323,             -1245035,,,                 99957,,                 35858,,                217567,                -81752,             -1326787,,                 45603,             -1372390,             -1372390,,,                              0,                              0,,                161731,                121644,,                    376,                              0,                283751,                283751,             -1088639,,             -1359783,                -12607,,             -1071911,                -16728,,                             -0.63,                             -0.63,,,,,,,,,
2323,2014年01月01日至2014年06月30日,,              7902196,,              7779401,                122795,                122795,,,                483271,,                314440,,                166621,                964332,               -841537,,,                 65208,,                -17731,,                144318,                -96841,               -938378,,                 28563,               -966941,               -966941,,,,,,                 -5623,                -12811,,                   -403,,                -18837,                -18837,               -985778,,               -956917,                -10024,,               -973245,                -12533,,                             -0.43,                             -0.43,,,,,,,,,
