證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
6277,2015年第3季,,              1232499,,                523894,                708605,                708605,,,                249587,,                140296,,                 94828,                484711,                223894,,,                  6142,,                 14700,,                  3042,,                 10383,                 28183,                252077,,                 54656,                197421,                197421,,,                 47423,                 -1164,                              0,                 46259,                 46259,                243680,,                193516,                  3905,,                238295,                  5385,,                              1.62,,                              1.60,,,,,,,,,,
6277,2015年第2季,,              1176144,,                508794,                667350,                667350,,,                251922,,                149850,,                 92530,                494302,                173048,,,                  3695,,                  3181,,                  2725,,                  5541,                  9692,                182740,,                 43086,                139654,                139654,,,                  1012,                    238,                              0,                  1250,                  1250,                140904,,                136153,                  3501,,                138054,                  2850,,                              1.14,,                              1.12,,,,,,,,,,
6277,2015年01月01日至2015年09月30日,,              3585455,,              1487043,              2098412,              2098412,,,                743404,,                412396,,                289705,              1445505,                652907,,,                 14380,,                  7257,,                  8445,,                 22938,                 36130,                689037,,                154015,                535022,                535022,,,                  7073,                   -946,                              0,                  6127,                  6127,                541149,,                524044,                 10978,,                530362,                 10787,,                              4.39,,                              4.30,,,,,,,,,,
6277,2015年01月01日至2015年06月30日,,              2352956,,                963149,              1389807,              1389807,,,                493817,,                272100,,                194877,                960794,                429013,,,                  8238,,                 -7443,,                  5403,,                 12555,                  7947,                436960,,                 99359,                337601,                337601,,,                -40350,                    218,                              0,                -40132,                -40132,                297469,,                330528,                  7073,,                292067,                  5402,,                              2.77,,                              2.72,,,,,,,,,,
6277,2015年01月01日至2015年03月31日,,              1176812,,                454355,                722457,                722457,,,                241895,,                122250,,                102347,                466492,                255965,,,                  4543,,                -10624,,                  2678,,                  7014,                 -1745,                254220,,                 56273,                197947,                197947,,,                -41362,                    -20,                              0,                -41382,                -41382,                156565,,                194375,                  3572,,                154013,                  2552,,                              1.63,,                              1.60,,              1176812,,,,,,,,
6277,2014年第3季,,              1257424,,                504962,                752462,                752462,,,                246254,,                122286,,                100143,                468683,                283779,,,                  4651,,                    544,,                  3869,,                  7440,                  8766,                292545,,                 79812,                212733,                212733,,,                -10493,                     76,                              0,                -10417,                -10417,                202316,,                207391,                  5342,,                196745,                  5571,,                              1.74,,                              1.72,,,,,,,,,,
6277,2014年第2季,,              1191294,,                488745,                702549,                702549,,,                243740,,                113029,,                 94183,                450952,                251597,,,                 15104,,                  2093,,                  4113,,                  5642,                 18726,                270323,,                 80391,                189932,                189932,,,                -12525,                    868,                              0,                -11657,                -11657,                178275,,                185849,                  4083,,                174241,                  4034,,                              1.56,,                              1.53,,,,,,,,,,
6277,2014年度,,              4897935,,              2020095,              2877840,              2877840,,,                989198,,                486164,,                389545,              1864907,              1012933,,,                 43831,,                -13642,,                 15248,,                 24916,                 39857,              1052790,,                276158,                776632,                776632,,,,,,,                  5872,                782504,,                760474,                 16158,,                764474,                 18030,,                              6.37,,                              6.24,,,                  8282,                  1159,                 -4317,                   -748,,,,
6277,2014年01月01日至2014年09月30日,,              3577656,,              1459518,              2118138,              2118138,,,                725108,,                350328,,                294986,              1370422,                747716,,,                 23163,,                 12651,,                 11850,,                 17746,                 41710,                789426,,                213806,                575620,                575620,,,                 -9647,                  1084,                              0,                 -8563,                 -8563,                567057,,                563988,                 11632,,                555019,                 12038,,                              4.72,,                              4.63,,,,,,,,,,
6277,2014年01月01日至2014年06月30日,,              2320232,,                954556,              1365676,              1365676,,,                478854,,                228042,,                194843,                901739,                463937,,,                 18512,,                 12107,,                  7981,,                 10306,                 32944,                496881,,                133994,                362887,                362887,,,                    846,                  1008,                              0,                  1854,                  1854,                364741,,                356597,                  6290,,                358274,                  6467,,                              2.98,,                              2.93,,,,,,,,,,
