證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位稅後損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 其他收入－其他
1210,2015年第3季,,             19927554,,             17556210,              2371344,              2371344,,,              1314978,,                460067,,                 25888,              1800933,                570411,,,                 11547,,                -41457,,                 37835,,                -19709,                -87454,                482957,,                 92235,                390722,,                              0,                              0,                390722,,,                371426,                -60775,                310651,                310651,                701373,,                342964,                 47758,,                491064,                210309,,                              0.50,,                              0.50,,,,,
1210,2015年第2季,,             18716305,,             16757103,              1959202,              1959202,,,              1158512,,                523798,,                 27231,              1709541,                249661,,,                  7544,,                 86677,,                 53662,,                -38799,                  1760,                251421,,                108057,                143364,,                 -3952,                 -3952,                139412,,,               -173805,               -218878,               -392683,               -392683,               -253271,,                 97708,                 41704,,               -209748,                -43523,,                              0.14,,                              0.14,,,,,
1210,2015年01月01日至2015年09月30日,,             58723159,,             52525419,              6197740,              6197740,,,              3555586,,              1530364,,                 78987,              5164937,              1032803,,,                 22817,,                 98502,,                150333,,                -86338,               -115352,                917451,,                293673,                623778,,                 -3952,                 -3952,                619826,,,                -22213,                 26812,                  4599,                  4599,                624425,,                598910,                 20916,,                626088,                 -1663,,                              0.88,,                              0.88,,,,,
1210,2015年01月01日至2015年06月30日,,             38795605,,             34969209,              3826396,              3826396,,,              2240608,,              1070297,,                 53099,              3364004,                462392,,,                 11270,,                139959,,                112498,,                -66629,                -27898,                434494,,                201438,                233056,,                 -3952,                 -3952,                229104,,,               -393639,                 87587,               -306052,               -306052,                -76948,,                255946,                -26842,,                135024,               -211972,,                              0.37,,                              0.37,,,,,
1210,2015年01月01日至2015年03月31日,,             20079300,,             18212106,              1867194,              1867194,,,              1082096,,                546499,,                 25868,              1654463,                212731,,,                  3726,,                 53282,,                 58836,,                -27830,                -29658,                183073,,                 93381,                 89692,,,,                 89692,,,               -219834,                306465,                 86631,                 86631,                176323,,                158238,                -68546,,                344772,               -168449,,                              0.23,,                              0.23,,,,,
1210,2014年第3季,,             23067717,,             21127301,              1940416,              1940416,,,              1086848,,                612704,,                 29350,              1728902,                211514,,,                  3829,,                445551,,                 54266,,                  4021,                399135,                610649,,                 68308,                542341,,                              0,                              0,                542341,,,                265898,               -268333,                 -2435,                 -2435,                539906,,                496109,                 46232,,                382692,                157214,,                              0.73,,                              0.73,,,,,
1210,2014年第2季,,             22672001,,             20582559,              2089442,              2089442,,,              1138407,,                483866,,                 25619,              1647892,                441550,,,                  5127,,                 95150,,                 65281,,                 -3716,                 31280,                472830,,                 89413,                383417,,                              0,                              0,                383417,,,               -218621,                325584,                106963,                106963,                490380,,                314063,                 69354,,                540866,                -50486,,                              0.46,,                              0.46,,,,,
1210,2014年度,,             91740920,,             83742961,              7997959,              7997959,,,              4562967,,              2161475,,                124847,              6849289,              1148670,,,                 23448,,                556155,,                232384,,                 -4096,                343123,              1491793,,                492216,                999577,,,,                999577,,,,,,                841949,              1841526,,              1162573,               -162996,,              1687619,                153907,,                              1.70,,                              1.70,                699978,                145893,                 -4055,                   -133,
1210,2014年01月01日至2014年09月30日,,             67482423,,             61289405,              6193018,              6193018,,,              3321565,,              1713620,,                 79011,              5114196,              1078822,,,                 13187,,                643625,,                180588,,                  1778,                478002,              1556824,,                263655,              1293169,,                              0,                              0,              1293169,,,                202942,                174532,                377474,                377474,              1670643,,              1167119,                126050,,              1452225,                218418,,                              1.71,,                              1.71,,,,,
1210,2014年01月01日至2014年06月30日,,             44414706,,             40162104,              4252602,              4252602,,,              2234717,,              1100916,,                 49661,              3385294,                867308,,,                  9358,,                198074,,                126322,,                 -2243,                 78867,                946175,,                195347,                750828,,                              0,                              0,                750828,,,                -62956,                442865,                379909,                379909,              1130737,,                671010,                 79818,,              1069533,                 61204,,                              0.98,,                              0.98,,,,,
1210,2014年01月01日至2014年03月31日,,             21742705,,             19579545,              2163160,              2163160,,,              1096310,,                617050,,                 24042,              1737402,                425758,,,                  4231,,                102924,,                 61041,,                  1473,                 47587,                473345,,                105934,                367411,,,,                367411,,,                155665,                117281,                272946,                272946,                640357,,                356947,                 10464,,                528667,                111690,,                              0.52,,                              0.52,,,,,
1210,2013年第3季,,             22984709,,             20908851,              2075858,              2075858,,,              1094128,,                586775,,                 11301,              1692204,                383654,,,                 28648,,                156339,,                 66072,,                 -1471,                117444,                501098,,                 78012,                423086,,,,                423086,,,,,,               -150595,                272491,,                331903,                 91183,,                242494,                 29997,,                              0.63,,                              0.63,               -163684,                 13089,,,
1210,2013年第2季,,             21257781,,             19646474,              1611307,              1611307,,,              1123805,,                561133,,                 27422,              1712360,               -101053,,,                  5097,,                101280,,                 39842,,                 28504,                 95039,                 -6014,,                 58157,                -64171,,,,                -64171,,,,,,                328277,                264106,,                 40483,               -104654,,                229246,                 34860,,                              0.08,,                              0.08,                225742,                102535,,,
1210,2013年度,,             90478017,,             82822769,              7655248,              7655248,,,              4554544,,              2161233,,                 99166,              6814943,                840305,,,                 30433,,              1872996,,                202858,,                 52462,              1753033,              2593338,,                336698,              2256640,,,,              2256640,,,,,,                394395,              2651035,,              1795696,                460944,,              1948551,                702484,,                              2.63,,                              2.62,                496237,               -113931,                 12994,                    905,
1210,2013年07月01日至2013年09月30日,,             22984709,,             20908851,              2075858,              2075858,,,              1094128,,                586775,,                 11301,              1692204,                383654,,,                 28648,,                156339,,                 66072,,                 -1471,                117444,                501098,,                 78012,                423086,,,,                423086,,,,,,               -150595,                272491,,                331903,                 91183,,                242494,                 29997,,                              0.63,,                              0.63,               -163684,                 13089,,,                 28648
