證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　　 銀行存款利息
3046,2015年第3季,,                432703,,                324080,                108623,                108623,,,                 68258,,                 41227,,                 31673,                141158,                -32535,,,,                  1193,                 24068,                 25261,,                  4118,,                  1327,                 28052,                 -4483,,                  7208,                -11691,                -11691,,,                 -3050,                 14138,                              0,                 11088,                 11088,                   -603,,                -12984,                  1293,,                 -1850,                  1247,,                             -0.11,,                             -0.11,,,,,
3046,2015年第2季,,                325447,,                250800,                 74647,                 74647,,,                 62665,,                 43830,,                 35317,                141812,                -67165,,,,                  1504,                              0,                  1504,,                  1867,,                  1211,                  2160,                -65005,,                  4237,                -69242,                -69242,,,                 -3892,                -44996,,                -48888,                -48888,               -118130,,                -68698,                   -544,,               -117578,                   -552,,                             -0.60,,                             -0.60,,,,,
3046,2015年01月01日至2015年09月30日,,              1093754,,                828262,                265492,                265492,,,                198626,,                129135,,                 95802,                423563,               -158071,,,,                  4237,                 24068,                 28305,,                  6132,,                  3706,                 30731,               -127340,,                 17700,               -145040,               -145040,,,                 -3515,                -11795,                              0,                -15310,                -15310,               -160350,,               -145961,                    921,,               -161052,                    702,,                             -1.27,,                             -1.27,,,,,
3046,2015年01月01日至2015年06月30日,,                661051,,                504182,                156869,                156869,,,                130368,,                 87908,,                 64129,                282405,               -125536,,,,                  3044,                              0,                  3044,,                  2014,,                  2379,                  2679,               -122857,,                 10492,               -133349,               -133349,,,                   -465,                -25933,,                -26398,                -26398,               -159747,,               -132977,                   -372,,               -159202,                   -545,,                             -1.16,,                             -1.16,,,,,
3046,2015年01月01日至2015年03月31日,,                335604,,                253382,                 82222,                 82222,,,                 67703,,                 44078,,                 28812,                140593,                -58371,,,,                  1540,                              0,                  1540,,                    147,,                  1168,                    519,                -57852,,                  6255,                -64107,                -64107,,,                  3427,                 19063,                              0,                 22490,                 22490,                -41617,,                -64279,                    172,,                -41624,                      7,,                             -0.56,,                             -0.56,,,,,
3046,2014年第3季,,                270339,,                221883,                 48456,                 48456,,,                 66437,,                 46528,,                 32970,                145935,                -97479,,,,                  2253,                 17191,                 19444,,                  3477,,                  1153,                 21768,                -75711,,                  9779,                -85490,                -85490,,,                  8046,                 92421,                              0,                100467,                100467,                 14977,,                -85705,                    215,,                 14869,                    108,,                             -0.75,,                             -0.75,,,,,
3046,2014年第2季,,                228455,,                169938,                 58517,                 58517,,,                 69409,,                 48266,,                 30811,                148486,                -89969,,,,                  2498,                  1597,                  4095,,                   -573,,                  1153,                  2369,                -87600,,                  2438,                -90038,                -90038,,,                 -1837,                 11913,,                 10076,                 10076,                -79962,,                -90678,                    640,,                -80597,                    635,,                             -0.79,,                             -0.79,,,,,
3046,2014年度,,              1133857,,                864631,                269226,                269226,,,                267653,,                188364,,                123157,                579174,               -309948,,,,                  9362,                 18788,                 28150,,                 13179,,                  4425,                 36904,               -273044,,                 43708,               -316752,               -316752,,,,,,,                141048,               -175704,,               -317647,                    895,,               -176509,                    805,,                             -2.76,,                             -2.76,                  3114,                138416,                   -565,                    -83,
3046,2014年01月01日至2014年09月30日,,                780388,,                584752,                195636,                195636,,,                203360,,                142112,,                 96613,                442085,               -246449,,,,                  7417,                 18788,                 26205,,                 11693,,                  3281,                 34617,               -211832,,                 12148,               -223980,               -223980,,,                  1480,                 94381,                              0,                 95861,                 95861,               -128119,,               -224794,                    814,,               -128884,                    765,,                             -1.96,,                             -1.96,,,,,
3046,2014年01月01日至2014年06月30日,,                510049,,                362869,                147180,                147180,,,                136923,,                 95584,,                 63643,                296150,               -148970,,,,                  5164,                  1597,                  6761,,                  8216,,                  2128,                 12849,               -136121,,                  2369,               -138490,               -138490,,,                 -6566,                  1960,,                 -4606,                 -4606,               -143096,,               -139089,                    599,,               -143753,                    657,,                             -1.21,,                             -1.21,,,,,
