證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2613,2015年第3季,,                635340,,                605289,                 30051,                 30051,,,                 16046,,                 13630,                 29676,                    375,,,                  1811,,                 -9444,,                  6798,                -14431,                -14056,,                 -4371,                 -9685,                 -9685,,,                   -945,                   -945,                   -945,                -10630,,                 -9686,                      1,,                -10631,                      1,,                             -0.11,                             -0.11,,,
2613,2015年第2季,,                668777,,                607141,                 61636,                 61636,,,                 15181,,                 14015,                 29196,                 32440,,,                  1285,,                   -800,,                  5906,                 -5421,                 27019,,                  8330,                 18689,                 18689,,,                     73,                     73,                     73,                 18762,,                 18687,                      2,,                 18760,                      2,,                              0.24,                              0.24,,,
2613,2015年01月01日至2015年09月30日,,              1899604,,              1783706,                115898,                115898,,,                 45104,,                 40110,                 85214,                 30684,,,                  4160,,                -10181,,                 18570,                -24591,                  6093,,                  3671,                  2422,                  2422,,,                   -166,                   -166,                   -166,                  2256,,                  2418,                      4,,                  2252,                      4,,                              0.03,                              0.03,,,
2613,2015年01月01日至2015年06月30日,,              1264264,,              1178417,                 85847,                 85847,,,                 29058,,                 26480,                 55538,                 30309,,,                  2412,,                   -800,,                 11772,                -10160,                 20149,,                  8042,                 12107,                 12107,,,                    779,                    779,                    779,                 12886,,                 12104,                      3,,                 12883,                      3,,                              0.15,                              0.15,,,
2613,2015年01月01日至2015年03月31日,,                595487,,                571276,                 24211,                 24211,,,                 13877,,                 12465,                 26342,                 -2131,,,                  1127,,                              0,,                  5866,                 -4739,                 -6870,,                   -288,                 -6582,                 -6582,,,                    706,                    706,                    706,                 -5876,,                 -6583,                      1,,                 -5877,                      1,,                             -0.08,                             -0.08,,,
2613,2014年第3季,,                696314,,                618644,                 77670,                 77670,,,                 15819,,                 15333,                 31152,                 46518,,,                  3390,,                    289,,                  6078,                 -2399,                 44119,,                  6579,                 37540,                 37540,,,                 -1622,                 -1622,                 -1622,                 35918,,                 37539,                      1,,                 35917,                      1,,                              0.48,                              0.48,,,
2613,2014年第2季,,                680675,,                594737,                 85938,                 85938,,,                 14764,,                 14804,                 29568,                 56370,,,                  1617,,                   -185,,                  6068,                 -4636,                 51734,,                 10739,                 40995,                 40995,,,                    166,                    166,                    166,                 41161,,                 40994,                      1,,                 41160,                      1,,                              0.52,                              0.52,,,
2613,2014年第1季,,                622694,,                584222,                 38472,                 38472,,,                 14124,,                 11907,                 26031,                 12441,,,                  1257,,                    131,,                  5977,                 -4589,                  7852,,                  1734,                  6118,                  6118,,,,,                 -1379,                  4739,,                  6117,                      1,,                  4738,                      1,,                              0.08,                              0.08,                 -1379,,
2613,2014年度,,              2650056,,              2385700,                264356,                264356,,,                 58827,,                 58336,                117163,                147193,,,                 34275,,                -20307,,                 24171,                -10203,                136990,,                 24673,                112317,                112317,,,,,                -12372,                 99945,,                112311,                      6,,                 99941,                      4,,                              1.41,                              1.41,                 -3419,                -10787,                 -1834
2613,2014年01月01日至2014年09月30日,,              1999683,,              1797603,                202080,                202080,,,                 44707,,                 42044,                 86751,                115329,,,                  6003,,                    496,,                 18123,                -11624,                103705,,                 19052,                 84653,                 84653,,,                 -2835,                 -2835,                 -2835,                 81818,,                 84650,                      3,,                 81815,                      3,,                              1.08,                              1.08,,,
2613,2014年01月01日至2014年06月30日,,              1303369,,              1178959,                124410,                124410,,,                 28888,,                 26711,                 55599,                 68811,,,                  2874,,                    -54,,                 12045,                 -9225,                 59586,,                 12473,                 47113,                 47113,,,                 -1213,                 -1213,                 -1213,                 45900,,                 47111,                      2,,                 45898,                      2,,                              0.60,                              0.60,,,
2613,2014年01月01日至2014年03月31日,,                622694,,                584222,                 38472,                 38472,,,                 14124,,                 11907,                 26031,                 12441,,,                  1257,,                    131,,                  5977,                 -4589,                  7852,,                  1734,                  6118,                  6118,,,                 -1379,                 -1379,                 -1379,                  4739,,                  6117,                      1,,                  4738,                      1,,                              0.08,                              0.08,,,
2613,2013年第3季,,                634672,,                583577,                 51095,                 51095,,,                 15631,,                 12132,                 27763,                 23332,,,                    -95,,                    -53,,                  6283,                 -6431,                 16901,,                  1373,                 15528,                 15528,,,,,                    930,                 16458,,                 15528,                              0,,                 16458,                              0,,                              0.21,                              0.21,                    930,,
2613,2013年第2季,,                643139,,                581079,                 62060,                 62060,,,                 14011,,                 13704,                 27715,                 34345,,,                  3416,,                    -16,,                  6386,                 -2986,                 31359,,                  3799,                 27560,                 27560,,,,,                   -346,                 27214,,                 27559,                      1,,                 27213,                      1,,                              0.39,                              0.39,                   -346,,
2613,2013年第1季,,                608397,,                577157,                 31240,                 31240,,,                 14062,,                 10471,                 24533,                  6707,,,                  1330,,                              0,,                  6466,                 -5136,                  1571,,                    600,                    971,                    971,,,,,                    392,                  1363,,                    970,                      1,,                  1362,                      1,,                              0.01,                              0.01,                    392,,
2613,2013年度,,              2536888,,              2313683,                223205,                223205,,,                 59289,,                 52820,                112109,                111096,,,                  7187,,                   -183,,                 25330,                -18326,                 92770,,                 12321,                 80449,                 80449,,,,,                  1486,                 81935,,                 80446,                      3,,                 81930,                      5,,                              1.04,                              1.04,                    715,                    929,                    158
2613,2013年07月01日至2013年09月30日,,                634672,,                583577,                 51095,                 51095,,,                 15631,,                 12132,                 27763,                 23332,,,                    -95,,                    -53,,                  6283,                 -6431,                 16901,,                  1373,                 15528,                 15528,,,,,                    930,                 16458,,                 15528,                              0,,                 16458,                              0,,                              0.22,                              0.22,                    930,,
2613,2013年04月01日至2013年06月30日,,                643139,,                579421,                 63718,                 63718,,,                 14011,,                 13704,                 27715,                 36003,,,                  1758,,                    -16,,                  6386,                 -4644,                 31359,,                  3799,                 27560,                 27560,,,,,                   -346,                 27214,,                 27559,                      1,,                 27213,                      1,,                              0.39,                              0.39,                   -346,,
2613,2013年01月01日至2013年12月31日,,              2536888,,              2313683,                223205,                223205,,,                 59289,,                 52820,                112109,                111096,,,                  7187,,                   -183,,                 25330,                -18326,                 92770,,                 12321,                 80449,                 80449,,,,,                  1486,                 81935,,                 80446,                      3,,                 81930,                      5,,                              1.09,                              1.09,                    715,                    929,                    158
2613,2013年01月01日至2013年09月30日,,              1886208,,              1741813,                144395,                144395,,,                 43704,,                 36307,                 80011,                 64384,,,                  4651,,                    -69,,                 19135,                -14553,                 49831,,                  5772,                 44059,                 44059,,,,,                    976,                 45035,,                 44057,                      2,,                 45033,                      2,,                              0.59,                              0.59,                    976,,
2613,2013年01月01日至2013年06月30日,,              1251536,,              1158236,                 93300,                 93300,,,                 28073,,                 24175,                 52248,                 41052,,,                  4746,,                    -16,,                 12852,                 -8122,                 32930,,                  4399,                 28531,                 28531,,,,,                     46,                 28577,,                 28529,                      2,,                 28575,                      2,,                              0.40,                              0.40,                     46,,
2613,2013年01月01日至2013年03月31日,,                608397,,                578815,                 29582,                 29582,,,                 14062,,                 10471,                 24533,                  5049,,,                  2988,,                              0,,                  6466,                 -3478,                  1571,,                    600,                    971,                    971,,,,,                    392,                  1363,,                    970,                      1,,                  1362,                      1,,                              0.01,                              0.01,                    392,,
2613,2012年07月01日至2012年09月30日,,                639222,,                586185,                 53037,                 53037,,,                 15263,,                 11647,                 26910,                 26127,,,                  2679,,                   -396,,                  6751,                 -4468,                 21659,,                  1472,                 20187,                 20187,,,,,                 -1693,                 18494,,                 20183,                      4,,                 18490,                      4,,                              0.28,                              0.28,                 -1693,,
2613,2012年04月01日至2012年06月30日,,                624454,,                574706,                 49748,                 49748,,,                 14560,,                 11046,                 25606,                 24142,,,                  3593,,                 -2776,,                  6790,                 -5973,                 18169,,                    377,                 17792,                 17792,,,,,                   -222,                 17570,,                 17789,                      3,,                 17567,                      3,,                              0.25,                              0.25,                   -222,,
2613,2012年01月01日至2012年12月31日,,              2469822,,              2291901,                177921,                177921,,,                 57788,,                 44974,                102762,                 75159,,,                  6741,,                   -227,,                 26930,                -20416,                 54743,,                  6755,                 47988,                 47988,,,,,                -17673,                 30315,,                 47986,                      2,,                 30314,                      1,,                              0.67,                              0.67,                    620,                -22040,                 -3747
2613,2012年01月01日至2012年09月30日,,              1836081,,              1721376,                114705,                114705,,,                 43682,,                 33590,                 77272,                 37433,,,                 10843,,                 -7123,,                 20317,                -16597,                 20836,,                  2334,                 18502,                 18502,,,,,                 -1804,                 16698,,                 18494,                      8,,                 16690,                      8,,                              0.26,                              0.26,                 -1804,,
2613,2012年01月01日至2012年06月30日,,              1196859,,              1135191,                 61668,                 61668,,,                 28419,,                 21943,                 50362,                 11306,,,                  8164,,                 -6727,,                 13566,                -12129,                   -823,,                    862,                 -1685,                 -1685,,,,,                   -111,                 -1796,,                 -1689,                      4,,                 -1800,                      4,,                             -0.02,                             -0.02,                   -111,,
2613,2012年01月01日至2012年03月31日,,                572405,,                560485,                 11920,                 11920,,,                 13859,,                 10897,                 24756,                -12836,,,                  4571,,                 -3951,,                  6776,                 -6156,                -18992,,                    485,                -19477,                -19477,,,,,                    111,                -19366,,                -19478,                      1,,                -19367,                      1,,                             -0.27,                             -0.27,                    111,,
