證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 什項支出,　　　 外幣兌換損失,　　　 減損損失,　　　　 減損損失合計,　　　 利息費用,　　　 租金收入
3031,2015年第3季,,                455775,,,                400996,                400996,                 54779,                 54779,,,                 11190,,                 79693,,                  8117,                 99000,                -44221,,,                 13876,,                 91929,,                    911,,                  1177,                 -1177,                103717,                 59496,,                 13866,                 45630,                 45630,,,,                  2042,                  2042,,                 -5064,                -19591,                -24655,                -22613,                 23017,,                 50624,                 -4994,,                 23647,                   -630,,                              0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2015年第2季,,                509088,,,                451774,                451774,                 57314,                 57314,,,                 13820,,                 60430,,                  7368,                 81618,                -24304,,,                  9121,,                -13131,,                    607,,,                 -2526,                 -7143,                -31447,,                  8427,                -39874,                -39874,,,,,,,                -10202,                 11413,                   -263,                   -263,                -40137,,                -22500,                -17374,,                -19210,                -20927,,                             -0.11,,                 -1474,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2015年01月01日至2015年09月30日,,              1545004,,,              1343067,              1343067,                201937,                201937,,,                 47017,,                209542,,                 22318,                278877,                -76940,,,                 31665,,                 89432,,                  2164,,                  3161,                 -3161,                115772,                 38832,,                 26566,                 12266,                 12266,,,,                 -1036,                 -1036,,                -20983,                 13125,                 -7858,                 -8894,                  3372,,                 50304,                -38038,,                 42835,                -39463,,                              0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2015年01月01日至2015年06月30日,,              1042641,,,                895483,                895483,                147158,                147158,,,                 35827,,                129849,,                 14201,                179877,                -32719,,,                 17789,,                 -2497,,                  1253,,,                 -1984,                 12055,                -20664,,                 12700,                -33364,                -33364,,,,,,,                -15919,                 32716,                 13719,                 13719,                -19645,,                   -320,                -33044,,                 19188,                -38833,,                              0.00,,                 -3078,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2015年01月01日至2015年03月31日,,                502152,,,                412308,                412308,                 89844,                 89844,,,                 52958,,                 38468,,                  6833,                 98259,                 -8415,,,                  8668,,                 10634,,                    646,,,                    542,                 19198,                 10783,,                  4273,                  6510,                  6510,,,,,,,                 -5717,                 21303,                 13982,                 13982,                 20492,,                 22180,                -15670,,                 38398,                -17906,,                              0.11,,                 -1604,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年第3季,,                695506,,,                585270,                585270,                110236,                110236,,,                 17511,,                 87192,,                  6163,                110866,                   -630,,,                  8640,,                 22885,,                    460,,                 -1873,                  1873,                 32938,                 32308,,                  9117,                 23191,                 23191,,,,                    994,                    994,,                  7072,                 -3042,                  4030,                  5024,                 28215,,                 43243,                -20052,,                 45904,                -17689,,                              0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年第2季,,                680456,,,                578711,                578711,                101745,                101745,,,                 16571,,                 84802,,                  6922,                108295,                 -6550,,,                  4385,,                 -9330,,                    526,,,                  7837,                  2366,                 -4184,,                  2842,                 -7026,                 -7026,,,,,,,                 -5257,                 -1522,                 -7786,                 -7786,                -14812,,                 11082,                -18108,,                  5033,                -19845,,                              0.06,,                 -1007,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年度,,              2451009,,,              2083523,              2083523,                367486,                367486,,,                 80998,,                331670,,                 27649,                440317,                -72831,,,                 84428,,                 38193,,                  5109,,                 -5792,                  5792,                123304,                 50473,,                 34514,                 15959,                 15959,,,,,,,,,,                 29764,                 45723,,                 90329,                -74370,,                116837,                -71114,,                              0.46,,,                 10358,                 18259,                 -2218,,                  2988,                   -377,,,,,,,,,,,,,,,,,,,,
3031,2014年01月01日至2014年09月30日,,              1937589,,,              1635193,              1635193,                302396,                302396,,,                 52360,,                260688,,                 18855,                331903,                -29507,,,                 27474,,                 21124,,                  1514,,                 -9374,                  9374,                 56458,                 26951,,                 14243,                 12708,                 12708,,,,                    473,                    473,,                  1072,                 16168,                 17240,                 17713,                 30421,,                 66353,                -53645,,                 83784,                -53363,,                              0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,2014年01月01日至2014年06月30日,,              1242083,,,              1049923,              1049923,                192160,                192160,,,                 34849,,                173496,,                 12692,                221037,                -28877,,,                 18834,,                 -1761,,                  1054,,,                  7501,                 23520,                 -5357,,                  5126,                -10483,                -10483,,,,,,,                 -6000,                 19210,                 12689,                 12689,                  2206,,                 23110,                -33593,,                 37880,                -35674,,                              0.12,,                   -521,,,,,,,,,,,,,,,,,,,,,,,,,,
