證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
8201,2014年01月01日至2014年03月31日,,                888293,,                725233,                163060,                    831,                    739,                162968,,,                 61366,,                 41317,,                 26573,                129256,                 33712,,,                 23138,,                -55389,,                  6048,,                 -4412,                -42711,                 -8999,,                  6544,                -15543,                -15543,,,,,,,                  6877,                 -5835,,                  1082,                  1353,                    771,                    771,                -14772,,                -15543,                              0,,                -14772,                              0,,                             -0.17,,,,,,
8201,2013年第2季,,                193214,,                167109,                 26105,                     51,                              0,                 26054,,,                 64989,,                 47336,,                 61469,                173794,               -147740,,,                 19298,,                 19343,,                  4144,,                 -4955,                 29542,               -118198,,                 16305,               -134503,               -134503,,,,,,,,,,,,,                 -6868,               -141371,,               -134503,                              0,,               -141371,                              0,,                             -1.51,                  6457,                -12180,,,                 -1145,
8201,2013年度,,              1799375,,              1439896,                359479,                    739,                    804,                359544,,,                295729,,                257707,,                199045,                752481,               -392937,,,                 82343,,                -95237,,                 18298,,                -26081,                -57273,               -450210,,                 46420,               -496630,               -496630,,,,,,,,,,,,,                 26401,               -470229,,               -496630,                              0,,               -470229,                              0,,                             -5.57,                 33534,                 -1417,                    307,,                   -356,                  5667
8201,2013年07月01日至2013年09月30日,,                411465,,                328689,                 82776,                    378,                              0,                 82398,,,                 70733,,                 77795,,                 40100,                188628,               -106230,,,                 23531,,                  4767,,                  5679,,                 -5259,                 17360,                -88870,,                  5200,                -94070,                -94070,,,,,,,,,,,,,                 -4084,                -98154,,                -94070,                              0,,                -98154,                              0,,                             -1.06,                -13136,                  9052,,,,                              0
8201,2013年04月01日至2013年06月30日,,                193214,,                167109,                 26105,                     51,                              0,                 26054,,,                 64989,,                 47336,,                 61469,                173794,               -147740,,,                 19298,,                 19343,,                  4144,,                 -4955,                 29542,               -118198,,                 16305,               -134503,               -134503,,,,,,,,,,,,,                 -6868,               -141371,,               -134503,                              0,,               -141371,                              0,,                             -1.51,                  5312,                -12180,,,,                              0
8201,2013年01月01日至2013年12月31日,,              1799375,,              1439896,                359479,                    739,                    804,                359544,,,                295729,,                257707,,                199045,                752481,               -392937,,,                 82343,,                -95237,,                 18298,,                -26081,                -57273,               -450210,,                 46420,               -496630,               -496630,,,,,,,,,,,,,                 26401,               -470229,,               -496630,                              0,,               -470229,                              0,,                             -5.57,                 27511,                 -1417,                    307,,,                              0
8201,2013年01月01日至2013年09月30日,,              1528414,,              1183668,                344746,                  1297,                    804,                344253,,,                226889,,                179639,,                151441,                557969,               -213716,,,                 58375,,                 41211,,                 12580,,                -15208,                 71798,               -141918,,                 29931,               -171849,               -171849,,,,,,,,,,,,,                 22013,               -149836,,               -171849,                              0,,               -149836,                              0,,                             -1.93,                 25141,                 -3128,,,,                              0
8201,2013年01月01日至2013年06月30日,,              1116949,,                854979,                261970,                    919,                    804,                261855,,,                156156,,                101844,,                111341,                369341,               -107486,,,                 34844,,                 36444,,                  6901,,                 -9949,                 54438,                -53048,,                 24731,                -77779,                -77779,,,,,,,,,,,,,                 26097,                -51682,,                -77779,                              0,,                -51682,                              0,,                             -0.87,                 38489,                -12180,,,                   -212,
8201,2013年01月01日至2013年03月31日,,                923735,,                687870,                235865,                    868,                    804,                235801,,,                 91167,,                 54508,,                 49872,                195547,                 40254,,,                 15546,,                 17101,,                  2757,,                 -4994,                 24896,                 65150,,                  8426,                 56724,                 56724,,,,,,,,,,,,,                 32965,                 89689,,                 56724,                              0,,                 89689,                              0,,                              0.64,                 32965,                              0,,,,
8201,2012年07月01日至2012年09月30日,,                331847,,                218522,                113325,                   -444,                              0,                113769,,,                 85215,,                 59908,,                 61130,                206253,                -92484,,,                 10363,,                  2499,,                  1611,,                 -3576,                  7675,                -84809,,                 -5369,                -79440,                -79440,,,,,,,,,,,,,                 -9022,                -88462,,                -79440,                              0,,                -88462,                              0,,                             -0.89,                -13833,                  4811,,,,                              0
8201,2012年04月01日至2012年06月30日,,                320872,,                221488,                 99384,                   -511,                              0,                 99895,,,                 81564,,                 62307,,                 67148,                211019,               -111124,,,                  8341,,                  9440,,                    818,,                   -286,                 16677,                -94447,,                   -832,                -93615,                -93615,,,,,,,,,,,,,                  7013,                -86602,,                -93615,                              0,,                -86602,                              0,,                             -1.05,                  5045,                  1968,,,,                              0
8201,2012年01月01日至2012年12月31日,,              1667639,,              1192264,                475375,                    804,                  1112,                475683,,,                343825,,                260499,,                270785,                875109,               -399426,,,                 32772,,                -66608,,                  4665,,                 -7942,                -46443,               -445869,,                 26758,               -472627,               -472627,,,,,,,,,,,,,                -47790,               -520417,,               -472627,                              0,,               -520417,                              0,,                             -5.30,                -31861,                  9221,                -25150,,,                              0
8201,2012年01月01日至2012年09月30日,,              1350036,,                936165,                413871,                  1521,                  1112,                413462,,,                263286,,                186807,,                201353,                651446,               -237984,,,                 24214,,                 17064,,                  2828,,                 -3293,                 35157,               -202827,,                -12740,               -190087,               -190087,,,,,,,,,,,,,                -25328,               -215415,,               -190087,                              0,,               -215415,                              0,,                             -2.13,                -32107,                  6779,,,,                              0
8201,2012年01月01日至2012年06月30日,,              1018189,,                717643,                300546,                  1965,                  1112,                299693,,,                178071,,                126899,,                140223,                445193,               -145500,,,                 13851,,                 14565,,                  1217,,                    283,                 27482,               -118018,,                 -7371,               -110647,               -110647,,,,,,,,,,,,,                -16306,               -126953,,               -110647,                              0,,               -126953,                              0,,                             -1.24,                -18274,                  1968,,,,                              0
8201,2012年01月01日至2012年03月31日,,                697317,,                496155,                201162,                  2476,                  1112,                199798,,,                 96507,,                 64592,,                 73075,                234174,                -34376,,,                  5510,,                  5125,,                    399,,                    569,                 10805,                -23571,,                 -6539,                -17032,                -17032,,,,,,,,,,,,,                -23319,                -40351,,                -17032,                              0,,                -40351,                              0,,                             -0.19,                -23319,,,,,
