證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 銷貨成本,　　　 銷貨成本合計,　 已實現銷貨（損）益,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 股利收入,　　　 其他收入－其他,　　　 外幣兌換利益,　　　 什項支出,　　　 處分投資損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 處分投資利益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 透過損益按公允價值衡量之金融資產（負債）利益
6116,2014年01月01日至2014年03月31日,,              5624902,,              3933050,              1691852,                   -581,              1692433,,,                182425,,                242213,,                251146,                675784,              1016649,,,                 49515,,                -17742,,                 20326,,                 48000,                 59447,              1076096,,                              0,              1076096,              1076096,,,                              0,,                              0,                              0,                              0,,                -26593,                195285,                -80089,,                 76743,,                165346,                165346,              1241442,,              1076096,,              1241442,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2013年第3季,,              8404612,,              5347731,              3056881,                 11730,              3045151,,,                224055,,                403513,,                296613,                924181,              2098272,,,                 68682,,                 17846,,                 27902,,                 34315,                 92941,              2191213,,                              0,              2191213,              2191213,,,,,,,,,,,,,,,,                -73478,              2117735,,              2191213,,              2117735,,                              0.67,                              0.67,,                              0.67,                              0.67,,                -22698,                -37720,                -89878,                 58114,,,                 -3994,,,,              8429005,                  4048,                 20345,              8404612,,              5347731,                              0,,                 31019,                              0,                  6679,                 30984,                              0,                 87217,                              0,                 16685,               -122277,,                    529,                    529,                 34315,                 -1436,                 -2558,,,,,
6116,2013年第2季,,              9172979,,              5764977,              3408002,                              0,              3408356,,,                370619,,                228295,,                294448,                893362,              2520683,,,                 77965,,               -199655,,                 44660,,                168168,                  1818,              2522501,,                              0,              2522501,              2522501,,,,,,,,,,,,,,,,                 55749,              2578250,,              2522501,,              2578250,,                              0.86,                              0.86,,                              0.86,                              0.86,,                  5689,                 64794,                    693,                -37948,,,                 28210,,,,              9218281,                 20063,                 25239,              9172979,,              5764977,                    354,,                 33605,,                              0,                 44360,                109090,                105608,                              0,                              0,                113989,,                 89148,                 89148,                168168,                  1324,                 26886,,,,,
6116,2013年度,,             31422076,,             22018517,              9403559,                 13328,              9390231,,,                761081,,              1272669,,              1138004,              3171754,              6218477,,,                361883,,               -335142,,                166075,,                 98284,                -41050,              6177427,,                    613,              6176814,              6176814,,,,,,,,,,,,,,,,                186362,              6363176,,              6176814,,              6363176,,                              1.87,                              1.87,,                              1.87,                              1.87,,,                170533,                 89639,               -100689,                  7399,,                 20738,                  1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6116,2013年07月01日至2013年09月30日,,              8404612,,              5347731,              3056881,                 11730,              3045151,,,                224055,,                403513,,                296613,                924181,              2098272,,,                 68682,,                 17846,,                 27902,,                 34315,                 92941,              2191213,,                              0,              2191213,              2191213,,,,,,,,,,,,,,,,                -73478,              2117735,,              2191213,,              2117735,,,                              0.75,,,,,                -22698,                -37720,                -89878,                 58114,,,                 -3994,,,,              8429005,                  4048,                 20345,              8404612,,              5347731,                              0,,                 31019,,                  6679,                 30984,                              0,                 87217,                              0,                 16685,                              0,,                    529,                    529,                 34315,                 -1436,                 -2558,                              0,,                              0,                              0,                122277
6116,2013年04月01日至2013年06月30日,,              9172979,,              5764977,              3408002,                              0,              3408356,,,                370619,,                228295,,                294448,                893362,              2520683,,,                 77965,,               -199655,,                 44660,,                168168,                  1818,              2522501,,                              0,              2522501,              2522501,,,,,,,,,,,,,,,,                 55749,              2578250,,              2522501,,              2578250,,,                              0.86,,,,,                  5689,                 64794,                    693,                -37948,,,                 28210,,,,              9218281,                 20063,                 25239,              9172979,,              5764977,                    354,,                 33605,,,                 44360,                109090,                105608,                              0,                              0,                113989,,                 89148,                 89148,,                  1324,                 26886,                              0,,                              0,                              0,
6116,2013年01月01日至2013年12月31日,,             31422076,,             22018517,              9403559,                 13328,              9390231,,,                761081,,              1272669,,              1138004,              3171754,              6196832,,,                361883,,               -313497,,                166075,,                 98284,                -19405,              6177427,,                    613,              6176814,              6176814,,,,,,,,,,,,,,,,                186362,              6363176,,              6176814,,              6363176,,                              2.11,                              2.11,,                              2.10,                              2.10,,                -21645,                170533,                 89639,               -100689,                  7399,,                 20738,                  1258,,,             31815692,                108501,                285115,             31422076,,             22018517,,,                152698,,                  7072,                202113,                341944,                335084,                    239,,                220406,,                 99712,                 99712,                 98284,                 -3068,                 22773,                              0,                  1033,                              0,                              0,
6116,2013年01月01日至2013年09月30日,,             25147394,,             16606868,              8540526,                 16436,              8524090,,,                635503,,              1044384,,                870318,              2550205,              5946582,,,                251742,,               -238789,,                141772,,                210564,                 81745,              6028327,,                              0,              6028327,              6028327,,,,,,,,,,,,,,,,                 87754,              6116081,,              6028327,,              6116081,,                              1.85,                              1.85,,                              1.84,                              1.84,,                -27303,                121005,                  8147,                -65514,,,                 24116,,,,             25309629,                 68773,                 93462,             25147394,,             16606868,                              0,,                117425,                              0,                  6679,                127638,                194129,                225389,                    239,                              0,                116291,,                 90999,                 90999,                210564,                    647,                 23469,,,,,
6116,2013年01月01日至2013年06月30日,,             16742782,,             11259137,              5483645,                  4706,              5478939,,,                539534,,                512785,,                573705,              1626024,              3848310,,,                183060,,               -256635,,                113870,,                176249,                -11196,              3837114,,                              0,              3837114,              3837114,,,,,,,,,,,,,,,,                161232,              3998346,,              3837114,,              3998346,,                              1.31,                              1.31,,                              1.31,                              1.31,,                 -4605,                158725,                 98025,               -123628,,,                 28110,,,,             16880624,                 64725,                 73117,             16742782,,             11259137,                              0,,                 86406,,                              0,                 96654,                210814,                138172,                    239,                              0,                238568,,                 90470,                 90470,                176249,                  2083,                 26027,,,,,
6116,2013年01月01日至2013年03月31日,,              7569803,,              5494160,              2075643,                  5060,              2070583,,,                168915,,                284490,,                279257,                732662,              1327627,,,                105095,,                -56980,,                 69210,,                  8081,                -13014,              1314613,,,              1314613,              1314613,,,,,,,,,,,,,,,,                105483,              1420096,,              1314613,,              1420096,,                              0.45,                              0.45,,                              0.45,                              0.45,,                -10294,                 93931,                 97332,                -85680,,,                   -100,,,,              7662343,                 44662,                 47878,              7569803,,              5494160,                              0,,                 52801,,                              0,                 52294,                101724,                 32564,                    239,,                124579,,                  1322,                  1322,                  8081,                    759,                   -859,,,,,
6116,2012年07月01日至2012年09月30日,,              9624276,,              8340244,              1284032,                              0,              1288572,,,                252011,,                447301,,                356654,              1055966,                229765,,,                106455,,               -437731,,                 61449,,               -136072,               -528797,               -299032,,                 21705,               -320737,               -320737,,,,,,,,,,,,,,,,                118938,               -201799,,               -320737,,               -201799,,,                             -0.11,,,,,                 -2841,                -92427,                148944,                 62716,,,                   -295,,,,              9673993,                 17118,                 32599,              9624276,,              8340244,                  4540,,                 35287,,                              0,                 71168,                              0,                297808,                 62273,                 59380,                              0,,                 45449,                 45449,               -136072,                  2218,                 -2513,                              0,,                              0,                              0,                 27179
6116,2012年04月01日至2012年06月30日,,              9124709,,              9452143,               -327434,                  6304,               -333738,,,                403980,,                408403,,                453298,              1265681,             -1639395,,,                156844,,                520600,,                 70482,,                -73675,                533287,             -1106108,,                     86,             -1106194,             -1106194,,,,,,,,,,,,,,,,               -310093,             -1416287,,               -617043,,               -925254,,,                             -0.21,,,,,                -39976,                 40331,               -268970,                -55033,,,                -26421,,,,              9160551,                  8600,                 27242,              9124709,,              9452143,                              0,,                 22148,,,                134696,                              0,                106726,                    826,                112953,                -93887,,                 11584,                 11584,,                 -6622,                -19799,                658802,,               -489151,               -491033,
6116,2012年01月01日至2012年12月31日,,             35783956,,             33083543,              2700413,                  2193,              2698220,,,              1294802,,              1366143,,              1516289,              4177234,             -1520652,,,                393731,,               -294898,,                289629,,               -259019,               -449815,             -1970467,,                     27,             -1970494,             -1970494,,,,,,,,,,,,,,,,               -157806,             -2128300,,               -960374,,             -1110957,,                             -0.33,                             -0.33,,                             -0.33,                             -0.33,,                -41638,               -175095,                -83423,                141299,                 30586,,                -65973,                  5200,,,             36081390,                138515,                158919,             35783956,,             33083543,,,                166196,,                              0,                227535,                140666,                811448,                 70553,,                136248,,                 76120,                 76120,               -259019,                -40609,                -23817,                658805,                 -1547,             -1010120,             -1017343,
6116,2012年01月01日至2012年09月30日,,             27241209,,             25800705,              1440504,                  3746,              1436758,,,                986170,,              1301673,,              1199344,              3487187,             -2114910,,,                335489,,                 55772,,                201447,,               -210409,                -20595,             -2135505,,                 21363,             -2156868,             -2156868,,,,,,,,,,,,,,,,                100463,             -2056405,,             -1145379,,             -1037693,,,                             -0.39,,,,,                -64481,               -183299,                228426,                118647,,,                -63311,,,,             27411170,                 84161,                 85800,             27241209,,             25800705,                              0,,                 93982,,                              0,                241507,                              0,                426286,                 63099,                 66006,                              0,,                 74214,                 74214,               -210409,                -40999,                -22312,                658802,,             -1011489,             -1018712,                 26575
6116,2012年01月01日至2012年06月30日,,             17616933,,             17460461,                156472,                  8286,                148186,,,                734159,,                854372,,                842690,              2431221,             -2344675,,,                229034,,                493503,,                139998,,                -74337,                508202,             -1836473,,                   -342,             -1836131,             -1836131,,,,,,,,,,,,,,,,                -18475,             -1854606,,               -824642,,               -835894,,,                             -0.28,,,,,                -61640,                -90872,                 79482,                 55931,,,                -63016,,,,             17737177,                 67043,                 53201,             17616933,,             17460461,                              0,,                 58695,,,                170339,                              0,                128478,                    826,                  6626,                    604,,                 28765,                 28765,,                -43217,                -19799,                658802,,             -1011489,             -1018712,
6116,2012年01月01日至2012年03月31日,,              8492224,,              8008318,                483906,                  1982,                481924,,,                330179,,                445969,,                389392,              1165540,               -705280,,,                 72190,,                -27097,,                 69516,,                   -662,                -25085,               -730365,,                   -428,               -729937,               -729937,,,,,,,,,,,,,,,,                291618,               -438319,,               -207599,,                 89360,,,                             -0.07,,,,,                -21664,               -131203,                348452,                110964,,,                -36595,,,,              8576626,                 58443,                 25959,              8492224,,              8008318,,,                 36547,,,                 35643,                106327,                 21752,                              0,,                 94491,,                 17181,                 17181,,                -36595,                              0,,,               -522338,               -527679,
