證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2456,2015年第3季,,              1216156,,                917045,                299111,                              0,                              0,                299111,,,                 67907,,                 58028,,                 22008,                147943,                151168,,,                  2582,,                 31414,,                 10408,                 23588,                174756,,                 21919,                152837,,                              0,                152837,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                141610,                 -5052,                   -607,                137165,                137165,                290002,,                152874,                    -37,,                286182,                  3820,,                              1.20,,                              1.07,,,,,,
2456,2015年第2季,,              1196776,,                907004,                289772,                              0,                              0,                289772,,,                 63049,,                 56188,,                 20855,                140092,                149680,,,                 11932,,                  9982,,                  9658,                 12256,                161936,,                 25968,                135968,,                              0,                135968,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -52613,                   -170,                   -106,                -52677,                -52677,                 83291,,                134415,                  1553,,                 82712,                    579,,                              1.06,,                              1.01,,                              0,,,,
2456,2015年01月01日至2015年09月30日,,              3572631,,              2688277,                884354,                              0,                              0,                884354,,,                189082,,                162221,,                 62432,                413735,                470619,,,                 19686,,                 50261,,                 29285,                 40662,                511281,,                 79874,                431407,,                              0,                431407,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 60322,                 -5361,                   -808,                 55769,                 55769,                487176,,                428195,                  3212,,                481473,                  5703,,                              3.37,,                              3.18,,,,,,
2456,2015年01月01日至2015年06月30日,,              2356475,,              1771232,                585243,                              0,                              0,                585243,,,                121175,,                104193,,                 40424,                265792,                319451,,,                 17104,,                 18847,,                 18877,                 17074,                336525,,                 57955,                278570,,                              0,                278570,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -81288,                   -309,                   -201,                -81396,                -81396,                197174,,                275321,                  3249,,                195291,                  1883,,                              2.17,,                              2.11,,                              0,,,,
2456,2015年01月01日至2015年03月31日,,              1159699,,                864228,                295471,                              0,                              0,                295471,,,                 58126,,                 48005,,                 19569,                125700,                169771,,,                  5172,,                  8865,,                  9219,                  4818,                174589,,                 31987,                142602,,                              0,                142602,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -28675,                   -139,                    -95,                -28719,                -28719,                113883,,                140906,                  1696,,                112579,                  1304,,                              1.11,,                              1.10,,,,,,
2456,2014年第3季,,              1063163,,                811796,                251367,                              0,                              0,                251367,,,                 55946,,                 38239,,                 19159,                113344,                138023,,,                  5864,,                  9071,,                 10700,                  4235,                142258,,                 26975,                115283,,                              0,                115283,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 87476,                    485,                              0,                 87961,                 87961,                203244,,                113783,                  1500,,                201485,                  1759,,                              0.87,,                              0.87,,,,,,
2456,2014年第2季,,                953857,,                721695,                232162,                              0,                              0,                232162,,,                 51768,,                 47163,,                 18342,                117273,                114889,,,                  7938,,                  2910,,                  9469,                  1379,                116268,,                 34373,                 81895,,                              0,                 81895,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -54160,                  1844,                              0,                -52316,                -52316,                 29579,,                 81908,                    -13,,                 30652,                 -1073,,                              0.58,,                              0.58,,                              0,,,,
2456,2014年度,,              3949305,,              3025333,                923972,                              0,                              0,                923972,,,                213739,,                173292,,                 74250,                461281,                462691,,,                 29650,,                 20640,,                 39246,                 11044,                473735,,                110826,                362909,,                              0,                362909,,,,,,,,,,,,,,,,                120792,                483701,,                363847,                   -938,,                484978,                 -1277,,                              2.70,,                              2.69,,,                114973,                  3963,                  2735,                    879
2456,2014年01月01日至2014年09月30日,,              2922905,,              2242824,                680081,                              0,                              0,                680081,,,                156048,,                126989,,                 53130,                336167,                343914,,,                 19093,,                    809,,                 29568,                 -9666,                334248,,                 84035,                250213,,                              0,                250213,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                 19915,                  1399,                              0,                 21314,                 21314,                271527,,                251735,                 -1522,,                273049,                 -1522,,                              1.83,,                              1.82,,,,,,
2456,2014年01月01日至2014年06月30日,,              1859742,,              1431028,                428714,                              0,                              0,                428714,,,                100102,,                 88750,,                 33971,                222823,                205891,,,                 13229,,                 -8262,,                 18868,                -13901,                191990,,                 57060,                134930,,                              0,                134930,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -67561,                    914,                              0,                -66647,                -66647,                 68283,,                137952,                 -3022,,                 71564,                 -3281,,                              0.98,,                              0.98,,                              0,,,,
2456,2014年01月01日至2014年03月31日,,                905885,,                709333,                196552,                              0,                              0,                196552,,,                 48334,,                 41587,,                 15629,                105550,                 91002,,,                  5291,,                -11172,,                  9399,                -15280,                 75722,,                 22687,                 53035,,                              0,                 53035,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                -13401,                   -930,                              0,                -14331,                -14331,                 38704,,                 56044,                 -3009,,                 40912,                 -2208,,                              0.40,,                              0.40,,,,,,
2456,2013年第3季,,                988282,,                786442,                201840,                              0,                              0,                201840,,,                 52552,,                 42771,,                 16552,                111875,                 89965,,,                  6090,,                 -6345,,                  7683,                 -7938,                 82027,,                 14641,                 67386,,                              0,                 67386,,,,,,,,,,,,,,,,                -31900,                 35486,,                 71479,                 -4093,,                 39721,                 -4235,,                              0.49,,                              0.49,,,                -32434,                    534,,
2456,2013年第2季,,                965159,,                758395,                206764,                              0,                              0,                206764,,,                 50744,,                 43258,,                 17413,                111415,                 95349,,,                 11658,,                  8114,,                  7365,                 12407,                107756,,                 33045,                 74711,,                              0,                 74711,,,,,,,,,,,,,,,,                 45004,                119715,,                 76193,                 -1482,,                120911,                 -1196,,                              0.50,,                              0.50,,,                 45311,                   -307,,
