證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）
2338,2014年01月01日至2014年03月31日,,                430831,,                347252,                 83579,                 83579,,,                 20641,,                 31592,,                 16817,                 69050,                 14529,,,                  2244,,                 19442,,                     76,                 21610,                 36139,,                  9779,                 26360,                 26360,,,                    997,                 -5939,                 -4942,                 -4942,                 21418,,                 23831,                  2529,,                 16047,                  5371,,                              0.10,                              0.10,,                              0.10,                              0.10,,,
2338,2013年第3季,,                408774,,                346102,                 62672,                 62672,,,                 18227,,                 25580,,                 17944,                 61751,                    921,,,                 20443,,                 -2880,,                    496,                 17067,                 17988,,                  1935,                 16053,                 16053,,,,,,                -19236,                 -3183,,                  2066,                 13987,,                 -3467,                    284,,                              0.01,                              0.01,,                              0.01,                              0.01,                   -535,                -18701,
2338,2013年第2季,,                455381,,                367965,                 87416,                 87416,,,                 17757,,                 34058,,                 19641,                 71456,                 15960,,,                  3907,,                  1743,,                    703,                  4947,                 20907,,                    238,                 20669,                 20669,,,,,,                -18407,                  2262,,                 15759,                  4910,,                  9448,                 -7186,,                              0.06,                              0.06,,                              0.06,                              0.06,                 -8121,                -10286,                              0
2338,2013年度,,              1761007,,              1474911,                286096,                286096,,,                 69817,,                117442,,                 78292,                265551,                 20545,,,                 26169,,                 23451,,                  2578,                 47042,                 67587,,                  2148,                 65439,                 65439,,,,,,                  5896,                 71335,,                 42577,                 22862,,                 44259,                 27076,,                              0.17,                              0.17,,                              0.17,                              0.17,                  2973,                 -3980,                  6903
2338,2013年07月01日至2013年09月30日,,                408774,,                346102,                 62672,                 62672,,,                 18227,,                 25580,,                 17944,                 61751,                    921,,,                 20443,,                 -2880,,                    496,                 17067,                 17988,,                  1935,                 16053,                 16053,,,,,,                -19236,                 -3183,,                  2066,                 13987,,                 -3467,                    284,,                              0.01,                              0.01,,                              0.01,                              0.01,                   -535,                -18701,
2338,2013年04月01日至2013年06月30日,,                455381,,                367965,                 87416,                 87416,,,                 17757,,                 34058,,                 19641,                 71456,                 15960,,,                  3907,,                  1743,,                    703,                  4947,                 20907,,                    238,                 20669,                 20669,,,,,,                -18407,                  2262,,                 15759,                  4910,,                  9448,                 -7186,,                              0.06,                              0.06,,                              0.06,                              0.06,                 -8121,                -10286,
2338,2013年01月01日至2013年12月31日,,              1761007,,              1474911,                286096,                286096,,,                 69817,,                117442,,                 78292,                265551,                 20545,,,                 26169,,                 23451,,                  2578,                 47042,                 67587,,                  2148,                 65439,                 65439,,,,,,                  5896,                 71335,,                 42577,                 22862,,                 44259,                 27076,,                              0.17,                              0.17,,                              0.17,                              0.17,                  2973,                 -3980,                  6903
2338,2013年01月01日至2013年09月30日,,              1312417,,              1108779,                203638,                203638,,,                 52266,,                 88881,,                 56127,                197274,                  6364,,,                 28334,,                  8280,,                  2282,                 34332,                 40696,,                  6093,                 34603,                 34603,,,,,,                -35664,                 -1061,,                  8090,                 26513,,                 -5230,                  4169,,                              0.03,                              0.03,,                              0.03,                              0.03,                 -1391,                -34273,
2338,2013年01月01日至2013年06月30日,,                903643,,                762677,                140966,                140966,,,                 34039,,                 63301,,                 38183,                135523,                  5443,,,                  7891,,                 11160,,                  1786,                 17265,                 22708,,                  4158,                 18550,                 18550,,,,,,                -16428,                  2122,,                  6024,                 12526,,                 -1763,                  3885,,                              0.02,                              0.02,,                              0.02,                              0.02,                   -856,                -15572,                              0
2338,2013年01月01日至2013年03月31日,,                448262,,                394712,                 53550,                 53550,,,                 16282,,                 29243,,                 18542,                 64067,                -10517,,,                  3984,,                  9417,,                  1083,                 12318,                  1801,,                  3920,                 -2119,                 -2119,,,,,,                  1979,                   -140,,                 -9735,                  7616,,                -11211,                 11071,,                             -0.04,                             -0.04,,                             -0.04,                             -0.04,                  7265,                 -5286,
2338,2012年07月01日至2012年09月30日,,                548451,,                421286,                127165,                127165,,,                 18628,,                 35316,,                 20362,                 74306,                 52859,,,                 30939,,                   -808,,                  1345,                 28786,                 81645,,                 12607,                 69038,                 69038,,,,,,                -21970,                 47068,,                 35537,                 33501,,                 33643,                 13425,,                              0.14,                              0.14,,                              0.14,                              0.14,                    -68,                -21902,
2338,2012年04月01日至2012年06月30日,,                544208,,                403433,                140775,                140775,,,                 18831,,                 29875,,                 21862,                 70568,                 70207,,,                  6892,,                 -1256,,                  1542,                  4094,                 74301,,                 10925,                 63376,                 63376,,,,,,                -20560,                 42816,,                 52387,                 10989,,                 45685,                 -2869,,                              0.21,                              0.21,,                              0.21,                              0.21,                -10850,                 -9710,
2338,2012年01月01日至2012年12月31日,,              2126992,,              1652125,                474867,                474867,,,                 72405,,                127581,,                 83466,                283452,                191415,,,                 43470,,                 -3486,,                  5758,                 34226,                225641,,                 49826,                175815,                175815,,,,,,                -30384,                145431,,                121777,                 54038,,                115912,                 29519,,                              0.48,                              0.48,,                              0.48,                              0.48,                 -2062,                -26869,                 -1453
2338,2012年01月01日至2012年09月30日,,              1616038,,              1238263,                377775,                377775,,,                 53742,,                 97780,,                 62849,                214371,                163404,,,                 40646,,                 -4928,,                  4617,                 31101,                194505,,                 30540,                163965,                163965,,,,,,                -24909,                139056,,                110224,                 53741,,                107125,                 31931,,                              0.43,                              0.43,,                              0.43,                              0.43,                     94,                -25003,
2338,2012年01月01日至2012年06月30日,,              1067587,,                816977,                250610,                250610,,,                 35114,,                 62464,,                 42487,                140065,                110545,,,                  9707,,                 -4120,,                  3272,                  2315,                112860,,                 17933,                 94927,                 94927,,,,,,                 -2939,                 91988,,                 74687,                 20240,,                 73482,                 18506,,                              0.29,                              0.29,,                              0.29,                              0.29,                    162,                 -3101,
2338,2012年01月01日至2012年03月31日,,                523379,,                413544,                109835,                109835,,,                 16283,,                 32589,,                 20625,                 69497,                 40338,,,                  2815,,                 -2864,,                  1730,                 -1779,                 38559,,                  7008,                 31551,                 31551,,,,,,                 17621,                 49172,,                 22300,                  9251,,                 27797,                 21375,,                              0.09,                              0.09,,                              0.09,                              0.09,                 11012,                  6609,
