證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 本期所得稅費用（利益）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 重估價之利益（損失）,　　 其他綜合損益,　　　 利息收入,　　　　 利息收入合計,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 營建工程收入,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本合計,　　 營建工程成本,　　　 營建工程成本合計,　　　　 銀行存款利息,　　　 利息費用
2923,2014年01月01日至2014年06月30日,,              2871863,,              1264930,              1606933,                              0,                              0,              1606933,,,                100373,,                194428,                294801,,                              0,              1312132,,,                 40003,,                 49095,,                481231,               -392133,                919999,,                411698,                508301,                508301,,,,,,,,,,               -590704,,               -590704,,               -513992,               -513992,             -1104696,               -596395,,                460920,                 47381,,               -587054,                 -9341,,                              0.26,                              0.26,,                              0.26,                              0.26,                411698,,,,,,,,,,,,,,,,,,,,,,,,
2923,2014年01月01日至2014年03月31日,,              1375389,,                599360,                776029,                              0,                              0,                776029,,,                 47929,,                 78653,                126582,,,                649447,,,                 18066,,                 -8091,,                231832,               -221857,                427590,,                154475,                273115,                273115,,,,,,,,,,                -44560,,                -44560,,               -122876,               -122876,               -167436,                105679,,                249333,                 23782,,                 84656,                 21023,,                              0.14,                              0.14,,                              0.14,                              0.14,,,                              0,,,,,,,,,,,,,,,,,,,,,,
2923,2013年第3季,,              3188920,,              1991576,              1197344,                              0,                              0,              1197344,,,                 90951,,                 88840,                179791,,                              0,              1017553,,,                 45525,,                 -4667,,                287045,               -246187,                771366,,                295238,                476128,                476128,,,,,,,,,,,,,,,,               -597938,               -121810,,                456549,                 19579,,               -125292,                  3482,,                              0.26,                              0.26,,                              0.26,                              0.26,,,                              0,               -597938,                              0,                              0,,                 45525,,,,,,,,,,,,,,,,,
2923,2013年第2季,,              1703580,,                851140,                852440,                              0,                              0,                852440,,,                 60150,,                 88289,                148439,,,                704001,,,                 42240,,                 -4270,,                300629,               -262659,                441342,,                122476,                318866,                318866,,,,,,,,,,,,,,,,                870403,              1189269,,                293217,                 25649,,              1120694,                 68575,,                              0.17,                              0.17,,                              0.17,                              0.17,,,                              0,                829543,                 60396,                -19536,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,,
2923,2013年第1季,,              1560867,,                738413,                822454,,,                822454,,,                 55670,,                 86421,                142091,,,                680363,,,                 39153,,                 -8521,,                291554,               -260922,                419441,,                188867,                230574,                230574,,,,,,,,,,,,,,,,              1449814,              1680388,,                208080,                 22494,,              1572028,                108360,,,                              0.12,,,                              0.12,,,,              1449814,,,,                 39153,,,,,,,,,,,              1560867,,                              0,,                738413,                 39153,                291554
2923,2013年度,,             10767050,,              5980123,              4786927,                              0,                              0,              4786927,,,                367813,,                392408,                760221,,              2385017,              6411723,,,                166002,,                -13894,,              1136782,               -984674,              5427049,,              2175776,              3251273,              3251273,,,,,,,,,,,,,,,,              2860691,              6111964,,              3141984,                109289,,              5833102,                278862,,                              1.81,                              1.81,,                              1.80,                              1.80,,,                              0,              2819831,                 60396,                -19536,,,,,,,,,,,,,,,,,,,
2923,2013年07月01日至2013年09月30日,,              3188920,,              2178565,              1010355,,,              1010355,,,                 90951,,                 88840,                179791,,,                830564,,,                 45525,,                 -4672,,                287045,               -246192,                584372,,                240300,                344072,                344072,,,,,,,,,,,,,,,,               -348780,                 -4708,,                330322,                 13750,,                -28947,                 24239,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,               -348780,,,,                 45525,,,,,,,,,,,              3188920,,,,              2178565,                 45525,                287045
2923,2013年04月01日至2013年06月30日,,              1703580,,              1037571,                666009,,,                666009,,,                 60150,,                 88289,                148439,,,                517570,,,                 42240,,                 -4278,,                300629,               -262667,                254903,,                 68856,                186047,                186047,,,,,,,,,,,,,,,,                602819,                788866,,                166217,                 19830,,                754929,                 33937,,                              0.10,                              0.10,,                              0.10,                              0.10,,,,                602819,,,,                 42240,,,,,,,,,,,              1703580,,,,              1037571,                 42240,                300629
2923,2013年01月01日至2013年12月31日,,             10767050,,              6718936,              4048114,,,              4048114,,,                367813,,                392564,                760377,,,              3287737,,,                166002,,                -14600,,              1136782,               -985380,              2302357,,                921849,              1380508,              1380508,,,,,,,,,,,,,,,,              1913131,              3293639,,              1307046,                 73462,,              3147208,                146431,,                              0.75,                              0.75,,                              0.75,                              0.75,,,,              1913131,,,,                166002,,,,,,,,,,,             10767050,,,,              6718936,                166002,              1136782
2923,2013年01月01日至2013年09月30日,,              6453367,,              3581129,              2872238,                              0,                              0,              2872238,,,                206771,,                263550,                470321,,                              0,              2401917,,,                126918,,                -17458,,                879228,               -769768,              1632149,,                606581,              1025568,              1025568,,,,,,,,,,,,,,,,              1763138,              2788706,,                957846,                 67722,,              2608290,                180416,,                              0.55,                              0.55,,                              0.55,                              0.55,,,                              0,              1722278,                 60396,                -19536,,                126918,,,,,,,,,,,,,,,,,
2923,2013年01月01日至2013年06月30日,,              3264447,,              1589553,              1674894,                              0,                              0,              1674894,,,                115820,,                174710,                290530,,,              1384364,,,                 81393,,                -12791,,                592183,               -523581,                860783,,                311343,                549440,                549440,,,,,,,,,,,,,,,,              2361076,              2910516,,                501297,                 48143,,              2733582,                176934,,                              0.29,                              0.29,,                              0.29,                              0.29,,,                              0,              2320216,                 60396,                -19536,,,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,,,,,,,,
2923,2013年01月01日至2013年03月31日,,              1560867,,                920584,                640283,,,                640283,,,                 55670,,                 86421,                142091,,,                498192,,,                 39153,,                 -9215,,                291554,               -261616,                236576,,                141769,                 94807,                 94807,,,,,,,,,,,,,,,,                935913,              1030720,,                 77999,                 16808,,                984932,                 45788,,,                              0.05,,,                              0.05,,,,                935913,,,,                 39153,,,,,,,,,,,              1560867,,                              0,,                920584,                 39153,                291554
2923,2012年07月01日至2012年09月30日,,              1423866,,                859769,                564097,,,                564097,,,                 75007,,                135355,                210362,,,                353735,,,                 31954,,                  2995,,                342849,               -307900,                 45835,,                 79510,                -33675,                -33675,,,,,,,,,,,,,,,,               -268947,               -302622,,                -49964,                 16289,,               -310587,                  7965,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,               -268947,,,,                 31954,,,,,,,,,,,              1423866,,,,                859769,                 31954,                342849
2923,2012年04月01日至2012年06月30日,,              1144548,,                631554,                512994,,,                512994,,,                 48010,,                127376,                175386,,,                337608,,,                 29300,,                  8056,,                204661,               -167305,                170303,,                 84308,                 85995,                 85995,,,,,,,,,,,,,,,,                 66449,                152444,,                 64303,                 21692,,                127434,                 25010,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,                 66449,,,,                 29300,,,,,,,,,,,              1144548,,,,                631554,                 29300,                204661
2923,2012年01月01日至2012年12月31日,,             10529590,,              5822820,              4706770,,,              4706770,,,                320202,,                413328,                733530,,,              3973240,,,                143331,,                -20733,,              1045826,               -923228,              3050012,,              1507343,              1542669,              1542669,,,,,,,,,,,,,,,,               -847318,                695351,,              1469399,                 73270,,                650226,                 45125,,                              0.86,                              0.86,,                              0.86,                              0.86,,,,               -847318,,,,                143331,,,,,,,,,,,             10529590,,,,              5822820,                143331,              1045826
2923,2012年01月01日至2012年09月30日,,              7102149,,              3919152,              3182997,,,              3182997,,,                224108,,                374679,                598787,,,              2584210,,,                 96594,,                  6454,,                746675,               -643627,              1940583,,              1047032,                893551,                893551,,,,,,,,,,,,,,,,               -919187,                -25636,,                839048,                 54503,,                -51608,                 25972,,                              0.49,                              0.49,,                              0.49,                              0.49,,,,               -919187,,,,                 96594,,,,,,,,,,,              7102149,,,,              3919152,                 96594,                746675
2923,2012年01月01日至2012年06月30日,,              5678283,,              3059383,              2618900,,,              2618900,,,                149101,,                239324,                388425,,,              2230475,,,                 64640,,                  3459,,                403826,               -335727,              1894748,,                967522,                927226,                927226,,,,,,,,,,,,,,,,               -650240,                276986,,                889012,                 38214,,                258979,                 18007,,                              0.53,                              0.53,,                              0.53,                              0.53,,,,               -650240,,,,                 64640,,,,,,,,,,,              5678283,,,,              3059383,                 64640,                403826
2923,2012年01月01日至2012年03月31日,,              4533735,,              2427829,              2105906,,,              2105906,,,                101091,,                111948,                213039,,,              1892867,,,                 35340,,                 -4597,,                199165,               -168422,              1724445,,                883214,                841231,                841231,,,,,,,,,,,,,,,,               -716689,                124542,,                824709,                 16522,,                131545,                 -7003,,,                              0.49,,,                              0.49,,,,               -716689,,,,                 35340,,,,,,,,,,,              4533735,,                              0,,              2427829,                 35340,                199165
