證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損失之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　　　　 銷貨收入,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換損失
1418,2013年07月01日至2013年09月30日,,,,                596963,                              0,                    612,                596351,                596351,,                574192,                 22159,                 22159,,,                 28235,,                 18123,,                  2837,                 49195,                -27036,,,,                      6,                     52,                    860,                    918,,                  1549,                              0,                              0,                  1549,,                  3035,                  3035,,                    528,                   -528,                 -1096,                -28132,,                    838,                -28970,                -28970,,,,,,,                     93,                -28877,,                -28965,                     -5,,                -28872,                     -5,,                             -0.24,                             -0.24,,                     98,,                     -5,,,,
1418,2013年04月01日至2013年06月30日,,,,                395903,                    208,                    526,                395169,                395169,,                419689,                -24520,                -24520,,,                 15783,,                 16941,,                  2725,                 35449,                -59969,,,,                      6,                 14549,                 10453,                 25008,,                  1345,                              0,                  1627,                    -97,,                  3104,                  3104,,                    619,                   -619,                 21188,                -38781,,                  1472,                -40253,                -40253,,,,,,,                -14681,                -54934,,                -40247,                     -6,,                -54928,                     -6,,                             -0.33,                             -0.33,,                -14683,,                      2,,,                    185,                              0
1418,2013年01月01日至2013年12月31日,,,,              2150467,                    208,                  3935,              2146324,              2146324,,              2110936,                 35388,                 35388,,,                 94065,,                 72726,,                 11911,                178702,               -143314,,,,                    175,                 14601,                 22769,                 37545,,                  4048,                  2393,                    636,                  1019,,                 11577,                 11577,,                  2365,                 -2365,                 24622,               -118692,,                  3677,               -122369,               -122369,,,,,,,                 -6640,               -129009,,               -122348,                    -21,,               -128988,                    -21,,                             -1.01,                             -1.01,,                 -6705,,                      9,                     68,                     12,,
1418,2013年01月01日至2013年09月30日,,,,              1468107,                    208,                  2497,              1465402,              1465402,,              1461469,                  3933,                  3933,,,                 64041,,                 52037,,                  7983,                124061,               -120128,,,,                    169,                 14601,                 22622,                 37392,,                  3300,                     34,                  1442,                  1824,,                  8710,                  8710,,                  1536,                 -1536,                 28970,                -91158,,                  2979,                -94137,                -94137,,,,,,,                -26360,               -120497,,                -94121,                    -16,,               -120481,                    -16,,                             -0.78,                             -0.78,,                -26367,,                      7,,,,
1418,2013年01月01日至2013年06月30日,,,,                871144,                    208,                  1885,                869051,                869051,,                887277,                -18226,                -18226,,,                 35806,,                 33914,,                  5146,                 74866,                -93092,,,,                    163,                 14549,                 21762,                 36474,,                  1751,                     34,                  1627,                    275,,                  5675,                  5675,,                  1008,                 -1008,                 30066,                -63026,,                  2141,                -65167,                -65167,,,,,,,                -26453,                -91620,,                -65156,                    -11,,                -91609,                    -11,,                             -0.54,                             -0.54,,                -26465,,                     12,,,                    185,                              0
1418,2013年01月01日至2013年03月31日,,,,                475241,,                  1359,                473882,                473882,,                467588,                  6294,                  6294,,,                 20023,,                 16973,,                  2421,                 39417,                -33123,,,,                    157,,                 11309,                 11466,,                    406,                     34,,                    372,,                  2571,                  2571,,                    389,                   -389,                  8878,                -24245,,                    669,                -24914,                -24914,,,,,,,                -11772,                -36686,,                -24909,                     -5,,                -36681,                     -5,,                             -0.21,                             -0.21,,                -11782,,                     10,,,,
1418,2012年07月01日至2012年09月30日,,,,                503062,                              0,                 13479,                489583,                489583,,                534012,                -44429,                -44429,,,                 21424,,                 20603,,                  2828,                 44855,                -89284,,,,                    109,                     50,                    767,                    926,,                    162,                     48,                              0,                    114,,                  3232,                  3232,,                    938,                   -938,                 -3130,                -92414,,                  4106,                -96520,                -96520,,,,,,,                   -336,                -96856,,                -96515,                     -5,,                -96851,                     -5,,                             -0.80,                             -0.80,,                   -336,,                              0,,,,
1418,2012年04月01日至2012年06月30日,,,,                339867,                    435,                    669,                338763,                338763,,                437913,                -99150,                -99150,,,                 14193,,                 20830,,                  3749,                 38772,               -137922,,,,                    149,                 14023,                 13885,                 28057,,                              0,                     77,                              0,                 -2048,,                  2361,                  2361,,                    656,                   -656,                 22992,               -114930,,                 -3612,               -111318,               -111318,,,,,,,                -14419,               -125737,,               -111312,                     -6,,               -125731,                     -6,,                             -0.92,                             -0.92,,                -14419,,                              0,,,                              0,                  1971
1418,2012年01月01日至2012年12月31日,,,,              2248578,                  2301,                 17196,              2229081,              2229081,,              2305733,                -76652,                -76652,,,                 87386,,                 76036,,                 14816,                178238,               -254890,,,,                    576,                 14073,                 55305,                 69954,,                  4544,                    704,                              0,                  3840,,                 11675,                 11675,,                  2978,                 -2978,                 59141,               -195749,,                 -4832,               -190917,               -190917,,,,,,,                  3815,               -187102,,               -190896,                    -21,,               -187081,                    -21,,                             -1.58,                             -1.58,,                    129,,                     -7,                  4450,                    757,,
1418,2012年01月01日至2012年09月30日,,,,              1776952,                  1505,                 17310,              1758137,              1758137,,              1810452,                -52315,                -52315,,,                 67742,,                 59588,,                 11232,                138562,               -190877,,,,                    492,                 14073,                 14699,                 29264,,                  3201,                    125,                              0,                  3076,,                  8975,                  8975,,                  2357,                 -2357,                 21008,               -169869,,                  1733,               -171602,               -171602,,,,,,,                -15183,               -186785,,               -171586,                    -16,,               -186769,                    -16,,                             -1.42,                             -1.42,,                -15183,,                              0,,,,
1418,2012年01月01日至2012年06月30日,,,,              1273890,                  1505,                  3831,              1268554,              1268554,,              1276440,                 -7886,                 -7886,,,                 46318,,                 38985,,                  8404,                 93707,               -101593,,,,                    383,                 14023,                 13932,                 28338,,                  3039,                     77,                              0,                  2962,,                  5743,                  5743,,                  1419,                 -1419,                 24138,                -77455,,                 -2373,                -75082,                -75082,,,,,,,                -14847,                -89929,,                -75071,                    -11,,                -89918,                    -11,,                             -0.62,                             -0.62,,                -14847,,                              0,,,                              0,                              0
1418,2012年01月01日至2012年03月31日,,,,                934023,                  1070,                  3162,                929791,                929791,,                838527,                 91264,                 91264,,,                 32125,,                 18155,,                  4655,                 54935,                 36329,,,,                    234,,                     47,                    281,,                  5010,                              0,,                  5010,,                  3382,                  3382,,                    763,                   -763,                  1146,                 37475,,                  1239,                 36236,                 36236,,,,,,,                   -428,                 35808,,                 36241,                     -5,,                 35813,                     -5,,,                              0.30,,                   -428,,                              0,,,,
