證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 勞務收入,　　　 裝置收入,　　　　 裝置收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 裝置成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 繼續營業單位淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 稀釋繼續營業單位淨利（淨損）
1603,2015年第3季,,,,                637124,                    239,                    460,                636425,,,                129113,                129113,                765538,,,                578675,,                112243,                112243,                690918,                 74620,                 74620,,,                 27740,,                 18314,                 46054,,                  4609,                 33175,,,                 26003,                 26003,,                103600,,                  4070,,                    -69,                125464,                158639,,                 11359,                147280,                147280,,,                 23195,               -139455,               -116260,               -116260,                 31020,,                147261,                     19,,                 31075,                    -55,,                              0.52,,                              0.52,,,,,,,,
1603,2015年第2季,,,,                755882,                    443,                  1396,                754043,,,                 59306,                 59306,                813349,,,                686542,,                 56370,                 56370,                742912,                 70437,                 70437,,,                 20299,,                 15282,                 35581,,                  4561,                 39417,,,                  1957,                  1957,,                  2097,,                  3185,,                 -2979,                 -2110,                 37307,,                -10616,                 47923,                 47923,,,                 -5676,                  1531,                 -4145,                 -4145,                 43778,,                 47923,                              0,,                 43783,                     -5,,                              0.17,,,                              0.17,,,,,,,
1603,2015年01月01日至2015年09月30日,,,,              1940046,                    682,                  2345,              1937019,,,                266275,                266275,              2203294,,,              1770667,,                241632,                241632,              2012299,                190995,                190995,,,                 69781,,                 53403,                123184,,                 14074,                 81885,,,                 30080,                 30080,,                212103,,                 10637,,                 -3133,                228413,                310298,,                  3234,                307064,                307064,,,                 13183,               -123881,               -110698,               -110698,                196366,,                307045,                     19,,                196421,                    -55,,                              1.08,,                              1.08,,,,,,,,
1603,2015年01月01日至2015年06月30日,,,,              1302922,                    443,                  1885,              1300594,,,                137162,                137162,              1437756,,,              1191992,,                129389,                129389,              1321381,                116375,                116375,,,                 42041,,                 35089,                 77130,,                  9465,                 48710,,,                  4077,                  4077,,                108503,,                  6567,,                 -3064,                102949,                151659,,                 -8125,                159784,                159784,,,                -10012,                 15574,                  5562,                  5562,                165346,,                159784,                              0,,                165346,                              0,,                              0.56,,,                              0.56,,,,,,,
1603,2015年01月01日至2015年03月31日,,,,                547040,,                    489,                546551,,,                 77856,                 77856,                624407,,,                505450,,                 73019,                 73019,                578469,                 45938,                 45938,,,                 21742,,                 19807,                 41549,,                  4904,                  9293,,,                  2120,                  2120,,                106406,,                  3382,,                    -85,                105059,                114352,,                  2491,                111861,                111861,,,                 -4336,                 14043,                  9707,                  9707,                121568,,                111861,                              0,,                121563,                      5,,                              0.39,,                              0.39,,,,,,,,
1603,2014年第3季,,,,                414478,                              0,                  1640,                412838,,,                133228,                133228,                546066,,,                360548,,                124932,                124932,                485480,                 60586,                 60586,,,                 21129,,                 17546,                 38675,,                  4675,                 26586,,,                 28597,                 28597,,                   -558,,                  4644,,                   -140,                 23255,                 49841,,                 10282,                 39559,                 39559,,,                  7989,                 -5753,                  2236,                  2236,                 41795,,                 39540,                     19,,                 41787,                      8,,                              0.14,,                              0.14,,,,,,,,
1603,2014年第2季,,,,                651492,                  6306,                  1985,                643201,,,                171846,                171846,                815047,,,                564754,,                177116,                177116,                741870,                 73177,                 73177,,,                 20996,,                 15378,                 36374,,                  4828,                 41631,,,                  1098,                  1098,,                 23804,,                  4713,,                 -2458,                 17731,                 59362,,                    598,                 58764,                 58764,,,                 -7673,                 31087,                 23414,                 23414,                 82178,,                 58764,                              0,,                 82135,                     43,,                              0.21,,,                              0.21,,,,,,,
1603,2014年度,,,,              2145325,                  6306,                  3942,              2135077,,,                492277,                492277,              2627354,,,              1850602,,                488572,                488572,              2339174,                288180,                288180,,,                 91891,,                 72114,                164005,,                 19096,                143271,,,                 33232,                 33232,,                135811,,                 17482,,                 -3235,                148326,                291597,,                 40994,                250603,                250603,,,,,,                110734,                361337,,                250585,                     18,,                361294,                     43,,                              0.88,,                              0.88,                              0.88,,                              0,                 20888,                 96637,                 -8182,                  1391,                              0.88
1603,2014年01月01日至2014年09月30日,,,,              1669662,                  6306,                  3730,              1659626,,,                411270,                411270,              2070896,,,              1442633,,                400873,                400873,              1843506,                227390,                227390,,,                 68530,,                 50794,                119324,,                 14369,                122435,,,                 30696,                 30696,,                 16787,,                 13761,,                 -2710,                 31012,                153447,,                 21350,                132097,                132097,,,                  5900,                 25625,                 31525,                 31525,                163622,,                132078,                     19,,                163575,                     47,,                              0.47,,                              0.47,,,,,,,,
1603,2014年01月01日至2014年06月30日,,,,              1255184,                  6306,                  2090,              1246788,,,                278042,                278042,              1524830,,,              1082085,,                275941,                275941,              1358026,                166804,                166804,,,                 47401,,                 33248,                 80649,,                  9694,                 95849,,,                  2099,                  2099,,                 17345,,                  9117,,                 -2570,                  7757,                103606,,                 11068,                 92538,                 92538,,,                 -2089,                 31378,                 29289,                 29289,                121827,,                 92538,                              0,,                121788,                     39,,                              0.33,,,                              0.33,,,,,,,
