證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 重估增值,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 銷貨成本,　　　 專櫃銷貨收入（百貨業適用）,　　　 分期付款銷貨收入,　　　 銷貨折讓,　　　 確定福利計畫之再衡量數,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 與待出售非流動資產直接相關之權益,　　　 與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　 可能重分類至損益之其他項目,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 重估價之利益（損失）,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 其他綜合損益
1449,2015年第3季,,,,                761523,                761523,                  6608,                754915,                754915,,,                713941,                713941,                 40974,                 40974,,,                 37792,,                 42744,,                 14969,                 95505,                -54531,,,                     74,,                 11624,,                 22989,,                    421,                -10870,                -65401,,                    554,                -65955,                -65955,,,                              0,                              0,                              0,,                -31122,,                    239,                    239,                              0,                -30883,                -30883,                -96838,,                -65363,                   -592,,                -96220,                   -618,,                             -0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2015年第2季,,,,                814602,                814602,                 13013,                801589,                801589,,,                855843,                855843,                -54254,                -54254,,,                 31905,,                 39689,,                 12883,                 84477,               -138731,,,                 12865,,                 21948,,                 23188,,                  2317,                 13942,               -124789,,                 -1044,               -123745,               -123745,,,                              0,                              0,                              0,,                -12243,,                  5269,                  5269,                              0,                 -6974,                 -6974,               -130719,,               -126750,                  3005,,               -133697,                  2978,,                             -1.07,                855843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2015年第1季,,,,                655495,                655495,                  5967,                649528,                649528,,,                618600,                618600,                 30928,                 30928,,,                 38112,,                 40006,,                 12685,                 90803,                -59875,,,                    162,,                  6187,,                 14876,,                   -104,                 -8631,                -68506,,                     55,                -68561,                -68561,,,                              0,                              0,                              0,,                 13492,,                    318,                    318,                              0,                 13810,                 13810,                -54751,,                -61589,                 -6972,,                -47799,                 -6952,,                             -0.52,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
1449,2015年01月01日至2015年09月30日,,,,              2231620,              2231620,                 25588,              2206032,              2206032,,,              2188384,              2188384,                 17648,                 17648,,,                107809,,                122439,,                 40537,                270785,               -253137,,,                 13101,,                 39759,,                 61053,,                  2634,                 -5559,               -258696,,                   -435,               -258261,               -258261,,,                              0,                              0,                              0,,                -29873,,                  5826,                  5826,                              0,                -24047,                -24047,               -282308,,               -253702,                 -4559,,               -277716,                 -4592,,                             -2.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2015年01月01日至2015年06月30日,,,,              1470097,              1470097,                 18980,              1451117,              1451117,,,              1474443,              1474443,                -23326,                -23326,,,                 70017,,                 79695,,                 25568,                175280,               -198606,,,                 13027,,                 28135,,                 38064,,                  2213,                  5311,               -193295,,                   -989,               -192306,               -192306,,,                              0,                              0,                              0,,                  1249,,                  5587,                  5587,                              0,                  6836,                  6836,               -185470,,               -188339,                 -3967,,               -181496,                 -3974,,                             -1.59,              1474443,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2014年第3季,,,,              1003150,              1003150,                 10136,                993014,                993014,,,                964710,                964710,                 28304,                 28304,,,                 44857,,                 42628,,                 12744,                100229,                -71925,,,                      9,,                 22545,,                 14412,,                  5659,                 13801,                -58124,,                     13,                -58137,                -58137,,,                              0,                              0,                              0,,                -14398,,                   -596,                   -596,                              0,                -14994,                -14994,                -73131,,                -59544,                  1407,,                -74490,                  1359,,                             -0.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2014年第2季,,,,                858092,                858092,                  7032,                851060,                851060,,,                823840,                823840,                 27220,                 27220,,,                 40761,,                 40546,,                 12973,                 94280,                -67060,,,                  9049,,                 43780,,                 14072,,                 -1585,                 37172,                -29888,,                  8592,                -38480,                -38480,,,                177874,                              0,                177874,,                 13653,,                 -1562,                 -1562,                              0,                 12091,                189965,                151485,,                -36585,                 -1895,,                153309,                 -1824,,                             -0.32,                823840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1449,2014年第1季,,,,                777788,                777788,                  7807,                769981,                769981,,,                770673,                770673,                   -692,                   -692,,,                 38842,,                 40686,,                 13457,                 92985,                -93677,,,                     62,,                  8654,,                 13705,,                   -988,                 -5977,                -99654,,                    143,                -99797,                -99797,,,                              0,                              0,                              0,,                 -5171,,                              0,                              0,                              0,                 -5171,                 -5171,               -104968,,                -86975,                -12822,,                -92174,                -12794,,                             -0.84,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,,,,,
1449,2014年度,,,,              3492933,              3492933,                 37138,              3455795,              3455795,,,              3441565,              3441565,                 14230,                 14230,,,                171198,,                163444,,                 47837,                382479,               -368249,,,                  9556,,                433226,,                 56847,,                  7839,                393774,                 25525,,                 31726,                 -6201,                 -6201,,,,,,,,,,,,,                169426,                163225,,                 52571,                -58772,,                221261,                -58036,,                              0.46,              3441565,,,,,,,,,,,,,,,,,,,,,,                  1055,                -11425,                177874,                  4496,,                 -2237,                    337,,,
1449,2014年01月01日至2014年09月30日,,,,              2639030,              2639030,                 24975,              2614055,              2614055,,,              2558341,              2558341,                 55714,                 55714,,,                124460,,                123860,,                 39174,                287494,               -231780,,,                  9120,,                 74979,,                 42189,,                  3086,                 44996,               -186784,,                  8748,               -195532,               -195532,,,                177874,                              0,                177874,,                 -5916,,                 -2158,                 -2158,                              0,                 -8074,                169800,                -25732,,               -182222,                -13310,,                -12473,                -13259,,                             -1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
