證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計
1506,2015年第3季,,,                363336,                363336,,,                295855,                295855,                 67481,                 67481,,,                 16906,,                 37374,,                  6300,                 60580,                  6901,,,                  9297,,                 16147,,                  5232,                 20212,                 27113,,                  5020,                 22093,                 22093,,,                -20919,                 -2037,                -18882,                -18882,                  3211,,                 22004,                     89,,                 12060,                 -8849,,                              0.18,                              0.18,,                              0.18,                              0.18,,,,,,
1506,2015年第2季,,,                427859,                427859,,,                353077,                353077,                 74782,                 74782,,,                 19154,,                 40277,,                  5912,                 65343,                  9439,,,                  4391,,                 -4119,,                  6172,                 -5900,                  3539,,                   -456,                  3995,                  3995,,,                -20933,                 -2984,                -17949,                -17949,                -13954,,                  4286,                   -291,,                -10281,                 -3673,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,
1506,2015年01月01日至2015年09月30日,,,              1169040,              1169040,,,                962452,                962452,                206588,                206588,,,                 53031,,                103643,,                 18605,                175279,                 31309,,,                 15819,,                  6833,,                 15834,                  6818,                 38127,,                  6695,                 31432,                 31432,,,                -84120,                -10933,                -73187,                -73187,                -41755,,                 32612,                 -1180,,                -20765,                -20990,,                              0.27,                              0.27,,                              0.27,                              0.27,,,,,,
1506,2015年01月01日至2015年06月30日,,,                805704,                805704,,,                666597,                666597,                139107,                139107,,,                 36125,,                 66269,,                 12305,                114699,                 24408,,,                  6522,,                 -9314,,                 10602,                -13394,                 11014,,                  1675,                  9339,                  9339,,,                -63201,                 -8896,                -54305,                -54305,                -44966,,                 10608,                 -1269,,                -32825,                -12141,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,
1506,2015年01月01日至2015年03月31日,,,                377845,                377845,,,                313520,                313520,                 64325,                 64325,,,                 16971,,                 25992,,                  6393,                 49356,                 14969,,,                  2131,,                 -5195,,                  4430,                 -7494,                  7475,,                  2131,                  5344,                  5344,,,                -42268,                 -5912,                -36356,                -36356,                -31012,,                  6322,                   -978,,                -22544,                 -8468,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,
1506,2014年第3季,,,                422724,                422724,,,                348691,                348691,                 74033,                 74033,,,                 17428,,                 35290,,                    790,                 53508,                 20525,,,                  3076,,                 -6896,,                  5141,                 -8961,                 11564,,                    429,                 11135,                 11135,,,                  7851,                  1333,                  6518,                  6518,                 17653,,                 13973,                 -2838,,                 20479,                 -2826,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,
1506,2014年第2季,,,                400211,                400211,,,                336293,                336293,                 63918,                 63918,,,                 17433,,                 29637,,                  5981,                 53051,                 10867,,,                  5058,,                 -7821,,                  3109,                 -5872,                  4995,,                    580,                  4415,                  4415,,,                 -7236,                 -1180,                 -6056,                 -6056,                 -1641,,                  4604,                   -189,,                 -1159,                   -482,,                              0.04,                              0.04,,                              0.04,                              0.04,,,,,,
1506,2014年度,,,              1566405,              1566405,,,              1322982,              1322982,                243423,                243423,,,                 67776,,                124111,,                 20637,                212524,                 30899,,,                  5566,,                -11785,,                 15529,                -21748,                  9151,,                  1620,                  7531,                  7531,,,,,,                 -1137,                  6394,,                 13052,                 -5521,,                 12290,                 -5896,,,                              0.11,,,,                 12930,                -14222,                   -155,,,
1506,2014年01月01日至2014年09月30日,,,              1153981,              1153981,,,                978662,                978662,                175319,                175319,,,                 49683,,                 93475,,                 10708,                153866,                 21453,,,                  9917,,                -11144,,                 11617,                -12844,                  8609,,                  1753,                  6856,                  6856,,,                 14428,                  1985,                 12443,                 12443,                 19299,,                 10749,                 -3893,,                 20439,                 -1140,,                              0.09,                              0.09,,                              0.09,                              0.09,,,,,,
1506,2014年01月01日至2014年06月30日,,,                731257,                731257,,,                629971,                629971,                101286,                101286,,,                 32255,,                 58185,,                  9918,                100358,                    928,,,                  6841,,                 -4248,,                  6476,                 -3883,                 -2955,,                  1324,                 -4279,                 -4279,,,                  6577,                    652,                  5925,                  5925,                  1646,,                 -3224,                 -1055,,                    -40,                  1686,,                             -0.03,                             -0.03,,                             -0.03,                             -0.03,,,,,,
