證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
2354,2015年第3季,,             25192194,,             21187759,              4004435,              4004435,,,                231845,,                372120,,                294158,                898123,              3106312,,,                765413,,                149741,,                 59576,,                -54712,                800866,              3907178,,                992888,              2914290,              2914290,,,              4261636,             -2446711,              1814925,              1814925,              4729215,,              2914812,                   -522,,              4726262,                  2953,,                              2.09,                              2.09,,                              2.08,                              2.08,,,,
2354,2015年第2季,,             24442021,,             19833220,              4608801,              4608801,,,                187550,,                592929,,                274025,              1054504,              3554297,,,                349716,,                 98984,,                 23780,,                -67675,                357245,              3911542,,              1024844,              2886698,              2886698,,,             -1115407,                536144,               -579263,               -579263,              2307435,,              2892315,                 -5617,,              2314375,                 -6940,,                              2.08,                              2.08,,                              2.07,                              2.07,,,,
2354,2015年01月01日至2015年09月30日,,             74060707,,             61104887,             12955820,             12955820,,,                618563,,              1862377,,                836899,              3317839,              9637981,,,              1524980,,                283678,,                119965,,               -171006,              1517687,             11155668,,              2386045,              8769623,              8769623,,,              2284517,             -1833679,                450838,                450838,              9220461,,              8776711,                 -7088,,              9226425,                 -5964,,                              6.30,                              6.30,,                              6.25,                              6.25,,,,
2354,2015年01月01日至2015年06月30日,,             48868513,,             39917128,              8951385,              8951385,,,                386718,,              1490257,,                542741,              2419716,              6531669,,,                759567,,                133937,,                 60389,,               -116294,                716821,              7248490,,              1393157,              5855333,              5855333,,,             -1977119,                613032,             -1364087,             -1364087,              4491246,,              5861899,                 -6566,,              4500163,                 -8917,,                              4.22,                              4.22,,                              4.19,                              4.19,,,,
2354,2015年01月01日至2015年03月31日,,             24426492,,             20083908,              4342584,              4342584,,,                199168,,                897328,,                268716,              1365212,              2977372,,,                409851,,                 34953,,                 36609,,                -48619,                359576,              3336948,,                368313,              2968635,              2968635,,,               -861712,                 76888,               -784824,               -784824,              2183811,,              2969584,                   -949,,              2185788,                 -1977,,                              2.16,                              2.16,,                              2.14,                              2.14,,,,
2354,2014年第3季,,             19976385,,             15897174,              4079211,              4079211,,,                234612,,                798674,,                814639,              1847925,              2231286,,,                455390,,                205157,,                 21874,,                -62357,                576316,              2807602,,                200941,              2606661,              2606661,,,              1551423,               -356628,              1194795,              1194795,              3801456,,              2610208,                 -3547,,              3802233,                   -777,,                              1.88,                              1.88,,                              1.87,                              1.87,,,,
2354,2014年第2季,,             13485355,,             10903925,              2581430,              2581430,,,                132735,,                788424,,                325414,              1246573,              1334857,,,                291790,,                -56703,,                 20375,,                -54469,                160243,              1495100,,                135229,              1359871,              1359871,,,             -1213625,                750818,               -462807,               -462807,                897064,,              1369605,                 -9734,,                908588,                -11524,,                              0.99,                              0.99,,                              0.98,                              0.98,,,,
2354,2014年度,,             83895142,,             68630993,             15264149,             15264149,,,                758114,,              3130172,,              1666606,              5554892,              9709257,,,              1370492,,                178557,,                 89682,,               -200711,              1258656,             10967913,,              1585626,              9382287,              9382287,,,,,,              4428146,             13810433,,              9402359,                -20072,,             13827105,                -16672,,                              6.84,                              6.84,,                              6.79,                              6.79,              3610542,                817292,                    376,                     64
2354,2014年01月01日至2014年09月30日,,             44659705,,             36376946,              8282759,              8282759,,,                502841,,              2334405,,              1369930,              4207176,              4075583,,,              1000114,,               -149252,,                 58915,,               -122906,                669041,              4744624,,                447633,              4296991,              4296991,,,                980720,                425100,              1405820,              1405820,              5702811,,              4315573,                -18582,,              5720933,                -18122,,                              3.11,                              3.11,,                              3.09,                              3.09,,,,
2354,2014年01月01日至2014年06月30日,,             24683320,,             20479772,              4203548,              4203548,,,                268229,,              1535731,,                555291,              2359251,              1844297,,,                544724,,               -354409,,                 37041,,                -60549,                 92725,              1937022,,                246692,              1690330,              1690330,,,               -570703,                781728,                211025,                211025,              1901355,,              1705365,                -15035,,              1918700,                -17345,,                              1.23,                              1.23,,                              1.22,                              1.22,,,,
