證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 分期付款銷貨收入,　　　 銷貨收入淨額,　　 投資收入（投資公司適用）,　　　 利息收入-營業收入,　　　 地產出售收入（開發投資公司適用）,　　　 投資收入（投資公司適用）合計,　　 租賃收入,　　　 租賃收入,　　　 租賃收入合計,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 投資支出（投資公司適用）,　　　 利息費用,　　　 投資支出（投資公司適用）合計,　　 租賃成本,　　　 租賃成本,　　　 租賃成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 國外營運機構淨投資避險中屬有效避險部分之避險工具利益(損失),　　　 可能重分類至損益之其他項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 管理費用,　　　 管理費用合計,　　 其他收益,　　 其他費損
5871,2014年01月01日至2014年03月31日,,,,              1861528,              1861528,,              1861528,,              4246055,,              4246055,,                451368,                451368,,              1887973,              1887973,              8446924,,,              1645761,              1645761,,              1015436,              1015436,,                332445,                332445,                722856,              3716498,              4730426,              4730426,,              2572925,,                 35467,              2192968,,,,                 24068,,                 24068,,                 -6709,,                 -1543,                 15816,              2208784,,                570981,              1637803,              1637803,,,                180407,               -106606,                 61408,                -53015,                -41762,                  9973,                 30459,                 30459,              1668262,,              1561821,                 75982,,              1531282,                136980,,                              1.43,                              1.43,,,,,,,,,,,,,
5871,2013年第3季,,,,              1733146,              1733146,,              1733146,,              4159144,,              4159144,,                509624,                509624,,              1030457,              1030457,              7432371,,,              1561941,              1561941,,                985456,                985456,,                441873,                441873,                168408,              3157678,              4274693,              4274693,,              2307539,,                 24440,              1991594,,,,                 27557,                 32834,                 60391,,                  2500,,                  1790,                 64681,              2056275,,                566358,              1489917,              1489917,,,,,,,,,,                109658,              1599575,,              1408542,                 81375,,              1564771,                 34804,,                              1.28,                              1.28,,,               -344773,                401664,                  4105,                    828,,                 26144,                -21690,,,,
5871,2013年第2季,,,,              1383673,              1383673,,              1383673,,              3903117,,              3903117,,                628043,                628043,,              1084134,              1084134,              6998967,,,              1237404,              1237404,,              1001287,              1001287,,                459002,                459002,                159835,              2857528,              4141439,              4141439,,              2086006,,                 48406,              2103839,,,,                 35917,                              0,                 35917,,                 56616,,                 -3133,                 89400,              2193239,,                625841,              1567398,              1567398,,,,,,,,,,                 19836,              1587234,,              1482419,                 84979,,              1590307,                 -3073,,                              1.35,                              1.35,,,                114313,                -84168,                  3928,                 66035,,                -86113,                 -5841,,              2086006,,
5871,2013年度,,,,              7172933,              7172933,,              7172933,,             15981592,,             15981592,,              2270196,              2270196,,              4986959,              4986959,             30411680,,,              6430492,              6430492,,              3985775,              3985775,,              1766902,              1766902,              1184117,             13367286,             17044394,             17044394,,              9153989,,                152225,              8042630,,,,                127842,                 33876,                161718,,                374692,,                 -2459,                533951,              8576581,,              2368593,              6207988,              6207988,,,,,,,,,,              1211552,              7419540,,              5883044,                324944,,              7166836,                252704,,                              5.37,                              5.37,,,                866066,                533829,                -28523,                -27080,                 36743,               -124614,                 44869,,,,
5871,2013年07月01日至2013年09月30日,,,,              1733146,              1733146,,              1733146,,              4159144,,              4159144,,                509624,                509624,,              1030457,              1030457,              7432371,,,              1561941,              1561941,,                985456,                985456,,                441873,                441873,                168408,              3157678,              4274693,              4274693,,              2307539,,                 24440,              1991594,,,,                 27557,                 32834,                 60391,,                  2500,,                  1790,                 64681,              2056275,,                566358,              1489917,              1489917,,,,,,,,,,                109658,              1599575,,              1408542,                 81375,,              1564771,                 34804,,                              1.41,                              1.41,,,               -323083,                401664,                  4105,                    828,,                 26144,,,              2307539,,
5871,2013年04月01日至2013年06月30日,,,,              1383673,              1383673,,              1383673,,              3903117,,              3903117,,                628043,                628043,,              1084134,              1084134,              6998967,,,              1237404,              1237404,,              1001287,              1001287,,                459002,                459002,                159835,              2857528,              4141439,              4141439,,              2086006,,                 48406,              2103839,,,,                 35917,,                 35917,,                 56616,,                 -3133,                 89400,              2193239,,                625841,              1567398,              1567398,,,,,,,,,,                 19836,              1587234,,              1482419,                 84979,,              1590307,                 -3073,,                              1.64,                              1.64,,,                120154,                -84168,                  3928,                 66035,,                -86113,,,              2086006,,
5871,2013年01月01日至2013年12月31日,,,,              7172933,              7172933,,              7172933,,             15981592,,             15981592,,              2270196,              2270196,,              4986959,              4986959,             30411680,,,              6430492,              6430492,,              3985775,              3985775,,              1766902,              1766902,              1184117,             13367286,             17044394,             17044394,,              9153989,,                152225,              8042630,,,,                127842,                 33876,                161718,,                374692,,                 -2459,                533951,              8576581,,              2368593,              6207988,              6207988,,,,,,,,,,              1211552,              7419540,,              5883044,                324944,,              7166836,                252704,,                              5.91,                              5.91,,,                866066,                533829,                -28523,                -27080,                 36743,               -124614,                 44869,,              9153989,,
5871,2013年01月01日至2013年09月30日,,,,              4355104,              4355104,,              4355104,,             11839974,,             11839974,,              1802546,              1802546,,              2922544,              2922544,             20920168,,,              3901587,              3901587,,              2989112,              2989112,,              1410588,              1410588,                478449,              8779736,             12140432,             12140432,,              6276406,,                106529,              5970555,,,,                102575,                 32834,                135409,,                179366,,                 -1298,                313477,              6284032,,              1761842,              4522190,              4522190,,,,,,,,,,                810695,              5332885,,              4277228,                244962,,              5092904,                239981,,                              3.90,                              3.90,,,                591839,                354194,                  9968,                 -9855,,               -109896,                 25555,,,,
5871,2013年01月01日至2013年06月30日,,,,              2621958,              2621958,,              2621958,,              7680830,,              7680830,,              1292922,              1292922,,              1892087,              1892087,             13487797,,,              2339646,              2339646,,              2003656,              2003656,,                968715,                968715,                310041,              5622058,              7865739,              7865739,,              3968867,,                 82089,              3978961,,,,                 75018,                              0,                 75018,,                176866,,                 -3088,                248796,              4227757,,              1195484,              3032273,              3032273,,,,,,,,,,                701037,              3733310,,              2868686,                163587,,              3528133,                205177,,                              2.62,                              2.62,,,                936612,                -47470,                  5863,                -10683,,               -136040,                 47245,,              3968867,,
5871,2013年01月01日至2013年03月31日,,,,              1238285,              1238285,,              1238285,,              3777713,,              3777713,,                664879,                664879,,                807953,                807953,              6488830,,,              1102242,              1102242,,              1002369,              1002369,,                509713,                509713,                150206,              2764530,              3724300,              3724300,,              1882861,,                 33683,              1875122,,,,                 39101,,                 39101,,                120250,,                     45,                159396,              2034518,,                569643,              1464875,              1464875,,,,,,,,,,                681201,              2146076,,              1386267,                 78608,,              1937826,                208250,,                              1.39,                              1.39,,,                822299,                 36698,                  1935,                -76718,,                -49927,                 53086,,              1882861,,
5871,2012年07月01日至2012年09月30日,,,,                584654,                584654,,                584654,,              3381397,,              3381397,,                695124,                695124,,                776564,                776564,              5437739,,,                529116,                529116,,              1003767,              1003767,,                700594,                700594,                142141,              2375618,              3062121,              3062121,,              1723900,,                 36981,              1375202,,,,                 20807,                 29546,                 50353,,                388588,,                     27,                438968,              1814170,,                560961,              1253209,              1253209,,,,,,,,,,                -57121,              1196088,,              1183595,                 69614,,              1104868,                 91220,,                              1.37,                              1.37,,,                -93052,                -13338,                  3461,                 10240,,                 35568,,,              1723900,,
5871,2012年04月01日至2012年06月30日,,,,                491802,                491802,,                491802,,              3152085,,              3152085,,                754574,                754574,,                686853,                686853,              5085314,,,                449179,                449179,,                968911,                968911,,                683542,                683542,                170200,              2271832,              2813482,              2813482,,              1567798,,                 53210,              1298894,,,,                 25314,,                 25314,,                 67502,,                     31,                 92847,              1391741,,                462916,                928825,                928825,,,,,,,,,,                -23424,                905401,,                870210,                 58615,,                866932,                 38469,,                              1.10,                              1.10,,,                 35153,                -29974,                  1848,                 -7955,,                -22496,,,              1567798,,
5871,2012年01月01日至2012年12月31日,,,,              2632479,              2632479,,              2632479,,             13144262,,             13144262,,              2901738,              2901738,,              2734116,              2734116,             21412595,,,              2415197,              2415197,,              3965622,              3965622,,              2579770,              2579770,                540665,              9501254,             11911341,             11911341,,              7128393,,                255458,              5038406,,,,                 86813,                 29995,                116808,,                717866,,                    111,                834785,              5873191,,              1838243,              4034948,              4034948,,,,,,,,,,               -183714,              3851234,,              3786160,                248788,,              3609100,                242134,,                              4.25,                              4.25,,,               -388182,                126129,                  4592,                 29695,                -92291,                 75473,                -60870,,              7128393,,
5871,2012年01月01日至2012年09月30日,,,,              1428882,              1428882,,              1428882,,              9556403,,              9556403,,              2241170,              2241170,,              1960985,              1960985,             15187440,,,              1303479,              1303479,,              2957928,              2957928,,              2058825,              2058825,                390101,              6710333,              8477107,              8477107,,              4924099,,                226559,              3779567,,,,                 64599,                 29770,                 94369,,                477731,,                     87,                572187,              4351754,,              1385191,              2966563,              2966563,,,,,,,,,,               -127737,              2838826,,              2789338,                177225,,              2661775,                177051,,                              3.23,                              3.23,,,               -329537,                116422,                  8624,                 16785,,                 59969,,,              4924099,,
5871,2012年01月01日至2012年06月30日,,,,                844228,                844228,,                844228,,              6175006,,              6175006,,              1546046,              1546046,,              1184421,              1184421,              9749701,,,                774363,                774363,,              1954161,              1954161,,              1358231,              1358231,                247960,              4334715,              5414986,              5414986,,              3200199,,                189578,              2404365,,,,                 43792,,                 43792,,                 89367,,                     60,                133219,              2537584,,                824230,              1713354,              1713354,,,,,,,,,,                -70616,              1642738,,              1605743,                107611,,              1556907,                 85831,,                              2.04,                              2.04,,,               -236485,                129760,                  5163,                  6545,,                 24401,,,              3200199,,
5871,2012年01月01日至2012年03月31日,,,,                352426,                352426,,                352426,,              3022921,,              3022921,,                791472,                791472,,                497568,                497568,              4664387,,,                325184,                325184,,                985250,                985250,,                674689,                674689,                 77760,              2062883,              2601504,              2601504,,              1632401,,                136368,              1105471,,,,                 18478,,                 18478,,                 21865,,                     29,                 40372,              1145843,,                361314,                784529,                784529,,,,,,,,,,                -47192,                737337,,                735533,                 48996,,                689975,                 47362,,                              0.94,                              0.94,,,               -271638,                159734,                  3315,                 14500,,                 46897,,,              1632401,                137251,                    883
