證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2489,2014年01月01日至2014年03月31日,,              5734972,,              5104912,                630060,                630060,,,                335934,,                 90260,,                149295,                575489,                 54571,,,                 82797,,                216908,,                  8404,,                 59548,                350849,                405420,,                 57769,                347651,                347651,,,                -14143,                156625,,                  2543,                  8540,                136485,                136485,                484136,,                342710,                  4941,,                429296,                 54840,,                              0.42,                              0.42,,                              0.42,                              0.42,,,,,,
2489,2013年第3季,,              7715491,,              7006937,                708554,                708554,,,                439281,,                 65797,,                126901,                631979,                 76575,,,                109990,,                113508,,                  5918,,                 34055,                251635,                328210,,                 40987,                287223,                287223,,,,,,,,,               -109934,                177289,,                288080,                   -857,,                191215,                -13926,,                              0.36,                              0.36,,                              0.36,                              0.36,                -62739,                -46214,,,                 -4950,                 -3969
2489,2013年第2季,,              6771870,,              6180427,                591443,                591443,,,                344673,,                 66657,,                145105,                556435,                 35008,,,                 89271,,                141768,,                  8576,,                 61686,                284149,                319157,,                 41429,                277728,                277728,,,,,,,,,                 74238,                351966,,                275927,                  1801,,                362437,                -10471,,                              0.34,                              0.34,,                              0.34,                              0.34,                 83229,                 -4875,,,                    802,                  4918
2489,2013年第1季,,              6424805,,              5830324,                594481,                594481,,,                324165,,                 61990,,                147912,                534067,                 60414,,,                 97925,,                190046,,                 18183,,                -24674,                245114,                305528,,                 57606,                247922,                247922,,,,,,,,,                194621,                442543,,                246766,                  1156,,                429187,                 13356,,                              0.31,                              0.31,,                              0.30,                              0.30,                147651,                 54873,,,                              0,                  7903
2489,2013年度,,             29505342,,             26846592,              2658750,              2658750,,,              1464583,,                271576,,                577193,              2313352,                345398,,,                529493,,                341428,,                 35135,,                158768,                994554,              1339952,,                195766,              1144186,              1144186,,,,,,,,,                338968,              1483154,,              1130245,                 13941,,              1480657,                  2497,,                              1.40,                              1.40,,                              1.38,                              1.38,                268050,                 86692,                  6238,,                   -425,                 21587
2489,2013年07月01日至2013年09月30日,,              7715491,,              7006937,                708554,                708554,,,                439281,,                 65797,,                126901,                631979,                 76575,,,                109990,,                113508,,                  5918,,                 34055,                251635,                328210,,                 40987,                287223,                287223,,,,,,,,,               -109934,                177289,,                288080,                   -857,,                191215,                -13926,,                              0.36,                              0.36,,                              0.36,                              0.36,                -62739,                -46214,,,                 -4950,                 -3969
2489,2013年04月01日至2013年06月30日,,              6771870,,              6180427,                591443,                591443,,,                344673,,                 66657,,                145105,                556435,                 35008,,,                 89271,,                141768,,                  8576,,                 61686,                284149,                319157,,                 41429,                277728,                277728,,,,,,,,,                 74238,                351966,,                275927,                  1801,,                362437,                -10471,,                              0.34,                              0.34,,                              0.34,                              0.34,                 83229,                 -4875,,,                    802,                  4918
2489,2013年01月01日至2013年12月31日,,             29505342,,             26846592,              2658750,              2658750,,,              1464583,,                271576,,                577193,              2313352,                345398,,,                529493,,                341428,,                 35135,,                158768,                994554,              1339952,,                195766,              1144186,              1144186,,,,,,,,,                338968,              1483154,,              1130245,                 13941,,              1480657,                  2497,,                              1.40,                              1.40,,                              1.38,                              1.38,                268050,                 86692,                  6238,,                   -425,                 21587
2489,2013年01月01日至2013年09月30日,,             20912166,,             19017688,              1894478,              1894478,,,              1108119,,                194444,,                419918,              1722481,                171997,,,                297186,,                445322,,                 32677,,                 71067,                780898,                952895,,                140022,                812873,                812873,,,,,,,,,                158925,                971798,,                810773,                  2100,,                982839,                -11041,,                              1.01,                              1.01,,                              0.99,                              0.99,                168141,                  3784,,,                 -4148,                  8852
2489,2013年01月01日至2013年06月30日,,             13196675,,             12010751,              1185924,              1185924,,,                668838,,                128647,,                293017,              1090502,                 95422,,,                187196,,                331814,,                 26759,,                 37012,                529263,                624685,,                 99035,                525650,                525650,,,,,,,,,                268859,                794509,,                522693,                  2957,,                791624,                  2885,,                              0.65,                              0.65,,                              0.64,                              0.64,                230880,                 49998,,,                    802,                 12821
2489,2013年01月01日至2013年03月31日,,              6424805,,              5830324,                594481,                594481,,,                324165,,                 61990,,                147912,                534067,                 60414,,,                 97925,,                190046,,                 18183,,                -24674,                245114,                305528,,                 57606,                247922,                247922,,,,,,,,,                194621,                442543,,                246766,                  1156,,                429187,                 13356,,                              0.31,                              0.31,,                              0.30,                              0.30,                147651,                 54873,,,,                  7903
2489,2012年07月01日至2012年09月30日,,              9870623,,              8862382,              1008241,              1008241,,,                515155,,                 74104,,                168439,                757698,                250543,,,                137856,,                214188,,                 14470,,                 13910,                351484,                602027,,                 89786,                512241,                512241,,,,,,,,,               -114742,                397499,,                498592,                 13649,,                385089,                 12410,,                              0.63,                              0.63,,                              0.61,                              0.61,               -106137,                 -9921,,,                              0,                 -1316
2489,2012年04月01日至2012年06月30日,,             10004428,,              8966173,              1038255,              1038255,,,                558270,,                 85799,,                212221,                856290,                181965,,,                155686,,                162699,,                 13956,,                 43122,                347551,                529516,,                 87731,                441785,                441785,,,,,,,,,                 59742,                501527,,                439856,                  1929,,                506888,                 -5361,,                              0.55,                              0.55,,                              0.53,                              0.53,                 40347,                 16200,,,                              0,                 -3195
2489,2012年01月01日至2012年12月31日,,             37048821,,             33247946,              3800875,              3800875,,,              1898998,,                305191,,                769746,              2973935,                826940,,,                692003,,                 34171,,                 68810,,                187283,                844647,              1671587,,                208448,              1463139,              1463139,,,,,,,,,               -272572,              1190567,,              1441710,                 21429,,              1202988,                -12421,,                              1.81,                              1.81,,                              1.74,                              1.74,               -160173,               -132010,                  4326,,                              0,                -15285
2489,2012年01月01日至2012年09月30日,,             30369847,,             27290000,              3079847,              3079847,,,              1524414,,                234506,,                546295,              2305215,                774632,,,                368913,,                507433,,                 57332,,                126806,                945820,              1720452,,                302167,              1418285,              1418285,,,,,,,,,               -264555,              1153730,,              1399374,                 18911,,              1187178,                -33448,,                              1.76,                              1.76,,                              1.70,                              1.70,               -192592,                -78780,,,                              0,                 -6817
2489,2012年01月01日至2012年06月30日,,             20499224,,             18427618,              2071606,              2071606,,,              1009259,,                160402,,                377856,              1547517,                524089,,,                231057,,                293245,,                 42862,,                112896,                594336,              1118425,,                212381,                906044,                906044,,,,,,,,,               -149813,                756231,,                900782,                  5262,,                802089,                -45858,,                              1.13,                              1.13,,                              1.09,                              1.09,                -86455,                -68859,,,                              0,                 -5501
2489,2012年01月01日至2012年03月31日,,             10494796,,              9461445,              1033351,              1033351,,,                450989,,                 74603,,                165635,                691227,                342124,,,                 75371,,                130546,,                 28906,,                 69774,                246785,                588909,,                124650,                464259,                464259,,,,,,,,,               -209555,                254704,,                460926,                  3333,,                295201,                -40497,,                              0.57,                              0.57,,                              0.56,                              0.56,               -126802,                -85059,,,,                 -2306
