證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 現金流量避險,　　 管理費用,　　　 管理費用合計
2603,2015年第3季,,             33036256,,             34246607,             -1210351,                 35753,                  1722,             -1244382,,              1403175,,                    108,             -2647449,,,                183893,,               -199588,,                238470,,                155059,                -99106,             -2746555,,               -180388,             -2566167,             -2566167,,,              2196987,                821024,                -47142,,                -58355,                  6123,              2906391,              2906391,                340224,,             -2413939,               -152228,,                415558,                -75334,,                             -0.69,,                             -0.69,,,,,,,,,
2603,2015年第2季,,             34800478,,             33166253,              1634225,                 29371,                  1053,              1605907,,              1469240,,                212236,                348903,,,                203623,,               -189370,,                221933,,                -20682,               -228362,                120541,,                170529,                -49988,                -49988,,,               -626159,                223905,                -12012,,                -37693,                 12710,               -464669,               -464669,               -514657,,               -152949,                102961,,               -446733,                -67924,,                             -0.04,,                             -0.04,,,,,,,,,
2603,2015年01月01日至2015年09月30日,,            103140734,,             99550921,              3589813,                 81068,                  3093,              3511838,,              4245916,,                258726,               -475352,,,                538159,,               -209119,,                677875,,                288683,                -60152,               -535504,,                224089,               -759593,               -759593,,,                608694,              1588276,                -65335,,                -35910,                 33194,              2062531,              2062531,              1302938,,             -1040936,                281343,,              1305525,                 -2587,,                             -0.30,,                             -0.30,,,,,,,,,
2603,2015年01月01日至2015年06月30日,,             70104478,,             65304314,              4800164,                 45315,                  1371,              4756220,,              2842741,,                258618,              2172097,,,                354266,,                 -9531,,                439405,,                133624,                 38954,              2211051,,                404477,              1806574,              1806574,,,             -1588293,                767252,                -18193,,                 22445,                 27071,               -843860,               -843860,                962714,,              1373003,                433571,,                889967,                 72747,,                              0.39,,                              0.39,,,,,,,,,
2603,2015年01月01日至2015年03月31日,,             35304000,,             32138061,              3165939,                 15944,                    318,              3150313,,              1373501,,                 46382,              1823194,,,                150643,,                179839,,                217472,,                154306,                267316,              2090510,,                233948,              1856562,              1856562,,,               -962134,                543347,                 -6181,,                 60138,                 14361,               -379191,               -379191,              1477371,,              1525952,                330610,,              1336700,                140671,,                              0.44,,                              0.44,,,,,,,,,
2603,2014年第3季,,             37597875,,             33484373,              4113502,                              0,                              0,              4113502,,              1369810,,                 88669,              2832361,,,                195685,,                180103,,                137870,,               -248577,                -10659,              2821702,,                346038,              2475664,              2475664,,,                550724,                -51681,                -12329,,                278573,                 -2269,                767556,                767556,              3243220,,              1863538,                612126,,              2596143,                647077,,                              0.53,,                              0.53,,,,,,,,,
2603,2014年第2季,,             35178947,,             33277837,              1901110,                              0,                              0,              1901110,,              1430955,,                136759,                606914,,,                539494,,               -231271,,                147778,,               -141308,                 19137,                626051,,                213767,                412284,                412284,,,               -518137,                 65324,                              0,,                -27941,                  2756,               -483510,               -483510,                -71226,,                150429,                261855,,               -582099,                510873,,                              0.04,,                              0.04,,,,,,,,,
2603,2014年度,,            144284374,,            136937563,              7346811,                  2104,                    105,              7344812,,              5726223,,              2167500,              3786089,,,              1260546,,                253192,,                539372,,             -1520597,               -546231,              3239858,,              1184694,              2055164,              2055164,,,,,,,,,,              2593310,              4648474,,              1176039,                879125,,              3620467,              1028007,,                              0.34,,                              0.34,              2072748,                235857,                  7582,,                278822,                  1699,,,
2603,2014年01月01日至2014年09月30日,,            107097536,,            101258302,              5839234,                              0,                              0,              5839234,,              4200060,,                419012,              2058186,,,                961033,,                 12393,,                413735,,             -1076544,               -516853,              1541333,,                579636,                961697,                961697,,,                745805,                 18790,                -12329,,                335735,                  1631,              1086370,              1086370,              2048067,,                320132,                641565,,              1247278,                800789,,                              0.09,,                              0.09,,,,,,,,,
2603,2014年01月01日至2014年06月30日,,             69499661,,             67773929,              1725732,                              0,                              0,              1725732,,              2830250,,                330343,               -774175,,,                765348,,               -167710,,                275865,,               -827967,               -506194,             -1280369,,                233598,             -1513967,             -1513967,,,                195081,                 70471,                              0,,                 57162,                  3900,                318814,                318814,             -1195153,,             -1543406,                 29439,,             -1348865,                153712,,                             -0.44,,                             -0.44,,,,,,,,,
