證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅
3474,2015年第3季,,             14490329,,             10407994,              4082335,              4082335,,,                 86348,,                132902,                219250,              3863085,,,,                 47966,                 47966,,              2702070,,                 68899,              2681137,              6544222,,                770703,              5773519,              5773519,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    429,                              0,                    429,                    429,              5773948,,              5773519,,              5773948,,                              0.88,,                              0.88,,,
3474,2015年第2季,,             16244585,,             10282413,              5962172,              5962172,,,                 85600,,                204055,                289655,              5672517,,,,                 56758,                 56758,,               -449735,,                 91172,               -484149,              5188368,,                600018,              4588350,              4588350,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    -67,                              0,                    -67,                    -67,              4588283,,              4588350,,              4588283,,                              0.70,,                              0.70,,,
3474,2015年01月01日至2015年09月30日,,             49188726,,             29953767,             19234959,             19234959,,,                255875,,                740028,                995903,             18239056,,,,                165272,                165272,,              1809813,,                269249,              1705836,             19944892,,              2314094,             17630798,             17630798,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                    298,                              0,                    298,                    298,             17631096,,             17630798,,             17631096,,                              2.69,,                              2.68,,,
3474,2015年01月01日至2015年06月30日,,             34698397,,             19545773,             15152624,             15152624,,,                169527,,                607126,                776653,             14375971,,,,                117306,                117306,,               -892257,,                200350,               -975301,             13400670,,              1543391,             11857279,             11857279,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                   -131,                              0,                   -131,                   -131,             11857148,,             11857279,,             11857148,,                              1.81,,                              1.80,,,
3474,2015年01月01日至2015年03月31日,,             18453812,,              9263360,              9190452,              9190452,,,                 83927,,                403071,                486998,              8703454,,,,                 60548,                 60548,,               -442522,,                109178,               -491152,              8212302,,                943373,              7268929,              7268929,,,,,,,,,,,,,,                    -64,                              0,                    -64,                    -64,              7268865,,              7268929,,              7268865,,                              1.11,,                              1.10,,,
3474,2014年第3季,,             20267349,,              9442959,             10824390,             10824390,,,                 76929,,                234532,                311461,             10512929,,,,                 86652,                 86652,,              1260861,,                231254,              1116259,             11629188,,                     15,             11629173,             11629173,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,             11629173,,             11629173,,             11629173,,                              1.78,,                              1.77,,,
3474,2014年第2季,,             21449966,,              9428649,             12021317,             12021317,,,                 73291,,                233067,                306358,             11714959,,,,                 84900,                 84900,,               -930574,,                254009,             -1099683,             10615276,,                    289,             10614987,             10614987,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,             10614987,,             10614987,,             10614987,,                              1.68,,                              1.68,,,
3474,2014年度,,             82570966,,             37439423,             45131543,             45131543,,,                319254,,              1028301,              1347555,             43783988,,,,                283757,                283757,,              3522381,,                905158,              2900980,             46684968,,             -6227799,             52912767,             52912767,,,,,,,,,,,,,,,,,                    100,             52912867,,             52912767,,             52912867,,                              8.32,,                              8.24,             -6227799,                    100,                              0
3474,2014年01月01日至2014年09月30日,,             61941606,,             28162532,             33779074,             33779074,,,                221511,,                605932,                827443,             32951631,,,,                216052,                216052,,              1082537,,                759906,                538683,             33490314,,                    304,             33490010,             33490010,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,             33490010,,             33490010,,             33490010,,                              5.31,,                              5.26,,,
3474,2014年01月01日至2014年06月30日,,             41674257,,             18719573,             22954684,             22954684,,,                144582,,                371400,                515982,             22438702,,,,                129400,                129400,,               -178324,,                528652,               -577576,             21861126,,                    289,             21860837,             21860837,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,             21860837,,             21860837,,             21860837,,                              3.53,,                              3.51,,,
