證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　 其他費損,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 其他收益
2227,2015年第3季,,,              7873927,,                  2486,,                 12860,              7889273,,,              6718438,              6718438,              1170835,              1170835,,,                727247,,                 96381,,                121297,                944925,,                   -903,                225007,,,,                136979,                    147,                137126,,                  6495,               -257131,                 -2795,                  3847,               -257278,,                  9175,                  9175,,                933291,                803964,              1028971,,                174163,                854808,                854808,,,                    -38,,                    -24,                    -10,                    -52,,                839550,                839550,                839498,              1694306,,                854808,,              1694306,,                              2.85,                              2.85,,                              2.85,                              2.85,,,,,,,,,,
2227,2015年第2季,,,              9654276,,                              0,,                  7826,              9662102,,,              7953290,              7953290,              1708812,              1708812,,,              1028481,,                128804,,                127409,              1284694,,                     -4,                424114,,,,                 59090,                    343,                 59433,,                  4046,,                  1975,                  3533,               -168749,,                  9059,                  9059,,              1341599,              1223224,              1647338,,                261197,              1386141,              1386141,,,                    -37,,                              0,                     -6,                    -31,,               -256891,               -256891,               -256922,              1129219,,              1386141,,              1129219,,                              4.62,                              4.62,,                              4.62,                              4.62,                171237,,,,,,,,,
2227,2015年01月01日至2015年09月30日,,,             26557256,,                  7392,,                 28981,             26593629,,,             22539313,             22539313,              4054316,              4054316,,,              2347599,,                339793,,                387031,              3074423,,                 -1231,                978662,,,,                306855,                    874,                307729,,                    890,               -525271,                 14626,                 11722,               -521477,,                 27347,                 27347,,              3177245,              2936150,              3914812,,                648548,              3266264,              3266264,,,                      4,,                   -283,                    -47,                   -232,,                246905,                246905,                246673,              3512937,,              3266264,,              3512937,,                             10.89,                             10.89,,                             10.88,                             10.88,,,,,,,,,,
2227,2015年01月01日至2015年06月30日,,,             18683329,,                  4906,,                 16121,             18704356,,,             15820875,             15820875,              2883481,              2883481,,,              1620352,,                243412,,                265734,              2129498,,                   -328,                753655,,,,                169876,                    727,                170603,,                 -5605,,                 17421,                  7875,               -264199,,                 18172,                 18172,,              2243954,              2132186,              2885841,,                474385,              2411456,              2411456,,,                     42,,                   -259,                    -37,                   -180,,               -592645,               -592645,               -592825,              1818631,,              2411456,,              1818631,,                              8.04,                              8.04,,                              8.03,                              8.03,                268140,,,,,,,,,
2227,2015年01月01日至2015年03月31日,,,              9029053,,                  4906,,                  8295,              9042254,,,              7867585,              7867585,              1174669,              1174669,,,                591871,,                114608,,                138325,                844804,,                   -324,                329541,,,,                110786,                    384,                111170,,                 -9651,                -96903,                 15446,                  4342,                -95450,,                  9113,                  9113,,                902355,                908962,              1238503,,                213188,              1025315,              1025315,,,                     79,,                   -259,                    -31,                   -149,,               -335754,               -335754,               -335903,                689412,,              1025315,,                689412,,                              3.42,                              3.42,,                              3.42,                              3.42,,                    324,,,,,,,,
2227,2014年第3季,,,              8097969,,                    138,,                 12496,              8110603,,,              7004498,              7004498,              1106105,              1106105,,,                607130,,                 82723,,                168861,                858714,,                    -30,                247361,,,,                 90141,                  1670,                 91811,,                   -802,                115699,                   -872,                  3289,                110736,,                 11051,                 11051,,              1300848,              1492344,              1739705,,                296083,              1443622,              1443622,,,                    -36,,                              0,                     -6,                    -30,,                359166,                359166,                359136,              1802758,,              1443622,,              1802758,,                              4.81,                              4.81,,                              4.81,                              4.81,,,,,,,,,,
2227,2014年第2季,,,             10071171,,                  5836,,                 20116,             10097123,,,              8845747,              8845747,              1251376,              1251376,,,                720231,,                102276,,                134136,                956643,,                  1161,                295894,,,,                106219,                  1087,                107306,,                              0,,                  3153,                  4498,               -153406,,                 11433,                 11433,,              1446671,              1389138,              1685032,,                405059,              1279973,              1279973,,,                    -34,,                              0,                     -5,                    -29,,               -497671,               -497671,               -497700,                782273,,              1279973,,                782273,,                              4.27,                              4.27,,                              4.27,                              4.27,                152061,,,,,,,,,
2227,2014年度,,,             33126357,,                  8078,,                 42402,             33176837,,,             28855176,             28855176,              4321661,              4321661,,,              2564472,,                385186,,                586905,              3536563,,                  1131,                786229,,,,                398147,                  5078,                403225,,                  5964,                287674,                 14032,                 21399,                286271,,                 42689,                 42689,,              6593641,              7240448,              8026677,,              1502918,              6523759,              6523759,,,,,,,,,,,              1207276,              7731035,,              6523759,,              7731035,,                             21.75,                             21.75,,                             21.74,                             21.74,,,              1206461,                    982,                    167,,,,,
2227,2014年01月01日至2014年09月30日,,,             26341376,,                  7832,,                 38116,             26387324,,,             23080047,             23080047,              3307277,              3307277,,,              1992112,,                289582,,                429202,              2710896,,                  1131,                597512,,,,                315820,                  2827,                318647,,                  6472,               -125517,                  4209,                 15170,               -130006,,                 33040,                 33040,,              4107970,              4263571,              4861083,,                941929,              3919154,              3919154,,,                    -23,,                              0,                     -4,                    -19,,                254744,                254744,                254725,              4173879,,              3919154,,              4173879,,                             13.06,                             13.06,,                             13.06,                             13.06,,,,,,,,,,
2227,2014年01月01日至2014年06月30日,,,             18243407,,                  7694,,                 25620,             18276721,,,             16075549,             16075549,              2201172,              2201172,,,              1384982,,                206859,,                260341,              1852182,,                  1161,                350151,,,,                225679,                  1157,                226836,,                  7274,,                  5081,                 11881,               -240742,,                 21989,                 21989,,              2807122,              2771227,              3121378,,                645846,              2475532,              2475532,,,                     13,,                              0,                      2,                     11,,               -104422,               -104422,               -104411,              2371121,,              2475532,,              2371121,,                              8.25,                              8.25,,                              8.25,                              8.25,                241216,,,,,,,,,
2227,2014年01月01日至2014年03月31日,,,              8172236,,                  1858,,                  5504,              8179598,,,              7229802,              7229802,                949796,                949796,,,                664751,,                104583,,                126205,                895539,,                              0,                 54257,,,,                119460,                     70,                119530,,                  7274,                -89155,                  1928,                  7383,                -87336,,                 10556,                 10556,,              1360451,              1382089,              1436346,,                240787,              1195559,              1195559,,,                     47,,                              0,                      7,                     40,,                393249,                393249,                393289,              1588848,,              1195559,,              1588848,,                              3.99,                              3.99,,                              3.98,                              3.98,,                              0,,,,,,,,
