證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
1465,2015年第3季,,                625922,,                533211,                 92711,                 92711,,,                 16405,,                 45749,,                  1687,                 63841,                 28870,,,                  9862,,                 29294,,                    316,                 38840,                 67710,,                  9030,                 58680,                 58680,,,                 64449,                 -8495,                 55954,                 55954,                114634,,                 51397,                  7283,,                 84333,                 30301,,                              0.50,                              0.50,,                              0.50,,,,
1465,2015年第2季,,                642209,,                558325,                 83884,                 83884,,,                 15355,,                 46612,,                  1951,                 63918,                 19966,,,                 13710,,                -11572,,                    639,                  1499,                 21465,,                  1365,                 20100,                 20100,,,                -57280,                 -8322,                -65602,                -65602,                -45502,,                 12783,                  7317,,                 -6930,                -38572,,                              0.12,                              0.12,,                              0.12,,,,
1465,2015年01月01日至2015年09月30日,,              1791839,,              1539587,                252252,                252252,,,                 47354,,                126912,,                  5517,                179783,                 72469,,,                 40486,,                 12583,,                  1649,                 51420,                123889,,                 13138,                110751,                110751,,,                 -6346,                -24228,                -30574,                -30574,                 80177,,                 84989,                 25762,,                 82699,                 -2522,,                              0.82,                              0.82,,                              0.82,,,,
1465,2015年01月01日至2015年06月30日,,              1165916,,              1006375,                159541,                159541,,,                 30949,,                 81164,,                  3829,                115942,                 43599,,,                 30623,,                -16711,,                  1332,                 12580,                 56179,,                  4108,                 52071,                 52071,,,                -70795,                -15733,                -86528,                -86528,                -34457,,                 33593,                 18478,,                 -1633,                -32824,,                              0.32,                              0.32,,                              0.32,,,,
1465,2015年01月01日至2015年03月31日,,                523707,,                448050,                 75657,                 75657,,,                 15595,,                 34552,,                  1877,                 52024,                 23633,,,                 16913,,                 -5139,,                    693,                 11081,                 34714,,                  2743,                 31971,                 31971,,,                -13515,                 -7411,                -20926,                -20926,                 11045,,                 20810,                 11161,,                  5297,                  5748,,                              0.20,                              0.20,,                              0.20,,,,
1465,2014年第3季,,                695341,,                619031,                 76310,                 76310,,,                 16628,,                 39700,,                  1903,                 58231,                 18079,,,                 13324,,                  3377,,                  1797,                 14904,                 32983,,                  4785,                 28198,                 28198,,,                 14784,                 -2037,                 12747,                 12747,                 40945,,                 22344,                  5854,,                 38676,                  2269,,                              0.22,                              0.22,,                              0.22,,,,
1465,2014年第2季,,                700205,,                590272,                109933,                109933,,,                 16671,,                 44960,,                  1716,                 63347,                 46586,,,                 13739,,                 -7731,,                  1242,                  4766,                 51352,,                  3116,                 48236,                 48236,,,                -43289,                  9714,                -33575,                -33575,                 14661,,                 26950,                 21286,,                 22199,                 -7538,,                              0.26,                              0.26,,                              0.26,,,,
1465,2014年度,,              2697559,,              2373338,                324221,                324221,,,                 63698,,                161373,,                  7459,                232530,                 91691,,,                 65253,,                 19952,,                  4755,                 80450,                172141,,                 15793,                156348,                156348,,,,,,                 19971,                176319,,                108303,                 48045,,                143087,                 33232,,                              1.05,                              1.05,,                              1.04,                 19450,                    139,                    460,                     78
1465,2014年01月01日至2014年09月30日,,              1984215,,              1731029,                253186,                253186,,,                 47411,,                120492,,                  5669,                173572,                 79614,,,                 53343,,                  4044,,                  3930,                 53457,                133071,,                 10915,                122156,                122156,,,                -27954,                    426,                -27528,                -27528,                 94628,,                 79934,                 42222,,                 87176,                  7452,,                              0.77,                              0.77,,                              0.77,,,,
1465,2014年01月01日至2014年06月30日,,              1288874,,              1111999,                176875,                176875,,,                 30783,,                 80792,,                  3765,                115340,                 61535,,,                 40019,,                    667,,                  2133,                 38553,                100088,,                  6131,                 93957,                 93957,,,                -42738,                  2463,                -40275,                -40275,                 53682,,                 57590,                 36367,,                 48500,                  5182,,                              0.56,                              0.56,,                              0.56,,,,
1465,2014年01月01日至2014年03月31日,,                588669,,                521726,                 66943,                 66943,,,                 14112,,                 35832,,                  2050,                 51994,                 14949,,,                 26280,,                  8398,,                    892,                 33786,                 48735,,                  3014,                 45721,                 45721,,,                    551,                 -7251,                 -6700,                 -6700,                 39021,,                 30640,                 15081,,                 26301,                 12720,,                              0.30,                              0.30,,                              0.30,,,,
1465,2013年第3季,,                743902,,                650258,                 93644,                 93644,,,                 17532,,                 43664,,                  2054,                 63250,                 30394,,,                 14840,,                 -2490,,                  2518,                  9832,                 40226,,                  4491,                 35735,                 35735,,,,,,                 14943,                 50678,,                 27507,                  8228,,                 40959,                  9719,,                              0.32,                              0.32,,                              0.32,                 -7328,                 22271,,
1465,2013年第2季,,                693088,,                599598,                 93490,                 93490,,,                 16152,,                 40209,,                  2139,                 58500,                 34990,,,                 14617,,                  5699,,                  3098,                 17218,                 52208,,                  6975,                 45233,                 45233,,,,,,                 13511,                 58744,,                 35052,                 10181,,                 42797,                 15947,,,                              0.41,,                              0.41,                 15254,                 -1743,,
1465,2013年度,,              2650723,,              2310679,                340044,                340044,,,                 66884,,                157050,,                  7807,                231741,                108303,,,                 52860,,                  7246,,                  9792,                 50314,                158617,,                 16130,                142487,                142487,,,,,,                 66116,                208603,,                104436,                 38051,,                155878,                 52725,,                              1.01,                              1.01,,                              1.01,                 45920,                 18484,                  2063,                    351
1465,2013年07月01日至2013年09月30日,,                743902,,                649893,                 94009,                 94009,,,                 17532,,                 43664,,                  2054,                 63250,                 30759,,,                 14475,,                 -2490,,                  2518,                  9467,                 40226,,                  4491,                 35735,                 35735,,,,,,                  7443,                 43178,,                 27507,                  8228,,                 40959,                  2219,,                              0.32,                              0.32,,                              0.32,                -14829,                 22272,,
1465,2013年04月01日至2013年06月30日,,                693088,,                600056,                 93032,                 93032,,,                 16152,,                 39152,,                  2139,                 57443,                 35589,,,                 14018,,                  5699,,                  3098,                 16619,                 52208,,                  6975,                 45233,                 45233,,,,,,                 -1410,                 43823,,                 35052,                 10181,,                 42797,                  1026,,                              0.41,                              0.41,,                              0.41,                    333,                 -1743,,
1465,2013年01月01日至2013年12月31日,,              2650723,,              2310679,                340044,                340044,,,                 66884,,                157050,,                  7807,                231741,                108303,,,                 52860,,                  7246,,                  9792,                 50314,                158617,,                 16130,                142487,                142487,,,,,,                 66116,                208603,,                104436,                 38051,,                155878,                 52725,,                              1.21,                              1.21,,                              1.21,                 45920,                 18484,                  2063,                    351
1465,2013年01月01日至2013年09月30日,,              1970248,,              1724627,                245621,                245621,,,                 50510,,                115613,,                  6093,                172216,                 73405,,,                 39897,,                  2962,,                  8605,                 34254,                107659,,                 13764,                 93895,                 93895,,,,,,                 54047,                147942,,                 74103,                 19792,,                118938,                 29004,,                              0.86,                              0.86,,                              0.86,                 29705,                 24342,,
1465,2013年01月01日至2013年06月30日,,              1226346,,              1074368,                151978,                151978,,,                 32978,,                 71949,,                  4040,                108967,                 43011,,,                 25057,,                  5452,,                  6087,                 24422,                 67433,,                  9274,                 58159,                 58159,,,,,,                 39105,                 97264,,                 46596,                 11563,,                 77979,                 19285,,,                              0.54,,                              0.54,                 37033,                  2072,,
1465,2013年01月01日至2013年03月31日,,                533258,,                474770,                 58488,                 58488,,,                 16825,,                 31740,,                  1902,                 50467,                  8021,,,                 10440,,                   -247,,                  2989,                  7204,                 15225,,                  2299,                 12926,                 12926,,,,,,                 25594,                 38520,,                 11544,                  1382,,                 35181,                  3339,,,                              0.13,,                              0.13,                 21780,                  3814,,
1465,2012年07月01日至2012年09月30日,,                656337,,                589130,                 67207,                 67207,,,                 16647,,                 40097,,                  1787,                 58531,                  8676,,,                 29076,,                 -4858,,                 10601,                 13617,                 22293,,                  2963,                 19330,                 19330,,,,,,                 -2549,                 16781,,                 16694,                  2636,,                 18451,                 -1670,,                              0.19,                              0.19,,                              0.19,                -11889,                  9340,,
1465,2012年04月01日至2012年06月30日,,                705855,,                633811,                 72044,                 72044,,,                 18808,,                 40377,,                  2084,                 61269,                 10775,,,                 29416,,                  3724,,                  4031,                 29109,                 39884,,                  5291,                 34593,                 34593,,,,,,                -13221,                 21372,,                 27509,                  7084,,                 29991,                 -8619,,                              0.32,                              0.32,,                              0.32,                -11794,                 -1427,,
1465,2012年01月01日至2012年12月31日,,              2642941,,              2373443,                269498,                269498,,,                 72386,,                126327,,                  8115,                206828,                 62670,,,                 67131,,                  5963,,                 15073,                 58021,                120691,,                 13681,                107010,                107010,,,,,,                -11191,                 95819,,                 84740,                 22270,,                 68161,                 27658,,                              0.98,                              0.98,,                              0.98,                -16993,                  6589,                   -948,                   -161
1465,2012年01月01日至2012年09月30日,,              1987839,,              1784041,                203798,                203798,,,                 53085,,                111647,,                  6285,                171017,                 32781,,,                 70717,,                  4647,,                 19565,                 55799,                 88580,,                 11783,                 76797,                 76797,,,,,,                -38397,                 38400,,                 62609,                 14188,,                 58157,                -19757,,                              0.73,                              0.73,,                              0.73,                -54586,                 16189,,
1465,2012年01月01日至2012年06月30日,,              1331502,,              1194911,                136591,                136591,,,                 36438,,                 71551,,                  4497,                112486,                 24105,,,                 41640,,                  9505,,                  8964,                 42181,                 66286,,                  8819,                 57467,                 57467,,,,,,                -35848,                 21619,,                 45914,                 11553,,                 39706,                -18087,,                              0.53,                              0.53,,                              0.53,                -42697,                  6849,,
1465,2012年01月01日至2012年03月31日,,                625648,,                561102,                 64546,                 64546,,,                 17629,,                 31174,,                  2413,                 51216,                 13330,,,                 12225,,                  5781,,                  4934,                 13072,                 26402,,                  3527,                 22875,                 22875,,,,,,                -22628,                    247,,                 18405,                  4470,,                  9715,                 -9468,,                              0.21,                              0.21,,                              0.21,                -30904,                  8276,,
