證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　　 銀行存款利息,　　　 外幣兌換損失,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額
1262,2015年第3季,,              1631894,,              1038428,                593466,                593466,,,                 38629,,                 63021,,                 12358,                114008,                479458,,,,                  9345,                    829,                 10174,,                   -709,                              0,                  2922,                 -3631,,                  8661,                 -2118,                477340,,                 72200,                405140,                405140,,,                224582,                224582,                224582,                629722,,                405140,,                629722,,                              2.73,,,,,,,,,,,,,,,,,,
1262,2015年第2季,,              1576241,,              1011502,                564739,                564739,,,                 33016,,                 51641,,                 10597,                 95254,                469485,,,,                  9596,                  1899,                 11495,,                   -349,                              0,                              0,                   -349,,                 11902,                   -756,                468729,,                 70735,                397994,                397994,,,                -87549,                -87549,                -87549,                310445,,                397994,,                310445,,                              2.68,                              2.68,,,,,,,,,,,,,,,,,
1262,2015年01月01日至2015年09月30日,,              4614932,,              2938518,              1676414,              1676414,,,                105452,,                167741,,                 36077,                309270,              1367144,,,,                 29758,                  3654,                 33412,,                 -1498,                              0,                  2922,                 -4420,,                 37520,                 -8528,              1358616,,                205937,              1152679,              1152679,,,                   -789,                   -789,                   -789,              1151890,,              1152679,,              1151890,,                              7.76,,,,,,,,,,,,,,,,,,
1262,2015年01月01日至2015年06月30日,,              2983038,,              1900090,              1082948,              1082948,,,                 66823,,                104720,,                 23719,                195262,                887686,,,,                 20413,                  2825,                 23238,,                   -789,                              0,                              0,                   -789,,                 28859,                 -6410,                881276,,                133737,                747539,                747539,,,               -225371,               -225371,               -225371,                522168,,                747539,,                522168,,                              5.03,                              5.03,,,,,,,,,,,,,,,,,
1262,2015年01月01日至2015年03月31日,,              1406797,,                888588,                518209,                518209,,,                 33807,,                 53079,,                 13122,                100008,                418201,,,,                 10817,                    926,                 11743,,                   -440,                              0,                              0,                   -440,,                 16957,                 -5654,                412547,,                 63002,                349545,                349545,,,               -137822,               -137822,               -137822,                211723,,                349545,,                211723,,                              2.35,                              2.35,,,,,,,,,,,,,,,,,
1262,2014年第3季,,              1591579,,              1034427,                557152,                557152,,,                 30775,,                 45838,,                  9730,                 86343,                470809,,,,                  2217,                  1882,                  4099,,                 -2744,                  1792,                    -88,                 -4448,,                 18391,                -18740,                452069,,                116085,                335984,                335984,,,                148896,                148896,                148896,                484880,,                335984,,                484880,,                              2.26,,,,,,,,,,,,,,,,,,
1262,2014年第2季,,              1562037,,              1019109,                542928,                542928,,,                 31307,,                 43736,,                  8186,                 83229,                459699,,,,                  1823,                  1039,                  2862,,                  3573,                  2416,                     59,                  1098,,                 19063,                -15103,                444596,,                111901,                332695,                332695,,,               -158770,               -158770,               -158770,                173925,,                332695,,                173925,,                              2.24,                              2.24,,,,,,,,,,,,,,,,,
1262,2014年度,,              6255929,,              4079162,              2176767,              2176767,,,                126232,,                176924,,                 38194,                341350,              1835417,,,,                 13014,                  5055,                 18069,,                 40550,                  7376,                    932,                 32242,,                 75336,                -25025,              1810392,,                272315,              1538077,              1538077,,,,,                445742,              1983819,,              1538077,,              1983819,,                             10.40,                             10.40,                              0,                445742,                              0,                              0,,                             10.40,                             10.40,,,,,,,,,,
1262,2014年01月01日至2014年09月30日,,              4682567,,              3062804,              1619763,              1619763,,,                 93064,,                133070,,                 25303,                251437,              1368326,,,,                  6635,                  3550,                 10185,,                 42155,                  5181,                    323,                 36651,,                 58533,                -11697,              1356629,,                336609,              1020020,              1020020,,,                 48389,                 48389,                 48389,              1068409,,              1020020,,              1068409,,                              6.91,,,,,,,,,,,,,,,,,,
1262,2014年01月01日至2014年06月30日,,              3090988,,              2028377,              1062611,              1062611,,,                 62289,,                 87232,,                 15573,                165094,                897517,,,,                  4418,                  1668,                  6086,,                 44899,                  3389,                    411,                 41099,,                 40142,                  7043,                904560,,                220524,                684036,                684036,,,               -100507,               -100507,               -100507,                583529,,                684036,,                583529,,                              4.65,                              4.65,,,,,,,,,,,,,,,,,
1262,2014年01月01日至2014年03月31日,,              1528951,,              1009268,                519683,                519683,,,                 30982,,                 43496,,                  7387,                 81865,                437818,,,,                  2595,                    629,                  3224,,                 41326,                    973,                    352,                 40001,,                 21079,                 22146,                459964,,                108623,                351341,                351341,,,                 58263,                 58263,                 58263,                409604,,                351341,,                409604,,                              2.41,                              2.41,,,,,,,,,,,,,,,,,
1262,2013年第3季,,              1341663,,                891740,                449923,                449923,,,                 27789,,                 47357,,                  7290,                 82436,                367487,,,,                  2238,                    855,                  3093,,                    186,                  1612,                  2932,                 -4358,,                 14700,                -15965,                351522,,                 54818,                296704,                296704,,,,,                -47806,                248898,,                296704,,                248898,,                              2.25,                              2.25,                              0,                -47806,,,,                              2.25,                              2.25,                              0,                              0,,,,,,,,
1262,2013年第2季,,              1206299,,                824568,                381731,                381731,,,                 23659,,                 33290,,                  6626,                 63575,                318156,,,,                  3102,                  2687,                  5789,,                 23327,                  2303,                              0,                 18669,,                 28228,                 -3770,                314386,,                 44928,                269458,                269458,,,,,                 53692,                323150,,                269458,,                323150,,                              2.34,                              2.34,                  2355,                 53692,,,,                              2.06,                              2.06,                              0,                              0,,,,,,,,
1262,2013年度,,              4986600,,              3326411,              1660189,              1660189,,,                 98545,,                166847,,                 25968,                291360,              1368829,,,,                  8597,                 10968,                 19565,,                 18715,                  6702,                  2932,                  5385,,                 91581,                -66631,              1302198,,                206039,              1096159,              1096159,,,,,                158197,              1254356,,              1042754,,              1162923,,                              8.95,                              8.95,                  3696,                158197,                 53405,                 91433,,                              8.53,                              8.53,,,,,,,,,,
1262,2013年07月01日至2013年09月30日,,              1341663,,                891740,                449923,                449923,,,                 27789,,                 47357,,                  7290,                 82436,                367487,,,,                  2238,                    855,                  3093,,,                  1612,                  2932,                 -4358,,                 14700,                -15965,                351522,,                 54818,                296704,                296704,,,,,                -47806,                248898,,                296704,,                248898,,                              2.47,                              2.47,                              0,                -47806,,,,                              2.47,                              2.47,,,                  2238,                   -186,,                              0,,                              0,,                              0
1262,2013年01月01日至2013年12月31日,,              5170768,,              3454305,              1716463,              1716463,,,                102874,,                172245,,                 27030,                302149,              1414314,,,,                  8760,                 11188,                 19948,,                 19894,                  6809,                  2932,                  6457,,                 96008,                -69603,              1344711,,                212859,              1131852,              1131852,,,,,                157488,              1289340,,              1131852,,              1289340,,                             10.22,                             10.22,                  3696,                157488,,,,                              9.75,                              9.75,,,,,,,,,,
