證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1709,2015年第3季,,,,              1920129,              1920129,              1920129,,,              1487005,              1487005,              1487005,                433124,                433124,,,                 97463,,                 65196,,                  6162,                168821,                264303,,,                  5018,,                 73095,,                  6033,,                 -1427,                 70653,                334956,,                 55140,                279816,                279816,,,                  3005,                  4957,,                  7700,                  2658,                 13004,                 13004,                292820,,                252551,                 27265,,                265555,                 27265,,                              0.59,                              0.59,,                              0.53,                              0.53,,,,,,,,,,,,,,,,,
1709,2015年第2季,,,,              2674199,              2674199,              2674199,,,              2185052,              2185052,              2185052,                489147,                489147,,,                128471,,                 52488,,                  5257,                186216,                302931,,,                  9339,,                -13829,,                  6864,,                   -904,                -12258,                290673,,                 48817,                241856,                241856,,,                   -676,                   -631,,                 -5878,                 -1200,                 -5985,                 -5985,                235871,,                221028,                 20828,,                215043,                 20828,,                              0.51,                              0.51,,                              0.47,                              0.47,,,,,,,,,,,,,,,,,
1709,2015年01月01日至2015年09月30日,,,,              7298375,              7298375,              7298375,,,              6089160,              6089160,              6089160,              1209215,              1209215,,,                357522,,                159021,,                 17266,                533809,                675406,,,                 19693,,                 52500,,                 21575,,                 -3427,                 47191,                722597,,                120318,                602279,                602279,,,                  1822,                  3157,,                 -1975,                    538,                  2466,                  2466,                604745,,                543508,                 58771,,                545974,                 58771,,                              1.26,                              1.26,,                              1.13,                              1.13,,,,,,,,,,,,,,,,,
1709,2015年01月01日至2015年06月30日,,,,              5378246,              5378246,              5378246,,,              4602155,              4602155,              4602155,                776091,                776091,,,                260059,,                 93826,,                 11103,                364988,                411103,,,                 14675,,                -20595,,                 15542,,                 -2000,                -23462,                387641,,                 65179,                322462,                322462,,,                 -1183,                 -1801,,                 -9674,                 -2120,                -10538,                -10538,                311924,,                290956,                 31506,,                280418,                 31506,,                              0.68,                              0.68,,                              0.61,                              0.61,,,,,,,,,,,,,,,,,
1709,2015年01月01日至2015年03月31日,,,,              2704047,              2704047,              2704047,,,              2417103,              2417103,              2417103,                286944,                286944,,,                131589,,                 41338,,                  5845,                178772,                108172,,,                  5336,,                 -6766,,                  8678,,                 -1095,                -11203,                 96969,,                 16362,                 80607,                 80607,,,                   -508,                 -1170,,                 -3797,                   -921,                 -4554,                 -4554,                 76053,,                 69929,                 10678,,                 65375,                 10678,,                              0.16,                              0.16,,                              0.15,                              0.15,,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,,,,,
1709,2014年第3季,,,,              2946736,              2946736,              2946736,,,              2724947,              2724947,              2724947,                221789,                221789,,,                148795,,                 44641,,                  5178,                198614,                 23175,,,                  1086,,                 15790,,                  9452,,                    846,                  8270,                 31445,,                  6475,                 24970,                 24970,,,                    775,                  3953,,                  3070,                  1319,                  6479,                  6479,                 31449,,                 20727,                  4243,,                 27206,                  4243,,                              0.05,                              0.05,,                              0.05,                              0.05,,,,,,,,,,,,,,,,,
1709,2014年第2季,,,,              2712849,              2712849,              2712849,,,              2453907,              2453907,              2453907,                258942,                258942,,,                139121,,                 36624,,                  6376,                182121,                 76821,,,                 10005,,                -13691,,                  9641,,                   -346,                -13673,                 63148,,                 14205,                 48943,                 48943,,,                   -657,                 -2615,,                 -4618,                 -1213,                 -6677,                 -6677,                 42266,,                 46209,                  2734,,                 39532,                  2734,,                              0.11,                              0.11,,                              0.11,                              0.11,,,,,,,,,,,,,,,,,
1709,2014年度,,,,,,             11074650,,,,,             10145686,                928964,                928964,,,                538570,,                159619,,                 20590,                718779,                210185,,,                 27309,,                 62618,,                 37216,,                 -8584,                 44127,                254312,,                 52003,                202309,                202309,,,,,,,,,                 13226,                215535,,                186745,                 15564,,                200114,                 15421,,                              0.43,                              0.43,,                              0.42,                              0.42,,,,,,,,,,,,                  2761,                -16339,                 17240,,                 11187,                  1623
1709,2014年01月01日至2014年09月30日,,,,              8707771,              8707771,              8707771,,,              7921336,              7921336,              7921336,                786435,                786435,,,                432414,,                121020,,                 15932,                569366,                217069,,,                 12814,,                 22919,,                 27345,,                   -191,                  8197,                225266,,                 46803,                178463,                178463,,,                    952,                  1095,,                  2467,                    840,                  3674,                  3674,                182137,,                164801,                 13662,,                168475,                 13662,,                              0.38,                              0.38,,                              0.38,                              0.38,,,,,,,,,,,,,,,,,
1709,2014年01月01日至2014年06月30日,,,,              5761035,              5761035,              5761035,,,              5196389,              5196389,              5196389,                564646,                564646,,,                283619,,                 76378,,                 10755,                370752,                193894,,,                 11729,,                  7129,,                 17894,,                 -1037,                    -73,                193821,,                 40329,                153492,                153492,,,                    177,                 -2858,,                   -602,                   -478,                 -2805,                 -2805,                150687,,                144074,                  9418,,                141269,                  9418,,                              0.34,                              0.34,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,
