證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 停業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋停業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 其他收益及費損淨額,　　 其他收益及費損淨額
1310,2015年第3季,,              3297448,,              3107329,                190119,                190119,,,                 13318,,                 71902,,                  7226,                 92446,                 97673,,,                  4733,,                -16573,,                 10273,,                 -6092,                -28205,                 69468,,                 20765,                 48703,,                              0,                 48703,,,                 14453,                -31063,,                -97965,               -114575,               -114575,                -65872,,                 78686,                -29983,,                -39375,                -26497,,                              0.15,                              0.00,                              0.15,,                              0.15,                              0.00,                              0.15,,,,,,,,,,,,,,,,,,,,,,,
1310,2015年第2季,,              4200884,,              3486996,                713888,                713888,,,                  9507,,                 92880,,                  6991,                109378,                604510,,,                  5767,,                -66883,,                  9958,,                 46197,                -24877,                579633,,                101910,                477723,,                              0,                477723,,,                   -643,                -15289,,                -54380,                -70312,                -70312,                407411,,                506919,                -29196,,                437891,                -30480,,                              0.96,                              0.00,                              0.96,,                              0.96,                              0.00,                              0.96,,,,,,,,,,,,,,,,,,,,,,,
1310,2015年第1季,,              2268323,,              2142872,                125451,                125451,,,                  5632,,                 57575,,                  2690,                 65897,                 59554,,,                  6537,,                 -2218,,                  8533,,                -11587,                -15801,                 43753,,                 14256,                 29497,,                              0,                 29497,,,                    583,                 10708,,                 76076,                 87367,                 87367,                116864,,                 27115,                  2382,,                116043,                    821,,,,                              0.05,,,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1310,2015年01月01日至2015年09月30日,,              9766655,,              8726279,              1040376,              1040376,,,                 28457,,                222357,,                 16907,                267721,                772655,,,                 17037,,                -96592,,                 28764,,                 28518,                -79801,                692854,,                136931,                555923,,                              0,                555923,,,                 14393,                -35644,,                -76269,                -97520,                -97520,                458403,,                612720,                -56797,,                514559,                -56156,,                              1.16,                              0.00,                              1.16,,                              1.16,                              0.00,                              1.16,,,,,,,,,,,,,,,,,,,,,,,
1310,2015年01月01日至2015年06月30日,,              6469207,,              5629868,                839339,                839339,,,                 15139,,                150455,,                  9681,                175275,                664064,,,                 12304,,                -69101,,                 18491,,                 34610,                -40678,                623386,,                116166,                507220,,                              0,                507220,,,                    -60,                 -4581,,                 21696,                 17055,                 17055,                524275,,                534034,                -26814,,                553934,                -29659,,                              1.01,                              0.00,                              1.01,,                              1.01,                              0.00,                              1.01,,,,,,,,,,,,,,,,,,,,,,,
1310,2014年第3季,,              4496697,,              4595108,                -98411,                -98411,,,                 14587,,                 54908,,                  7145,                 76640,               -175051,,,                  9578,,                  2566,,                  7242,,                 31568,                 36470,               -138581,,                -48413,                -90168,,                              0,                -90168,,,                  5641,                -37699,,               -244203,               -276261,               -276261,               -366429,,                -92741,                  2573,,               -370664,                  4235,,                             -0.18,                              0.00,                             -0.18,,                             -0.18,                              0.00,                             -0.18,,,,,,,,,,,,,,,,,,,,,,,
1310,2014年第2季,,              4587215,,              4569033,                 18182,                 18182,,,                  5804,,                 70172,,                  1765,                 77741,                -59559,,,                 21245,,                353708,,                  7762,,                 18398,                385589,                326030,,                  7959,                318071,,                -16319,                301752,,,                 -6448,                 16748,,                 39750,                 50050,                 50050,                351802,,                312755,                -11003,,                364990,                -13188,,                              0.61,                             -0.01,                              0.60,,                              0.61,                             -0.01,                              0.60,,,,,,,,,,,,,,,,,,,,,,,
1310,2014年第1季,,              5258276,,              5164134,                 94142,                 94142,,,                 15926,,                 68959,,                  2896,                 87781,                  6361,,,                 22451,,                 -3864,,                 10013,,                    853,                  9427,                 15788,,                  2791,                 12997,,                              0,                 12997,,,                  4636,                  3701,,                -96515,                -88178,                -88178,                -75181,,                 12550,                    447,,                -77153,                  1972,,,,                              0.02,,,,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,,,,,,,,,,,
1310,2014年度,,             17028183,,             17176342,               -148159,               -148159,,,                 72437,,                248876,,                 20103,                341416,               -489575,,,                 71619,,                  9149,,                 32617,,                 34805,                 82956,               -406619,,                -64915,               -341704,,                289788,                -51916,,,,,,,,               -280605,               -332521,,                -38456,                -13460,,               -325377,                 -7144,,                             -0.65,                              0.58,                             -0.07,,                             -0.65,                              0.58,                             -0.07,,,,,,,,,,,,,             17028183,                 17812,                -13506,                  6862,,               -291064,                    709,,,,
1310,2014年01月01日至2014年09月30日,,             14052104,,             14041945,                 10159,                 10159,,,                 28606,,                184594,,                 10319,                223519,               -213360,,,                 53254,,                351264,,                 24236,,                 50819,                431101,                217741,,                -37663,                255404,,                -30823,                224581,,,                  3829,                -17250,,               -300968,               -314389,               -314389,                -89808,,                232564,                 -7983,,                -82813,                 -6995,,                              0.47,                             -0.03,                              0.44,,                              0.47,                             -0.03,                              0.44,,,,,,,,,,,,,,,,,,,,,,,
