證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 進出口費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 捐贈,　　　 稅捐-管理費用,　　　 折舊-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 訓練費,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 保險費-研發費用,　　　 折舊及折耗,　　　 伙食費-研發費用,　　　 其他費用-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 股利收入,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資性不動產利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 訓練費-推銷費用,　　　 各項攤提,　　　 訓練費-管理費用,　 停業單位損益,　　 停業單位損益合計,　　 共同控制下前手權益（淨利／損）,　　 非控制權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 非控制權益（綜合損益）,　　 停業單位淨利（淨損）,　　　 捐贈-推銷費用,　　　 捐贈-管理費用,　　　 呆帳損失,　　　 壞帳轉回利益,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 其他綜合損益
1445,2014年01月01日至2014年03月31日,,,,                458492,                458492,                              0,                    187,                458305,                458305,,,                423379,                423379,                423379,                 34926,,,                 34926,,,                  7000,                     44,                    458,                  8149,                    106,                     36,                    100,                     36,                    438,                    178,                     31,                    143,                    137,                     73,                  3518,                  1536,                    737,                 22720,,                  3861,                    106,                     54,                     21,                     36,                     17,                     21,                    191,                      7,                              0,                     36,                     55,                     70,                     32,                              0,                  1359,                  5866,,                    833,                     81,                     46,                     16,                    916,                  1892,                 30478,                  4448,,,,                    369,                    369,,                    783,                  1152,,                              0,                  3115,                  2534,                     51,,                              0,                              0,                  5700,                  6852,                 11300,,                    521,                 10779,                 10779,,,                              0,                 -2947,                 -2947,                 -2947,                  7832,,                 10779,,                  7832,,                              0.08,                              0.08,,                              0.08,                              0.08,,                              0,,,,,                              0,,                              0,                              0.00,,,,,,,,
1445,2013年第3季,,,,                534969,                534969,                              0,                    137,                534832,                534832,,,                487440,                487440,                487440,                 47392,                              0,                              0,                 47392,,,                  5867,                     38,                    149,                  9411,                    121,                     96,                     10,                    107,                    433,                     85,                     36,                    145,                    140,                     93,                  5797,                  2157,                    767,                 25452,,                  4172,                    106,                     64,                     16,                     37,                     22,                     45,                    179,                     23,                              0,                     37,                     55,                     70,                     41,                              0,                  1054,                  5924,,                    885,                     82,                     46,                     16,                    567,                  1596,                 32972,                 14420,,,,                    382,                    382,                  3468,                    707,                  4557,,                              0,                              0,                              0,                    724,                     37,                  2234,                              0,                 -1547,                  3010,                 17430,,                   -285,                 17715,                 17715,,,,,,                  6069,                 23784,,                 17715,,                 23784,,                              0.13,                              0.13,,                              0.13,                              0.13,,                      3,,,,,,,,,,,                              0,,                              0,                  6069,,
1445,2013年第2季,,,,                590487,                590487,                    321,                     65,                590101,                590101,,,                523815,                523815,                523815,                 66286,                              0,                              0,                 66286,,,                  7516,                     43,                    435,                 10832,                    128,                    133,                     86,                     47,                    485,                     53,                     37,                    149,                    135,                     91,                  6883,                  2849,                    553,                 30455,,                  6279,                    106,                     58,                     23,                     45,                     30,                     28,                    237,                     10,                              0,                     36,                     43,                     70,                     46,,                  3382,                 10405,,                    823,                     79,                     45,                     16,                    400,                  1363,                 42223,                 24063,,,,                    475,                    475,                    820,                    775,                  2070,,                              0,                              0,                  1458,                              0,                     34,                              0,                  4182,                 -2758,                   -688,                 23375,,                    111,                 23264,                 23264,,,,,,                    173,                 23437,,                 23264,,                 23437,,                              0.17,                              0.17,,                              0.17,                              0.17,                              0,                      9,                      3,,                              0,                              0,                              0,                              0,                              0,,,,,,                              0,                    173,,
1445,2013年度,,,,              2089084,              2089084,                    916,                    756,              2087412,              2087412,,,              1904441,              1904441,              1904441,                182971,,,                182971,,,                 25779,                    127,                  1757,                 36366,                    508,                    402,                    916,                    232,                  1785,                    362,                    135,                    590,                    540,                    347,                 19338,                  9282,                  2758,                101279,,                 22315,                    423,                    170,                     76,                    127,                    127,                    139,                    790,                     61,,                    144,                    199,                    281,                    163,,                  5349,                 30820,,                  3329,                    322,                    182,                     65,                  2313,                  6211,                138310,                 44661,,,,,                  1641,                  4288,                  4603,                 10532,,                  7848,                              0,                  4970,,                              0,,                  1261,                 11557,                 22089,                 66750,,                  1462,                 65288,                 65288,,,,,,                 14590,                 79878,,                 65288,,                 79878,,                              0.47,                              0.47,,                              0.47,                              0.47,                              0,                     20,                     22,,,,,,,,                     55,                              0,                    414,                              0,                              0,                 17513,                 -3522,                    599
1445,2013年07月01日至2013年09月30日,,,,                534969,                534969,                              0,                    137,                534832,                534832,,,                487440,                487440,                487440,                 47392,                              0,                              0,                 47392,,,                  5867,                     38,                    149,                  9411,                    121,                     96,                     10,                    107,                    433,                     85,                     36,                    145,                    140,                     93,                  5797,                  2157,                    767,                 25452,,                  2872,                    106,                     64,                     16,                     37,                     22,                     45,                    179,                     23,                              0,                     37,                     55,                     70,                     41,                              0,                  2354,                  5924,,                    885,                     82,                     46,                     16,                    567,                  1596,                 32972,                 14420,,,,                    382,                    382,                  3468,                    707,                  4557,,                              0,,                              0,                    724,                     37,                  2234,                              0,                 -1547,                  3010,                 17430,,                   -285,                 17715,                 17715,,,,,,                  6069,                 23784,,                 17715,,                 23784,,                              0.13,                              0.13,,                              0.13,                              0.13,,                      3,,,,,,,,,,,                              0,,,                  6069,,
1445,2013年04月01日至2013年06月30日,,,,                590487,                590487,                    321,                     65,                590101,                590101,,,                523815,                523815,                523815,                 66286,                              0,                              0,                 66286,,,                  7516,                     43,                    435,                 10832,                    128,                    133,                     86,                     47,                    485,                     53,                     37,                    149,                    135,                     91,                  6883,                  2849,                    553,                 30455,,                  6279,                    106,                     58,                     23,                     45,                     30,                     28,                    237,                     10,                              0,                     36,                     43,                     70,                     46,,                  3382,                 10405,,                    823,                     79,                     45,                     16,                    400,                  1363,                 42223,                 24063,,,,                    475,                    475,                    820,                    775,                  2070,,                              0,,                  1458,                              0,                     34,                              0,                  4182,                 -2758,                   -688,                 23375,,                    111,                 23264,                 23264,,,,,,                    173,                 23437,,                 23264,,                 23437,,                              0.17,                              0.17,,                              0.17,                              0.17,                              0,                      9,                      3,,                              0,                              0,                              0,                              0,                              0,,,,,,,                    173,,
1445,2013年01月01日至2013年12月31日,,,,              2089084,              2089084,                    916,                    756,              2087412,              2087412,,,              1904510,              1904510,              1904510,                182902,,,                182902,,,                 25779,                    127,                  1757,                 36366,                    508,                    402,                    916,                    232,                  1785,                    362,                    135,                    590,                    540,                    347,                 19338,                  9282,                  2758,                101279,,                 16893,                    423,                    170,                     76,                    127,                    127,                    139,                    790,                     61,,                    144,                    199,                    281,                    163,,                 10771,                 30820,,                  3329,                    322,                    182,                     65,                  2313,                  6211,                138310,                 44592,,,,,                  1641,                  4288,                  4672,                 10601,,                  7848,,                  4970,                              0,,                              0,                  1261,                 11557,                 22158,                 66750,,                  1462,                 65288,                 65288,,,,,,                 14590,                 79878,,                 65288,,                 79878,,                              0.47,                              0.47,,                              0.47,                              0.47,                              0,                     20,                     22,,,,,,,,                     55,                              0,                    414,,,                 17513,                 -3522,                    599
1445,2013年01月01日至2013年09月30日,,,,              1582626,              1582626,                    393,                    564,              1581669,              1581669,,,              1433068,              1433068,              1433068,                148601,                              0,                              0,                148601,,,                 21176,                     94,                  1087,                 28071,                    389,                    312,                     95,                    188,                  1371,                    260,                    104,                    444,                    399,                    263,                 15917,                  7210,                  1845,                 79225,,                 16335,                    317,                    153,                     55,                    118,                     95,                     94,                    622,                     41,                              0,                    111,                    142,                    211,                    127,                      3,                  4178,                 22622,,                  2446,                    240,                    136,                     49,                  1539,                  4410,                106257,                 42344,,,,                  1165,                  1165,                  4288,                  2920,                  8373,,                  7849,                              0,                  2995,                              0,                              0,                              0,                  2064,                  8780,                 17153,                 59497,,                    969,                 58528,                 58528,,,,,,                  3468,                 61996,,                 58528,,                 61996,,                              0.42,                              0.42,,                              0.42,                              0.42,,                     20,,,,,,,,,,,                              0,,                              0,                  3468,,
1445,2013年01月01日至2013年06月30日,,,,              1047657,              1047657,                    393,                    427,              1046837,              1046837,,,                945628,                945628,                945628,                101209,                              0,                              0,                101209,,,                 15309,                     56,                    937,                 18660,                    268,                    216,                     86,                     81,                    939,                    175,                     68,                    299,                    259,                    170,                 10120,                  5053,                  1077,                 53773,,                  9063,                    212,                     89,                     39,                     80,                     74,                     48,                    444,                     17,                              0,                     74,                     87,                    140,                     86,,                  6225,                 16698,,                  1561,                    159,                     90,                     32,                    972,                  2814,                 73285,                 27924,,,,                    783,                    783,                    820,                  2213,                  3816,,                  7886,                              0,                  5229,                              0,                              0,                              0,                  2788,                 10327,                 14143,                 42067,,                  1254,                 40813,                 40813,,,,,,                 -2601,                 38212,,                 40813,,                 38212,,                              0.29,                              0.29,,                              0.29,                              0.29,                              0,                     17,                      3,,                              0,                              0,                              0,                              0,                              0,,,,,,                              0,                 -2601,,
1445,2013年01月01日至2013年03月31日,,,,                457170,                457170,                     72,                    362,                456736,                456736,,,                421813,                421813,                421813,                 34923,,,                 34923,,,                  7793,                     12,                    503,                  7828,                    140,                     84,                              0,                     34,                    454,                    122,                     31,                    149,                    124,                     79,                  3237,                  2204,                    524,                 23318,,                  4278,                    106,                     31,                     16,                     36,                     44,                     21,                    207,                      7,                              0,                     37,                     43,                     70,                     40,                              0,                  1348,                  6293,,                    738,                     80,                     45,                     16,                    572,                  1451,                 31062,                  3861,,,,                    308,                    308,,                  1438,                  1746,,                  7920,                              0,                  3771,                  1394,,                              0,,                 13085,                 14831,                 18692,,                  1143,                 17549,                 17549,,,,,,                 -2774,                 14775,,                 17549,,                 14775,,                              0.13,                              0.13,,                              0.13,                              0.13,,                      9,,,,,                              0,,                              0,                              0.00,,,,,,                 -2774,,
