證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 薪資支出-推銷費用,　　　 租金支出-推銷費用,　　　 文具用品-推銷費用,　　　 旅費-推銷費用,　　　 運費-推銷費用,　　　 郵電費-推銷費用,　　　 修繕費-推銷費用,　　　 廣告費-推銷費用,　　　 水電瓦斯費-推銷費用,　　　 保險費-推銷費用,　　　 交際費-推銷費用,　　　 捐贈-推銷費用,　　　 稅捐-推銷費用,　　　 折舊-推銷費用,　　　 各項攤提-推銷費用,　　　 伙食費-推銷費用,　　　 職工福利-推銷費用,　　　 佣金支出,　　　 訓練費-推銷費用,　　　 進出口費用,　　　 漁業作業費用,　　　 漁貨銷售費用,　　　 其他費用-推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 薪資支出-管理費用,　　　 租金支出-管理費用,　　　 文具用品-管理費用,　　　 旅費-管理費用,　　　 運費-管理費用,　　　 郵電費-管理費用,　　　 修繕費-管理費用,　　　 廣告費-管理費用,　　　 水電瓦斯費-管理費用,　　　 保險費-管理費用,　　　 交際費-管理費用,　　　 捐贈-管理費用,　　　 稅捐-管理費用,　　　 呆帳損失,　　　 折舊-管理費用,　　　 各項攤提-管理費用,　　　 伙食費-管理費用,　　　 職工福利-管理費用,　　　 研究發展費用,　　　 訓練費-管理費用,　　　 網路服務費,　　　 保全費,　　　 其他費用-管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 薪資支出-研發費用,　　　 租金支出-研發費用,　　　 文具用品-研發費用,　　　 旅費-研發費用,　　　 運費-研發費用,　　　 郵電費-研發費用,　　　 修繕費-研發費用,　　　 水電瓦斯費-研發費用,　　　 保險費-研發費用,　　　 交際費-研發費用,　　　 捐贈-研發費用,　　　 稅捐-研發費用,　　　 折舊及折耗,　　　 各項攤提-研發費用,　　　 伙食費-研發費用,　　　 職工福利-研發費用,　　　 委託研究費,　　　 訓練費-研發費用,　　　 其他費用-研發費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分無形資產損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他營業收入,　　　 其他營業收入,　　　 其他營業收入折讓,　　　 其他營業收入淨額,　　　 捐贈,　　　 處分不動產、廠房及設備利益,　　　 銷貨退回,　　　 銷貨折讓
3665,2015年第3季,,,,              2153883,              2153883,              2153883,              2153883,,,              1592606,              1592606,              1592606,                561277,                561277,,,                 51766,                  1373,                    249,                  2505,                 19201,                    478,                    369,                    814,                  1045,                  3751,                  1674,                              0,                    571,                    476,                     15,                    478,                    777,                  7707,                     12,                  6340,                              0,                              0,                  8377,                107978,,                132928,                  7599,                    704,                  2712,                  1029,                  1739,                  3679,                    333,                  3328,                  9433,                    488,                    400,                  2618,                              0,                  7527,                  3841,                  2049,                  4452,                     31,                    249,                  1772,                    137,                 27991,                215039,,                 34986,                  1529,                    110,                    987,                     43,                    127,                    831,                    687,                    931,                     85,                              0,                     34,                  3883,                    578,                    386,                    866,                  1706,                    111,                 22157,                 70037,                393054,                168223,,,,                  3131,                  3131,                    792,                  3923,,                              0,                118805,                              0,                    963,                    194,                              0,                              0,                 10847,,                              0,                              0,                106801,,                  3909,                  3909,,                    -95,                106720,                274943,,                 70872,                 -4109,                 66763,                208180,                208180,,,                259055,                259055,,               -164211,               -164211,                 94844,                303024,,                208180,,                303024,,                              2.27,                              2.27,,                              2.21,                              2.21,,,,,,,,,,,,,
3665,2015年第2季,,,,              2042183,              2042183,              2042183,              2042183,,,              1504329,              1504329,              1504329,                537854,                537854,,,                 44428,                  1310,                    182,                  2291,                 17432,                  2155,                    509,                    448,                    935,                  3445,                    783,                              0,                    477,                    451,                     12,                    606,                    546,                  9172,                     13,                  5184,                              0,                              0,                  7322,                 97701,,                101947,                  6754,                    572,                  3122,                  1121,                  2049,                  2605,                     16,                  2852,                  9031,                    347,                    400,                  4138,                              0,                  6889,                  3633,                  2409,                  3533,                     24,                    336,                  1627,                    180,                 25247,                178832,,                 26714,                  1423,                    161,                  2207,                     35,                    126,                  1048,                    602,                  1019,                     84,                              0,                    101,                  3605,                    608,                    506,                    551,                  1075,                    104,                 13221,                 53190,                329723,                208131,,,,                  4477,                  4477,                  3748,                  8225,,,                  8013,                  9696,                  1336,                  1257,                              0,,                 13815,,                  6168,                  6168,                 -4867,,                  4014,                  4014,,                    124,                   -532,                207599,,                 44441,                 -5730,                 38711,                168888,                168888,,,                -28898,                -28898,,                 12963,                 12963,                -15935,                152953,,                168888,,                152953,,                              1.85,                              1.85,,                              1.84,                              1.84,,,,,,,,,,,,,
3665,2015年01月01日至2015年09月30日,,,,              6098281,              6098281,              6098281,              6098281,,,              4465610,              4465610,              4465610,              1632671,              1632671,,,                144942,                  4144,                    635,                  6250,                 55802,                  3185,                  1369,                  1947,                  2697,                 11261,                  3157,                              0,                  1605,                  1455,                     47,                  1569,                  2005,                 34310,                     42,                 18114,                              0,                              0,                 24662,                319198,,                358343,                 21128,                  1970,                  7913,                  3415,                  5217,                  8510,                    386,                  8560,                 27421,                  1546,                    800,                  9254,                    511,                 21182,                 11368,                  6133,                 11798,                     55,                    700,                  5014,                    469,                 78907,                590600,,                 87489,                  4512,                    370,                  4251,                    122,                    373,                  2948,                  1637,                  2984,                    229,                              0,                    153,                 10921,                  1807,                  1281,                  2002,                  2855,                    220,                 49313,                173467,              1083265,                549406,,,,                 12625,                 12625,                 26413,                 39038,,                              0,                160377,                              0,                  2363,                  5644,                              0,                              0,                  8803,,                  9321,                  9321,                134246,,                 11533,                 11533,,                   -179,                161572,                710978,,                178399,                -15261,                163138,                547840,                547840,,,                172547,                172547,,               -211430,               -211430,                -38883,                508957,,                547840,,                508957,,                              5.99,                              5.99,,                              5.97,                              5.97,,,,,,,,,,,,,
3665,2015年01月01日至2015年06月30日,,,,              3944398,              3944398,              3944398,              3944398,,,              2873004,              2873004,              2873004,              1071394,              1071394,,,                 93176,                  2771,                    386,                  3745,                 36601,                  2707,                  1000,                  1133,                  1652,                  7510,                  1483,                              0,                  1034,                    979,                     32,                  1091,                  1228,                 26603,                     30,                 11774,                              0,                              0,                 16285,                211220,,                225415,                 13529,                  1266,                  5201,                  2386,                  3478,                  4831,                     53,                  5232,                 17988,                  1058,                    400,                  6636,                    511,                 13655,                  7527,                  4084,                  7346,                     24,                    451,                  3242,                    332,                 50916,                375561,,                 52503,                  2983,                    260,                  3264,                     79,                    246,                  2117,                    950,                  2053,                    144,                              0,                    119,                  7038,                  1229,                    895,                  1136,                  1149,                    109,                 27156,                103430,                690211,                381183,,,,                  9494,                  9494,                 25621,                 35115,,,                 41572,                 15161,                  1400,                  5450,                              0,,                 13117,,                  9321,                  9321,                 27445,,                  7624,                  7624,,                    -84,                 54852,                436035,,                107527,                -11152,                 96375,                339660,                339660,,,                -86508,                -86508,,                -47219,                -47219,               -133727,                205933,,                339660,,                205933,,                              3.72,                              3.72,,                              3.71,                              3.71,,,,,,,,,,,,,
3665,2015年01月01日至2015年03月31日,,,,              1902215,              1902215,              1902215,              1902215,,,              1368675,              1368675,              1368675,                533540,                533540,,,                 48748,                  1461,                    204,                  1454,                 19169,                    552,                    491,                    685,                    717,                  4065,                    700,,                    557,                    528,                     20,                    485,                    682,                 17431,                     17,                  6590,,,                  8963,                113519,,                123468,                  6775,                    694,                  2079,                  1265,                  1429,                  2226,                     37,                  2380,                  8957,                    711,,                  2498,                    511,                  6766,                  3894,                  1675,                  3813,,                    115,                  1615,                    152,                 25669,                196729,,                 25789,                  1560,                     99,                  1057,                     44,                    120,                  1069,                    348,                  1034,                     60,,                     18,                  3433,                    621,                    389,                    585,                     74,                      5,                 13935,                 50240,                360488,                173052,,,,                  5017,                  5017,                 21873,                 26890,,,                 33559,                  6163,                     64,                  4193,,,                              0,,                  3153,                  3153,                 32312,,                  3610,                  3610,,                   -208,                 55384,                228436,,                 63086,                 -5422,                 57664,                170772,                170772,,,                -57610,                -57610,,                -60182,                -60182,               -117792,                 52980,,                170772,,                 52980,,                              1.96,                              1.96,,                              1.96,                              1.96,,,,,,,,,,,,,
3665,2014年第3季,,,,              1949011,              1949011,              1949011,              1949011,,,              1378165,              1378165,              1378165,                570846,                570846,,,                 38889,                  1669,                    219,                  1800,                 21760,                    701,                    390,                    370,                    989,                  3004,                  1343,                              0,                    164,                    471,                    126,                    501,                  4946,                 -3853,                    137,                  5890,                              0,                              0,                 29977,                109493,,                106046,                  6364,                    812,                  3248,                    627,                  1939,                  3190,                    218,                  3259,                  9610,                    738,                    600,                  3078,                  2799,                  6881,                  3339,                  1758,                  2685,                     38,                    475,                  1683,                     82,                 27715,                187184,,                 22234,                  1483,                     97,                  1191,                     80,                    124,                    900,                    644,                    575,                    178,                     21,                     12,                  1717,                    520,                    411,                    487,                     36,                     96,                 18311,                 49117,                345794,                225052,,,,                  3844,                  3844,                  1224,                  5068,,                              0,                 10677,                  7412,                  2784,                    604,                              0,                              0,                              0,,                              0,                              0,                 14701,,                  3730,                  3730,,                   -304,                 15735,                240787,,                 65600,                 -7288,                 58312,                182475,                182475,,,                 45689,                 45689,,                -25669,                -25669,                 20020,                202495,,                182475,,                202495,,                              2.06,                              2.06,,                              2.04,                              2.04,,,,,,,,,,,,,
3665,2014年第2季,,,,              1885094,              1885094,              1885094,              1885094,,,              1336548,              1336548,              1336548,                548546,                548546,,,                 40948,                  1183,                    207,                  1735,                 19838,                    481,                    399,                  1358,                    801,                  3094,                    616,                              0,                    179,                    463,                    120,                    429,                    635,                  9112,                     26,                  7273,                              0,                              0,                  7497,                 96394,,                122724,                  5868,                    411,                  2629,                  1454,                  1770,                  3233,                     23,                  3032,                  6940,                    368,                              0,                  2376,                  1280,                  6478,                  3330,                  1619,                  2832,                              0,                    444,                  1952,                     80,                  8783,                177626,,                 21591,                  1435,                     99,                  1225,                     72,                    128,                    991,                    517,                    338,                    167,                     22,                     88,                  1655,                    472,                    262,                    714,                  2469,                    101,                 16439,                 48785,                322805,                225741,,,,                  2940,                  2940,                  1230,                  4170,,,                  6589,                    853,                  1489,                    268,                      3,,                  4135,,                              0,                              0,                  1547,,                  1824,                  1824,,                   -243,                  3650,                229391,,                 65473,                 -1564,                 63909,                165482,                165482,,,                -72903,                -72903,,                 -1851,                 -1851,                -74754,                 90728,,                165482,,                 90728,,                              1.88,                              1.88,,                              1.86,                              1.86,,,,,,,,,,,,,
3665,2014年度,,,,              7482011,              7482011,              7482011,              7482011,,,              5398517,              5398517,              5398517,              2083494,              2083494,,,                172560,                  5289,                    804,                  7189,                 84214,                  2104,                  1668,                  2762,                  3199,                 13971,                  3345,                    272,                    642,                  1908,                    510,                  1099,                  2083,                 33808,                    208,                 26289,,,                 41568,                405492,,                417217,                 23656,                  2788,                 11105,                  3070,                  6991,                 11666,                    729,                 11577,                 32418,                  3193,                  3300,                  8843,                  7930,                 25915,                 13440,                  3922,                 11647,,                  1517,                  7437,                    387,                 90083,                698831,,                 97886,                  5858,                    397,                  4137,                    283,                    500,                  3898,                  2072,                  3172,                    322,                     29,                    145,                  8367,                  1982,                    878,                  2242,                  3656,                    241,                 64372,                200437,              1304760,                778734,,,,                 13831,                 13831,                 19187,                 33018,,                              0,                 51004,                              0,                  5051,                  4609,                      3,                              0,                 24442,,,,                 16899,,                 11084,                 11084,,                   -184,                 38649,                817383,,,                 -8013,                200449,                616934,                616934,,,,,,,,                145359,                762293,,                616934,,                762293,,                              7.28,                              7.28,,                              7.14,                              7.14,                   -184,                208462,                145509,                   -181,                    -31,,,,,,,,
3665,2014年01月01日至2014年09月30日,,,,              5564277,              5564277,              5564277,              5564277,,,              3969741,              3969741,              3969741,              1594536,              1594536,,,                116881,                  4026,                    596,                  4967,                 59528,                  1697,                  1212,                  2260,                  2401,                  9408,                  2565,                              0,                    477,                  1401,                    369,                  1382,                  6321,                 15030,                    176,                 19229,                              0,                              0,                 45726,                295652,,                331869,                 17805,                  1949,                  8071,                  2483,                  5308,                  8173,                    495,                  8853,                 23161,                  2020,                    600,                  8609,                  5217,                 19606,                 10012,                  5009,                  8980,                     38,                  1074,                  3926,                    212,                 67671,                541141,,                 68326,                  4312,                    274,                  3237,                    233,                    370,                  2841,                  1570,                  1818,                    405,                     43,                    121,                  5007,                  1376,                    961,                  1707,                  2568,                    213,                 50242,                145624,                982417,                612119,,,,                  9030,                  9030,                  5888,                 14918,,                              0,                 22134,                              0,                  4620,                  3745,                      3,                              0,                 35267,,                              0,                              0,                -21501,,                  6618,                  6618,,                   -544,                -13745,                598374,,                161356,                -11583,                149773,                448601,                448601,,,                 38329,                 38329,,                -44995,                -44995,                 -6666,                441935,,                448601,,                441935,,                              5.08,                              5.08,,                              5.04,                              5.04,,,,,,,,,,,,,
3665,2014年01月01日至2014年06月30日,,,,              3615266,              3615266,              3615266,              3615266,,,              2591576,              2591576,              2591576,              1023690,              1023690,,,                 77992,                  2357,                    377,                  3167,                 37768,                    996,                    822,                  1890,                  1412,                  6404,                  1222,                              0,                    313,                    930,                    243,                    881,                  1375,                 18883,                     39,                 13339,                              0,                              0,                 15749,                186159,,                225823,                 11441,                  1137,                  4823,                  1856,                  3369,                  4983,                    277,                  5594,                 13551,                  1282,                              0,                  5531,                  2418,                 12725,                  6673,                  3251,                  6295,                              0,                    599,                  2243,                    130,                 39956,                353957,,                 46092,                  2829,                    177,                  2046,                    153,                    246,                  1941,                    926,                  1243,                    227,                     22,                    109,                  3290,                    856,                    550,                  1220,                  2532,                    117,                 31931,                 96507,                636623,                387067,,,,                  5186,                  5186,                  4664,                  9850,,,                 11457,                -10144,                  1836,                  3141,                      3,,                 32535,,                              0,                              0,                -36202,,                  2888,                  2888,,                   -240,                -29480,                357587,,                 95756,                 -4295,                 91461,                266126,                266126,,,                 -7360,                 -7360,,                -19326,                -19326,                -26686,                239440,,                266126,,                239440,,                              3.02,                              3.02,,                              3.00,                              3.00,,,,,,,,,,,,,
