證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅
8101,2015年第3季,,              6510824,,              6168009,                342815,                342815,,,                 28059,,                110798,,                205960,                344817,                 -2002,,,                 18798,,                -91487,,                 22286,,                    196,                -94779,                -96781,,                              0,                -96781,                -96781,,,                              0,                              0,,                 53616,                 26812,                  9114,                 71314,                 71314,                -25467,,                -96751,                    -30,,                -25437,                    -30,,                             -0.23,,                              0.00,,,,,,
8101,2015年第2季,,              4305791,,              4029276,                276515,                276515,,,                 13917,,                111078,,                197257,                322252,                -45737,,,                 19816,,                -13754,,                 20850,,                     48,                -14740,                -60477,,                 25463,                -85940,                -85940,,,                              0,                              0,,                -14985,                  5939,                 -2547,                 -6499,                 -6499,                -92439,,                -87136,                  1196,,                -93635,                  1196,,                             -0.21,,                              0.00,,,,,,
8101,2015年01月01日至2015年09月30日,,             15664301,,             14671889,                992412,                992412,,,                 67062,,                337541,,                605727,              1010330,                -17918,,,                 56420,,               -201809,,                 63047,,                    244,               -208192,               -226110,,                 24779,               -250889,               -250889,,,                              0,                              0,,                  6068,                 43349,                  1031,                 48386,                 48386,               -202503,,               -251123,                    234,,               -202737,                    234,,                             -0.60,,                              0.00,,,,,,
8101,2015年01月01日至2015年06月30日,,              9153477,,              8503880,                649597,                649597,,,                 39003,,                226743,,                399767,                665513,                -15916,,,                 37622,,               -110322,,                 40761,,                     48,               -113413,               -129329,,                 24779,               -154108,               -154108,,,                              0,                              0,,                -47548,                 16537,                 -8083,                -22928,                -22928,               -177036,,               -154372,                    264,,               -177300,                    264,,                             -0.37,,                              0.00,,,,,,
8101,2015年01月01日至2015年03月31日,,              4847686,,              4474604,                373082,                373082,,,                 25086,,                115665,,                202510,                343261,                 29821,,,                 17806,,                -96568,,                 19911,,,                -98673,                -68852,,                   -684,                -68168,                -68168,,,                              0,                              0,,                -32563,                 10598,                 -5536,                -16429,                -16429,                -84597,,                -67236,                   -932,,                -83665,                   -932,,                             -0.16,,                             -0.16,,                              0,,,,
8101,2014年第3季,,              6845795,,              6399265,                446530,                446530,,,                 35579,,                145166,,                223235,                403980,                 42550,,,                 44416,,                -49547,,                 24654,,                              0,                -29785,                 12765,,                  1401,                 11364,                 11364,,,                              0,                              0,,                 35989,                 -4048,                  6118,                 25823,                 25823,                 37187,,                 11362,                      2,,                 37185,                      2,,                              0.03,,                              0.03,,,,,,
8101,2014年第2季,,              5787821,,              5377428,                410393,                410393,,,                 44343,,                135688,,                214237,                394268,                 16125,,,                145689,,               -117097,,                 52666,,                              0,                -24074,                 -7949,,                 67669,                -75618,                -75618,,,                              0,                              0,,                -40863,                -18750,                 -6946,                -52667,                -52667,               -128285,,                -75618,                              0,,               -128285,                              0,,                             -0.18,,                             -0.18,,,,,,
8101,2014年度,,             27042571,,             24993745,              2048826,              2048826,,,                171288,,                592133,,                861965,              1625386,                423440,,,                395225,,               -441342,,                129815,,,               -175932,                247508,,                 62686,                184822,                184822,,,,,,,,,,                 72523,                257345,,                185490,                   -668,,                258013,                   -668,,                              0.45,,                              0.45,,                              0,                100457,                -12684,                  1828,                 17078
8101,2014年01月01日至2014年09月30日,,             19389310,,             18033125,              1356185,              1356185,,,                125501,,                421639,,                626825,              1173965,                182220,,,                373687,,               -347879,,                107627,,                              0,                -81819,                100401,,                 83526,                 16875,                 16875,,,                  1263,                  1263,,                 22769,                 -7144,                  3871,                 11754,                 13017,                 29892,,                 16873,                      2,,                 29890,                      2,,                              0.04,,                              0.04,,,,,,
8101,2014年01月01日至2014年06月30日,,             12543515,,             11633860,                909655,                909655,,,                 89922,,                276473,,                403590,                769985,                139670,,,                329271,,               -298332,,                 82973,,                              0,                -52034,                 87636,,                 82125,                  5511,                  5511,,,                  1263,                  1263,,                -13220,                 -3097,                 -2247,                -14070,                -12807,                 -7296,,                  5511,                              0,,                 -7296,                              0,,                              0.01,,                              0.01,,,,,,
8101,2014年01月01日至2014年03月31日,,              6755694,,              6256432,                499262,                499262,,,                 45579,,                140785,,                189353,                375717,                123545,,,                183582,,               -181235,,                 30307,,,                -27960,                 95585,,                 14456,                 81129,                 81129,,,                  1263,                  1263,,                 27643,                 15653,                  4699,                 38597,                 39860,                120989,,                 81129,                              0,,                120989,                              0,,                              0.20,,                              0.20,,                              0,,,,
8101,2013年第3季,,              9694091,,              9084212,                609879,                609879,,,                 34318,,                119057,,                218388,                371763,                238116,,,                 23828,,                -16776,,                 22329,,,                -15277,                222839,,                 20352,                202487,                157402,,,,,,,,,,                 -9917,                147485,,                173182,                -15780,,                163401,                -15916,,                              0.42,,                              0.42,,                -45085,                -25057,                 10903,,                 -4237
8101,2013年第2季,,              8235078,,              7754594,                480484,                480484,,,                 50357,,                124429,,                235676,                410462,                 70022,,,                 12394,,                -25144,,                 14968,,,                -27718,                 42304,,                 15881,                 26423,                  3541,,,,,,,,,,                 49000,                 52541,,                 11550,                 -8009,,                 58753,                 -6212,,                              0.03,,                              0.03,,                -22882,                 36033,                 18787,,                  5820
