證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
3209,2015年第3季,,              6636099,,              6252443,                383656,                383656,,,                120555,,                103828,,                 42225,                266608,                117048,,,                  4034,,                 36824,,                 20811,,                              0,                 20047,                137095,,                 21135,                115960,                115960,,,                 30373,                  5163,                 25210,                 25210,                141170,,                124561,                 -8601,,                149771,                 -8601,,                              1.04,                              1.04,,                              1.03,                              1.03,,,,
3209,2015年第2季,,              5616883,,              5332789,                284094,                284094,,,                 89339,,                 92299,,                 33989,                215627,                 68467,,,                  4614,,                 -2534,,                 15999,,                              0,                -13919,                 54548,,                 10935,                 43613,                 43613,,,                 -6279,                 -1067,                 -5212,                 -5212,                 38401,,                 45979,                 -2366,,                 40767,                 -2366,,                              0.44,                              0.44,,                              0.44,                              0.44,,,,
3209,2015年01月01日至2015年09月30日,,             17913871,,             16922335,                991536,                991536,,,                290120,,                296194,,                108680,                694994,                296542,,,                 16052,,                 36197,,                 53284,,                    119,                   -916,                295626,,                 47826,                247800,                247800,,,                 17721,                  3012,                 14709,                 14709,                262509,,                257710,                 -9910,,                272419,                 -9910,,                              2.16,                              2.16,,                              2.12,                              2.12,,,,
3209,2015年01月01日至2015年06月30日,,             11277772,,             10669892,                607880,                607880,,,                169565,,                192366,,                 66455,                428386,                179494,,,                 12018,,                   -627,,                 32473,,                    119,                -20963,                158531,,                 26691,                131840,                131840,,,                -12652,                 -2151,                -10501,                -10501,                121339,,                133149,                 -1309,,                122648,                 -1309,,                              1.28,                              1.28,,                              1.26,                              1.26,,,,
3209,2015年01月01日至2015年03月31日,,              5660889,,              5337103,                323786,                323786,,,                 80226,,                100067,,                 32466,                212759,                111027,,,                  7404,,                  1907,,                 16474,,                    119,                 -7044,                103983,,                 15756,                 88227,                 88227,,,                 -6373,                 -1084,                 -5289,                 -5289,                 82938,,                 87170,                  1057,,                 81881,                  1057,,                              0.84,                              0.84,,                              0.83,                              0.83,,,,
3209,2014年第3季,,              5873390,,              5576099,                297291,                297291,,,                 94630,,                 78054,,                 35897,                208581,                 88710,,,                  4778,,                 17320,,                 15098,,                              0,                  7000,                 95710,,                 14550,                 81160,                 81160,,,                  7315,                  1243,                  6072,                  6072,                 87232,,                 84990,                 -3830,,                 91061,                 -3829,,                              0.71,                              0.71,,                              0.70,                              0.70,,,,
3209,2014年第2季,,              5791927,,              5480846,                311081,                311081,,,                 82338,,                 90243,,                 34730,                207311,                103770,,,                  7750,,                 -9066,,                 14247,,                              0,                -15563,                 88207,,                 16056,                 72151,                 72151,,,                 -7294,                 -1237,                 -6057,                 -6057,                 66094,,                 75020,                 -2869,,                 68977,                 -2883,,                              0.72,                              0.72,,                              0.72,                              0.72,,,,
3209,2014年度,,             22262754,,             21069307,              1193447,              1193447,,,                377093,,                337090,,                134046,                848229,                345218,,,                 28303,,                 53613,,                 57772,,,                 24144,                369362,,                 68892,                300470,                300470,,,,,,                 15570,                316040,,                322707,                -22237,,                338926,                -22886,,                              3.11,                              3.11,,                              3.07,                              3.07,                 24226,                 -5180,                  3476,
3209,2014年01月01日至2014年09月30日,,             16702331,,             15805947,                896384,                896384,,,                277611,,                253053,,                 97162,                627826,                268558,,,                 17923,,                 25910,,                 42293,,                              0,                  1540,                270098,,                 48139,                221959,                221959,,,                  7624,                  1291,                  6333,                  6333,                228292,,                235736,                -13777,,                242040,                -13748,,                              1.97,                              1.97,,                              1.95,                              1.95,,,,
3209,2014年01月01日至2014年06月30日,,             10828941,,             10229848,                599093,                599093,,,                182981,,                174999,,                 61265,                419245,                179848,,,                 13145,,                  8590,,                 27195,,                              0,                 -5460,                174388,,                 33589,                140799,                140799,,,                    309,                     48,                    261,                    261,                141060,,                150746,                 -9947,,                150979,                 -9919,,                              1.45,                              1.45,,                              1.44,                              1.44,,,,
