證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 停業單位損益,　　 停業單位損益合計,　　 備供出售金融資產未實現評價損益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
1110,2015年第3季,,                413010,,                386050,                 26960,                 26960,,,                  1307,,                 13427,                 14734,                 12226,,,                 62421,,                -11691,,                     49,,                  1588,                 52269,                 64495,,                  3104,                 61391,                 61391,,,               -277837,,                     64,               -277773,               -277773,               -216382,,                 61269,                    122,,               -216504,                    122,,                              0.10,,,,,,
1110,2015年第2季,,                483408,,                444616,                 38792,                 38792,,,                  1258,,                 13365,                 14623,                 24169,,,                  6802,,                 -3815,,                     43,,                   -637,                  2307,                 26476,,                  1566,                 24910,                 24910,,,                -50123,,                 -1532,                -51655,                -51655,                -26745,,                 24796,                    114,,                -26856,                    111,,                              0.04,,,,,,
1110,2015年01月01日至2015年09月30日,,              1371851,,              1259335,                112516,                112516,,,                  4899,,                 38482,                 43381,                 69135,,,                 70851,,                -14988,,                    480,,                 -2106,                 53277,                122412,,                    124,                122288,                122288,,,               -267805,,                 -1743,               -269548,               -269548,               -147260,,                121898,                    390,,               -147646,                    386,,                              0.21,,,,,,
1110,2015年01月01日至2015年06月30日,,                958841,,                873285,                 85556,                 85556,,,                  3592,,                 25055,                 28647,                 56909,,,                  8430,,                 -3297,,                    431,,                 -3694,                  1008,                 57917,,                 -2980,                 60897,                 60897,,,                 10032,,                 -1807,                  8225,                  8225,                 69122,,                 60629,                    268,,                 68858,                    264,,                              0.11,,,,,,
1110,2015年01月01日至2015年03月31日,,                475433,,                428669,                 46764,                 46764,,,                  2334,,                 11690,                 14024,                 32740,,,                  1628,,                    518,,                    388,,                 -3057,                 -1299,                 31441,,                 -4546,                 35987,                 35987,,,                 60155,,                   -275,                 59880,                 59880,                 95867,,                 35833,                    154,,                 95714,                    153,,                              0.06,,                              0,,,,
1110,2014年第3季,,                481447,,                453290,                 28157,                 28157,,,                  1351,,                 24935,                 26286,                  1871,,,                 53374,,                 11827,,                    412,,                 -1074,                 63715,                 65586,,                  2139,                 63447,                 63447,,,                -32549,,                    963,                -31586,                -31586,                 31861,,                 63250,                    197,,                 31662,                    199,,                              0.11,,,,,,
1110,2014年第2季,,                508589,,                454883,                 53706,                 53706,,,                  1259,,                 13865,                 15124,                 38582,,,                  4445,,                  5252,,                    472,,                 -5393,                  3832,                 42414,,                  5825,                 36589,                 36589,,,                 82470,,                 -1193,                 81277,                 81277,                117866,,                 36509,                     80,,                117787,                     79,,                              0.06,,,,,,
1110,2014年度,,              2078224,,              1865890,                212334,                212334,,,                  6662,,                 73732,                 80394,                131940,,,                 66614,,                -71952,,                  1668,,                  5971,                 -1035,                130905,,                -11396,                142301,                142301,,,,,,,                116800,                259101,,                141765,                    536,,                258565,                    536,,                              0.25,,,                117243,,                   -443,                              0
1110,2014年01月01日至2014年09月30日,,              1485757,,              1331866,                153891,                153891,,,                  4870,,                 53646,                 58516,                 95375,,,                 60492,,                 24937,,                  1275,,                 -9839,                 74315,                169690,,                  1481,                168209,                168209,,,                133928,,                   -688,                133240,                133240,                301449,,                167726,                    483,,                300967,                    482,,                              0.29,,,,,,
1110,2014年01月01日至2014年06月30日,,              1004310,,                878576,                125734,                125734,,,                  3519,,                 28711,                 32230,                 93504,,,                  7118,,                 13110,,                    863,,                 -8765,                 10600,                104104,,                   -658,                104762,                104762,,,                166477,,                 -1651,                164826,                164826,                269588,,                104476,                    286,,                269304,                    284,,                              0.18,,,,,,
1110,2014年01月01日至2014年03月31日,,                495721,,                423693,                 72028,                 72028,,,                  2260,,                 14846,                 17106,                 54922,,,                  2673,,                  7858,,                    391,,                 -3372,                  6768,                 61690,,                 -6483,                 68173,                 68173,,,                 84007,,                   -458,                 83549,                 83549,                151722,,                 67967,                    206,,                151517,                    205,,                              0.12,,                              0,,,,
