證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 減損損失,　　　　 不動產、廠房及設備減損損失,　　　　 減損損失合計,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 利息費用,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計
4942,2015年第3季,,,              1618553,              1618553,,,              1469421,              1469421,                149132,                149132,,,                112363,,                127055,,                 14723,                254141,               -105009,,,,                 12908,                 12908,,                 88914,                  8989,,                276905,                276905,               -196980,,                  1648,,                  1593,               -184127,               -289136,,                 56374,               -345510,               -345510,,,                188715,,                   -722,                187993,                187993,               -157517,,               -345547,                     37,,               -157554,                     37,,                             -2.27,                             -2.27,,                             -2.27,                             -2.27,,,,,
4942,2015年第2季,,,              1791045,              1791045,,,              1579720,              1579720,                211325,                211325,,,                 92873,,                114726,,                 12679,                220278,                 -8953,,,,                 12121,                 12121,,,,,,,                -11993,,                  1695,,                  8338,                  6771,                 -2182,,                 36407,                -38589,                -38589,,,                -72491,,                 -1358,                -73849,                -73849,               -112438,,                -38626,                     37,,               -112475,                     37,,                             -0.25,                             -0.25,,                             -0.25,                             -0.25,,,,,
4942,2015年01月01日至2015年09月30日,,,              5291174,              5291174,,,              4753073,              4753073,                538101,                538101,,,                303486,,                358510,,                 39163,                701159,               -163058,,,,                 34975,                 34975,,                 88636,                 12421,,                276905,                276905,               -200690,,                  6240,,                 14887,               -157068,               -320126,,                104237,               -424363,               -424363,,,                  6418,,                 -3522,                  2896,                  2896,               -421467,,               -424474,                    111,,               -421578,                    111,,                             -2.79,                             -2.79,,                             -2.79,                             -2.79,,,,,
4942,2015年01月01日至2015年06月30日,,,              3672621,              3672621,,,              3283652,              3283652,                388969,                388969,,,                191123,,                231455,,                 24440,                447018,                -58049,,,,                 22067,                 22067,,,,,,,                 -3710,,                  4592,,                 13294,                 27059,                -30990,,                 47863,                -78853,                -78853,,,               -182297,,                 -2800,               -185097,               -185097,               -263950,,                -78927,                     74,,               -264024,                     74,,                             -0.52,                             -0.52,,                             -0.52,                             -0.52,,,,,
4942,2015年01月01日至2015年03月31日,,,              1881576,              1881576,,,              1703932,              1703932,                177644,                177644,,,                 98250,,                116729,,                 11761,                226740,                -49096,,,,                  9946,                  9946,,,,,,,                  8283,,                  2897,,                  4956,                 20288,                -28808,,                 11456,                -40264,                -40264,,,               -109806,,                 -1442,               -111248,               -111248,               -151512,,                -40301,                     37,,               -151549,                     37,,                             -0.26,                             -0.26,,                             -0.26,                             -0.26,,,,,
4942,2014年第3季,,,              2501651,              2501651,,,              2098216,              2098216,                403435,                403435,,,                107501,,                134734,,                 15287,                257522,                145913,,,,                 13354,                 13354,,                 20177,                 -3535,,                              0,                              0,                 23712,,                  2506,,                 -9934,                 24626,                170539,,                 57582,                112957,                112957,,,                130829,,                   -237,                130592,                130592,                243549,,                113049,                    -92,,                243641,                    -92,,                              0.74,                              0.74,,                              0.74,                              0.74,,,,,
4942,2014年第2季,,,              2352941,              2352941,,,              2016199,              2016199,                336742,                336742,,,                 92763,,                125002,,                 16138,                233903,                102839,,,,                 13494,                 13494,,,,,,,                -19151,,                  3172,,                 -4845,                -13674,                 89165,,                 50034,                 39131,                 39131,,,               -141820,,                    113,               -141707,               -141707,               -102576,,                 39249,                   -118,,               -102458,                   -118,,                              0.26,                              0.26,,                              0.26,                              0.26,,,,,
4942,2014年度,,,              9440661,              9440661,,,              8001757,              8001757,              1438904,              1438904,,,                403709,,                513605,,                 72613,                989927,                448977,,,,                 51371,                 51371,,,,,,,                 67452,,                 12698,,                -19086,                 87039,                536016,,                142605,                393411,                393411,,,,,,,                415717,                809128,,                393741,                   -330,,                809458,                   -330,,                              2.59,                              2.59,,                              2.57,                              2.57,                 12698,                414177,                    -75,,                  1615
4942,2014年01月01日至2014年09月30日,,,              7176384,              7176384,,,              6062577,              6062577,              1113807,              1113807,,,                284145,,                383704,,                 53520,                721369,                392438,,,,                 39342,                 39342,,                 53316,                  4511,,                              0,                              0,                 48805,,                  9525,,                -17728,                 60894,                453332,,                143042,                310290,                310290,,,                 83646,,                   -500,                 83146,                 83146,                393436,,                310616,                   -326,,                393762,                   -326,,                              2.04,                              2.04,,                              2.03,                              2.03,,,,,
4942,2014年01月01日至2014年06月30日,,,              4674733,              4674733,,,              3964361,              3964361,                710372,                710372,,,                176644,,                248970,,                 38233,                463847,                246525,,,,                 25988,                 25988,,,,,,,                 25093,,                  7019,,                 -7794,                 36268,                282793,,                 85460,                197333,                197333,,,                -47183,,                   -263,                -47446,                -47446,                149887,,                197567,                   -234,,                150121,                   -234,,                              1.30,                              1.30,,                              1.29,                              1.29,,,,,
4942,2014年01月01日至2014年03月31日,,,              2321792,              2321792,,,              1948162,              1948162,                373630,                373630,,,                 83881,,                123968,,                 22095,                229944,                143686,,,,                 12494,                 12494,,,,,,,                 44244,,                  3847,,                 -2949,                 49942,                193628,,                 35426,                158202,                158202,,,                 94637,,                   -376,                 94261,                 94261,                252463,,                158318,                   -116,,                252579,                   -116,,                              1.04,                              1.04,,                              1.03,                              1.03,,,,,
4942,2013年第3季,,,              2619829,              2619829,,,              2161256,              2161256,                458573,                458573,,,                 95873,,                129893,,                 16222,                241988,                216585,,,,                 11001,                 11001,,,,,,,                 -9930,,                  3040,,                 -1251,                 -3220,                213365,,                 42045,                171320,                171320,,,,,,,                -64254,                107066,,                171531,                   -211,,                107277,                   -211,,                              1.13,                              1.13,,                              1.12,                              1.12,                  3040,                -64778,,,                    524
4942,2013年第2季,,,              2153334,              2153334,,,              1783056,              1783056,                370278,                370278,,,                 69122,,                135033,,                 18767,                222922,                147356,,,,                 10325,                 10325,,,,,,,                -50347,,                  2878,,                 -7343,                -50243,                 97113,,                 61706,                 35407,                 35407,,,,,,,                129346,                164753,,                 35514,                   -107,,                164860,                   -107,,                              0.23,                              0.23,,                              0.23,                              0.23,,                129159,,,                    187
4942,2013年度,,,              9555626,              9555626,,,              7912721,              7912721,              1642905,              1642905,,,                323058,,                538426,,                 74779,                936263,                706642,,,,                 37134,                 37134,,,,,,,                -51673,,                 11635,,                -12350,                -38524,                668118,,                170945,                497173,                497173,,,,,,,                344903,                842076,,                498501,                 -1328,,                843404,                 -1328,,                              3.27,                              3.27,,                              3.26,                              3.26,                 11635,                344268,                    124,,                    511
4942,2013年07月01日至2013年09月30日,,,              2619829,              2619829,,,              2161256,              2161256,                458573,                458573,,,                 95873,,                129893,,                 16222,                241988,                216585,,,,                 11001,                 11001,,,,,,,                 -9930,,                  3040,,                 -1251,                 -3220,                213365,,                 42045,                171320,                171320,,,,,,,                -64254,                107066,,                171531,                   -211,,                107277,                   -211,,                              1.13,                              1.13,,                              1.12,                              1.12,,                -64778,,,                    524
4942,2013年04月01日至2013年06月30日,,,              2153334,              2153334,,,              1783056,              1783056,                370278,                370278,,,                 69122,,                135033,,                 18767,                222922,                147356,,,,                 10325,                 10325,,,,,,,                -50347,,                  2878,,                 -7343,                -50243,                 97113,,                 61706,                 35407,                 35407,,,,,,,                129346,                164753,,                 35514,                   -107,,                164860,                   -107,,                              0.23,                              0.23,,                              0.23,                              0.23,,                129159,,,                    187
4942,2013年01月01日至2013年12月31日,,,              9555626,              9555626,,,              7912721,              7912721,              1642905,              1642905,,,                323058,,                538426,,                 74779,                936263,                706642,,,,                 37134,                 37134,,,,,,,                -51673,,                 11635,,                -12350,                -38524,                668118,,                170945,                497173,                497173,,,,,,,                344903,                842076,,                498501,                 -1328,,                843404,                 -1328,,                              3.27,                              3.27,,                              3.26,                              3.26,                 11635,                344268,                    124,,                    511
4942,2013年01月01日至2013年09月30日,,,              6811168,              6811168,,,              5631136,              5631136,              1180032,              1180032,,,                231131,,                388141,,                 50587,                669859,                510173,,,,                 28280,                 28280,,,,,,,                -46114,,                  8554,,                -11717,                -38105,                472068,,                143980,                328088,                328088,,,,,,,                235963,                564051,,                329267,                 -1179,,                565230,                 -1179,,                              2.16,                              2.16,,                              2.15,                              2.15,                  8554,                235252,,,                    711
