證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益,　　 其他費損,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 股利收入,　　　 壞帳轉回利益,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之國外營運機構財務報表換算之兌換差額,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　 外幣兌換損失,　　　　 採用權益法認列關聯企業及合資之現金流量避險中屬有效避險部分之避險工具利益(損失),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　　 處分投資損失,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－國外營運機構財務報表換算之兌換差額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－備供出售金融商品未實現損益,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額－確定福利計畫精算利益（損失）
2476,2015年第3季,,              1257961,,                897755,                360206,                360206,,,                 59352,,                111743,,                 28576,                199671,,                    411,                     47,                    364,                160899,,,,                 12402,                  4160,                   -453,                  2058,                 18167,,                              0,                  1135,                 56919,                    559,                    218,                     79,                              0,                 58316,,                    805,,                  3216,                 78894,                239793,,                 71717,                168076,                168076,,,                 99560,                     13,,                    190,                    -41,                    149,                 99722,                 99722,                267798,,                139459,                 28617,,                223218,                 44580,,                              0.77,                              0.77,,                              0.77,                              0.77,,,,,,,,,,,,,,,
2476,2015年第2季,,              1197906,,                867832,                330074,                330074,,,                 54700,,                107789,,                 29431,                191920,,                    371,                     46,                    325,                138479,,,,                 13320,                              0,                    265,                  6531,                 20116,,                    855,                    286,                              0,                              0,                    459,                              0,                    845,                 -3233,,                    844,,                  1299,                 17338,                155817,,                 57456,                 98361,                 98361,,,                -67562,                    -37,,                    -71,,                   -609,                -68208,                -68208,                 30153,,                 81787,                 16574,,                 24045,                  6108,,                              0.45,                              0.45,,                              0.45,                              0.45,                  3070,                   -538,,,,,,,,,,,,,
2476,2015年第1季,,              1100733,,                827313,                273420,                273420,,,                 52025,,                102298,,                 28677,                183000,,,,                    333,                 90753,,,,                 14232,,                    556,                  5518,                 20306,,                              0,                     32,                  4253,,                    251,                  1237,                    299,                  2498,,                    782,,                  2628,                 24650,                115403,,                 37238,                 78165,                 78165,,,                -57687,                     39,,,,                    -53,                -57701,                -57701,                 20464,,                 64205,                 13960,,                 14274,                  6190,,                              0.36,                              0.36,,                              0.35,                              0.35,,,,                              0,                              0,,,,,,,,,,
2476,2015年01月01日至2015年09月30日,,              3556600,,              2592900,                963700,                963700,,,                166077,,                321830,,                 86684,                574591,,                  1162,                    140,                  1022,                390131,,,,                 39954,                  4160,                    368,                 14107,                 58589,,                              0,                  1453,                 58102,                              0,                    928,                    461,                    585,                 57581,,                  2431,,                  7143,                120882,                511013,,                166411,                344602,                344602,,,                -25689,                     15,,                     60,                   -573,                   -513,                -26187,                -26187,                318415,,                285451,                 59151,,                261537,                 56878,,                              1.59,                              1.59,,                              1.57,                              1.57,,,,,,,,,,,,,,,
2476,2015年01月01日至2015年06月30日,,              2298639,,              1695145,                603494,                603494,,,                106725,,                210087,,                 58108,                374920,,                    751,                     93,                    658,                229232,,,,                 27552,                              0,                    821,                 12049,                 40422,,                              0,                    318,                  1183,                              0,                    710,                    382,                  1144,                   -735,,                  1626,,                  3927,                 41988,                271220,,                 94694,                176526,                176526,,,               -125249,                      2,,                   -130,,                   -662,               -125909,               -125909,                 50617,,                145992,                 30534,,                 38319,                 12298,,                              0.81,                              0.81,,                              0.80,                              0.80,                              0,                   -532,,,,,,,,,,,,,
2476,2014年第3季,,              1252992,,                910577,                342415,                342415,,,                 60274,,                108739,,                 28245,                197258,,                    381,                     46,                    335,                145492,,,,                 12799,                     73,                   -108,                  8144,                 20908,,                    109,                  1319,                 15957,                              0,                  4484,                              0,                    599,                 12302,,                    136,,                  2935,                 36009,                181501,,                 45551,                135950,                135950,,,                104086,                     36,,                    156,                   -169,                    -13,                104109,                104109,                240059,,                112043,                 23907,,                199085,                 40974,,                              0.53,                              0.53,,                              0.52,                              0.52,,,,,,,,,,,,,,,
2476,2014年第2季,,              1195313,,                856616,                338697,                338697,,,                 58144,,                104269,,                 30173,                192586,,                    366,                     45,                    321,                146432,,,,                 17541,                              0,                    357,                 15836,                 33734,,                              0,                    419,                              0,                    460,                  1480,                    183,                              0,                -17079,,                    296,,                  9000,                 25359,                171791,,                 44034,                127757,                127757,,,                -82886,                    101,,                   -553,,                   -315,                -83100,                -83100,                 44657,,                102143,                 25614,,                 32482,                 12175,,                              0.42,                              0.42,,                              0.42,                              0.42,                 16295,                    238,,,,,,,,,,,,,
2476,2014年第1季,,              1127611,,                814501,                313110,                313110,,,                 58233,,                104000,,                 30097,                192330,,,,                    315,                121095,,,,                 19317,,                    549,                     72,                 19938,,                    391,                    309,                  3495,,                    209,                              0,                    515,                  3471,,                    471,,                  5599,                 28537,                149632,,                 43428,                106204,                106204,,,                 -6350,                    -11,,,,                    999,                 -5362,                 -5362,                100842,,                 91341,                 14863,,                 88759,                 12083,,                              0.37,                              0.37,,                              0.37,                              0.37,,,,                              0,                              0,,,,,,,,,,
2476,2014年度,,              4741800,,              3434307,              1307493,              1307493,,,                234205,,                428470,,                117993,                780668,,                  1494,                    184,                  1310,                528135,,,,                 61775,                  7277,                  1778,                 32361,                103191,,                    497,                  3251,                 12538,                              0,                  7073,                              0,                    497,                  8716,,                  1487,,                 24271,                134691,                662826,,                197445,                465381,                465381,,,,,,,,,,                142192,                607573,,                383392,                 81989,,                504842,                102731,,                              1.74,                              1.74,,                              1.73,                              1.73,,,,,,                              0,                136544,                    -25,                  5035,,                    638,                              0,,,
2476,2014年01月01日至2014年09月30日,,              3575916,,              2581694,                994222,                994222,,,                176651,,                317008,,                 88515,                582174,,                  1108,                    137,                    971,                413019,,,,                 49657,                     73,                    798,                 24052,                 74580,,                    317,                  2047,                  3157,                              0,                  6173,                              0,                    654,                 -1306,,                    903,,                 17534,                 89905,                502924,,                133013,                369911,                369911,,,                 14850,                    126,,                     -6,                    677,                    671,                 15647,                 15647,                385558,,                305527,                 64384,,                320326,                 65232,,                              1.31,                              1.31,,                              1.30,                              1.30,,,,,,,,,,,,,,,
