證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入－其他,　　　 其他收入合計,　　 其他利益及損失,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 本期所得稅費用（利益）,　　 遞延所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　 當期所得稅費用（利益）,　　 國外營運機構財務報表換算之兌換差額,　　 與其他綜合損益組成部分相關之所得稅,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 減損損失,　　　　 其他減損損失,　　　　 減損損失合計,　　　 利息費用
3679,2015年第3季,,,,,              1347875,                 31727,              1316148,              1316148,,              1008186,                307962,                307962,,,                 23106,,                 70624,,                 22385,                116115,                191847,,,,,,                 18381,,,,,,                 40216,,                  4265,                 54332,                246179,,,,                107587,                138592,                138592,,,,,,                235038,                 39957,                195081,                195081,                333673,,                138592,,                333673,,                              1.75,,                              1.74,,,,,,,,,,,,,,
3679,2015年第2季,,,,,              1085091,                 14296,              1070795,              1070795,,                941408,                129387,                129387,,,                 18730,,                 58952,,                 24976,                102658,                 26729,,,,,,                 21787,,,,,,                  2102,,                  4097,                 19792,                 46521,,,,                 -1904,                 48425,                 48425,,,,,,                -78055,                -13270,                -64785,                -64785,                -16360,,                 48425,,                -16360,,                              0.61,,                              0.61,,,,,,,,,,,,,,
3679,2015年度,,,,              4476166,              4476166,                 77807,              4398359,              4398359,,              3575827,                822532,                822532,,,                 80158,,                272549,,                 92510,                445217,                377315,,,,                 66844,                 16397,                 83241,,                  1411,                 66163,                 11878,                  6991,                 72461,,                 16585,                139117,                516432,,                 88671,                 88335,                177006,                339426,                339426,,,                              0,                              0,,                -57225,                 -9728,                -47497,                -47497,                291929,,                339426,,                291929,,                              4.28,,                              4.24,,,,,,,,,,,,,,
3679,2015年01月01日至2015年09月30日,,,,,              3248712,                 55898,              3192814,              3192814,,              2677399,                515415,                515415,,,                 59062,,                177303,,                 70584,                306949,                208466,,,,,,                 58084,,,,,,                 34111,,                 12622,                 79573,                288039,,,,                 94688,                193351,                193351,,,,,,                101446,                 17246,                 84200,                 84200,                277551,,                193351,,                277551,,                              2.44,,                              2.42,,,,,,,,,,,,,,
3679,2015年01月01日至2015年06月30日,,,,,              1900837,                 24171,              1876666,              1876666,,              1669213,                207453,                207453,,,                 35956,,                106679,,                 48199,                190834,                 16619,,,,,,                 39703,,,,,,                 -6105,,                  8357,                 25241,                 41860,,,,                -12899,                 54759,                 54759,,,,,,               -133592,                -22711,               -110881,               -110881,                -56122,,                 54759,,                -56122,,                              0.69,,                              0.69,,,,,,,,,,,,,,
3679,2015年01月01日至2015年03月31日,,,,                815746,                815746,                  9875,                805871,                805871,,                727805,                 78066,                 78066,,,                 17226,,                 47727,,                 23223,                 88176,                -10110,,,,,,                 17916,,,,,,                 -8207,,                  4260,                  5449,                 -4661,,,,                -10995,                  6334,                  6334,,,,,,                -55537,                 -9441,                -46096,                -46096,                -39762,,                  6334,,                -39762,,                              0.08,,                              0.08,,                727805,                727805,,,,,,,,,,,
3679,2014年第3季,,,,,              1169788,                 10498,              1159290,              1159290,,                942468,                216822,                216822,,,                 21130,,                 58966,,                 18799,                 98895,                117927,,,,,,                 13943,,,,,,                    886,,                  3917,                 10912,                128839,,,,                 43335,                 85504,                 85504,,,,,,                121670,                 20684,                100986,                100986,                186490,,                 85504,,                186490,,                              1.08,,                              1.08,,,,,,,,,,,,,,
3679,2014年第2季,,,,,                944973,                 11247,                933726,                933726,,                764799,                168927,                168927,,,                 17610,,                 55692,,                 18256,                 91558,                 77369,,,,,,                 18796,,,,,,                -13970,,                  4134,                    692,                 78061,,,,                 20158,                 57903,                 57903,,,,,,                -92724,                -15763,                -76961,                -76961,                -19058,,                 57903,,                -19058,,                              0.73,,                              0.73,,,,,,,,,,,,,,
3679,2014年度,,,,              4122162,              4122162,                 44002,              4078160,              4078160,,              3329365,                748795,                748795,,,                 78155,,                244389,,                 74301,                396845,                351950,,,,                 65211,                  7732,                 72943,,                 15185,                 29525,                              0,                  9144,                 35566,,                 16693,                 91816,                443766,,                 69852,                 82694,                152546,                291220,                291220,,,                              0,                              0,,                214124,                 36401,                177723,                177723,                468943,,                291220,,                468943,,                              3.67,,                              3.64,,,,                              0,                              0,                 69852,                214124,                 36401,,,,,,
3679,2014年01月01日至2014年09月30日,,,,,              2953560,                 31703,              2921857,              2921857,,              2387914,                533943,                533943,,,                 58442,,                173792,,                 53830,                286064,                247879,,,,,,                 39822,,,,,,                 16420,,                 12500,                 43742,                291621,,,,                 90785,                200836,                200836,,,,,,                 35206,                  5985,                 29221,                 29221,                230057,,                200836,,                230057,,                              2.53,,                              2.52,,,,,,,,,,,,,,
