證券代號,年季,　 營業收入,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　 勞務收入,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 營建工程成本,　　　 工程成本,　　　 營建工程成本合計,　　 勞務成本,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息費用
2404,2015年第3季,,,,              3133634,              3133634,,                 58980,              3192614,,,              2671832,              2671832,,                 42493,              2714325,                478289,                478289,,,                 15410,,                102490,,                 11218,                129118,                349171,,,                  5267,,                151583,,                  1587,,                 11987,                 11987,                167250,                516421,,                 82103,                434318,                434318,,,                153245,                -15676,,                  8692,                146261,                146261,                580579,,                429469,                  4849,,                576669,                  3910,,                              1.81,,                              1.79,,,,,,,
2404,2015年第2季,,,,              3193160,              3193160,,                 58437,              3251597,,,              2855634,              2855634,,                 47971,              2903605,                347992,                347992,,,                  8176,,                 99982,,                 12606,                120764,                227228,,,                313027,,                -14392,,                  1518,,                 21201,                 21201,                318318,                545546,,                104238,                441308,                441308,,,                 -9175,                -33531,,                 -2780,                -45486,                -45486,                395822,,                436459,                  4849,,                391361,                  4461,,                              1.84,,                              1.83,,,,,,,
2404,2015年01月01日至2015年09月30日,,,,              8805780,              8805780,,                165876,              8971656,,,              7626194,              7626194,,                128151,              7754345,              1217311,              1217311,,,                 28725,,                326341,,                 36770,                391836,                825475,,,                321897,,                140800,,                  4693,,                 53335,                 53335,                511339,              1336814,,                246986,              1089828,              1089828,,,                 13293,                -27221,,                  3450,                -10478,                -10478,              1079350,,              1060923,                 28905,,              1049530,                 29820,,                              4.47,,                              4.40,,,,,,,
2404,2015年01月01日至2015年06月30日,,,,              5672146,              5672146,,                106896,              5779042,,,              4954363,              4954363,,                 85658,              5040021,                739021,                739021,,,                 13315,,                223851,,                 25552,                262718,                476303,,,                316630,,                -10783,,                  3106,,                 41348,                 41348,                344089,                820392,,                164883,                655509,                655509,,,                -20322,                -11545,,                 -5242,                -37109,                -37109,                618400,,                628991,                 26518,,                592490,                 25910,,                              2.65,,                              2.63,,,,,,,
2404,2015年01月01日至2015年03月31日,,,,              2478986,              2478986,,                 48459,              2527445,,,              2098728,              2098728,,                 37687,              2136415,                391030,                391030,,,                  5139,,                123869,,                 12946,                141954,                249076,,,                  3602,,                  3608,,                  1587,,                 20148,                 20148,                 25771,                274847,,                 60646,                214201,                214201,,,                -11148,                 21986,,                 -2462,                  8376,                  8376,                222577,,                192531,                 21670,,                201128,                 21449,,                              0.81,,                              0.81,,,,,,,
2404,2014年第3季,,,,              1529023,              1529023,,                 60977,              1590000,,,              1260457,              1260457,,                 43045,              1303502,                286498,                286498,,,                 14328,,                113775,,                 14682,                142785,                143713,,,                  2625,,                 24590,,                              0,,                 22972,                 22972,                 50187,                193900,,                 48885,                145015,                145015,,,                 13530,                -10018,,                  5135,                  8647,                  8647,                153662,,                141671,                  3344,,                150318,                  3344,,                              0.60,,                              0.59,,,,,,,
2404,2014年第2季,,,,              1097086,              1097086,,                 43820,              1140906,,,                815973,                815973,,                 31664,                847637,                293269,                293269,,,                 15667,,                139738,,                 13294,                168699,                124570,,,                213154,,                 19908,,                              0,,                 15510,                 15510,                248572,                373142,,                 66170,                306972,                306972,,,                -13786,                 31456,,                 -3206,                 14464,                 14464,                321436,,                302033,                  4939,,                316497,                  4939,,                              1.27,,                              1.27,,,,,,,
2404,2014年度,,,,              6731304,              6731304,,                218203,              6949507,,,              5542308,              5542308,,                154354,              5696662,              1252845,              1252845,,,                 62571,,                482461,,                 56090,                601122,                651723,,,                235385,,                126964,,                  4687,,                 75647,                 75647,                433309,              1085032,,                313415,                771617,                771617,,,,,,,,                 53542,                825159,,                744688,                 26929,,                798230,                 26929,,                              3.14,,                              3.11,                 25210,                 60639,                -38480,,                  5193,                   -980,
2404,2014年01月01日至2014年09月30日,,,,              3954050,              3954050,,                166122,              4120172,,,              3110540,              3110540,,                107212,              3217752,                902420,                902420,,,                 51771,,                348330,,                 41508,                441609,                460811,,,                236138,,                 49386,,                              0,,                 53226,                 53226,                338750,                799561,,                151753,                647808,                647808,,,                  3195,                 41733,,                  1832,                 46760,                 46760,                694568,,                628654,                 19154,,                675414,                 19154,,                              2.65,,                              2.61,,,,,,,
2404,2014年01月01日至2014年06月30日,,,,              2425027,              2425027,,                105145,              2530172,,,              1850083,              1850083,,                 64167,              1914250,                615922,                615922,,,                 37443,,                234555,,                 26826,                298824,                317098,,,                233513,,                 24796,,                              0,,                 30254,                 30254,                288563,                605661,,                102868,                502793,                502793,,,                -10335,                 51751,,                 -3303,                 38113,                 38113,                540906,,                486983,                 15810,,                525096,                 15810,,                              2.05,,                              2.04,,,,,,,
