證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之備供出售金融資產未實現損益,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 採用權益法認列之關聯企業及合資利益之份額,　　　 與可能重分類之項目相關之所得稅,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 營建工程收入,　　　 營建收入（營建業適用）,　　　　 營建收入,　　　　 營建收入（營建業適用）淨額,　　　 營建工程收入合計,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　　 廣告費,　　 其他綜合損益,　　　 處分不動產、廠房及設備利益,　　　 什項支出,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益
2534,2015年第3季,,                 35449,,                 19973,                 15476,                 15476,,,                 18138,,                 48243,                 66381,                -50905,,,                 36014,,                              0,,                 57262,,                 -3171,                -24419,                -75324,,                  2211,                -77535,                -77535,,,                -75037,,                 -1678,                 -1678,                -76715,                -76715,               -154250,,                             -0.13,,,,,,,,,,,,,,,,,,,,,,
2534,2015年第2季,,                974469,,                361155,                613314,                613314,,,                 27382,,                 62430,                 89812,                523502,,,                  6885,,                     -3,,                 56388,,                   -812,                -50318,                473184,,                 16827,                456357,                456357,,,                 35340,,                   -246,                   -246,                 35094,                 35094,                491451,,                              0.77,                   -812,                              0,,,,,,,,,,,,,,,,,,,,
2534,2015年第1季,,                195016,,                116198,                 78818,                 78818,,,                 24090,,                 48975,                 73065,                  5753,,,                  1541,,                  4699,,                 55522,,                    828,                -48454,                -42701,,                  4913,                -47614,                -47614,,,                104725,,                 -1147,                 -1147,                103578,                103578,                 55964,,                             -0.08,,                              0,,,,,,,,,,,,,,,,,,,,
2534,2015年01月01日至2015年09月30日,,              1204934,,                497326,                707608,                707608,,,                 69610,,                159648,                229258,                478350,,,                 44440,,                  4696,,                169172,,                 -3155,               -123191,                355159,,                 23951,                331208,                331208,,,                 65028,,                 -3071,                 -3071,                 61957,                 61957,                393165,,                              0.56,,,,,,,,,,,,,,,,,,,,,,
2534,2015年01月01日至2015年06月30日,,              1169485,,                477353,                692132,                692132,,,                 51472,,                111405,                162877,                529255,,,                  8426,,                  4696,,                111910,,                     16,                -98772,                430483,,                 21740,                408743,                408743,,,                140065,,                 -1393,                 -1393,                138672,                138672,                547415,,                              0.69,                     16,                              0,,,,,,,,,,,,,,,,,,,,
2534,2014年第3季,,                  9010,,                  2781,                  6229,                  6229,,,                 25219,,                 48501,                 73720,                -67491,,,                 22859,,                 25698,,                 44537,,                  3192,                  7212,                -60279,,                  3899,                -64178,                -64178,,,                 34125,,                 -1222,                 -1222,                 32903,                 32903,                -31275,,                             -0.11,,,,,,,,,,,,,,,,,,,,,,
2534,2014年第2季,,                152326,,                124968,                 27358,                 27358,,,                 32435,,                 52577,                 85012,                -57654,,,                    613,,                              0,,                 37273,,                   -398,                -37058,                -94712,,                  4599,                -99311,                -99311,,,                     39,,                 -2663,                 -2663,                 -2624,                 -2624,               -101935,,                             -0.17,                   -398,                              0,,,,,,,,,,,,,,,,,,,,
2534,2014年第1季,,                  7748,,                  2702,                  5046,                  5046,,,                 26359,,                 59092,                 85451,                -80405,,,                  1348,,                              0,,                 38334,,                    415,                -36571,               -116976,,                  4074,               -121050,               -121050,,,                 12578,,                   -706,                   -706,                 11872,                 11872,               -109178,,                             -0.21,,                              0,,,,,,,,,,,,,,,,,,,,
2534,2014年度,,                973136,,                619869,                353267,                353267,,,                193421,,                205685,                399106,                -45839,,,                 33435,,                 25698,,                178581,,                  2746,               -116702,               -162541,,                 74640,               -237181,               -237181,,,,,,,,                 41126,               -196055,,                             -0.40,                  2746,,                 47101,                 -1667,,                 -4308,,,,,,,,,,,,,,,,
2534,2014年01月01日至2014年09月30日,,                169084,,                130451,                 38633,                 38633,,,                 84013,,                160170,                244183,               -205550,,,                 24820,,                 25698,,                120144,,                  3209,                -66417,               -271967,,                 12572,               -284539,               -284539,,,                 46742,,                 -4591,                 -4591,                 42151,                 42151,               -242388,,                             -0.48,,,,,,,,,,,,,,,,,,,,,,
2534,2014年01月01日至2014年06月30日,,                160074,,                127670,                 32404,                 32404,,,                 58794,,                111669,                170463,               -138059,,,                  1961,,                              0,,                 75607,,                     17,                -73629,               -211688,,                  8673,               -220361,               -220361,,,                 12617,,                 -3369,                 -3369,                  9248,                  9248,               -211113,,                             -0.37,                     17,                              0,,,,,,,,,,,,,,,,,,,,
2534,2014年01月01日至2014年03月31日,,                  7748,,                  2702,                  5046,                  5046,,,                 26359,,                 59078,                 85437,                -80391,,,                  1348,,,,                 38334,,                    415,                -36571,               -116962,,                  4074,               -121036,               -121036,,,,,,,,                 11872,               -109164,,                             -0.21,                    415,,                 12578,                              0,,                   -706,,,,,,,,,,,,,,,,
2534,2013年第3季,,                 29041,,                 12375,                 16666,                 16666,,,                116931,,                 40419,                157350,               -140684,,,                 17791,,                              0,,                 33950,,                    886,                -15273,               -155957,,                  3968,               -159925,               -159925,,,,,,,,                 45213,               -114712,,                             -0.27,                    886,,                 45706,                              0,,                   -493,,,                 29041,                 29041,                 29041,,                 12375,                 12375,                116931,                              0,,,,,,
