證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 現金流量避險中屬有效避險部分之避險工具利益(損失),　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　　 利息收入,　　　　 銀行存款利息,　　　　 利息收入合計
2504,2015年第3季,,,,              6966829,              6966829,              6966829,              6966829,,,              7056725,              7056725,              7056725,                -89896,                -89896,,,                 70351,,                514853,,                  1958,                587162,               -677058,,,                157125,,                423614,,                 93180,,                  6186,                493745,               -183313,,               -108005,                -75308,                -75308,,,                              0,                              0,,                414495,               -151369,                -88596,,                 14496,                189026,                189026,                113718,,                 30953,               -106261,,                299976,               -186258,,                              0.02,,                              0.02,,,,,,,,,,
2504,2015年第2季,,,,,,,              6927811,,,,,              6905365,                 22446,                 22446,,,                 81714,,                458222,,                  1864,                541800,               -519354,,,                283491,,                273641,,                 90377,,                  4151,                470906,                -48448,,                 -2259,                -46189,                -46189,,,,,,               -141010,                 25790,                 35955,,                 -5828,                -85093,                -85093,               -131282,,                 68213,               -114402,,                -48253,                -83029,,                              0.05,,                              0.05,,,,,,,,,,
2504,2015年01月01日至2015年09月30日,,,,             21313146,             21313146,             21313146,             21313146,,,             20841771,             20841771,             20841771,                471375,                471375,,,                215188,,              1494136,,                  5686,              1715010,             -1243635,,,              1318325,,                 38259,,                274671,,                 11332,              1093245,               -150390,,               -114215,                -36175,                -36175,,,                              0,                              0,,                170323,                  4760,                -58930,,                  4684,                120837,                120837,                 84662,,                205147,               -241322,,                374645,               -289983,,                              0.14,,                              0.14,,,,,,,,,,
2504,2015年01月01日至2015年06月30日,,,,,,,             14346317,,,,,             13785046,                561271,                561271,,,                144837,,                979283,,                  3728,              1127848,               -566577,,,              1161200,,               -385355,,                181491,,                  5146,                599500,                 32923,,                 -6210,                 39133,                 39133,,,,,,               -244172,                156129,                 29666,,                 -9812,                -68189,                -68189,                -29056,,                174194,               -135061,,                 74669,               -103725,,                              0.12,,                              0.12,,,,,,,,,,
2504,2015年01月01日至2015年03月31日,,,,,,,              7418506,,,,,              6879681,                538825,                538825,,,                 63123,,                521061,,                  1864,                586048,                -47223,,,                877709,,               -658996,,                 91114,,                    995,                128594,                 81371,,                 -3951,                 85322,                 85322,,,,,,               -103162,                130339,                 -6289,,                 -3984,                 16904,                 16904,                102226,,                105981,                -20659,,                122922,                -20696,,                              0.07,,                              0.07,,,,,,,,,,
2504,2014年第3季,,,,              8964171,              8964171,              8964171,              8964171,,,              8091433,              8091433,              8091433,                872738,                872738,,,                 79635,,                517183,,                  1062,                597880,                274858,,,                536915,,               -369162,,                 99416,,                 16244,                 84581,                359439,,                 53263,                306176,                306176,,,                              0,                              0,,                238135,                 86149,                    298,,                    -98,                324484,                324484,                630660,,                207213,                 98963,,                522553,                108107,,                              0.14,,                              0.14,,,,,,,,,,
2504,2014年第2季,,,,,,,              8786808,,,,,              7843250,                943558,                943558,,,                 85679,,                531073,,                  1025,                617777,                325781,,,                 58942,,                 10185,,                111060,,                 16198,                -25735,                300046,,                 67958,                232088,                232088,,,,,,               -170528,                -74671,                   -298,,                   -237,               -245734,               -245734,                -13646,,                147148,                 84940,,                -98440,                 84794,,                              0.10,,                              0.10,,,,,,,,,,
2504,2014年度,,,,             35077508,             35077508,             35077508,             35077508,,,             31692652,             31692652,             31692652,              3384856,              3384856,,,                343174,,              2147433,,                  4845,              2495452,                889404,,,                731004,,                -21022,,                358433,,                 49422,                400971,              1290375,,                222102,              1068273,              1068273,,,,,,,,,,,,                  2618,              1070891,,                808117,                260156,,                856616,                214275,,                              0.53,,                              0.53,                148180,                -38371,                -33355,                -87900,,                   -880,                -14944,,,
2504,2014年01月01日至2014年09月30日,,,,             25470344,             25470344,             25470344,             25470344,,,             22880771,             22880771,             22880771,              2589573,              2589573,,,                248723,,              1499030,,                  3075,              1750828,                838745,,,                630425,,               -396521,,                283254,,                 44253,                 -5097,                833648,,                147102,                686546,                686546,,,                              0,                              0,,                 38951,                -22864,                 -1748,,                    -60,                 14279,                 14279,                700825,,                457772,                228774,,                453731,                247094,,                              0.30,,                              0.30,,,,,,,,,,
2504,2014年01月01日至2014年06月30日,,,,,,,             16506173,,,,,             14789338,              1716835,              1716835,,,                158793,,                992142,,                  2013,              1152948,                563887,,,                 93510,,                -27359,,                183838,,                 28009,                -89678,                474209,,                 93839,                380370,                380370,,,,,,               -199184,               -109013,                 -2046,,                     38,               -310205,               -310205,                 70165,,                250559,                129811,,                -68822,                138987,,                              0.17,,                              0.17,,,,,,,,,,
