證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 其他收益及費損淨額,　　 其他收益及費損淨額,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　　 除列按攤銷後成本衡量金融資產淨損益,　　　 除列按攤銷後成本衡量金融資產淨損益,　　 金融資產重分類淨損益,　　　 金融資產重分類淨損益,　 停業單位損益,　　 停業單位損益合計,　　 停業單位淨利（淨損）,　　　 其他收入－其他,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營建工程收入,　　　 工程收入,　　　　 工程收入淨額,　　　 營建工程收入合計,　　　 利息收入,　　　　 利息收入合計,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 利息費用,　　　 採用權益法認列之關聯企業及合資損失之份額
1809,2015年第3季,,                701090,,                562643,                138447,                138447,,,                 60816,,                 60320,,                 15513,                136649,,                   -303,                  1495,,,                 13367,,                 14696,,                  3879,,                              0,                 24184,                 25679,,                  3279,                 22400,                 22400,,,                141644,                141644,                141644,                164044,,                 22889,                   -489,,                128512,                 35532,,                              0.12,                              0.12,,                              0.12,                              0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2015年第2季,,                755490,,                589847,                165643,                165643,,,                 66453,,                 57540,,                 16673,                140666,,                   -979,                 23998,,,                  9639,,                 -9707,,                  2106,,                              0,                 -2174,                 21824,,                 12724,                  9100,                  9100,,,                -41492,                -41492,                -41492,                -32392,,                 12080,                 -2980,,                -16981,                -15411,,,                              0.06,,,                              0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2015年01月01日至2015年09月30日,,              2127075,,              1674856,                452219,                452219,,,                183716,,                171839,,                 45306,                400861,,                 -1320,                 50038,,,                 32154,,                   -799,,                  9466,,                              0,                 21889,                 71927,,                 24748,                 47179,                 47179,,,                 68030,                 68030,                 68030,                115209,,                 62962,                -15783,,                117337,                 -2128,,                              0.33,                              0.33,,                              0.33,                              0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2015年01月01日至2015年06月30日,,              1425985,,              1112213,                313772,                313772,,,                122900,,                111519,,                 29793,                264212,,                 -1017,                 48543,,,                 18787,,                -15495,,                  5587,,                              0,                 -2295,                 46248,,                 21469,                 24779,                 24779,,,                -73614,                -73614,                -73614,                -48835,,                 40073,                -15294,,                -11175,                -37660,,,                              0.21,,,                              0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2015年01月01日至2015年03月31日,,                670495,,                522366,                148129,                148129,,,                 56447,,                 53979,,                 13120,                123546,,                    -38,                 24545,,,                  9148,,                 -5788,,                  3481,,                              0,                   -121,                 24424,,                  8745,                 15679,                 15679,,,                -32122,                -32122,                -32122,                -16443,,                 27993,                -12314,,                  5806,                -22249,,,                              0.15,,,                              0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年第3季,,              1029213,,                800470,                228743,                228743,,,                 71870,,                 61671,,                 20538,                154079,,                   -291,                 74373,,,                  7810,,                  7693,,                  2431,,                              0,                 13072,                 87445,,                 23311,                 64134,                 64134,,,                 68112,                 68112,                 68112,                132246,,                 52781,                 11353,,                 98028,                 34218,,                              0.28,                              0.28,,                              0.28,                              0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年第2季,,                936895,,                706281,                230614,                230614,,,                 68965,,                 56755,,                 19533,                145253,,                    913,                 86274,,,                 14228,,                -16078,,                  3354,,                 -1637,                 -6841,                 79433,,                 12431,                 67002,                 67002,,,                -52813,                -52813,                -52813,                 14189,,                 52934,                 14068,,                 16521,                 -2332,,,                              0.28,,,                              0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年度,,              3578567,,              2796247,                782320,                782320,,,                266402,,                248476,,                 72365,                587243,,                  4001,                199078,,,                 51839,,                -12838,,                 12008,,                 -3843,                 23150,                222228,,                 47468,                174760,                174760,,,,,                126712,                301472,,                164504,                 10256,,                257999,                 43473,,                              0.87,                              0.87,,                              0.86,                              0.86,                119819,                  8277,,                              0,                  1384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年01月01日至2014年09月30日,,              2737630,,              2136475,                601155,                601155,,,                197360,,                172640,,                 54322,                424322,,                  4247,                181080,,,                 32816,,                 -9392,,                 10299,,                 -3553,                  9572,                190652,,                 47209,                143443,                143443,,,                 16837,                 16837,                 16837,                160280,,                126894,                 16549,,                141586,                 18694,,                              0.67,                              0.67,,                              0.67,                              0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,2014年01月01日至2014年06月30日,,              1708417,,              1336005,                372412,                372412,,,                125490,,                110969,,                 33784,                270243,,                  4538,                106707,,,                 25006,,                -17085,,                  7868,,                 -3553,                 -3500,                103207,,                 23898,                 79309,                 79309,,,                -51275,                -51275,                -51275,                 28034,,                 74113,                  5196,,                 43558,                -15524,,,                              0.39,,,                              0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
