證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 維修收入,　　　　 維修收入淨額,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 維修成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 與待出售非流動資產直接相關之權益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益
4104,2015年第3季,,,              1391054,,,                 53401,                 53401,,                146730,              1591185,,,              1164177,,                 30493,                 30493,                 93478,              1288148,                303037,                 16444,                 16897,                303490,,,                129422,,                102724,                232146,                 71344,,,                 10947,,                 36584,,                  9257,,                 14225,                 52499,                123843,,                 11550,                112293,                112293,,,                              0,                              0,                              0,,                113467,                -62848,                  6295,,                 -7812,                 15672,                 33430,                 33430,                145723,,                 89566,                 22727,,                119703,                 26020,,                              0.77,                              0.77,,                              0.76,                              0.76,,,,,,,,,
4104,2015年第2季,,,              1376176,,,                 52216,                 52216,,                141734,              1570126,,,              1125331,,                 28384,                 28384,                 89645,              1243360,                326766,                 14779,                 14955,                326942,,,                129684,,                 89742,                219426,                107516,,,                 15101,,                 18153,,                  8640,,                 22155,                 46769,                154285,,                 24575,                129710,                129710,,,                    162,                     28,                    134,,                -31913,                -92587,                              0,,                -11932,                     15,               -136447,               -136313,                 -6603,,                100678,                 29032,,                -10374,                  3771,,                              0.89,                              0.89,,                              0.89,                              0.89,,,,,,,,,
4104,2015年01月01日至2015年09月30日,,,              4055664,,,                162387,                162387,,                415012,              4633063,,,              3366870,,                 89979,                 89979,                266146,              3722995,                910068,                 40996,                 41965,                911037,,,                376295,,                294981,                671276,                239761,,,                 37741,,                 95322,,                 26326,,                 52955,                159692,                399453,,                 55575,                343878,                343878,,,                    162,                     28,                    134,,                 43493,               -350264,                  6295,,                -15204,                 -6226,               -309454,               -309320,                 34558,,                276461,                 67417,,                  5313,                 29245,,                              2.42,                              2.42,,                              2.40,                              2.40,,,,,,,,,
4104,2015年01月01日至2015年06月30日,,,              2664610,,,                108986,                108986,,                268282,              3041878,,,              2202693,,                 59486,                 59486,                172668,              2434847,                607031,                 24552,                 25068,                607547,,,                246873,,                192257,                439130,                168417,,,                 26794,,                 58738,,                 17069,,                 38730,                107193,                275610,,                 44025,                231585,                231585,,,                    162,                     28,                    134,,                -69973,               -287416,                              0,,                 -7392,                -21897,               -342884,               -342750,               -111165,,                186895,                 44690,,               -114390,                  3225,,                              1.65,                              1.65,,                              1.65,                              1.65,,,,,,,,,
4104,2015年01月01日至2015年03月31日,,,              1288434,,,                 56770,                 56770,,                126548,              1471752,,,              1077362,,                 31102,                 31102,                 83023,              1191487,                280265,                  9773,                 10113,                280605,,,                117189,,                102515,                219704,                 60901,,,                 11693,,                 40585,,                  8429,,                 16575,                 60424,                121325,,                 19450,                101875,                101875,,,,,,,                -38060,               -194829,                              0,,                  4540,                -21912,               -206437,               -206437,               -104562,,                 86217,                 15658,,               -104016,                   -546,,                              0.76,                              0.76,,                              0.76,                              0.76,                              0,,,,,,,,
4104,2014年第3季,,,              1286779,,,                 58549,                 58549,,                118192,              1463520,,,              1051853,,                 34096,                 34096,                 88384,              1174333,                289187,                 12350,                 11813,                288650,,,                119100,,                 87267,                206367,                 82283,,,                  7356,,                 19958,,                  7143,,                 19857,                 40028,                122311,,                 25608,                 96703,                 96703,,,                              0,                              0,                              0,,                 44847,               -149588,                              0,,                -21416,                -13098,               -113059,               -113059,                -16356,,                 79019,                 17684,,                -31729,                 15373,,                              0.70,                              0.70,,                              0.70,                              0.70,,,,,,,,,
4104,2014年第2季,,,              1288072,,,                 58090,                 58090,,                127040,              1473202,,,              1042719,,                 33843,                 33843,                 82282,              1158844,                314358,                 11878,                 12060,                314540,,,                120971,,                 81405,                202376,                112164,,,                  3613,,                 11690,,                  7866,,                  9380,                 16817,                128981,,                 28431,                100550,                100550,,,                              0,                              0,                              0,,                -45486,                261019,                              0,,                  5845,                 -6428,                227806,                227806,                328356,,                 74342,                 26208,,                260923,                 67433,,                              0.66,                              0.66,,                              0.66,                              0.66,,,,,,,,,
4104,2014年度,,,              5090742,,,                228295,                228295,,                487640,              5806677,,,              4165111,,                131214,                131214,                329399,              4625724,              1180953,                 51324,                 49538,              1179167,,,                479339,,                356330,                835669,                343498,,,                 22432,,                 97855,,                 31838,,                 38467,                126916,                470414,,                102369,                368045,                368045,,,,,,,,,,,,,,                 94117,                462162,,                285681,                 82364,,                351119,                111043,,                              2.53,                              2.53,,                              2.52,                              2.52,,                136573,                -22766,                  6582,                 -3492,,                -20326,                  2454,
4104,2014年01月01日至2014年09月30日,,,              3778783,,,                170733,                170733,,                367397,              4316913,,,              3096492,,                 97142,                 97142,                251175,              3444809,                872104,                 34721,                 33919,                871302,,,                357713,,                244581,                602294,                269008,,,                 14437,,                 89798,,                 23630,,                 29520,                110125,                379133,,                 84400,                294733,                294733,,,                              0,                              0,                              0,,                 23369,                 89894,                 -3492,,                -12368,                 -2827,                100230,                100230,                394963,,                232952,                 61781,,                309149,                 85814,,                              2.06,                              2.06,,                              2.06,                              2.06,,,,,,,,,
4104,2014年01月01日至2014年06月30日,,,              2492004,,,                112184,                112184,,                249205,              2853393,,,              2044639,,                 63046,                 63046,                162791,              2270476,                582917,                 22371,                 22106,                582652,,,                238613,,                157314,                395927,                186725,,,                  7081,,                 69840,,                 16487,,                  9663,                 70097,                256822,,                 58792,                198030,                198030,,,                              0,                              0,                              0,,                -21478,                239482,                 -3492,,                  9048,                 10271,                213289,                213289,                411319,,                153933,                 44097,,                340878,                 70441,,                              1.36,                              1.36,,                              1.36,                              1.36,,,,,,,,,
