證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅
2340,2015年第3季,,              1344996,,                945872,                399124,                399124,,,                 39391,,                130874,,                 76293,                246558,                152566,,,                  9923,,                 24310,,                 11827,,                 14259,                 36665,                189231,,                 30398,                158833,                158833,,,                 24287,                  9371,,                    490,                 34148,                 34148,                192981,,                158830,                      3,,                192975,                      6,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,
2340,2015年第2季,,              1409006,,              1041955,                367051,                367051,,,                 33627,,                136129,,                 67714,                237470,                129581,,,                 18002,,                 39161,,                 12047,,                  6084,                 51200,                180781,,                 33753,                147028,                147028,,,                 -8182,                 -1720,,                   -171,                -10073,                -10073,                136955,,                147025,                      3,,                136953,                      2,,                              0.27,                              0.27,,                              0.26,                              0.26,,,,,,
2340,2015年01月01日至2015年09月30日,,              4135016,,              2984689,              1150327,              1150327,,,                112794,,                383166,,                207290,                703250,                447077,,,                 49775,,                 25722,,                 36722,,                 24382,                 63157,                510234,,                 96387,                413847,                413847,,,                  9721,                 26761,,                    201,                 36683,                 36683,                450530,,                413845,                      2,,                450527,                      3,,                              0.76,                              0.76,,                              0.74,                              0.74,,,,,,
2340,2015年01月01日至2015年06月30日,,              2790020,,              2038817,                751203,                751203,,,                 73403,,                252292,,                130997,                456692,                294511,,,                 39852,,                  1412,,                 24895,,                 10123,                 26492,                321003,,                 65989,                255014,                255014,,,                -14566,                 17390,,                   -289,                  2535,                  2535,                257549,,                255015,                     -1,,                257552,                     -3,,                              0.47,                              0.47,,                              0.46,                              0.46,,,,,,
2340,2015年01月01日至2015年03月31日,,              1381014,,                996862,                384152,                384152,,,                 39776,,                116163,,                 63283,                219222,                164930,,,                 21850,,                -37749,,                 12848,,                  4039,                -24708,                140222,,                 32236,                107986,                107986,,,                 -6384,                 19110,,                   -118,                 12608,                 12608,                120594,,                107990,                     -4,,                120599,                     -5,,                              0.20,                              0.20,,                              0.20,                              0.20,,,,,,
2340,2014年第3季,,              1600443,,              1163865,                436578,                436578,,,                 43758,,                122470,,                 79465,                245693,                190885,,,                 17274,,                -26017,,                 15044,,                 11193,                -12594,                178291,,                 41160,                137131,                137131,,,                 22093,                  9410,,                    311,                 31814,                 31814,                168945,,                137130,                      1,,                168942,                      3,,                              0.25,                              0.25,,                              0.25,                              0.25,,,,,,
2340,2014年第2季,,              1622867,,              1195398,                427469,                427469,,,                 38215,,                128387,,                 73144,                239746,                187723,,,                 13017,,                -11771,,                 15026,,                  1963,                -11817,                175906,,                 15625,                160281,                160281,,,                -14365,                -11190,,                   -238,                -25793,                -25793,                134488,,                160280,                      1,,                134488,                              0,,                              0.29,                              0.29,,                              0.29,                              0.29,,,,,,
2340,2014年度,,              6317383,,              4645461,              1671922,              1671922,,,                159566,,                482701,,                283256,                925523,                746399,,,                 61010,,               -107011,,                 58483,,                 25835,                -78649,                667750,,                106059,                561691,                561691,,,,,,,,                 67439,                629130,,                561682,                      9,,                629119,                     11,,                              1.03,                              1.03,,                              1.02,                              1.02,                 25203,                 31893,                 11969,,                    420,                  2046
2340,2014年01月01日至2014年09月30日,,              4729327,,              3472163,              1257164,              1257164,,,                121672,,                373584,,                212916,                708172,                548992,,,                 52254,,                -30117,,                 44562,,                 15951,                 -6474,                542518,,                116732,                425786,                425786,,,                  4493,                 11886,,                     20,                 16399,                 16399,                442185,,                425782,                      4,,                442180,                      5,,                              0.78,                              0.78,,                              0.77,                              0.77,,,,,,
2340,2014年01月01日至2014年06月30日,,              3128884,,              2308298,                820586,                820586,,,                 77914,,                251114,,                133451,                462479,                358107,,,                 34980,,                 -4100,,                 29518,,                  4758,                  6120,                364227,,                 75572,                288655,                288655,,,                -17600,                  2476,,                   -291,                -15415,                -15415,                273240,,                288652,                      3,,                273238,                      2,,                              0.53,                              0.53,,                              0.52,                              0.52,,,,,,
2340,2014年01月01日至2014年03月31日,,              1506017,,              1112900,                393117,                393117,,,                 39699,,                122727,,                 60307,                222733,                170384,,,                 21963,,                  7671,,                 14492,,                  2795,                 17937,                188321,,                 59947,                128374,                128374,,,                 -3235,                 13666,,                    -53,                 10378,                 10378,                138752,,                128372,                      2,,                138750,                      2,,                              0.24,                              0.24,,                              0.24,                              0.24,,,,,,
2340,2013年第3季,,              1590115,,              1183565,                406550,                406550,,,                 47956,,                123599,,                 79892,                251447,                155103,,,                  9923,,                 -4943,,                 13624,,                  5936,                 -2708,                152395,,                 30944,                121451,                121451,,,,,,,,                 -9520,                111931,,                121460,                     -9,,                111940,                     -9,,                              0.22,                              0.22,,                              0.22,                              0.22,                 -9786,                    266,,,,
2340,2013年第2季,,              1707388,,              1348345,                359043,                359043,,,                 54993,,                116478,,                 67663,                239134,                119909,,,                    136,,                  5283,,                 11901,,                  8464,                  1982,                121891,,                 15697,                106194,                106194,,,,,,,,                 21493,                127687,,                106186,                      8,,                127678,                      9,,                              0.19,                              0.19,,                              0.19,                              0.19,                 14742,                  6751,,,,
2340,2013年度,,              6391594,,              4982481,              1409113,              1409113,,,                188813,,                463240,,                270013,                922066,                487047,,,                 37929,,                 12797,,                 50268,,                 30697,                 31155,                518202,,                 98155,                420047,                420047,,,,,,,,                 53524,                473571,,                420061,                    -14,,                473578,                     -7,,                              0.77,                              0.77,,                              0.76,                              0.76,                 44779,                 10392,                 -2953,,                    806,                   -500
2340,2013年01月01日至2013年09月30日,,              4832352,,              3776849,              1055503,              1055503,,,                141451,,                351478,,                210269,                703198,                352305,,,                 31318,,                 22465,,                 36720,,                 23087,                 40150,                392455,,                 70427,                322028,                322028,,,,,,,,                 38744,                360772,,                322036,                     -8,,                360777,                     -5,,                              0.59,                              0.59,,                              0.58,                              0.58,                 30395,                  8349,,,,
2340,2013年01月01日至2013年06月30日,,              3242237,,              2593284,                648953,                648953,,,                 93495,,                227879,,                130377,                451751,                197202,,,                 21395,,                 27408,,                 23096,,                 17151,                 42858,                240060,,                 39483,                200577,                200577,,,,,,,,                 48264,                248841,,                200576,                      1,,                248837,                      4,,                              0.37,                              0.37,,                              0.36,                              0.36,                 40181,                  8083,,,,
2340,2013年01月01日至2013年03月31日,,              1534849,,              1244939,                289910,                289910,,,                 38502,,                111401,,                 62714,                212617,                 77293,,,                 21259,,                 22125,,                 11195,,                  8687,                 40876,                118169,,                 23786,                 94383,                 94383,,,,,,,,                 26771,                121154,,                 94390,                     -7,,                121159,                     -5,,                              0.17,                              0.17,,                              0.17,                              0.17,                 25439,                  1332,,,,
