證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 勞務收入,　　　 勞務收入合計,　　 其他營業收入,　　　 其他營業收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 勞務成本合計,　　 其他營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計
1604,2014年第3季,,,              2369538,,                179213,,                 52716,              2601467,,,              1832568,,                145378,                 30595,              2008541,                592926,                592926,,,                354863,,                 96937,,                 36474,                488274,                104652,,,                 32855,,                 -6055,,                  3107,                  3107,,                112357,                136050,                240702,,                      1,                240701,                240701,,                 29150,                  1908,,,                 34250,,                 65308,                306009,,                237315,                  3386,,                302623,                  3386,,                              0.47,,                              0.46,,              2369538
1604,2014年第2季,,,              2725597,,                167954,,                 49395,              2942946,,,              2058574,,                127190,                 31275,              2217039,                725907,                725907,,,                535672,,                 80796,,                 38394,                654862,                 71045,,,                 18846,,                 -5656,,                  3629,                  3629,,                116552,                126113,                197158,,                  1285,                195873,                195873,,                -24384,                  2190,,,                -34707,,                -56901,                138972,,                193487,                  2386,,                136586,                  2386,,                              0.37,,                              0.37,,
1604,2014年度,,,              9515191,,                626406,,                189544,             10331141,,,              7362185,,                626021,                109715,              8097921,              2233220,              2233220,,,              1564170,,                344625,,                147600,              2056395,                176825,,,                 82350,,                   -169,,                 13709,                 13709,,                424239,                492711,                669536,,                 26085,                643451,                643451,,                 60033,                 26536,                -47591,,                111003,                    271,                149710,                793161,,                640447,                  3004,,                789777,                  3384,,                              1.25,,                              1.24,,
1604,2014年01月01日至2014年09月30日,,,              7458147,,                488270,,                141880,              8088297,,,              5673392,,                479635,                 84723,              6237750,              1850547,              1850547,,,              1270640,,                267541,,                109785,              1647966,                202581,,,                 68402,,                 -9226,,                 10655,                 10655,,                351120,                399641,                602222,,                  3154,                599068,                599068,,                 14964,                 21268,,,                 24764,,                 60996,                660064,,                592678,                  6390,,                653674,                  6390,,                              1.15,,                              1.15,,              7458147
1604,2014年01月01日至2014年06月30日,,,              5088609,,                309057,,                 89164,              5486830,,,              3840824,,                334257,                 54128,              4229209,              1257621,              1257621,,,                915777,,                170604,,                 73311,              1159692,                 97929,,,                 35547,,                 -3171,,                  7548,                  7548,,                238763,                263591,                361520,,                  3153,                358367,                358367,,                -14186,                 19360,,,                 -9486,,                 -4312,                354055,,                355363,                  3004,,                351051,                  3004,,                              0.69,,                              0.68,,
1604,2014年01月01日至2014年03月31日,,,              2363012,,                141103,,                 39769,              2543884,,,              1782250,,                207067,                 22853,              2012170,                531714,                531714,,,                380105,,                 89808,,                 34917,                504830,                 26884,,,                 16701,,                  2485,,                  3919,                  3919,,                122211,                137478,                164362,,                  1868,                162494,                162494,,                 10198,                 17170,,,                 25221,,                 52589,                215083,,                161876,                    618,,                214465,                    618,,                              0.31,,                              0.31,,
1604,2013年第3季,,,              2311493,,                181232,,                 53461,              2546186,,,              1839126,,                185116,                 30997,              2055239,                490947,                490947,,,                400059,,                 83060,,                 42102,                525221,                -34274,,,                 45508,,                205406,,                  3854,                  3854,,                 53083,                300143,                265869,,                              0,                265869,                265869,,                -14913,                 20057,,,                -10714,,                 -5570,                260299,,                209927,                 55942,,                204357,                 55942,,                              0.39,,                              0.39,,              2311493
1604,2013年第2季,,,              3049761,,                128766,,                 59831,              3238358,,,              2321250,,                151692,                 39559,              2512501,                725857,                725857,,,                509155,,                102248,,                 29987,                641390,                 84467,,,                 30601,,                 -8708,,                  6345,                  6345,,                 80035,                 95583,                180050,,                   -698,                180748,                180748,,                 14350,                 19865,,,                 34278,,                 68493,                249241,,                177909,                  2839,,                246402,                  2839,,                              0.33,,                              0.33,,
1604,2013年度,,,             10242029,,                667918,,                212389,             11122336,,,              8007474,,                908460,                128360,              9044294,              2078042,              2078042,,,              1626508,,                246194,,                156563,              2029265,                 48777,,,                132502,,                159682,,                 28372,                 28372,,                272780,                536592,                585369,,                103520,                481849,                481849,,                 80453,                104244,                -28155,,                 74460,                   -130,                231132,                712981,,                427996,                 53853,,                659205,                 53776,,                              0.80,,                              0.80,,
1604,2013年07月01日至2013年09月30日,,,              2311493,,                181232,,                 53461,              2546186,,,              1839126,,                185116,                 30997,              2055239,                490947,                490947,,,                400059,,                 83060,,                 42102,                525221,                -34274,,,                 45508,,                205406,,                  3854,                  3854,,                 53083,                300143,                265869,,                              0,                265869,                265869,,                -14913,                 20057,,,                -10714,,                 -5570,                260299,,                209927,                 55942,,                204357,                 55942,,                              0.39,,                              0.39,,              2311493
