證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額
8429,2015年第3季,,              1403952,,                920421,                483531,                483531,,,                 80983,,                 23855,,                  2529,                107367,                376164,,,                  4602,,                -18794,,                  2941,                -17133,                359031,,                129072,                229959,                229959,,,                277960,                277960,                277960,                507919,,                229959,,                507919,,                              1.78,                              1.78,,                              1.56,                              1.56,
8429,2015年第2季,,              1529950,,              1002138,                527812,                527812,,,                 79069,,                 29810,,                  2504,                111383,                416429,,,                  3927,,                 -6134,,                  2986,                 -5193,                411236,,                140387,                270849,                270849,,,                -90483,                -90483,                -90483,                180366,,                270849,,                180366,,                              2.24,                              2.24,,                              2.10,                              2.10,
8429,2015年01月01日至2015年09月30日,,              4216398,,              2759210,              1457188,              1457188,,,                240351,,                 77836,,                  7372,                325559,              1131629,,,                 12667,,                -26452,,                  8878,                -22663,              1108966,,                385435,                723531,                723531,,,                122700,                122700,                122700,                846231,,                723531,,                846231,,                              5.62,                              5.62,,                              5.14,                              5.14,
8429,2015年01月01日至2015年06月30日,,              2812446,,              1838789,                973657,                973657,,,                159368,,                 53981,,                  4843,                218192,                755465,,,                  8065,,                 -7658,,                  5937,                 -5530,                749935,,                256363,                493572,                493572,,,               -155260,               -155260,               -155260,                338312,,                493572,,                338312,,                              4.08,                              4.08,,                              3.81,                              3.81,
8429,2015年01月01日至2015年03月31日,,              1282496,,                836651,                445845,                445845,,,                 80299,,                 24171,,                  2339,                106809,                339036,,,                  4138,,                 -1524,,                  2951,                   -337,                338699,,                115976,                222723,                222723,,,                -64777,                -64777,                -64777,                157946,,                222723,,                157946,,                              1.84,                              1.84,,                              1.71,                              1.71,
8429,2014年第3季,,              1308411,,                843921,                464490,                464490,,,                 77212,,                 22506,,                  2439,                102157,                362333,,,                  3217,,                 -1554,,                  2749,                 -1086,                361247,,                123134,                238113,                238113,,,                158200,                158200,                158200,                396313,,                238113,,                396313,,                              1.85,                              1.85,,                              1.72,                              1.72,
8429,2014年第2季,,              1565861,,              1013412,                552449,                552449,,,                115620,,                 25663,,                  2505,                143788,                408661,,,                  3412,,                 -5448,,                  5107,                 -7143,                401518,,                134066,                267452,                267452,,,                -97492,                -97492,                -97492,                169960,,                267452,,                169960,,                              2.21,                              2.21,,                              2.08,                              2.08,
8429,2014年度,,              5724250,,              3699874,              2024376,              2024376,,,                351265,,                103692,,                  9885,                464842,              1559534,,,                 18214,,                -20424,,                 12419,                -14629,              1544905,,                533121,              1011784,              1011784,,,,,                211016,              1222800,,              1011784,,              1222800,,                              8.36,                              8.36,,                              7.84,                              7.84,                211016
8429,2014年01月01日至2014年09月30日,,              4213231,,              2726169,              1487062,              1487062,,,                271317,,                 73563,,                  7598,                352478,              1134584,,,                  9343,,                 -8654,,                  9553,                 -8864,              1125720,,                387566,                738154,                738154,,,                 27553,                 27553,                 27553,                765707,,                738154,,                765707,,                              5.73,                              5.73,,                              5.44,                              5.44,
8429,2014年01月01日至2014年06月30日,,              2904820,,              1882248,              1022572,              1022572,,,                194105,,                 51057,,                  5159,                250321,                772251,,,                  6126,,                 -7100,,                  6804,                 -7778,                764473,,                264432,                500041,                500041,,,               -130647,               -130647,               -130647,                369394,,                500041,,                369394,,                              4.13,                              4.13,,                              3.86,                              3.86,
8429,2014年01月01日至2014年03月31日,,              1338959,,                868836,                470123,                470123,,,                 78485,,                 25394,,                  2654,                106533,                363590,,,                  2714,,                 -1652,,                  1697,                   -635,                362955,,                130366,                232589,                232589,,,                -33155,                -33155,                -33155,                199434,,                232589,,                199434,,                              1.92,                              1.92,,                              1.77,                              1.77,
8429,2013年第3季,,              1339401,,                864020,                475381,                475381,,,                 76245,,                 21038,,                  1924,                 99207,                376174,,,                  2352,,                    -49,,                              0,                  2303,                378477,,                107572,                270905,                270905,,,,,                -49149,                221756,,                270905,,                221756,,                              2.24,                              2.24,,                              2.24,                              2.24,                -49149
8429,2013年第2季,,              1329368,,                856783,                472585,                472585,,,                 75916,,                 22641,,                  1820,                100377,                372208,,,                  2061,,                 -6988,,                              0,                 -4927,                367281,,                121928,                245353,                245353,,,,,                 59955,                305308,,                245353,,                305308,,                              2.03,                              2.03,,                              2.03,                              2.03,                 59955
8429,2013年度,,              5172937,,              3343760,              1829177,              1829177,,,                302205,,                 93640,,                  7318,                403163,              1426014,,,                  8490,,                 -8937,,                              0,                   -447,              1425567,,                471275,                954292,                954292,,,,,                206048,              1160340,,                954292,,              1160340,,                              7.89,                              7.89,,                              7.89,                              7.89,                206048
8429,2013年07月01日至2013年09月30日,,              1339401,,                864020,                475381,                475381,,,                 76245,,                 21038,,                  1924,                 99207,                376174,,,                  2352,,                    -49,,                              0,                  2303,                378477,,                107572,                270905,                270905,,,,,                -49149,                221756,,                270905,,                221756,,                              2.24,                              2.24,,                              2.24,                              2.24,                -49149
8429,2013年04月01日至2013年06月30日,,              1329368,,                856783,                472585,                472585,,,                 75916,,                 22641,,                  1820,                100377,                372208,,,                  2061,,                 -6988,,                              0,                 -4927,                367281,,                121928,                245353,                245353,,,,,                 59955,                305308,,                245353,,                305308,,                              2.03,                              2.03,,                              2.03,                              2.03,                 59955
8429,2013年01月01日至2013年12月31日,,              5172937,,              3343760,              1829177,              1829177,,,                302205,,                 93640,,                  7318,                403163,              1426014,,,                  8490,,                 -8937,,                              0,                   -447,              1425567,,                471275,                954292,                954292,,,,,                206048,              1160340,,                954292,,              1160340,,                              7.89,                              7.89,,                              7.89,                              7.89,                206048
8429,2013年01月01日至2013年09月30日,,              3755042,,              2428801,              1326241,              1326241,,,                226271,,                 65926,,                  5460,                297657,              1028584,,,                  5920,,                 -6527,,                              0,                   -607,              1027977,,                323012,                704965,                704965,,,,,                124618,                829583,,                704965,,                829583,,                              5.83,                              5.83,,                              5.83,                              5.83,                124618
8429,2013年01月01日至2013年06月30日,,              2415641,,              1564781,                850860,                850860,,,                150026,,                 44888,,                  3536,                198450,                652410,,,                  3568,,                 -6478,,                              0,                 -2910,                649500,,                215440,                434060,                434060,,,,,                173767,                607827,,                434060,,                607827,,                              3.59,                              3.59,,                              3.59,                              3.59,                173767
8429,2013年01月01日至2013年03月31日,,              1086273,,                707998,                378275,                378275,,,                 74110,,                 22247,,                  1716,                 98073,                280202,,,                  1507,,                    510,,                              0,                  2017,                282219,,                 93512,                188707,                188707,,,,,                113812,                302519,,                188707,,                302519,,                              1.56,                              1.56,,                              1.56,                              1.56,                113812
8429,2012年07月01日至2012年09月30日,,              1122479,,                723659,                398820,                398820,,,                 68739,,                 30338,,                  1632,                100709,                298111,,,                  1571,,                -10535,,                      8,                 -8972,                289139,,                 65131,                224008,                224008,,,,,                -51463,                172545,,                224008,,                172545,,                              2.08,                              2.08,,                              2.08,                              2.08,                -51463
8429,2012年04月01日至2012年06月30日,,              1173041,,                759624,                413417,                413417,,,                 74849,,                 25609,,                  1544,                102002,                311415,,,                 17225,,                 -1948,,                 -1051,                 16328,                327743,,                 68363,                259380,                259380,,,,,                 21718,                281098,,                259380,,                281098,,                              2.57,                              2.57,,                              2.45,                              2.45,                 21718
