證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨收入淨額,　　 勞務收入,　　　 技術服務收入,　　　　 技術服務收入淨額,　　　 勞務收入合計,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 勞務成本,　　　 技術服務費用,　　　 勞務成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 租金收入,　　　 其他收入合計,　　 其他利益及損失,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 處分投資損失,　　　 外幣兌換損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　 繼續營業單位淨利（淨損）,　　　 處分不動產、廠房及設備利益,　　　 減損損失,　　　　 減損損失合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　　 減損迴轉利益,　　　　 減損迴轉利益合計,　　　 壞帳轉回利益
3701,2015年第3季,,,,              2922317,              2922317,              2922317,,,                257832,                257832,              3180149,,,              2558799,,                281509,                281509,              2840308,                339841,                339841,,                442430,               -102589,,,,                 14680,                 21146,                 35826,,                 -8716,                -38327,                 19875,                -13642,                 24320,                   -942,,                 20622,                 20622,,                  2892,                 17154,                -85435,,                 10523,                -95958,                -95958,,,                203505,                -31528,,                     18,                171995,                171995,                 76037,,                -34953,                -61005,,                 64041,                 11996,,                             -0.10,,,,,,,,,,
3701,2015年第2季,,,,              3040616,              3040616,              3040616,,,                236026,                236026,              3276642,,,              2757017,,                281327,                281327,              3038344,                238298,                238298,,                417871,               -179573,,,,                 15956,                 24130,                 40086,,                 88425,                    505,                127712,                -10168,                    901,                -30525,,                 18393,                 18393,,                 -3762,                -12594,               -192167,,                 13743,               -205910,               -205910,,,                -60082,                 52343,,                    -17,                 -7756,                 -7756,               -213666,,               -128492,                -77418,,               -106950,               -106716,,                             -0.40,,,,,,,,,,
3701,2015年第1季,,,,,,              2850790,,,                285368,                285368,              3136158,,,              2608806,,                250848,                250848,              2859654,                276504,                276504,,                425767,               -149263,,,,                 15043,                 19798,                 34841,,                 56648,                -22588,,                -51034,                -12976,                143246,,                 22904,                 22904,,                 -3263,                151920,                  2657,,                    730,                  1927,                  1927,,,                -88376,                -34057,,,               -122433,               -122433,               -120506,,                 11323,                 -9396,,                -87793,                -32713,,                              0.04,                              0.04,,,,,,,,,
3701,2015年01月01日至2015年09月30日,,,,              8813723,              8813723,              8813723,,,                779226,                779226,              9592949,,,              7924622,,                813684,                813684,              8738306,                854643,                854643,,              1286068,               -431425,,,,                 45679,                 65074,                110753,,                136357,                -60177,                147354,                -74844,                 12245,                111779,,                 61919,                 61919,,                 -4133,                156480,               -274945,,                 24996,               -299941,               -299941,,,                 55061,                -13251,,                     -4,                 41806,                 41806,               -258135,,               -152122,               -147819,,               -130702,               -127433,,                             -0.47,,,,,,,,,,
3701,2015年01月01日至2015年06月30日,,,,              5891406,              5891406,              5891406,,,                521394,                521394,              6412800,,,              5365823,,                532175,                532175,              5897998,                514802,                514802,,                843638,               -328836,,,,                 30999,                 43928,                 74927,,                145073,                -21850,                127479,                -61202,                -12075,                112721,,                 41297,                 41297,,                 -7025,                139326,               -189510,,                 14473,               -203983,               -203983,,,               -148444,                 18277,,                    -22,               -130189,               -130189,               -334172,,               -117169,                -86814,,               -194743,               -139429,,                             -0.37,,,,,,,,,,
3701,2014年第3季,,,,              3474891,              3474891,              3474891,,,                176801,                176801,              3651692,,,              2992425,,                168256,                168256,              3160681,                491011,                491011,,                465978,                 25033,,,,                 30000,                 20406,                 50406,,                 47064,                    948,                 21153,                 -7724,                -22711,                 55398,,                 26653,                 26653,,                 -1470,                 77681,                102714,,                  7311,                 95403,                 95403,,,                107479,                125299,,                     37,                232815,                232815,                328218,,                 45228,                 50175,,                215828,                112390,,                              0.14,,,,,,,,,,
3701,2014年第2季,,,,              3768741,              3768741,              3768741,,,                132564,                132564,              3901305,,,              3290488,,                164403,                164403,              3454891,                446414,                446414,,                470002,                -23588,,,,                 19180,                 19102,                 38282,,                -17613,                  2053,                  9659,                 -2853,                -12850,                -13622,,                 28385,                 28385,,                 -2554,                 -6279,                -29867,,                 39923,                -69790,                -69790,,,                -94513,                    373,,                     72,                -94068,                -94068,               -163858,,                -50064,                -19726,,               -107689,                -56169,,                             -0.16,,,,,,,,,,
3701,2014年第1季,,,,,,              3061914,,,                208554,                208554,              3270468,,,              2778909,,                191106,                191106,              2970015,                300453,                300453,,                468622,               -168169,,,,                 21967,                 21600,                 43567,,               -192326,                    347,,                -22582,                 55793,               -225884,,                 28391,                 28391,,                 -6782,               -217490,               -385659,,                 15249,               -400908,               -400908,,,                -22853,                    169,,,                -22684,                -22684,               -423592,,               -219871,               -181037,,               -227138,               -196454,,                             -0.69,                             -0.69,,,,,,,,,
3701,2014年度,,,,             13591739,             13591739,             13591739,,,                685282,                685282,             14277021,,,             11996204,,                651496,                651496,             12647700,              1629321,              1629321,,              1855458,               -226137,,,,                 85454,                 91786,                177240,,               -167809,                 22667,,                -89692,,               -375288,,                105842,                105842,,                -13396,               -317286,               -543423,,                103044,               -646467,               -646467,,,,,,,,                221212,               -425255,,               -333426,               -313041,,               -190308,               -234947,,                             -1.04,                             -1.04,               -114071,,                160433,                137978,                 80413,                  2821,,,
3701,2014年01月01日至2014年09月30日,,,,             10305546,             10305546,             10305546,,,                517919,                517919,             10823465,,,              9061822,,                523765,                523765,              9585587,              1237878,              1237878,,              1404602,               -166724,,,,                 71147,                 61108,                132255,,               -162875,                  3387,                 30773,                -33159,                 20232,               -184108,,                 83429,                 83429,,                -10806,               -146088,               -312812,,                 62483,               -375295,               -375295,,,                 -9886,                125813,,                    136,                116063,                116063,               -259232,,               -224707,               -150588,,               -118999,               -140233,,                             -0.70,,,,,,,,,,
