證券代號,年季,　 營業收入,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 停業單位損益,　　 停業單位損益合計,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之確定福利計畫再衡量數,　　　　 採用權益法認列關聯企業及合資之重估增值,　　　　 採用權益法認列關聯企業及合資之指定損益按公允價值衡量之金融負債信用風險變動影響數,　　　　 採用權益法認列關聯企業及合資之與待出售非流動資產直接相關之權益,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　 共同控制下前手權益（淨利／損）,　　 共同控制下前手權益（綜合損益）,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　　 其他收入－其他,　 其他收益及費損淨額,　　 其他收益及費損淨額
2352,2015年第3季,,             33250976,,             29763503,              3487473,              3487473,,,              1394196,,                686039,,                858004,              2938239,                549234,,,                 78740,,                -87396,,                199956,,                362136,                153524,                702758,,                119675,                583083,,                              0,                583083,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,              1049688,               -223156,,                242317,              1068849,              1068849,              1651932,,                573204,                  9879,,              1530758,                121174,,                              0.29,,                              0.29,,,,,,,,,,
2352,2015年第2季,,             33209697,,             29474989,              3734708,              3734708,,,              1490993,,                729741,,                870216,              3090950,                643758,,,                125514,,                170001,,                192858,,                297316,                399973,              1043731,,                252414,                791317,,                              0,                791317,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -263589,               -670258,,                -98338,             -1032185,             -1032185,               -240868,,                720046,                 71271,,               -243630,                  2762,,                              0.37,,                              0.36,,,,,,,,,,
2352,2015年01月01日至2015年09月30日,,             98888769,,             88198952,             10689817,             10689817,,,              4357438,,              2130707,,              2557776,              9045921,              1643896,,,                288812,,                167818,,                586734,,              1009433,                879329,              2523225,,                476116,              2047109,,                              0,              2047109,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                513328,               -721394,,                 70449,               -137617,               -137617,              1909492,,              1913255,                133854,,              1790564,                118928,,                              0.97,,                              0.95,,,,,,,,,,
2352,2015年01月01日至2015年06月30日,,             65637793,,             58435449,              7202344,              7202344,,,              2963242,,              1444668,,              1699772,              6107682,              1094662,,,                210072,,                255214,,                386778,,                647297,                725805,              1820467,,                356441,              1464026,,                              0,              1464026,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -536360,               -498238,,               -171868,             -1206466,             -1206466,                257560,,              1340051,                123975,,                259806,                 -2246,,                              0.68,,                              0.67,,,,,,,,,,
2352,2015年01月01日至2015年03月31日,,             32428096,,             28960460,              3467636,              3467636,,,              1472249,,                714927,,                829556,              3016732,                450904,,,                 84558,,                 85213,,                193920,,                349981,                325832,                776736,,                104027,                672709,,                              0,                672709,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -272771,                172020,,                -73530,               -174281,               -174281,                498428,,                620005,                 52704,,                503436,                 -5008,,                              0.32,,                              0.31,                              0,                              0,,,,,,,,
2352,2014年第3季,,             34902457,,             31052375,              3850082,              3850082,,,              1517791,,                725119,,                810314,              3053224,                796858,,,                108692,,                -37794,,                204033,,                515105,                381970,              1178828,,                 83766,              1095062,,                              0,              1095062,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                433922,                 97843,,                 91514,                623279,                623279,              1718341,,              1039651,                 55411,,              1524809,                193532,,                              0.53,,                              0.52,,,,,,,,,,
2352,2014年第2季,,             33360918,,             29552933,              3807985,              3807985,,,              1525890,,                705386,,                831976,              3063252,                744733,,,                115650,,                146442,,                239829,,                280096,                302359,              1047092,,                 92524,                954568,,                              0,                954568,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -363337,                -85637,,                -88019,               -536993,               -536993,                417575,,                832852,                121716,,                361128,                 56447,,                              0.42,,                              0.42,,,,,,,,,,
2352,2014年度,,            133510923,,            118453278,             15057645,             15057645,,,              5997189,,              2923642,,              3208567,             12129398,              2928247,,,                366026,,                 64467,,                876317,,              1205447,                759623,              3687870,,                354731,              3333139,,,              3333139,,,,,,,,,,,,,,,,,,,,,,,,              1118261,              4451400,,              2971068,                362071,,              3890695,                560705,,                              1.51,,                              1.50,,,                910814,                 66939,                -38232,,                178740,,,
2352,2014年01月01日至2014年09月30日,,             98076888,,             86869183,             11207705,             11207705,,,              4358992,,              2131406,,              2377673,              8868071,              2339634,,,                307410,,                   -555,,                682632,,                776357,                400580,              2740214,,                267135,              2473079,,                              0,              2473079,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                232867,                 21950,,                 18431,                273248,                273248,              2746327,,              2156849,                316230,,              2337209,                409118,,                              1.10,,                              1.09,,,,,,,,,,
2352,2014年01月01日至2014年06月30日,,             63174431,,             55816808,              7357623,              7357623,,,              2841201,,              1406287,,              1567359,              5814847,              1542776,,,                198718,,                 37239,,                478599,,                261252,                 18610,              1561386,,                183369,              1378017,,                              0,              1378017,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,               -201055,                -75893,,                -73083,               -350031,               -350031,              1027986,,              1117198,                260819,,                812400,                215586,,                              0.57,,                              0.57,,,,,,,,,,
2352,2014年01月01日至2014年03月31日,,             29813513,,             26263875,              3549638,              3549638,,,              1315311,,                700901,,                735383,              2751595,                798043,,,                 83068,,               -109203,,                238770,,                -18844,               -283749,                514294,,                 90845,                423449,,                              0,                423449,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,                              0,,                162282,                  9744,,                 14936,                186962,                186962,                610411,,                284346,                139103,,                451272,                159139,,                              0.14,,                              0.14,                              0,                              0,,,,,,,,
2352,2013年第3季,,             30040245,,             26813606,              3226639,              3226639,,,              1410091,,                650668,,                750915,              2811674,                414965,,,                 71314,,                254195,,                255156,,                167529,                237882,                652847,,                117072,                535775,,,                535775,,,,,,,,,,,,,,,,,,,,,,,,               -171437,                364338,,                340941,                194834,,                170031,                194307,,                              0.17,,                              0.17,,,               -246628,                 97905,,,                -22714,,,
2352,2013年第2季,,             29318794,,             26087060,              3231734,              3231734,,,              1424254,,                662718,,                713587,              2800559,                431175,,,                174935,,                321873,,                298350,,                271450,                469908,                901083,,                106579,                794504,,,                794504,,,,,,,,,,,,,,,,,,,,,,,,                115547,                910051,,                570102,                224402,,                674060,                235991,,                              0.29,,                              0.29,,,                110172,                -61540,,,                 66915,                174935,,
2352,2013年度,,            119230535,,            106634262,             12596273,             12596273,,,              5544193,,              2588234,,              2902695,             11035122,              1561151,,,                505966,,                387313,,              1016010,,                287767,                165036,              1726187,,                320209,              1405978,,,              1405978,,,,,,,,,,,,,,,,,,,,,,,,              1797530,              3203508,,                709272,                696706,,              2391619,                811889,,                              0.36,,                              0.36,,,                426865,              1101005,                 25846,,                243814,,,
2352,2013年07月01日至2013年09月30日,,             30040245,,             26813606,              3226639,              3226639,,,              1410091,,                650668,,                750915,              2811674,                414965,,,                 71314,,                254195,,                255156,,                167529,                237882,                652847,,                117072,                535775,,,                535775,,,,,,,,,,,,,,,,,,,,,,,,               -171437,                364338,,                340941,                194834,,                170031,                194307,,                              0.17,,,,,               -246628,                 97905,,,                -22714,                 71314,,                              0
2352,2013年04月01日至2013年06月30日,,             29318794,,             26023534,              3295260,              3295260,,,              1404390,,                761574,,                698121,              2864085,                431175,,,                 93712,,                403096,,                298350,,                271450,                469908,                901083,,                106579,                794504,,,                794504,,,,,,,,,,,,,,,,,,,,,,,,                115547,                910051,,                570102,                224402,,                674060,                235991,,                              0.29,,,,,                110172,                -61540,,,                 66915,                 93712,,                              0
2352,2013年01月01日至2013年12月31日,,            119230535,,            106634262,             12596273,             12596273,,,              5544193,,              2588234,,              2902695,             11035122,              1561151,,,                505966,,                387313,,              1016010,,                287767,                165036,              1726187,,                320209,              1405978,,,              1405978,,,,,,,,,,,,,,,,,,,,,,,,              1797530,              3203508,,                709272,                696706,,              2391619,                811889,,                              0.36,,,,,                426865,              1101005,                 25846,,                243814,                505966,,                              0
2352,2013年01月01日至2013年09月30日,,             86864897,,             77901841,              8963056,              8963056,,,              4160339,,              1916449,,              2186758,              8263546,                699510,,,                308396,,                407817,,                781261,,                230603,                165555,                865065,,                306300,                558765,,,                558765,,,,,,,,,,,,,,,,,,,,,,,,              1321502,              1880267,,                 69039,                489726,,              1323244,                557023,,                              0.04,,                              0.04,,,                233526,                917797,,,                170179,,,
2352,2013年01月01日至2013年06月30日,,             56824652,,             51151163,              5673489,              5673489,,,              2712648,,              1267858,,              1408438,              5388944,                284545,,,                237082,,                153622,,                526105,,                 63074,                -72327,                212218,,                189228,                 22990,,,                 22990,,,,,,,,,,,,,,,,,,,,,,,,              1492939,              1515929,,               -271902,                294892,,              1153213,                362716,,                             -0.14,,                             -0.14,,,                480154,                819892,,,                192893,                237082,,
2352,2013年01月01日至2013年03月31日,,             27505858,,             25064103,              2441755,              2441755,,,              1288394,,                605140,,                694851,              2588385,               -146630,,,                 62147,,               -168251,,                227755,,               -208376,               -542235,               -688865,,                 82649,               -771514,,,               -771514,,,,,,,,,,,,,,,,,,,,,,,,              1377392,                605878,,               -842004,                 70490,,                479154,                126724,,                             -0.43,,,,,                369982,                881432,,,                125978,                 62147,,
2352,2012年07月01日至2012年09月30日,,             30539445,,             27840451,              2698994,              2698994,,,              1368377,,                575077,,                767543,              2710997,                -12003,,,                103541,,                613752,,                262973,,             -1237908,               -783588,               -795591,,                555785,             -1351376,,,             -1351376,,,,,,,,,,,,,,,,,,,,,,,,               -461165,             -1812541,,             -1136719,               -214657,,             -1561406,               -251135,,                             -0.58,,,,,               -242840,               -165377,,,                -52948,                103541,,                              0
2352,2012年04月01日至2012年06月30日,,             27859595,,             25189466,              2670129,              2670129,,,              1253768,,                685300,,                757744,              2696812,                -26683,,,                248500,,               -194481,,                234139,,               -913612,             -1093732,             -1120415,,                 21616,             -1142031,,,             -1142031,,,,,,,,,,,,,,,,,,,,,,,,                -28292,             -1170323,,               -990826,               -151205,,             -1049278,               -121045,,                             -0.50,,,,,                233070,               -272230,,,                 10868,                248500,,                              0
2352,2012年01月01日至2012年12月31日,,            116575329,,            106407805,             10167524,             10167524,,,              5372264,,              2471304,,              3022015,             10865583,               -698059,,,                999399,,              2203036,,              1071705,,             -4114019,             -1983289,             -2681348,,                739064,             -3420412,,,             -3420412,,,,,,,,,,,,,,,,,,,,,,,,               -441108,             -3861520,,             -2778331,               -642081,,             -3186983,               -674537,,                             -1.41,,,,,               -446169,                204532,                -97421,,               -102050,                999399,,                              0
2352,2012年01月01日至2012年09月30日,,             87594358,,             79899483,              7694875,              7694875,,,              3981111,,              1910566,,              2293149,              8184826,               -489951,,,                879987,,              1981619,,                816978,,             -3173424,             -1128796,             -1618747,,                605241,             -2223988,,,             -2223988,,,,,,,,,,,,,,,,,,,,,,,,                -90995,             -2314983,,             -1650859,               -573129,,             -1693042,               -621941,,                             -0.84,,,,,               -370964,                412124,,,               -132155,                879987,,                              0
2352,2012年01月01日至2012年06月30日,,             57054913,,             52102629,              4952284,              4952284,,,              2526295,,              1425545,,              1478392,              5430232,               -477948,,,                817660,,              1326653,,                554005,,             -1935516,               -345208,               -823156,,                 49456,               -872612,,,               -872612,,,,,,,,,,,,,,,,,,,,,,,,                370170,               -502442,,               -514140,               -358472,,               -131636,               -370806,,                             -0.26,,,,,               -128124,                577501,,,                -79207,                817660,,                              0
2352,2012年01月01日至2012年03月31日,,             29195318,,             26913163,              2282155,              2282155,,,              1272527,,                740245,,                720648,              2733420,               -451265,,,                569160,,              1521134,,                319866,,             -1021904,                748524,                297259,,                 27840,                269419,,,                269419,,,,,,,,,,,,,,,,,,,,,,,,                398462,                667881,,                476686,               -207267,,                917642,               -249761,,                              0.24,,,,,               -361194,                849731,,,                -90075,                569160,,                              0
