證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 不重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 基本每股盈餘,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋每股盈餘合計,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 與其他綜合損益組成部分相關之所得稅,　　 國外營運機構財務報表換算之兌換差額,　　 權益工具投資之利益（損失）,　　 備供出售金融資產未實現評價損益,　　 現金流量避險,　　 國外營運機構淨投資避險,　　 重估價之利益（損失）,　　 與待出售非流動資產直接相關之權益,　　 其他綜合損益
2032,2015年第3季,,,                734735,                734735,,                721732,                 13003,                 13003,,,                 15099,,                  9218,                 24317,                -11314,,,                  1805,,                  2420,,                     39,,                  3991,                  8177,                 -3137,,                 -1722,                 -1415,                 -1415,,,                              0,                              0,                              0,                 -1415,,                             -0.01,,                             -0.01,,,,,,,,,,,,,,,,
2032,2015年第2季,,,                820883,                820883,,                785968,                 34915,                 34915,,,                 15967,,                 10257,                 26224,                  8691,,,                    561,,                  1864,,                     75,,                 18356,                 20706,                 29397,,                  3684,                 25713,                 25713,,,                              0,                              0,                              0,                 25713,,                              0.20,,                              0.20,,,,,,,,,,,,,,,,
2032,2015年01月01日至2015年09月30日,,,              2292348,              2292348,,              2219075,                 73273,                 73273,,,                 47409,,                 29643,                 77052,                 -3779,,,                  4322,,                  4022,,                    157,,                 28247,                 36434,                 32655,,                  1951,                 30704,                 30704,,,                              0,                              0,                              0,                 30704,,                              0.24,,                              0.24,,,,,,,,,,,,,,,,
2032,2015年01月01日至2015年06月30日,,,              1557613,              1557613,,              1497343,                 60270,                 60270,,,                 32310,,                 20425,                 52735,                  7535,,,                  2517,,                  1602,,                    118,,                 24256,                 28257,                 35792,,                  3673,                 32119,                 32119,,,                              0,                              0,                              0,                 32119,,                              0.25,,                              0.25,,,,,,,,,,,,,,,,
2032,2015年01月01日至2015年03月31日,,,                736730,                736730,,                711375,                 25355,                 25355,,,                 16343,,                 10168,                 26511,                 -1156,,,                  1956,,                   -262,,                     43,,                  5900,                  7551,                  6395,,                    -11,                  6406,                  6406,,,                              0,                              0,                              0,                  6406,,                              0.05,,                              0.05,,,,,,,,,,,,,,,,
2032,2014年第3季,,,                884581,                884581,,                874201,                 10380,                 10380,,,                 16020,,                  8329,                 24349,                -13969,,,                    869,,                    797,,                    175,,                  3002,                  4493,                 -9476,,                 -2143,                 -7333,                 -7333,,,                              0,                              0,                              0,                 -7333,,                             -0.06,,                             -0.06,,,,,,,,,,,,,,,,
2032,2014年第2季,,,                868981,                868981,,                778793,                 90188,                 90188,,,                 16703,,                 17256,                 33959,                 56229,,,                  1228,,                   -323,,                    173,,                  1650,                  2382,                 58611,,                 17058,                 41553,                 41553,,,                              0,                              0,                              0,                 41553,,                              0.32,,                              0.32,,,,,,,,,,,,,,,,
2032,2014年01月01日至2014年09月30日,,,              2587537,              2587537,,              2439929,                147608,                147608,,,                 48259,,                 36904,                 85163,                 62445,,,                  2769,,                  1204,,                    428,,                  6635,                 10180,                 72625,,                 18536,                 54089,                 54089,,,                              0,                              0,                              0,                 54089,,                              0.41,,                              0.41,,,,,,,,,,,,,,,,
2032,2014年01月01日至2014年06月30日,,,              1702956,              1702956,,              1565728,                137228,                137228,,,                 32239,,                 28575,                 60814,                 76414,,,                  1900,,                    407,,                    253,,                  3633,                  5687,                 82101,,                 20679,                 61422,                 61422,,,                              0,                              0,                              0,                 61422,,                              0.47,,                              0.47,,,,,,,,,,,,,,,,
2032,2014年01月01日至2014年03月31日,,,                833975,                833975,,                786935,                 47040,                 47040,,,                 15536,,                 11319,                 26855,                 20185,,,                    672,,                    730,,                     80,,                  1983,                  3305,                 23490,,                  3621,                 19869,                 19869,,,                              0,                              0,                              0,                 19869,,                              0.15,,                              0.15,,,,,,,,,,,,,,,,
