證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 基本每股盈餘合計,　　　 利息收入,　　　　 利息收入合計,　　　 沖銷逾期應付款利益,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 什項支出,　　　 處分不動產、廠房及設備損失,　　　 外幣兌換損失,　　　 透過損益按公允價值衡量之金融資產（負債）損失,　　 國外營運機構財務報表換算之兌換差額,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　　 壞帳轉回利益,　　　 賠償損失,　　　 減損損失,　　　　 金融資產減損損失,　　　　 減損損失合計,　　　 處分投資性不動產利益,　　　　 銀行存款利息,　　　　 無活絡市場債券投資利息收入,　　　 處分投資性不動產損失
1616,2015年第3季,,,,                871659,                    403,                  1524,                869732,                869732,,,                827848,                827848,                 41884,                 41884,,,                 19209,,                 25337,,                    913,                 45459,                 -3575,,,                  3525,,                -87711,,                  7452,                -91638,                -95213,,                    269,                -95482,                -95482,,,                  3639,                    619,                  3020,                  3020,                -92462,,                -95482,,                -92462,,                             -0.50,,,,,,,,,,,,,,,,,,,,,,,
1616,2015年第2季,,,,                872029,                  1902,                    312,                869815,                869815,,,                853240,                853240,                 16575,                 16575,,,                 19005,,                 28905,,                  1407,                 49317,                -32742,,,                  3807,,                -16849,,                  6942,                -19984,                -52726,,                 -1022,                -51704,                -51704,,,                 14791,                  2514,                 12277,                 12277,                -39427,,                -51704,,                -39427,,                             -0.27,,                  3321,                     16,                    470,                              0,                              0,                  1665,                  3286,                  7304,                  7924,                              0,,,,,,,,,,,,
1616,2015年01月01日至2015年09月30日,,,,              2681022,                  2305,                  3054,              2675663,              2675663,,,              2609820,              2609820,                 65843,                 65843,,,                 59836,,                 93727,,                  3929,                157492,                -91649,,,                 13951,,                514130,,                 22565,                505516,                413867,,                196693,                217174,                217174,,,                 26125,                  4441,                 21684,                 21684,                238858,,                217174,,                238858,,                              1.15,,,,,,,,,,,,,,,,,,,,,,,
1616,2015年01月01日至2015年06月30日,,,,              1809363,                  1902,                  1530,              1805931,              1805931,,,              1781972,              1781972,                 23959,                 23959,,,                 40627,,                 68390,,                  3016,                112033,                -88074,,,                 10426,,                601841,,                 15113,                597154,                509080,,                196424,                312656,                312656,,,                 22486,                  3822,                 18664,                 18664,                331320,,                312656,,                331320,,                              1.65,,                  3644,                  3756,                  3026,                634340,                              0,                              0,                  8190,                              0,                 10709,                 13600,,,,,,,,,,,,
1616,2015年01月01日至2015年03月31日,,,,                937334,,                  1218,                936116,                936116,,,                928732,                928732,                  7384,                  7384,,,                 21622,,                 39485,,                  1609,                 62716,                -55332,,,                  6619,,                618690,,                  8171,                617138,                561806,,                197446,                364360,                364360,,,                  7695,                  1308,                  6387,                  6387,                370747,,                364360,,                370747,,                              1.92,,                    323,                  3740,                  2556,                641644,,,                  4904,                              0,                  2785,                 15265,,,,,,,,,,,,
1616,2014年第3季,,,,                903487,                    349,                    314,                902824,                902824,,,                889280,                889280,                 13544,                 13544,,,                 22339,,                 31004,,                  2153,                 55496,                -41952,,,                 23641,,                  4650,,                 11924,                 16367,                -25585,,                 -4302,                -21283,                -21283,,,                 13279,                  2258,                 11021,                 11021,                -10262,,                -21283,,                -10262,,                             -0.11,,,,,,,,,,,,,,,,,,,,,,,
1616,2014年第2季,,,,                959464,                  1093,                    234,                958137,                958137,,,                933659,                933659,                 24478,                 24478,,,                 20949,,                 26691,,                  3156,                 50796,                -26318,,,                 10908,,                 36849,,                 10700,                 37057,                 10739,,                  1913,                  8826,                  8826,,,                -28385,                 -4826,                -23559,                -23559,                -14733,,                  8826,,                -14733,,                              0.05,,                  2345,                              0,                  8563,                    452,                  2297,                 35671,                  1571,                              0,                              0,                              0,,,,,,,,,,,,
1616,2014年度,,,,              3837337,                  1439,                  1147,              3834751,              3834751,,,              3766859,              3766859,                 67892,                 67892,,,                 89403,,                128509,,                 10648,                228560,               -160668,,,                 34360,,                -59004,,                 42858,                -67502,               -228170,,                -38632,               -189538,               -189538,,,,,,                  8776,               -180762,,               -189538,,               -180762,,                             -1.00,,,,,,,,,,,,                 22709,                -10073,                  3860,,,,,,,,,
1616,2014年01月01日至2014年09月30日,,,,              2908338,                  1442,                    843,              2906053,              2906053,,,              2854596,              2854596,                 51457,                 51457,,,                 64073,,                 89186,,                  8771,                162030,               -110573,,,                 38249,,                -35384,,                 30724,                -27859,               -138432,,                -23390,               -115042,               -115042,,,                  1127,                    192,                    935,                    935,               -114107,,               -115042,,               -114107,,                             -0.61,,,,,,,,,,,,,,,,,,,,,,,
1616,2014年01月01日至2014年06月30日,,,,              2004851,                  1093,                    529,              2003229,              2003229,,,              1965316,              1965316,                 37913,                 37913,,,                 41734,,                 58182,,                  6618,                106534,                -68621,,,                 14608,,                -40034,,                 18800,                -44226,               -112847,,                -19088,                -93759,                -93759,,,                -12152,                 -2066,                -10086,                -10086,               -103845,,                -93759,,               -103845,,                             -0.49,,                  3843,                              0,                 10765,                    449,                              0,                              0,                  7156,                              0,                  8393,                 24934,,,,,,,,,,,,
1616,2014年01月01日至2014年03月31日,,,,              1045387,,                    295,              1045092,              1045092,,,              1031657,              1031657,                 13435,                 13435,,,                 20785,,                 31491,,                  3462,                 55738,                -42303,,,                  3700,,                -76883,,                  8100,                -81283,               -123586,,                -21001,               -102585,               -102585,,,                 16233,                  2760,                 13473,                 13473,                -89112,,               -102585,,                -89112,,                             -0.54,,                  1498,                              0,                  2202,                              0,,,                  5585,                      3,                 10690,                 60605,,,,,,,,,,,,
1616,2013年第3季,,,,                873755,                     -1,                    586,                873170,                873170,,,                852774,                852774,                 20396,                 20396,,,                 17555,,                 27587,,                  6609,                 51751,                -31355,,,                  5262,,                 22711,,                  7605,                 20368,                -10987,,                  7487,                -18474,                -18474,,,,,,                 -8891,                -27365,,                -18474,,                -27365,,                             -0.10,,,,,,,,,,,,                -10712,,                 -1821,,,,,,,,,
1616,2013年第2季,,,,                914371,                    106,                    341,                913924,                913924,,,                905703,                905703,                  8221,                  8221,,,                 18697,,                 25103,,                  3909,                 47709,                -39488,,,                  7014,,                -17446,,                  7789,                -18221,                -57709,,                -22637,                -35072,                -35072,,,,,,                  5904,                -29168,,                -35072,,                -29168,,                             -0.18,,,,,,,,,,,,                  7113,,                  1209,,,,,,,,,
