證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 營業成本合計,　 營業毛利（毛損）,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 其他收入合計,　　 其他利益及損失,　　　 外幣兌換利益,　　　 什項支出,　　　 其他利益及損失淨額,　　 財務成本,　　　 利息費用,　　　 財務成本淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 與其他綜合損益組成部分相關之所得稅,　　 非控制權益（淨利／損）,　　 非控制權益（綜合損益）,　　　 外幣兌換損失,　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨退回,　　　 銷貨折讓
2030,2015年第3季,,,              2909591,              2909591,,              2803032,                106559,                106559,,,                138700,,                 47417,                186117,                -79558,,,                  5687,,                 -5062,                    786,                 -5848,,                 41926,                 41926,                -42087,               -121645,,                -22195,                -99450,                -99450,,,                 55941,                   -416,                 55525,                 55525,                -43925,,                -99450,,                -43925,,                             -0.35,                             -0.35,,                             -0.35,                             -0.35,,,,,,,,,,,
2030,2015年第2季,,,,              3029177,,              2859118,                170059,                170059,,,                132099,,                 44325,                176424,                 -6365,,,                 29326,,                  4339,                  1439,                  2900,,                 39983,                 39983,                 -7757,                -14122,,                  8262,                -22384,                -22384,,,                -22054,                   -355,                -22409,                -22409,                -44793,,                -22384,,                -44793,,,                             -0.08,,,                             -0.08,,,,,,,,,,,
2030,2015年01月01日至2015年09月30日,,,              8817453,              8817453,,              8268312,                549141,                549141,,,                405871,,                138404,                544275,                  4866,,,                 44961,,                 -9883,                  7894,                -17777,,                122625,                122625,                -95441,                -90575,,                 -6073,                -84502,                -84502,,,                   -219,                   -718,                   -937,                   -937,                -85439,,                -84502,,                -85439,,                             -0.30,                             -0.30,,                             -0.30,                             -0.30,,,,,,,,,,,
2030,2015年01月01日至2015年06月30日,,,,              5907862,,              5465280,                442582,                442582,,,                267171,,                 90987,                358158,                 84424,,,                 39274,,                 -4821,                  7108,                -11929,,                 80699,                 80699,                -53354,                 31070,,                 16123,                 14947,                 14947,,,                -56160,                   -302,                -56462,                -56462,                -41515,,                 14947,,                -41515,,,                              0.05,,,                              0.05,,,,,,,,,,,
2030,2015年01月01日至2015年03月31日,,,,              2878685,,              2606162,                272523,                272523,,,                135072,,                 46662,                181734,                 90789,,,                  9948,,                 -9160,                  5669,                -14829,,                 40716,                 40716,                -45597,                 45192,,                  7861,                 37331,                 37331,,,                -34106,                     53,                -34053,                -34053,                  3278,,                 37331,,                  3278,,                              0.14,                              0.14,,                              0.14,                              0.14,,,,,,,,,,,
2030,2014年第3季,,,              3825098,              3825098,,              3367023,                458075,                458075,,,                181423,,                 77103,                258526,                199549,,,                  1798,,                  9419,                    767,                  8652,,                 44110,                 44110,                -33660,                165889,,                 36731,                129158,                129158,,,                 40819,                   -102,                 40717,                 40717,                169875,,                129158,,                169875,,                              0.48,                              0.48,,                              0.48,                              0.48,,,,,,,,,,,
2030,2014年第2季,,,,              3627660,,              3173171,                454489,                454489,,,                200112,,                 49471,                249583,                204906,,,                  9956,,                   -660,                 -1032,                    372,,                 42519,                 42519,                -32191,                172715,,                 32858,                139857,                139857,,,                -43717,                    -79,                -43796,                -43796,                 96061,,                139857,,                 96061,,,                              0.54,,,                              0.54,,,,,,,,,,,
2030,2014年度,,,,             13958636,,             12442299,              1516337,              1516337,,,                665013,,                244266,                909279,                607058,,,                  9947,,                 23780,                  1290,                 22490,,                169309,                169309,               -136872,                470186,,                 79225,                390961,                390961,,,,,,                131302,                522263,,                390961,,                522263,,                              1.51,                              1.51,,                              1.51,                              1.51,                127433,                    -58,                  4732,                    805,                              0,                              0,,,,,
2030,2014年01月01日至2014年09月30日,,,             10479485,             10479485,,              9286154,              1193331,              1193331,,,                517101,,                169403,                686504,                506827,,,                  9065,,                 14013,                  1084,                 12929,,                126194,                126194,               -104200,                402627,,                 80832,                321795,                321795,,,                 25700,                   -205,                 25495,                 25495,                347290,,                321795,,                347290,,                              1.19,                              1.19,,                              1.19,                              1.19,,,,,,,,,,,
2030,2014年01月01日至2014年06月30日,,,,              6654387,,              5919131,                735256,                735256,,,                342107,,                 92300,                434407,                300849,,,                 13696,,                  4594,                    317,                  4277,,                 82084,                 82084,                -64111,                236738,,                 44101,                192637,                192637,,,                -15119,                   -103,                -15222,                -15222,                177415,,                192637,,                177415,,,                              0.75,,,                              0.75,,,,,,,,,,,
2030,2014年01月01日至2014年03月31日,,,,              3026727,,              2745960,                280767,                280767,,,                141995,,                 42829,                184824,                 95943,,,                  3740,,                  5254,                  1349,                  3905,,                 39565,                 39565,                -31920,                 64023,,                 11243,                 52780,                 52780,,,                 28598,                    -24,                 28574,                 28574,                 81354,,                 52780,,                 81354,,                              0.21,                              0.21,,                              0.21,                              0.21,,,,,,,,,,,
