證券代號,年季,　 營業收入,　　 銷貨收入淨額,　　　 銷貨收入淨額,　　 營業收入合計,　 營業成本,　　 銷貨成本,　　　 銷貨成本合計,　　 營業成本合計,　 營業毛利（毛損）,　 未實現銷貨（損）益,　 已實現銷貨（損）益,　 營業毛利（毛損）淨額,　 營業費用,　　 推銷費用,　　　 推銷費用合計,　　 管理費用,　　　 管理費用合計,　　 研究發展費用,　　　 研究發展費用合計,　　 營業費用合計,　 營業利益（損失）,　 營業外收入及支出,　　 其他收入,　　　 利息收入,　　　　 利息收入合計,　　　 其他收入合計,　　 其他利益及損失,　　　 其他利益及損失淨額,　　 財務成本,　　　 財務成本淨額,　　 採用權益法之關聯企業及合資損益之份額,　　　 採用權益法認列之關聯企業及合資損益之份額淨額,　　 營業外收入及支出合計,　 繼續營業單位稅前淨利（淨損）,　 所得稅費用（利益）,　　 所得稅費用（利益）合計,　 繼續營業單位本期淨利（淨損）,　 本期淨利（淨損）,　 其他綜合損益(淨額),　　 不重分類至損益之項目,　　　 確定福利計畫之再衡量數,　　　 重估增值,　　　 指定按公允價值衡量之金融負債信用風險變動影響數,　　　 與待出售非流動資產直接相關之權益,　　　 權益工具投資之利益（損失）,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額-不重分類至損益之項目,　　　 不重分類至損益之其他項目,　　　 與不重分類之項目相關之所得稅,　　　 不重分類至損益之項目總額,　　 後續可能重分類至損益之項目,　　　 國外營運機構財務報表換算之兌換差額,　　　 備供出售金融資產未實現評價損益,　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　　 採用權益法認列關聯企業及合資之其他綜合損益之份額-可能重分類至損益之項目,　　　 與可能重分類之項目相關之所得稅,　　　 後續可能重分類至損益之項目總額,　　 其他綜合損益（淨額）,　 本期綜合損益總額,　 淨利（損）歸屬於：,　　 母公司業主（淨利／損）,　　 非控制權益（淨利／損）,　 綜合損益總額歸屬於：,　　 母公司業主（綜合損益）,　　 非控制權益（綜合損益）,　 基本每股盈餘,　　 繼續營業單位淨利（淨損）,　　 基本每股盈餘合計,　 稀釋每股盈餘,　　 稀釋繼續營業單位淨利（淨損）,　　 稀釋每股盈餘合計,　　　　 採用權益法認列關聯企業及合資之權益工具投資利益(損失),　　　 銷貨收入,　　　　 銷貨收入,　　　　 銷貨收入合計,　　　 銷貨成本,　　　 其他收入－其他,　　　 處分不動產、廠房及設備利益,　　　 處分投資利益,　　　 外幣兌換利益,　　　 透過損益按公允價值衡量之金融資產（負債）利益,　　　 減損迴轉利益,　　　　 金融資產減損迴轉利益,　　　　 減損迴轉利益合計,　　　 外幣兌換損失,　　　 利息費用,　　　 可能重分類至損益之其他項目,　　　 廉價購買利益,　　　 處分投資性不動產利益,　　　 減損損失,　　　　 減損損失合計,　 停業單位損益,　　 停業單位損益合計,　　 國外營運機構財務報表換算之兌換差額,　　 備供出售金融資產未實現評價損益,　　 確定福利計畫精算利益（損失）,　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額,　　　 採用權益法認列之關聯企業及合資之其他綜合損益之份額合計,　　 其他綜合損益,　　 與其他綜合損益組成部分相關之所得稅,　　 共同控制下前手權益（淨利／損）
1611,2015年第3季,,,                634793,                634793,,,                500480,                500480,                134313,                    189,                              0,                134124,,,                 53619,,                 78754,,                 31420,                163793,                -29669,,,,                  3573,                  3573,,                346474,,                  6056,,                -18839,                325152,                295483,,                 35328,                260155,                260155,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 33921,                -32959,,                 10629,                  7205,                  4386,                  4386,                264541,,                260444,                   -289,,                264830,                   -289,,                              0.65,                              0.65,,                              0.65,                              0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2015年第2季,,,                652947,                652947,,,                507055,                507055,                145892,                              0,                    202,                146094,,,                 42207,,                 69232,,                 30061,                141500,                  4594,,,,                  1103,                  1103,,               -122151,,                  7705,,                -19620,               -148373,               -143779,,                 -1589,               -142190,               -142190,,,,,,,,,                -41340,,,                -41340,,                -12701,,,                   -436,                 -2103,                -11034,                -52374,               -194564,,               -141903,                   -287,,               -194277,                   -287,,,                             -0.36,,,                              0.00,                -41340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2015年01月01日至2015年09月30日,,,              1998618,              1998618,,,              1528588,              1528588,                470030,                    307,                              0,                469723,,,                148167,,                207076,,                 95416,                450659,                 19064,,,,                  5047,                  5047,,                249107,,                113872,,                -48355,                 91927,                110991,,                 37816,                 73175,                 73175,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  9991,                -99924,,                  7746,                  2869,                -85056,                -85056,                -11881,,                 74046,                   -871,,                -11010,                   -871,,                              0.19,                              0.19,,                              0.19,                              0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2015年01月01日至2015年06月30日,,,              1363825,              1363825,,,              1028108,              1028108,                335717,                    118,                              0,                335599,,,                 94548,,                128322,,                 63996,                286866,                 48733,,,,                  1474,                  1474,,                -97367,,                107816,,                -29516,               -233225,               -184492,,                  2488,               -186980,               -186980,,,,,,,,,                -66965,,,                -66965,,                -23930,,,                 -2883,                 -4336,                -22477,                -89442,               -276422,,               -186398,                   -582,,               -275840,                   -582,,,                             -0.47,,,                              0.00,                -66965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2015年01月01日至2015年03月31日,,,                710878,                710878,,,                521053,                521053,                189825,                    320,                              0,                189505,,,                 52341,,                 59090,,                 33935,                145366,                 44139,,,,                    371,                  2234,,                 22921,,                100111,,                 -9896,                -84852,                -40713,,                  4077,                -44790,                -44790,,,,,,,,,                -25625,                              0,,                -25625,,                -11229,,,                 -2447,                 -2233,                -11443,                -37068,                -81858,,                -44495,                   -295,,                -81563,                   -295,,,                             -0.11,,,                              0.00,                -25625,,                710878,                710878,                521053,                  1863,                              0,                 14114,                              0,                 12160,,                              0,                              0,                  3353,                100111,                              0,,,,,,,,,,,,,,
1611,2014年第3季,,,                645816,                645816,,,                484484,                484484,                161332,                              0,                    290,                161622,,,                 43588,,                 57309,,                 35215,                136112,                 25510,,,,                    618,                    618,,                 19965,,                 13888,,                -29979,                -23284,                  2226,,                  2399,                   -173,                   -173,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                 20996,                  4326,,                  1857,                  3517,                 23662,                 23662,                 23489,,                    121,                   -294,,                 23783,                   -294,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2014年第2季,,,                719637,                719637,,,                564781,                564781,                154856,                              0,                    197,                155053,,,                 49513,,                 53396,,                 33759,                136668,                 18385,,,,                  1811,                  1811,,                 -5038,,                 14701,,                -33547,                -51475,                -33090,,                -31985,                 -1105,                 -1105,,,,,,,,,                -41317,,,                -41317,,                -14804,,,                 -2337,                 -2820,                -14321,                -55638,                -56743,,                   -815,                   -290,,                -56453,                   -290,,,                              0.00,,,                              0.00,                -41317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2014年度,,,              2857486,              2857486,,,              2207579,              2207579,                649907,                    370,                  1453,                650990,,,                208850,,                241252,,                137139,                587241,                 63749,,,,                  5281,                 82192,,               -280531,,                 57157,,               -106130,               -361626,               -297877,,                -21334,               -276543,               -276543,,,,,,,,,,,,,,,,,,,,                  1887,               -274656,,               -275308,                 -1235,,               -273421,                 -1235,,                             -0.69,                             -0.69,,                             -0.69,                             -0.69,,,,              2857486,,                 76911,,,,,,,,,,,                              0,                 30085,,                310616,,                              0,                 32967,                -38253,                  6741,,                  8200,                 -7768,,
1611,2014年01月01日至2014年09月30日,,,              2115395,              2115395,,,              1607072,              1607072,                508323,                              0,                  1247,                509570,,,                151185,,                166710,,                102521,                420416,                 89154,,,,                  3735,                  3735,,                 36409,,                 44259,,               -107645,               -111760,                -22606,,                -23497,                    891,                    891,,,                              0,                              0,                              0,                              0,                              0,,                              0,                              0,                              0,                              0,,                  2593,                -13317,,                 -1146,                    222,                -12092,                -12092,                -11201,,                  1769,                   -878,,                -10323,                   -878,,                              0.00,                              0.00,,                              0.00,                              0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1611,2014年01月01日至2014年06月30日,,,              1469579,              1469579,,,              1122588,              1122588,                346991,                              0,                    957,                347948,,,                101597,,                115401,,                 67306,                284304,                 63644,,,,                  3117,                  3117,,                 16444,,                 30371,,                -77666,                -88476,                -24832,,                -25896,                  1064,                  1064,,,,,,,,,                -17643,,,                -17643,,                -18403,,,                 -3003,                 -3295,                -18111,                -35754,                -34690,,                  1648,                   -584,,                -34106,                   -584,,,                              0.00,,,                              0.00,                -17643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
